Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Шелопугинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853					
		2.81%	2.48%	1.31%	6.38%	4.84%	6.74%	3.15%	1.31%	5.08%	5.07%	5.30%	8.33%	1.70%	0.0%	1.27%	2.99%	3.70%	1.76%	7.86%	3.12%	3.31%	3.33%	1.71%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	1	1	0	4	0	0	0	0	1	0	1	0	3	2	0	0	4	0	0	0	1	1					
		0.44%	0.41%	1.31%	0.0%	1.76%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	1.38%	0.0%	3.48%	0.36%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.83%	0.14%					
35	"18. ""ЛДПР"""	575	33	11	1	26	22	26	17	2	28	7	16	12	18	87	17	16	71	14	14	33	11	93					
		13.46%	13.69%	14.47%	2.12%	11.45%	24.71%	27.36%	7.45%	3.38%	14.21%	6.19%	22.22%	10.25%	20.93%	15.87%	5.64%	14.81%	13.92%	15.73%	14.58%	21.85%	9.16%	13.28%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	105	1	0	0	11	1	2	5	1	3	3	1	4	0	16	7	1	10	2	1	2	3	31					
		2.45%	0.41%	0.0%	0.0%	4.84%	1.12%	2.10%	2.19%	1.69%	1.52%	2.65%	1.38%	3.41%	0.0%	2.91%	2.32%	0.92%	1.96%	2.24%	1.04%	1.32%	2.5%	4.42%					
37	"20. ""Политическая партия ""Единая Россия"""	1405	121	48	20	74	40	29	81	25	57	23	14	29	29	123	81	23	197	15	21	37	58	260					
		32.90%	50.20%	63.15%	42.55%	32.59%	44.94%	30.52%	35.52%	42.37%	28.93%	20.35%	19.44%	24.78%	33.72%	22.44%	26.91%	21.29%	38.62%	16.85%	21.87%	24.50%	48.33%	37.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	0	0	0	0	0	1	0	0	1	0	1	1	0	2	1	0	0	0	1	0	0	0					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.0%	0.50%	0.0%	1.38%	0.85%	0.0%	0.36%	0.33%	0.0%	0.0%	0.0%	1.04%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	9	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	4					
		0.21%	0.0%	0.0%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.19%	0.0%	1.04%	0.0%	0.0%	0.57%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	873	25	7	3	45	2	13	41	15	24	18	9	24	20	124	107	38	99	18	18	51	20	152					
		20.44%	10.37%	9.21%	6.38%	19.82%	2.24%	13.68%	17.98%	25.42%	12.18%	15.92%	12.5%	20.51%	23.25%	22.62%	35.54%	35.18%	19.41%	20.22%	18.75%	33.77%	16.66%	21.71%					
																													
41	Против всех	99	3	2	0	6	0	1	6	0	2	1	0	0	1	17	2	4	18	2	5	0	5	24					
		2.31%	1.24%	2.63%	0.0%	2.64%	0.0%	1.05%	2.63%	0.0%	1.01%	0.88%	0.0%	0.0%	1.16%	3.10%	0.66%	3.70%	3.52%	2.24%	5.20%	0.0%	4.16%	3.42%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
