Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Кстовская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130					
11	Число полученных открепительных  удостоверений	700	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	15	10	10	10	10	10	10	10	10	10	10	5	5	5	5	5	5	5	5	5	5	10	5	105	15	5	10	5	5	5	5	10	5	5	5	5	10	5	20	5	5	5	5	10	5	5	5	10	5	10	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	363	0	0	1	0	2	8	5	3	4	4	3	6	5	6	3	10	3	5	3	10	6	4	6	7	5	3	3	3	2	10	1	0	1	0	1	5	0	1	4	0	3	4	102	11	4	5	5	0	0	0	5	5	5	2	2	4	0	17	3	1	5	4	9	1	1	0	7	1	7	0	1	0	4	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	324	4	6	0	11	3	8	10	7	8	3	7	4	4	3	5	8	5	4	2	2	4	8	6	14	5	0	2	4	1	9	2	0	0	1	2	3	2	0	6	3	5	6	4	14	3	5	3	0	0	4	1	6	0	1	4	2	0	8	13	1	4	3	6	5	3	3	5	2	10	1	13	2	9	0	1	1					
14	Число неиспользованных открепительных удостоверений	337	10	10	9	10	8	2	5	7	6	6	7	4	5	4	7	5	7	5	7	5	4	6	4	3	5	7	7	7	8	0	4	5	4	5	4	0	5	4	1	5	7	1	3	4	1	5	0	5	5	5	5	0	0	3	3	6	5	3	2	4	0	1	1	4	4	5	3	4	3	5	4	5	1	3	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	147	0	0	0	74	70	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																			
18	. Глазьев Сергей Юрьевич	2067	23	21	44	19	30	60	46	48	54	53	65	29	57	40	38	73	31	33	40	41	38	52	45	56	62	44	54	27	26	50	2	4	10	6	7	53	12	4	41	5	41	39	21	47	7	63	18	5	0	7	45	12	5	14	2	5	2	39	6	8	15	26	28	8	2	0	20	25	30	4	14	2	32	5	7	20					
		4.21%	3.41%	3.15%	6.67%	2.41%	3.05%	4.67%	4.71%	5.32%	4.74%	5.09%	5.80%	4.80%	5.19%	4.74%	4.16%	6.23%	4.92%	4.27%	3.77%	5.18%	3.49%	5.63%	4.35%	4.69%	6.07%	4.32%	3.86%	4.59%	4.71%	3.95%	1.46%	2.56%	4.59%	2.12%	2.62%	4.74%	5.26%	2.34%	3.11%	2.67%	5.39%	4.72%	3.54%	4.61%	1.26%	4.41%	2.70%	4.03%	0.00%	3.07%	4.80%	3.39%	3.47%	6.76%	1.12%	2.94%	3.28%	3.42%	2.71%	5.03%	1.62%	2.89%	3.41%	4.97%	2.22%	0.00%	8.10%	4.89%	3.13%	3.36%	3.07%	1.05%	4.22%	3.85%	4.90%	3.95%					
19	. Малышкин Олег Александрович	1077	17	9	11	15	21	35	15	17	27	29	27	17	24	14	13	27	13	26	23	15	28	26	27	16	19	28	35	12	17	16	4	5	6	4	4	17	6	7	23	4	6	16	12	15	10	37	20	4	2	8	16	6	1	0	6	3	2	34	2	1	34	24	15	5	2	0	2	15	27	3	5	0	19	2	2	22					
		2.19%	2.52%	1.35%	1.67%	1.91%	2.14%	2.72%	1.54%	1.88%	2.37%	2.79%	2.41%	2.81%	2.19%	1.66%	1.42%	2.31%	2.06%	3.37%	2.17%	1.90%	2.57%	2.81%	2.61%	1.34%	1.86%	2.75%	2.50%	2.04%	3.08%	1.26%	2.92%	3.21%	2.75%	1.41%	1.50%	1.52%	2.63%	4.09%	1.74%	2.14%	0.79%	1.93%	2.02%	1.47%	1.80%	2.59%	3.00%	3.23%	2.90%	3.51%	1.71%	1.69%	0.69%	0.00%	3.35%	1.76%	3.28%	2.98%	0.90%	0.63%	3.67%	2.66%	1.83%	3.11%	2.22%	0.00%	0.81%	2.94%	2.82%	2.52%	1.10%	0.00%	2.50%	1.54%	1.40%	4.35%					
20	. Миронов Сергей Михайлович	334	9	2	1	5	4	6	7	3	5	11	10	4	7	5	8	8	8	4	6	9	8	6	5	7	9	4	7	5	7	11	0	0	4	2	1	13	1	0	4	0	2	5	3	3	6	7	5	0	1	1	5	1	1	4	3	3	0	10	0	1	5	5	3	0	1	0	9	9	2	1	6	4	8	1	1	2					
		0.68%	1.33%	0.30%	0.15%	0.64%	0.41%	0.47%	0.72%	0.33%	0.44%	1.06%	0.89%	0.66%	0.64%	0.59%	0.88%	0.68%	1.27%	0.52%	0.57%	1.14%	0.73%	0.65%	0.48%	0.59%	0.88%	0.39%	0.50%	0.85%	1.27%	0.87%	0.00%	0.00%	1.83%	0.71%	0.37%	1.16%	0.44%	0.00%	0.30%	0.00%	0.26%	0.60%	0.51%	0.29%	1.08%	0.49%	0.75%	0.00%	1.45%	0.44%	0.53%	0.28%	0.69%	1.93%	1.68%	1.76%	0.00%	0.88%	0.00%	0.63%	0.54%	0.55%	0.37%	0.00%	1.11%	0.00%	3.64%	1.76%	0.21%	0.84%	1.32%	2.11%	1.05%	0.77%	0.70%	0.40%					
21	. Путин Владимир Владимирович	32422	423	457	459	608	733	852	615	597	768	683	726	395	666	529	603	731	406	525	659	525	678	584	644	781	592	637	864	373	362	879	105	128	128	226	167	757	140	126	891	121	489	503	451	784	399	951	458	81	49	163	601	269	99	106	112	128	53	809	173	96	642	636	537	103	68	31	154	288	642	77	280	144	444	87	89	283					
		66.04%	62.67%	68.52%	69.55%	77.26%	74.64%	66.30%	63.01%	66.11%	67.43%	65.61%	64.82%	65.40%	60.66%	62.68%	65.97%	62.43%	64.44%	68.01%	62.11%	66.37%	62.26%	63.20%	62.22%	65.36%	57.98%	62.57%	61.80%	63.44%	65.58%	69.49%	76.64%	82.05%	58.72%	79.86%	62.55%	67.71%	61.40%	73.68%	67.55%	64.71%	64.34%	60.82%	76.05%	76.86%	71.76%	66.55%	68.67%	65.32%	71.01%	71.49%	64.14%	75.99%	68.75%	51.21%	62.57%	75.29%	86.89%	70.90%	78.28%	60.38%	69.33%	70.59%	65.41%	63.98%	75.56%	83.78%	62.35%	56.36%	66.94%	64.71%	61.40%	75.79%	58.50%	66.92%	62.24%	55.93%					
22	. Хакамада Ирина Муцуовна	2783	29	34	28	32	53	102	66	63	103	86	75	58	86	52	49	73	63	30	60	48	69	81	69	93	103	68	76	36	29	88	5	4	11	5	10	51	9	2	61	4	39	46	22	49	19	112	14	3	0	2	64	9	5	8	4	3	0	42	3	10	32	46	35	5	5	1	9	19	52	3	7	6	25	3	3	14					
		5.67%	4.30%	5.10%	4.24%	4.07%	5.40%	7.94%	6.76%	6.98%	9.04%	8.26%	6.70%	9.60%	7.83%	6.16%	5.36%	6.23%	10.00%	3.89%	5.66%	6.07%	6.34%	8.77%	6.67%	7.78%	10.09%	6.68%	5.44%	6.12%	5.25%	6.96%	3.65%	2.56%	5.05%	1.77%	3.75%	4.56%	3.95%	1.17%	4.62%	2.14%	5.13%	5.56%	3.71%	4.80%	3.42%	7.84%	2.10%	2.42%	0.00%	0.88%	6.83%	2.54%	3.47%	3.86%	2.23%	1.76%	0.00%	3.68%	1.36%	6.29%	3.46%	5.11%	4.26%	3.11%	5.56%	2.70%	3.64%	3.72%	5.42%	2.52%	1.54%	3.16%	3.29%	2.31%	2.10%	2.77%					
23	. Харитонов Николай Михайлович	8048	155	117	95	70	95	165	161	136	107	124	139	68	199	149	160	208	72	113	223	133	206	142	186	166	168	193	305	106	85	158	20	11	48	35	65	170	49	23	225	46	138	166	64	92	98	173	125	26	12	41	149	50	29	62	44	20	4	166	30	34	166	115	170	29	10	5	40	116	180	21	133	29	205	32	35	143					
		16.39%	22.96%	17.54%	14.39%	8.89%	9.67%	12.84%	16.50%	15.06%	9.39%	11.91%	12.41%	11.26%	18.12%	17.65%	17.51%	17.76%	11.43%	14.64%	21.02%	16.81%	18.92%	15.37%	17.97%	13.89%	16.45%	18.96%	21.82%	18.03%	15.40%	12.49%	14.60%	7.05%	22.02%	12.37%	24.34%	15.21%	21.49%	13.45%	17.06%	24.60%	18.16%	20.07%	10.79%	9.02%	17.63%	12.11%	18.74%	20.97%	17.39%	17.98%	15.90%	14.12%	20.14%	29.95%	24.58%	11.76%	6.56%	14.55%	13.57%	21.38%	17.93%	12.76%	20.71%	18.01%	11.11%	13.51%	16.19%	22.70%	18.77%	17.65%	29.17%	15.26%	27.01%	24.62%	24.48%	28.26%					
																																																																																			
24	Против всех	1982	17	19	16	34	42	62	57	38	73	53	69	27	52	46	36	41	34	36	47	20	58	31	49	70	57	37	51	26	21	48	1	4	9	2	8	41	5	5	60	4	35	43	14	23	9	86	19	5	2	6	52	4	4	13	7	5	0	30	1	7	20	36	25	7	2	0	4	28	18	10	9	4	21	0	5	22					
		4.04%	2.52%	2.85%	2.42%	4.32%	4.28%	4.82%	5.84%	4.21%	6.41%	5.09%	6.16%	4.47%	4.74%	5.45%	3.94%	3.50%	5.40%	4.66%	4.43%	2.53%	5.33%	3.35%	4.73%	5.86%	5.58%	3.63%	3.65%	4.42%	3.80%	3.79%	0.73%	2.56%	4.13%	0.71%	3.00%	3.67%	2.19%	2.92%	4.55%	2.14%	4.61%	5.20%	2.36%	2.25%	1.62%	6.02%	2.85%	4.03%	2.90%	2.63%	5.55%	1.13%	2.78%	6.28%	3.91%	2.94%	0.00%	2.63%	0.45%	4.40%	2.16%	4.00%	3.05%	4.35%	2.22%	0.00%	1.62%	5.48%	1.88%	8.40%	1.97%	2.11%	2.77%	0.00%	3.50%	4.35%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
