Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Нижегородский район																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3520	185	89	333	300	263	193	315	297	388	308	397	239	213									
		42.05%	55.72%	52.98%	38.72%	39.53%	37.57%	40.12%	52.76%	38.62%	43.69%	36.02%	52.93%	38.18%	36.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	126	2	1	22	21	11	5	4	15	6	19	4	7	9									
		1.51%	0.60%	0.60%	2.56%	2.77%	1.57%	1.04%	0.67%	1.95%	0.68%	2.22%	0.53%	1.12%	1.54%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	0	4	0	2	2	1	3	2	1	1	0	1	0									
		0.20%	0.00%	2.38%	0.00%	0.26%	0.29%	0.21%	0.50%	0.26%	0.11%	0.12%	0.00%	0.16%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1275	41	19	129	114	118	91	88	104	138	123	127	97	86									
		15.23%	12.35%	11.31%	15.00%	15.02%	16.86%	18.92%	14.74%	13.52%	15.54%	14.39%	16.93%	15.50%	14.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	169	8	7	27	8	14	8	2	26	16	22	9	9	13									
		2.02%	2.41%	4.17%	3.14%	1.05%	2.00%	1.66%	0.34%	3.38%	1.80%	2.57%	1.20%	1.44%	2.22%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	204	9	1	26	18	9	14	14	26	23	27	6	22	9									
		2.44%	2.71%	0.60%	3.02%	2.37%	1.29%	2.91%	2.35%	3.38%	2.59%	3.16%	0.80%	3.51%	1.54%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	0	0	0	3	2	0	2	4	4	2	2	1	2									
		0.26%	0.00%	0.00%	0.00%	0.40%	0.29%	0.00%	0.34%	0.52%	0.45%	0.23%	0.27%	0.16%	0.34%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	548	11	3	58	46	43	30	25	90	65	67	31	45	34									
		6.55%	3.31%	1.79%	6.74%	6.06%	6.14%	6.24%	4.19%	11.70%	7.32%	7.84%	4.13%	7.19%	5.80%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1181	35	27	110	95	117	71	85	89	118	139	92	102	101									
		14.11%	10.54%	16.07%	12.79%	12.52%	16.71%	14.76%	14.24%	11.57%	13.29%	16.26%	12.27%	16.29%	17.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	46	1	0	6	9	4	3	1	2	4	3	8	1	4									
		0.55%	0.30%	0.00%	0.70%	1.19%	0.57%	0.62%	0.17%	0.26%	0.45%	0.35%	1.07%	0.16%	0.68%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	429	14	8	49	59	29	21	24	45	42	45	22	27	44									
		5.12%	4.22%	4.76%	5.70%	7.77%	4.14%	4.37%	4.02%	5.85%	4.73%	5.26%	2.93%	4.31%	7.51%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
