Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Шимановская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	92	1	4	4	18	4	4	8	12	10	13	14									
		1.30%	0.22%	0.91%	0.61%	2.50%	0.71%	0.49%	1.25%	2.55%	1.21%	1.80%	1.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	161	11	7	18	12	19	9	22	11	16	17	19									
		2.27%	2.38%	1.59%	2.74%	1.66%	3.36%	1.09%	3.43%	2.34%	1.94%	2.36%	2.51%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	291	8	9	31	29	35	26	40	14	39	27	33									
		4.11%	1.73%	2.05%	4.73%	4.02%	6.18%	3.16%	6.23%	2.97%	4.73%	3.74%	4.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2592	206	130	216	296	180	355	209	154	338	249	259									
		36.58%	44.59%	29.55%	32.93%	41.05%	31.80%	43.13%	32.55%	32.70%	40.97%	34.54%	34.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	37	0	1	3	7	2	3	1	3	5	4	8									
		0.52%	0.00%	0.23%	0.46%	0.97%	0.35%	0.36%	0.16%	0.64%	0.61%	0.55%	1.06%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	0	1	0	1	0	1	0	1	1	0									
		0.08%	0.22%	0.00%	0.15%	0.00%	0.18%	0.00%	0.16%	0.00%	0.12%	0.14%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2122	112	165	172	188	186	224	189	190	238	223	235									
		29.95%	24.24%	37.50%	26.22%	26.07%	32.86%	27.22%	29.44%	40.34%	28.85%	30.93%	31.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	4	0	1	4	6	0	2	1	4	2	2									
		0.37%	0.87%	0.00%	0.15%	0.55%	1.06%	0.00%	0.31%	0.21%	0.48%	0.28%	0.26%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	6	0	9	2	0	5	8	1	8	2	3									
		0.62%	1.30%	0.00%	1.37%	0.28%	0.00%	0.61%	1.25%	0.21%	0.97%	0.28%	0.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	0	2	0	1	0	1	0	2	0	2									
		0.11%	0.00%	0.00%	0.30%	0.00%	0.18%	0.00%	0.16%	0.00%	0.24%	0.00%	0.26%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	3	4	2	5	3	7	5	3	0	5	3									
		0.56%	0.65%	0.91%	0.30%	0.69%	0.53%	0.85%	0.78%	0.64%	0.00%	0.69%	0.40%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1321	85	103	167	131	99	151	127	60	124	130	144									
		18.65%	18.40%	23.41%	25.46%	18.17%	17.49%	18.35%	19.78%	12.74%	15.03%	18.03%	18.99%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	6	2	4	5	2	5	0	2	1	3	0									
		0.42%	1.30%	0.45%	0.61%	0.69%	0.35%	0.61%	0.00%	0.42%	0.12%	0.42%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	184	10	7	15	13	19	21	17	5	24	27	26									
		2.60%	2.16%	1.59%	2.29%	1.80%	3.36%	2.55%	2.65%	1.06%	2.91%	3.74%	3.43%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
