Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Мари-Турекская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309					
22	"5. ""За Русь Святую"""	53	1	0	1	8	1	2	0	3	0	4	4	0	3	0	5	0	3	2	0	2	3	1	1	3	1	5					
		0.37%	0.77%	0.0%	0.47%	0.58%	0.21%	0.27%	0.0%	0.39%	0.0%	1.94%	0.37%	0.0%	0.47%	0.0%	0.50%	0.0%	0.65%	0.37%	0.0%	0.41%	0.72%	0.13%	0.57%	1.06%	0.26%	0.75%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	0	1	2	4	2	4	2	1	0	0	2	2	1	0	1	0	0	3	0	0	0	0	0	2	1	1					
		0.20%	0.0%	0.09%	0.95%	0.29%	0.42%	0.54%	0.59%	0.13%	0.0%	0.0%	0.18%	0.28%	0.15%	0.0%	0.10%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.26%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	49	0	7	0	13	3	4	3	0	0	0	1	0	2	0	3	0	0	0	0	1	1	6	0	0	1	4					
		0.34%	0.0%	0.64%	0.0%	0.95%	0.63%	0.54%	0.89%	0.0%	0.0%	0.0%	0.09%	0.0%	0.31%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.20%	0.24%	0.82%	0.0%	0.0%	0.26%	0.60%					
25	"8. ""Народно-республиканская партия России"""	22	1	1	0	0	2	2	0	0	3	0	3	0	0	0	1	0	1	3	0	2	0	0	1	0	1	1					
		0.15%	0.77%	0.09%	0.0%	0.0%	0.42%	0.27%	0.0%	0.0%	0.68%	0.0%	0.28%	0.0%	0.0%	0.0%	0.10%	0.0%	0.21%	0.56%	0.0%	0.41%	0.0%	0.0%	0.57%	0.0%	0.26%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	34	1	7	1	1	0	4	2	1	2	0	1	2	1	0	1	0	4	0	0	0	0	4	0	1	1	0					
		0.24%	0.77%	0.64%	0.47%	0.07%	0.0%	0.54%	0.59%	0.13%	0.45%	0.0%	0.09%	0.28%	0.15%	0.0%	0.10%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.35%	0.26%	0.0%					
27	"10. ""Аграрная партия России"""	2372	46	125	61	183	122	92	41	154	93	47	203	231	66	34	47	28	150	107	49	92	26	74	52	44	107	98					
		16.80%	35.65%	11.48%	29.04%	13.47%	25.95%	12.63%	12.27%	20.23%	21.28%	22.81%	19.25%	32.48%	10.47%	8.60%	4.78%	11.02%	32.82%	20.03%	18.84%	19.12%	6.26%	10.13%	29.71%	15.54%	28.60%	14.89%					
28	"11. ""Истинные патриоты России"""	42	0	6	0	6	1	3	0	0	0	1	3	1	3	2	3	0	0	1	1	2	0	7	1	0	0	1					
		0.29%	0.0%	0.55%	0.0%	0.44%	0.21%	0.41%	0.0%	0.0%	0.0%	0.48%	0.28%	0.14%	0.47%	0.50%	0.30%	0.0%	0.0%	0.18%	0.38%	0.41%	0.0%	0.95%	0.57%	0.0%	0.0%	0.15%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	109	1	8	5	10	2	5	6	5	2	1	9	7	2	7	10	0	5	4	0	2	2	1	3	5	3	4					
		0.77%	0.77%	0.73%	2.38%	0.73%	0.42%	0.68%	1.79%	0.65%	0.45%	0.48%	0.85%	0.98%	0.31%	1.77%	1.01%	0.0%	1.09%	0.74%	0.0%	0.41%	0.48%	0.13%	1.71%	1.76%	0.80%	0.60%					
30	"13. ""Демократическая партия России"""	58	0	5	1	3	4	2	4	5	0	1	4	3	4	0	3	1	1	3	1	1	1	3	0	0	4	4					
		0.41%	0.0%	0.45%	0.47%	0.22%	0.85%	0.27%	1.19%	0.65%	0.0%	0.48%	0.37%	0.42%	0.63%	0.0%	0.30%	0.39%	0.21%	0.56%	0.38%	0.20%	0.24%	0.41%	0.0%	0.0%	1.06%	0.60%					
31	"14. ""Великая Россия - Евразийский Союз"""	42	0	4	0	3	1	4	0	2	4	1	5	1	7	0	1	0	3	0	0	2	0	1	1	0	1	1					
		0.29%	0.0%	0.36%	0.0%	0.22%	0.21%	0.54%	0.0%	0.26%	0.91%	0.48%	0.47%	0.14%	1.11%	0.0%	0.10%	0.0%	0.65%	0.0%	0.0%	0.41%	0.0%	0.13%	0.57%	0.0%	0.26%	0.15%					
32	"15. ""Партия СЛОН"""	26	0	2	1	1	2	2	1	0	1	0	1	0	0	0	3	1	1	1	0	2	0	5	0	0	1	1					
		0.18%	0.0%	0.18%	0.47%	0.07%	0.42%	0.27%	0.29%	0.0%	0.22%	0.0%	0.09%	0.0%	0.0%	0.0%	0.30%	0.39%	0.21%	0.18%	0.0%	0.41%	0.0%	0.68%	0.0%	0.0%	0.26%	0.15%					
33	"16. ""Родина"" (народно-патриотический союз)"""	481	1	51	4	90	23	35	11	13	3	4	51	27	15	5	40	4	7	16	4	14	5	13	5	8	14	18					
		3.40%	0.77%	4.68%	1.90%	6.62%	4.89%	4.80%	3.29%	1.70%	0.68%	1.94%	4.83%	3.79%	2.38%	1.26%	4.07%	1.57%	1.53%	2.99%	1.53%	2.91%	1.20%	1.78%	2.85%	2.82%	3.74%	2.73%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	84	1	14	0	12	1	2	1	5	2	3	7	2	3	2	11	0	2	0	0	3	1	3	1	1	4	3					
		0.59%	0.77%	1.28%	0.0%	0.88%	0.21%	0.27%	0.29%	0.65%	0.45%	1.45%	0.66%	0.28%	0.47%	0.50%	1.12%	0.0%	0.43%	0.0%	0.0%	0.62%	0.24%	0.41%	0.57%	0.35%	1.06%	0.45%					
35	"18. ""ЛДПР"""	1488	13	179	24	186	51	103	45	68	22	8	111	54	70	29	76	25	40	49	22	66	46	59	21	18	41	62					
		10.54%	10.07%	16.45%	11.42%	13.69%	10.85%	14.14%	13.47%	8.93%	5.03%	3.88%	10.53%	7.59%	11.11%	7.34%	7.73%	9.84%	8.75%	9.17%	8.46%	13.72%	11.08%	8.08%	12.0%	6.36%	10.96%	9.42%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	300	1	31	1	47	13	16	9	20	12	3	15	12	19	6	19	4	8	8	6	9	7	16	4	5	0	9					
		2.12%	0.77%	2.84%	0.47%	3.46%	2.76%	2.19%	2.69%	2.62%	2.74%	1.45%	1.42%	1.68%	3.01%	1.51%	1.93%	1.57%	1.75%	1.49%	2.30%	1.87%	1.68%	2.19%	2.28%	1.76%	0.0%	1.36%					
37	"20. ""Политическая партия ""Единая Россия"""	5661	39	382	49	470	148	261	144	337	191	96	335	121	303	254	547	151	127	230	123	178	233	306	57	148	109	322					
		40.10%	30.23%	35.11%	23.33%	34.60%	31.48%	35.85%	43.11%	44.28%	43.70%	46.60%	31.78%	17.01%	48.09%	64.30%	55.70%	59.44%	27.78%	43.07%	47.30%	37.00%	56.14%	41.91%	32.57%	52.29%	29.14%	48.93%					
38	"21. ""Российская Конституционно-демократическая партия"""	34	0	4	0	3	0	2	0	4	1	1	1	4	0	2	2	0	0	2	1	2	1	1	0	0	1	2					
		0.24%	0.0%	0.36%	0.0%	0.22%	0.0%	0.27%	0.0%	0.52%	0.22%	0.48%	0.09%	0.56%	0.0%	0.50%	0.20%	0.0%	0.0%	0.37%	0.38%	0.41%	0.24%	0.13%	0.0%	0.0%	0.26%	0.30%					
39	"22. ""Развитие предпринимательства"""	25	0	6	1	3	2	2	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	5	0	2	0	0					
		0.17%	0.0%	0.55%	0.47%	0.22%	0.42%	0.27%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.68%	0.0%	0.70%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1603	4	91	34	124	36	77	19	62	59	19	135	186	79	38	73	25	57	63	28	32	58	172	18	21	43	50					
		11.35%	3.10%	8.36%	16.19%	9.13%	7.65%	10.57%	5.68%	8.14%	13.50%	9.22%	12.80%	26.16%	12.53%	9.62%	7.43%	9.84%	12.47%	11.79%	10.76%	6.65%	13.97%	23.56%	10.28%	7.42%	11.49%	7.59%					
																																	
41	Против всех	580	6	77	10	78	18	33	14	32	14	7	66	25	10	1	32	3	14	17	13	24	13	25	4	14	10	20					
		4.10%	4.65%	7.07%	4.76%	5.74%	3.82%	4.53%	4.19%	4.20%	3.20%	3.39%	6.26%	3.51%	1.58%	0.25%	3.25%	1.18%	3.06%	3.18%	5.0%	4.98%	3.13%	3.42%	2.28%	4.94%	2.67%	3.03%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
