Выборы Президента Российской Федерации																																																																		
																																																																		
"Наименование Избирательной комиссии:    Тамбов, Октябрьская"																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917					
		4.73%	4.36%	1.79%	3.56%	6.55%	5.31%	7.06%	3.51%	5.65%	4.76%	3.73%	5.37%	4.01%	4.70%	5.02%	2.84%	4.60%	2.91%	3.54%	5.20%	5.84%	4.11%	6.16%	5.87%	4.87%	5.43%	4.44%	5.60%	5.20%	5.71%	2.72%	3.50%	3.72%	4.26%	3.97%	5.08%	4.89%	4.36%	5.81%	6.51%	4.79%	4.20%	4.09%	5.06%	5.26%	5.21%	3.78%	3.37%	4.09%	4.55%	1.80%	2.53%	4.78%	3.45%	4.83%	6.03%	5.40%	5.16%	4.87%	5.22%					
19	. Малышкин Олег Александрович	1209	24	5	4	3	3	18	33	20	33	25	21	24	22	24	5	17	19	22	45	12	16	10	17	22	24	16	18	9	15	48	21	37	15	25	7	21	25	25	18	22	21	33	31	28	32	14	29	17	20	1	1	28	19	13	27	22	31	30	22					
		1.54%	1.45%	1.49%	1.10%	0.58%	2.65%	1.30%	1.68%	1.28%	1.87%	1.86%	1.50%	1.48%	1.46%	1.49%	1.09%	0.99%	1.46%	1.99%	2.49%	0.89%	1.57%	1.03%	1.11%	1.43%	1.37%	1.02%	1.44%	0.64%	1.06%	4.49%	1.17%	2.06%	1.18%	2.20%	0.66%	1.51%	1.63%	1.41%	1.14%	1.85%	1.36%	2.02%	1.94%	1.65%	2.06%	1.10%	1.91%	1.36%	1.75%	0.90%	0.63%	2.00%	1.31%	0.82%	1.70%	1.37%	1.72%	1.60%	2.44%					
20	. Миронов Сергей Михайлович	525	11	10	3	2	1	8	6	11	9	12	9	6	6	13	3	8	9	7	6	6	9	11	10	11	19	10	8	17	12	10	9	12	8	8	8	8	11	22	8	6	7	6	12	7	15	9	9	9	12	0	1	6	6	11	11	11	15	9	6					
		0.67%	0.67%	2.99%	0.82%	0.39%	0.88%	0.58%	0.31%	0.71%	0.51%	0.89%	0.64%	0.37%	0.40%	0.81%	0.66%	0.47%	0.69%	0.63%	0.33%	0.44%	0.88%	1.13%	0.65%	0.71%	1.09%	0.63%	0.64%	1.21%	0.85%	0.94%	0.50%	0.67%	0.63%	0.71%	0.75%	0.58%	0.72%	1.24%	0.51%	0.50%	0.45%	0.37%	0.75%	0.41%	0.96%	0.71%	0.59%	0.72%	1.05%	0.00%	0.63%	0.43%	0.41%	0.69%	0.69%	0.68%	0.83%	0.48%	0.67%					
21	. Путин Владимир Владимирович	48347	995	238	242	345	65	836	1429	920	1003	927	823	1054	936	941	318	1026	859	738	1103	817	671	572	889	906	940	963	747	848	828	692	1127	1129	752	680	629	842	905	1051	970	715	937	986	918	1053	968	858	981	748	673	79	86	906	949	907	972	989	1163	1189	514					
		61.47%	60.30%	71.04%	66.30%	66.47%	57.52%	60.19%	72.69%	59.05%	56.89%	69.13%	58.95%	64.98%	61.90%	58.37%	69.58%	59.72%	65.82%	66.91%	61.07%	60.43%	65.66%	58.73%	57.95%	58.83%	53.78%	61.14%	59.76%	60.40%	58.35%	64.79%	62.58%	62.72%	59.26%	59.96%	59.23%	60.58%	58.88%	59.28%	61.31%	60.08%	60.57%	60.23%	57.34%	62.20%	62.25%	67.56%	64.75%	59.98%	58.83%	71.17%	54.43%	64.67%	65.49%	56.90%	61.06%	61.39%	64.47%	63.58%	57.05%					
22	. Хакамада Ирина Муцуовна	2921	67	2	9	14	2	53	57	57	72	53	48	42	43	71	16	82	43	21	47	58	24	46	89	56	73	62	48	56	70	38	57	78	40	31	40	47	59	69	84	35	43	46	68	70	51	54	46	41	25	5	5	111	59	47	48	72	58	78	35					
		3.71%	4.06%	0.60%	2.47%	2.70%	1.77%	3.82%	2.90%	3.66%	4.08%	3.95%	3.44%	2.59%	2.84%	4.40%	3.50%	4.77%	3.30%	1.90%	2.60%	4.29%	2.35%	4.72%	5.80%	3.64%	4.18%	3.94%	3.84%	3.99%	4.93%	3.56%	3.16%	4.33%	3.15%	2.73%	3.77%	3.38%	3.84%	3.89%	5.31%	2.94%	2.78%	2.81%	4.25%	4.13%	3.28%	4.25%	3.04%	3.29%	2.19%	4.50%	3.16%	7.92%	4.07%	2.95%	3.02%	4.47%	3.22%	4.17%	3.88%					
23	. Харитонов Николай Михайлович	17252	385	50	79	82	16	305	273	405	450	179	353	334	347	371	65	402	279	219	378	318	212	217	374	385	470	358	269	335	319	142	440	382	341	285	256	325	381	379	315	287	363	393	418	333	306	221	307	309	294	12	52	185	290	457	353	321	320	337	219					
		21.93%	23.33%	14.93%	21.64%	15.80%	14.16%	21.96%	13.89%	25.99%	25.52%	13.35%	25.29%	20.59%	22.95%	23.01%	14.22%	23.40%	21.38%	19.85%	20.93%	23.52%	20.74%	22.28%	24.38%	25.00%	26.89%	22.73%	21.52%	23.86%	22.48%	13.30%	24.43%	21.22%	26.87%	25.13%	24.11%	23.38%	24.79%	21.38%	19.91%	24.12%	23.46%	24.01%	26.11%	19.67%	19.68%	17.40%	20.26%	24.78%	25.70%	10.81%	32.91%	13.20%	20.01%	28.67%	22.17%	19.93%	17.74%	18.02%	24.31%					
																																																																		
24	Против всех	4099	83	23	12	35	18	61	92	53	102	88	55	74	70	96	34	91	51	39	113	58	39	53	65	76	118	81	82	61	79	87	73	75	50	52	60	67	78	121	77	54	104	92	65	97	86	60	85	61	62	11	6	86	67	69	76	92	114	123	47					
		5.21%	5.03%	6.87%	3.29%	6.74%	15.93%	4.39%	4.68%	3.40%	5.79%	6.56%	3.94%	4.56%	4.63%	5.96%	7.44%	5.30%	3.91%	3.54%	6.26%	4.29%	3.82%	5.44%	4.24%	4.94%	6.75%	5.14%	6.56%	4.34%	5.57%	8.15%	4.05%	4.17%	3.94%	4.59%	5.65%	4.82%	5.07%	6.82%	4.87%	4.54%	6.72%	5.62%	4.06%	5.73%	5.53%	4.72%	5.61%	4.89%	5.42%	9.91%	3.80%	6.14%	4.62%	4.33%	4.77%	5.71%	6.32%	6.58%	5.22%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
