Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																											
Дата голосования: 18.09.2016																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Новомосковский административный округ																																																																																											
																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																											
																																																																																											
		Сумма	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3366	УИК №3367	УИК №3368	УИК №3369	УИК №3415	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2108	16	5	25	40	35	25	45	31	31	51	15	36	15	25	20	27	23	16	15	10	11	13	30	35	30	31	40	14	12	38	40	14	30	23	24	32	13	10	21	30	10	20	31	20	23	40	39	25	34	30	35	20	28	17	27	30	3	30	26	30	30	35	35	25	16	31	15	37	22	22	32	40	45	35	40	40	18	35	21	19									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1167	11	0	7	25	13	13	14	12	16	34	3	24	6	14	7	20	15	5	5	4	7	10	13	25	7	19	19	8	4	32	18	7	8	21	15	25	7	10	4	6	10	12	23	17	18	19	36	11	21	11	20	14	9	17	22	24	0	8	18	23	16	23	24	11	11	13	6	12	19	15	14	28	25	12	22	20	3	30	5	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	4536	27	8	7	61	131	72	117	14	37	6	172	151	15	25	18	19	55	51	43	31	20	17	106	120	31	120	25	9	29	64	51	31	69	96	59	304	54	207	7	13	24	8	9	12	47	77	47	51	72	121	118	101	93	9	26	23	0	33	54	28	62	51	112	10	65	48	81	53	57	5	5	39	43	24	97	58	70	136	72	3									
14	Число погашенных неиспользованных открепительных удостоверений	941	5	5	18	15	22	12	31	19	15	17	12	12	9	11	13	7	8	11	10	6	4	3	17	10	23	12	21	6	8	6	22	7	22	2	9	7	6	0	17	24	0	8	8	3	5	21	3	14	13	19	15	6	19	0	5	6	3	22	8	7	14	12	11	14	5	18	9	25	3	7	18	12	20	23	18	20	15	5	16	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	79	0	0	1	1	3	0	4	0	2	1	1	3	0	0	0	2	1	0	0	0	0	0	2	4	1	0	1	0	2	5	3	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	2	0	2	0	1	2	2	5	0	0	1	0	0	2	1	0	0	0	0	1	0	1	0	4	1	3	0	3	1	2	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1680	25	1	25	33	26	26	23	29	30	31	14	38	8	30	17	15	24	11	12	4	2	5	19	16	17	30	21	14	12	38	27	15	20	18	26	24	7	16	20	18	13	9	22	21	22	34	26	17	17	27	34	23	20	11	20	10	3	22	28	11	17	40	25	19	19	26	11	28	26	22	33	25	31	33	31	34	17	34	18	14									
		2.78%	4.07%	0.66%	4.08%	3.65%	2.54%	3.63%	2.60%	2.78%	3.21%	2.41%	2.33%	4.25%	2.37%	4.04%	3.12%	1.99%	2.95%	1.97%	2.14%	1.50%	0.55%	1.19%	1.96%	1.68%	2.02%	2.71%	2.06%	3.05%	3.02%	3.01%	3.06%	2.87%	2.83%	2.58%	3.63%	2.66%	1.56%	2.19%	1.40%	2.22%	3.32%	1.58%	2.36%	3.57%	2.65%	2.96%	2.18%	2.88%	2.10%	2.82%	3.13%	3.42%	2.99%	1.71%	2.85%	1.26%	0.95%	2.67%	4.45%	2.17%	1.99%	4.25%	2.19%	3.13%	4.07%	3.20%	2.41%	3.10%	4.00%	2.45%	3.45%	3.05%	3.25%	3.65%	3.08%	3.20%	3.78%	3.71%	3.46%	3.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1247	15	3	5	15	23	17	21	27	22	25	20	12	9	13	14	16	16	11	12	5	5	7	14	28	16	18	24	8	10	19	10	15	16	17	19	28	8	15	22	21	7	11	21	12	24	16	36	14	20	14	16	11	7	16	8	18	2	11	10	8	36	24	18	20	13	27	12	18	13	16	16	14	19	18	15	18	12	20	9	6									
		2.06%	2.44%	1.97%	0.82%	1.66%	2.25%	2.37%	2.37%	2.58%	2.35%	1.94%	3.33%	1.34%	2.67%	1.75%	2.57%	2.13%	1.97%	1.97%	2.14%	1.88%	1.38%	1.66%	1.45%	2.94%	1.90%	1.63%	2.36%	1.74%	2.51%	1.51%	1.14%	2.87%	2.26%	2.43%	2.65%	3.10%	1.78%	2.06%	1.54%	2.59%	1.79%	1.93%	2.25%	2.04%	2.89%	1.39%	3.02%	2.37%	2.47%	1.46%	1.47%	1.64%	1.04%	2.49%	1.14%	2.27%	0.63%	1.33%	1.59%	1.57%	4.22%	2.55%	1.58%	3.29%	2.78%	3.32%	2.63%	1.99%	2.00%	1.78%	1.67%	1.71%	1.99%	1.99%	1.49%	1.69%	2.67%	2.18%	1.73%	1.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1541	15	5	21	18	32	21	25	39	31	19	13	19	5	29	24	23	31	13	16	1	8	13	21	21	22	26	26	17	13	22	16	10	21	21	20	12	8	5	9	28	13	10	27	18	24	22	39	13	22	22	11	20	10	25	16	27	0	27	22	17	20	37	44	19	11	24	13	26	12	27	26	19	29	23	25	17	7	16	15	7									
		2.55%	2.44%	3.29%	3.43%	1.99%	3.13%	2.93%	2.82%	3.73%	3.31%	1.48%	2.17%	2.13%	1.48%	3.90%	4.40%	3.06%	3.81%	2.33%	2.85%	0.38%	2.21%	3.09%	2.17%	2.21%	2.61%	2.35%	2.55%	3.70%	3.27%	1.74%	1.82%	1.91%	2.97%	3.00%	2.79%	1.33%	1.78%	0.69%	0.63%	3.46%	3.32%	1.76%	2.89%	3.06%	2.89%	1.92%	3.27%	2.20%	2.71%	2.29%	1.01%	2.98%	1.49%	3.89%	2.28%	3.41%	0.00%	3.27%	3.50%	3.35%	2.34%	3.93%	3.86%	3.13%	2.36%	2.95%	2.84%	2.88%	1.85%	3.01%	2.72%	2.31%	3.04%	2.55%	2.48%	1.60%	1.56%	1.75%	2.88%	1.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27955	269	69	270	416	498	335	377	512	404	702	290	405	172	333	264	348	364	308	288	139	236	242	441	461	406	511	484	194	185	530	383	268	282	262	307	354	228	380	1042	406	182	264	444	298	373	529	575	285	352	417	497	315	307	299	372	399	285	315	270	220	344	356	471	264	185	324	224	386	270	420	396	356	400	365	499	433	210	348	198	143									
		46.27%	43.81%	45.39%	44.05%	45.97%	48.73%	46.72%	42.60%	48.99%	43.16%	54.50%	48.33%	45.30%	51.04%	44.82%	48.44%	46.28%	44.77%	55.30%	51.34%	52.26%	65.19%	57.48%	45.56%	48.48%	48.16%	46.16%	47.54%	42.27%	46.48%	41.99%	43.47%	51.24%	39.89%	37.48%	42.88%	39.20%	50.78%	52.13%	73.12%	50.12%	46.43%	46.40%	47.54%	50.59%	44.94%	46.08%	48.20%	48.31%	43.40%	43.48%	45.72%	46.88%	45.82%	46.57%	53.07%	50.38%	90.19%	38.18%	42.93%	43.31%	40.28%	37.79%	41.35%	43.42%	39.61%	39.85%	49.02%	42.75%	41.54%	46.82%	41.38%	43.36%	41.88%	40.42%	49.50%	40.70%	46.67%	37.99%	38.08%	39.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	917	16	1	16	21	13	13	9	10	17	15	6	14	3	7	6	13	7	3	3	2	0	2	14	12	7	14	13	6	7	17	19	11	8	14	17	10	8	11	9	10	3	10	12	7	18	12	13	6	15	15	19	3	14	10	6	9	1	11	5	14	6	19	20	11	10	12	5	23	11	7	18	18	24	23	19	24	15	20	16	9									
		1.52%	2.61%	0.66%	2.61%	2.32%	1.27%	1.81%	1.02%	0.96%	1.82%	1.16%	1.00%	1.57%	0.89%	0.94%	1.10%	1.73%	0.86%	0.54%	0.53%	0.75%	0.00%	0.48%	1.45%	1.26%	0.83%	1.26%	1.28%	1.31%	1.76%	1.35%	2.16%	2.10%	1.13%	2.00%	2.37%	1.11%	1.78%	1.51%	0.63%	1.23%	0.77%	1.76%	1.28%	1.19%	2.17%	1.05%	1.09%	1.02%	1.85%	1.56%	1.75%	0.45%	2.09%	1.56%	0.86%	1.14%	0.32%	1.33%	0.79%	2.76%	0.70%	2.02%	1.76%	1.81%	2.14%	1.48%	1.09%	2.55%	1.69%	0.78%	1.88%	2.19%	2.51%	2.55%	1.88%	2.26%	3.33%	2.18%	3.08%	2.47%									
24	"6. Политическая партия ""Гражданская Платформа"""	197	2	1	2	5	2	1	5	1	2	6	1	2	1	1	0	2	6	0	2	1	2	1	0	1	2	1	6	0	2	4	3	0	2	2	1	2	1	2	5	2	2	2	3	2	2	8	2	1	1	2	9	3	4	1	1	1	2	3	2	4	0	2	3	1	2	2	0	8	1	2	6	3	3	5	5	2	3	8	3	1									
		0.33%	0.33%	0.66%	0.33%	0.55%	0.20%	0.14%	0.56%	0.10%	0.21%	0.47%	0.17%	0.22%	0.30%	0.13%	0.00%	0.27%	0.74%	0.00%	0.36%	0.38%	0.55%	0.24%	0.00%	0.11%	0.24%	0.09%	0.59%	0.00%	0.50%	0.32%	0.34%	0.00%	0.28%	0.29%	0.14%	0.22%	0.22%	0.27%	0.35%	0.25%	0.51%	0.35%	0.32%	0.34%	0.24%	0.70%	0.17%	0.17%	0.12%	0.21%	0.83%	0.45%	0.60%	0.16%	0.14%	0.13%	0.63%	0.36%	0.32%	0.79%	0.00%	0.21%	0.26%	0.16%	0.43%	0.25%	0.00%	0.89%	0.15%	0.22%	0.63%	0.37%	0.31%	0.55%	0.50%	0.19%	0.67%	0.87%	0.58%	0.27%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9412	74	31	80	124	180	108	119	108	139	201	105	155	48	103	89	115	142	81	91	44	59	48	169	156	118	160	124	71	53	141	132	79	107	105	103	240	86	173	186	125	66	105	159	89	98	167	178	89	132	158	149	90	91	114	93	137	11	190	100	82	162	177	194	88	80	136	95	113	110	171	148	89	153	125	173	168	67	161	65	67									
		15.58%	12.05%	20.39%	13.05%	13.70%	17.61%	15.06%	13.45%	10.33%	14.85%	15.61%	17.50%	17.34%	14.24%	13.86%	16.33%	15.29%	17.47%	14.54%	16.22%	16.54%	16.30%	11.40%	17.46%	16.40%	13.99%	14.45%	12.18%	15.47%	13.32%	11.17%	14.98%	15.11%	15.13%	15.02%	14.39%	26.58%	19.15%	23.73%	13.05%	15.43%	16.84%	18.45%	17.02%	15.11%	11.81%	14.55%	14.92%	15.08%	16.28%	16.48%	13.71%	13.39%	13.58%	17.76%	13.27%	17.30%	3.48%	23.03%	15.90%	16.14%	18.97%	18.79%	17.03%	14.47%	17.13%	16.73%	20.79%	12.51%	16.92%	19.06%	15.46%	10.84%	16.02%	13.84%	17.16%	15.79%	14.89%	17.58%	12.50%	18.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1097	16	3	20	28	19	15	17	16	21	15	5	18	3	11	7	6	16	5	8	3	5	9	15	7	11	11	16	3	5	51	20	8	18	7	10	15	4	0	9	4	5	6	6	1	12	27	21	14	19	26	27	16	20	9	15	8	2	13	19	9	19	12	25	9	7	12	7	14	11	9	19	39	26	27	14	19	5	42	17	9									
		1.82%	2.61%	1.97%	3.26%	3.09%	1.86%	2.09%	1.92%	1.53%	2.24%	1.16%	0.83%	2.01%	0.89%	1.48%	1.28%	0.80%	1.97%	0.90%	1.43%	1.13%	1.38%	2.14%	1.55%	0.74%	1.30%	0.99%	1.57%	0.65%	1.26%	4.04%	2.27%	1.53%	2.55%	1.00%	1.40%	1.66%	0.89%	0.00%	0.63%	0.49%	1.28%	1.05%	0.64%	0.17%	1.45%	2.35%	1.76%	2.37%	2.34%	2.71%	2.48%	2.38%	2.99%	1.40%	2.14%	1.01%	0.63%	1.58%	3.02%	1.77%	2.22%	1.27%	2.19%	1.48%	1.50%	1.48%	1.53%	1.55%	1.69%	1.00%	1.99%	4.75%	2.72%	2.99%	1.39%	1.79%	1.11%	4.59%	3.27%	2.47%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1899	18	5	41	32	20	10	48	30	29	33	9	39	13	8	2	20	26	3	8	10	6	10	32	12	14	35	20	8	7	78	44	16	15	24	24	21	10	10	9	19	12	15	15	14	21	47	18	15	34	40	57	20	41	20	24	24	1	22	23	8	27	20	35	18	22	32	6	44	28	16	35	39	41	50	36	55	15	47	28	16									
		3.14%	2.93%	3.29%	6.69%	3.54%	1.96%	1.39%	5.42%	2.87%	3.10%	2.56%	1.50%	4.36%	3.86%	1.08%	0.37%	2.66%	3.20%	0.54%	1.43%	3.76%	1.66%	2.38%	3.31%	1.26%	1.66%	3.16%	1.96%	1.74%	1.76%	6.18%	4.99%	3.06%	2.12%	3.43%	3.35%	2.33%	2.23%	1.37%	0.63%	2.35%	3.06%	2.64%	1.61%	2.38%	2.53%	4.09%	1.51%	2.54%	4.19%	4.17%	5.24%	2.98%	6.12%	3.12%	3.42%	3.03%	0.32%	2.67%	3.66%	1.57%	3.16%	2.12%	3.07%	2.96%	4.71%	3.94%	1.31%	4.87%	4.31%	1.78%	3.66%	4.75%	4.29%	5.54%	3.57%	5.17%	3.33%	5.13%	5.38%	4.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	128	2	0	0	0	3	0	0	4	1	3	3	2	0	1	4	0	0	3	2	0	0	1	4	3	1	2	1	0	1	3	1	0	1	1	2	1	3	2	0	1	1	0	1	2	0	7	4	3	1	1	1	0	2	0	1	3	0	4	0	2	2	2	2	0	1	0	1	3	3	3	4	1	1	4	5	1	1	4	1	0									
		0.21%	0.33%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.38%	0.11%	0.23%	0.50%	0.22%	0.00%	0.13%	0.73%	0.00%	0.00%	0.54%	0.36%	0.00%	0.00%	0.24%	0.41%	0.32%	0.12%	0.18%	0.10%	0.00%	0.25%	0.24%	0.11%	0.00%	0.14%	0.14%	0.28%	0.11%	0.67%	0.27%	0.00%	0.12%	0.26%	0.00%	0.11%	0.34%	0.00%	0.61%	0.34%	0.51%	0.12%	0.10%	0.09%	0.00%	0.30%	0.00%	0.14%	0.38%	0.00%	0.48%	0.00%	0.39%	0.23%	0.21%	0.18%	0.00%	0.21%	0.00%	0.22%	0.33%	0.46%	0.33%	0.42%	0.12%	0.10%	0.44%	0.50%	0.09%	0.22%	0.44%	0.19%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2732	26	4	48	34	42	17	67	27	25	23	24	43	8	38	14	33	22	18	20	12	6	19	43	25	31	67	49	31	10	97	70	18	38	45	32	21	12	10	20	26	13	20	20	18	29	66	32	25	51	36	96	49	59	13	32	24	0	29	27	22	25	43	53	23	26	24	16	52	27	20	38	69	65	80	41	83	29	76	43	23									
		4.52%	4.23%	2.63%	7.83%	3.76%	4.11%	2.37%	7.57%	2.58%	2.67%	1.79%	4.00%	4.81%	2.37%	5.11%	2.57%	4.39%	2.71%	3.23%	3.57%	4.51%	1.66%	4.51%	4.44%	2.63%	3.68%	6.05%	4.81%	6.75%	2.51%	7.69%	7.95%	3.44%	5.37%	6.44%	4.47%	2.33%	2.67%	1.37%	1.40%	3.21%	3.32%	3.51%	2.14%	3.06%	3.49%	5.75%	2.68%	4.24%	6.29%	3.75%	8.83%	7.29%	8.81%	2.02%	4.56%	3.03%	0.00%	3.52%	4.29%	4.33%	2.93%	4.56%	4.65%	3.78%	5.57%	2.95%	3.50%	5.76%	4.15%	2.23%	3.97%	8.40%	6.81%	8.86%	4.07%	7.80%	6.44%	8.30%	8.27%	6.32%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7675	98	18	60	110	113	104	129	169	147	153	75	94	39	118	66	113	107	70	62	28	18	40	138	146	131	156	152	83	66	193	97	57	135	132	108	122	44	50	38	82	46	69	114	70	146	135	160	66	86	114	95	81	72	93	74	105	4	118	71	74	137	127	175	91	52	140	48	136	71	144	141	94	111	100	88	142	38	81	65	40									
		12.70%	15.96%	11.84%	9.79%	12.15%	11.06%	14.50%	14.58%	16.17%	15.71%	11.88%	12.50%	10.51%	11.57%	15.88%	12.11%	15.03%	13.16%	12.57%	11.05%	10.53%	4.97%	9.50%	14.26%	15.35%	15.54%	14.09%	14.93%	18.08%	16.58%	15.29%	11.01%	10.90%	19.09%	18.88%	15.08%	13.51%	9.80%	6.86%	2.67%	10.12%	11.73%	12.13%	12.21%	11.88%	17.59%	11.76%	13.41%	11.19%	10.60%	11.89%	8.74%	12.05%	10.75%	14.49%	10.56%	13.26%	1.27%	14.30%	11.29%	14.57%	16.04%	13.48%	15.36%	14.97%	11.13%	17.22%	10.50%	15.06%	10.92%	16.05%	14.73%	11.45%	11.62%	11.07%	8.73%	13.35%	8.44%	8.84%	12.50%	10.99%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	301	2	1	3	11	3	3	4	11	4	4	1	6	0	3	1	6	0	1	3	4	1	1	4	5	4	9	6	0	1	5	4	1	3	3	4	11	6	17	2	3	1	5	7	2	6	4	5	2	4	2	3	0	4	2	0	0	0	5	5	2	3	4	5	2	1	3	2	1	5	3	6	4	6	6	7	11	3	2	7	0									
		0.50%	0.33%	0.66%	0.49%	1.22%	0.29%	0.42%	0.45%	1.05%	0.43%	0.31%	0.17%	0.67%	0.00%	0.40%	0.18%	0.80%	0.00%	0.18%	0.53%	1.50%	0.28%	0.24%	0.41%	0.53%	0.47%	0.81%	0.59%	0.00%	0.25%	0.40%	0.45%	0.19%	0.42%	0.43%	0.56%	1.22%	1.34%	2.33%	0.14%	0.37%	0.26%	0.88%	0.75%	0.34%	0.72%	0.35%	0.42%	0.34%	0.49%	0.21%	0.28%	0.00%	0.60%	0.31%	0.00%	0.00%	0.00%	0.61%	0.79%	0.39%	0.35%	0.42%	0.44%	0.33%	0.21%	0.37%	0.44%	0.11%	0.77%	0.33%	0.63%	0.49%	0.63%	0.66%	0.69%	1.03%	0.67%	0.22%	1.35%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2453	29	6	15	42	34	26	41	37	39	31	16	40	20	41	20	22	30	13	20	12	7	11	28	28	37	51	37	12	18	39	50	11	26	28	29	25	11	13	21	40	18	35	58	22	41	56	62	28	38	73	51	28	18	18	20	19	1	41	33	29	44	53	41	32	29	41	12	30	47	29	55	37	29	34	34	40	20	46	27	28									
		4.06%	4.72%	3.95%	2.45%	4.64%	3.33%	3.63%	4.63%	3.54%	4.17%	2.41%	2.67%	4.47%	5.93%	5.52%	3.67%	2.93%	3.69%	2.33%	3.57%	4.51%	1.93%	2.61%	2.89%	2.94%	4.39%	4.61%	3.63%	2.61%	4.52%	3.09%	5.68%	2.10%	3.68%	4.01%	4.05%	2.77%	2.45%	1.78%	1.47%	4.94%	4.59%	6.15%	6.21%	3.74%	4.94%	4.88%	5.20%	4.75%	4.69%	7.61%	4.69%	4.17%	2.69%	2.80%	2.85%	2.40%	0.32%	4.97%	5.25%	5.71%	5.15%	5.63%	3.60%	5.26%	6.21%	5.04%	2.63%	3.32%	7.23%	3.23%	5.75%	4.51%	3.04%	3.77%	3.37%	3.76%	4.44%	5.02%	5.19%	7.69%									
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
