Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Варнавинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	1	2	0	0	0	0	0	0	0	1	0	0	0	0									
		0.06%	0.09%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	2	6	0	0	1	0	4	0	0	0	0	0	0	0									
		0.20%	0.19%	0.47%	0.00%	0.00%	0.37%	0.00%	2.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	1	0	0	0	0	1	0	0	0	0	0	0	2									
		0.06%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	3	2	0	0	1	0	0	1	1	1	1	1	0	1									
		0.18%	0.28%	0.16%	0.00%	0.00%	0.37%	0.00%	0.00%	0.41%	0.30%	0.16%	0.21%	0.50%	0.00%	0.09%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	521	96	92	5	7	46	60	17	13	10	41	36	19	13	66									
		7.90%	8.88%	7.25%	2.78%	4.70%	16.85%	25.00%	12.32%	5.37%	2.97%	6.45%	7.59%	9.45%	5.91%	5.70%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	4	0	0	1	0	2	1	0	0	2	3	0	0	2									
		0.23%	0.37%	0.00%	0.00%	0.67%	0.00%	0.83%	0.72%	0.00%	0.00%	0.31%	0.63%	0.00%	0.00%	0.17%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	90	6	23	0	2	9	8	4	4	2	8	9	3	0	12									
		1.36%	0.56%	1.81%	0.00%	1.34%	3.30%	3.33%	2.90%	1.65%	0.59%	1.26%	1.90%	1.49%	0.00%	1.04%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
