Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																					
Дата голосования: 02.12.2007																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Омск, Советская"																																																																																																					
																																																																																																					
Сводная таблица результатов выборов																																																																																																					
																																																																																																					
		Сумма	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3256	17	30	35	44	45	24	33	40	28	36	26	20	1	30	26	28	27	34	28	30	30	38	29	35	35	34	30	34	26	29	41	35	44	32	37	36	35	35	35	37	35	33	29	30	34	60	40	29	30	45	39	123	53	22	29	29	29	61	37	35	27	68	33	30	52	31	29	38	44	34	29	31	29	30	34	26	30	34	25	60	26	24	17	25	19	122	104	35	40	39	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2518	28	17	30	23	17	27	9	36	34	24	11	10	9	27	20	19	23	24	37	21	37	22	10	17	16	30	26	13	21	18	14	26	32	18	29	34	52	23	15	67	22	10	248	25	12	26	67	21	24	12	30	57	27	17	23	14	20	50	13	12	30	29	11	23	16	16	10	15	30	19	13	29	17	19	14	21	20	30	20	5	62	14	8	28	11	52	21	29	60	39	40	18	24	29					
14	Число погашенных неиспользованных открепительных удостоверений	290	13	0	0	6	0	6	3	0	2	2	4	10	4	0	4	2	3	0	2	0	0	2	1	0	0	1	0	1	4	1	9	0	6	6	3	2	1	0	10	0	0	0	1	0	1	0	0	1	0	0	11	0	7	8	1	1	1	0	0	2	1	2	0	0	8	0	1	4	1	1	1	0	0	0	1	4	0	26	35	0	34	6	3	5	11	0	1	0	0	3	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	2	1	0	1	0	0	0	1	3	0	1	4	0	1	3	0	0	0	0	0	0	0	1	0	3	1	2	1	0	1	0	0	0	1	0	0	1	1	1	1	0	2	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																					
18	1.Политическая партия «Аграрная партия России»	3095	15	28	37	37	26	36	27	36	25	18	20	30	0	36	26	19	47	44	42	35	39	36	32	41	33	28	39	32	52	37	39	29	26	43	32	43	53	36	30	44	41	30	53	38	41	19	18	25	36	22	37	42	47	33	22	28	35	47	40	45	31	41	36	34	26	53	29	26	28	39	26	32	10	41	37	37	32	27	17	41	29	27	22	27	51	52	57	40	66	38	8	1	1	6					
		2.74%	1.94%	2.15%	2.85%	2.57%	2.21%	3.14%	2.40%	2.62%	2.39%	1.74%	1.41%	1.94%	0.00%	3.15%	2.60%	1.75%	3.80%	3.39%	3.30%	2.99%	2.92%	2.49%	2.44%	3.05%	2.53%	2.11%	2.85%	2.41%	4.08%	2.78%	2.83%	2.29%	2.01%	2.82%	2.04%	3.60%	3.73%	2.76%	2.80%	3.49%	3.01%	2.23%	3.49%	2.73%	2.98%	1.52%	1.47%	1.93%	2.71%	1.66%	2.42%	2.83%	2.76%	3.22%	2.14%	2.53%	3.02%	2.68%	3.06%	3.10%	2.69%	3.03%	2.77%	2.37%	2.40%	3.92%	2.18%	2.08%	2.02%	3.12%	2.63%	2.59%	1.37%	3.07%	3.02%	2.80%	2.34%	2.09%	1.89%	2.80%	2.79%	3.55%	2.81%	3.32%	4.66%	4.34%	6.01%	3.02%	4.04%	3.26%	4.60%	0.78%	0.92%	3.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1620	3	12	19	35	23	19	21	12	18	15	6	7	3	19	9	10	20	20	18	13	16	26	25	26	18	20	20	17	7	8	13	27	18	32	28	19	12	15	12	18	32	21	14	27	30	17	10	13	15	15	19	33	29	11	15	10	18	25	13	16	15	24	24	18	23	17	25	22	34	16	12	13	9	14	15	12	15	25	16	27	19	11	2	23	18	16	14	21	26	26	1	1	0	4					
		1.44%	0.39%	0.92%	1.46%	2.43%	1.95%	1.66%	1.86%	0.87%	1.72%	1.45%	0.42%	0.45%	1.53%	1.66%	0.90%	0.92%	1.62%	1.54%	1.41%	1.11%	1.20%	1.80%	1.90%	1.93%	1.38%	1.50%	1.46%	1.28%	0.55%	0.60%	0.94%	2.13%	1.39%	2.10%	1.79%	1.59%	0.85%	1.15%	1.12%	1.43%	2.35%	1.56%	0.92%	1.94%	2.18%	1.36%	0.81%	1.00%	1.13%	1.13%	1.24%	2.23%	1.70%	1.07%	1.46%	0.90%	1.55%	1.43%	0.99%	1.10%	1.30%	1.77%	1.85%	1.26%	2.12%	1.26%	1.88%	1.76%	2.45%	1.28%	1.21%	1.05%	1.23%	1.05%	1.22%	0.91%	1.09%	1.94%	1.78%	1.84%	1.83%	1.45%	0.26%	2.83%	1.64%	1.34%	1.48%	1.59%	1.59%	2.23%	0.57%	0.78%	0.00%	2.00%					
20	3.Политическая партия «Демократическая партия России»	229	2	5	4	0	5	5	3	3	2	2	3	2	1	2	3	1	3	3	4	1	0	5	3	3	1	3	2	3	4	6	3	2	1	6	5	4	3	0	2	2	3	1	0	4	2	2	3	0	1	1	4	6	9	3	1	4	2	5	1	2	1	2	0	4	0	3	2	2	1	2	2	3	1	1	1	2	1	3	1	4	1	2	2	1	3	3	2	2	3	5	1	0	1	1					
		0.20%	0.26%	0.38%	0.31%	0.00%	0.42%	0.44%	0.27%	0.22%	0.19%	0.19%	0.21%	0.13%	0.51%	0.17%	0.30%	0.09%	0.24%	0.23%	0.31%	0.09%	0.00%	0.35%	0.23%	0.22%	0.08%	0.23%	0.15%	0.23%	0.31%	0.45%	0.22%	0.16%	0.08%	0.39%	0.32%	0.34%	0.21%	0.00%	0.19%	0.16%	0.22%	0.07%	0.00%	0.29%	0.15%	0.16%	0.24%	0.00%	0.08%	0.08%	0.26%	0.40%	0.53%	0.29%	0.10%	0.36%	0.17%	0.29%	0.08%	0.14%	0.09%	0.15%	0.00%	0.28%	0.00%	0.22%	0.15%	0.16%	0.07%	0.16%	0.20%	0.24%	0.14%	0.07%	0.08%	0.15%	0.07%	0.23%	0.11%	0.27%	0.10%	0.26%	0.26%	0.12%	0.27%	0.25%	0.21%	0.15%	0.18%	0.43%	0.57%	0.00%	0.92%	0.50%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	18677	88	201	216	213	130	178	223	224	160	131	206	204	35	205	190	164	219	169	226	166	205	226	229	190	200	240	262	264	231	242	214	172	197	245	226	182	249	214	179	219	301	248	205	194	219	193	194	266	206	212	161	236	324	194	237	252	224	216	222	224	195	211	192	211	175	253	248	181	233	213	143	223	133	216	214	224	232	167	153	228	175	165	122	133	300	155	153	267	392	215	54	5	7	27					
		16.55%	11.35%	15.43%	16.63%	14.77%	11.05%	15.51%	19.79%	16.31%	15.30%	12.66%	14.53%	13.19%	17.86%	17.94%	19.02%	15.10%	17.70%	13.03%	17.75%	14.22%	15.36%	15.64%	17.44%	14.14%	15.35%	18.05%	19.14%	19.85%	18.12%	18.15%	15.52%	13.59%	15.21%	16.08%	14.41%	15.24%	17.54%	16.40%	16.68%	17.37%	22.10%	18.44%	13.51%	13.94%	15.94%	15.43%	15.80%	20.49%	15.50%	16.02%	10.54%	15.91%	19.05%	18.91%	23.03%	22.81%	19.34%	12.33%	16.99%	15.43%	16.93%	15.57%	14.79%	14.73%	16.14%	18.71%	18.62%	14.49%	16.81%	17.04%	14.47%	18.06%	18.19%	16.17%	17.44%	16.96%	16.93%	12.96%	17.02%	15.57%	16.86%	21.71%	15.56%	16.34%	27.40%	12.95%	16.12%	20.17%	24.00%	18.47%	31.03%	3.88%	6.42%	13.50%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2398	13	29	24	26	18	34	18	20	25	29	17	23	6	30	20	19	20	38	30	28	13	43	22	32	20	17	27	26	17	39	33	26	38	33	32	31	32	32	21	36	51	36	27	34	27	17	27	19	24	34	19	45	53	23	34	26	30	38	20	34	28	27	33	35	26	18	22	32	21	29	10	27	16	30	26	23	28	31	17	23	29	13	3	17	23	18	10	34	52	33	2	2	0	5					
		2.13%	1.68%	2.23%	1.85%	1.80%	1.53%	2.96%	1.60%	1.46%	2.39%	2.80%	1.20%	1.49%	3.06%	2.62%	2.00%	1.75%	1.62%	2.93%	2.36%	2.40%	0.97%	2.98%	1.68%	2.38%	1.53%	1.28%	1.97%	1.95%	1.33%	2.93%	2.39%	2.05%	2.93%	2.17%	2.04%	2.60%	2.25%	2.45%	1.96%	2.85%	3.74%	2.68%	1.78%	2.44%	1.97%	1.36%	2.20%	1.46%	1.81%	2.57%	1.24%	3.03%	3.12%	2.24%	3.30%	2.35%	2.59%	2.17%	1.53%	2.34%	2.43%	1.99%	2.54%	2.44%	2.40%	1.33%	1.65%	2.56%	1.52%	2.32%	1.01%	2.19%	2.19%	2.25%	2.12%	1.74%	2.04%	2.40%	1.89%	1.57%	2.79%	1.71%	0.38%	2.09%	2.10%	1.50%	1.05%	2.57%	3.18%	2.84%	1.15%	1.55%	0.00%	2.50%					
23	6.Политическая партия «Партия социальной справедливости»	347	1	6	3	4	3	3	3	5	1	2	1	2	0	5	2	6	0	2	3	1	9	1	3	6	5	1	3	4	5	2	5	7	5	6	5	3	4	3	3	4	5	4	5	4	3	4	2	2	4	4	7	6	6	8	3	5	3	8	4	0	1	4	1	10	2	4	5	3	8	2	4	6	1	5	2	4	4	6	6	4	5	2	2	1	6	7	1	7	6	4	0	0	0	0					
		0.31%	0.13%	0.46%	0.23%	0.28%	0.25%	0.26%	0.27%	0.36%	0.10%	0.19%	0.07%	0.13%	0.00%	0.44%	0.20%	0.55%	0.00%	0.15%	0.24%	0.09%	0.67%	0.07%	0.23%	0.45%	0.38%	0.08%	0.22%	0.30%	0.39%	0.15%	0.36%	0.55%	0.39%	0.39%	0.32%	0.25%	0.28%	0.23%	0.28%	0.32%	0.37%	0.30%	0.33%	0.29%	0.22%	0.32%	0.16%	0.15%	0.30%	0.30%	0.46%	0.40%	0.35%	0.78%	0.29%	0.45%	0.26%	0.46%	0.31%	0.00%	0.09%	0.30%	0.08%	0.70%	0.18%	0.30%	0.38%	0.24%	0.58%	0.16%	0.40%	0.49%	0.14%	0.37%	0.16%	0.30%	0.29%	0.47%	0.67%	0.27%	0.48%	0.26%	0.26%	0.12%	0.55%	0.58%	0.11%	0.53%	0.37%	0.34%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	13140	99	178	174	200	155	146	120	191	113	141	125	139	8	124	95	125	152	155	162	136	164	149	173	156	141	172	169	167	136	172	170	154	169	191	217	130	164	168	103	132	126	154	187	186	186	143	146	129	149	136	190	169	186	111	99	106	129	265	155	166	120	161	135	197	126	156	147	145	210	145	129	126	74	160	126	129	157	140	84	218	110	60	86	90	100	202	121	117	149	110	15	9	17	16					
		11.65%	12.77%	13.66%	13.39%	13.87%	13.17%	12.72%	10.65%	13.91%	10.80%	13.62%	8.82%	8.99%	4.08%	10.85%	9.51%	11.51%	12.29%	11.95%	12.73%	11.65%	12.28%	10.31%	13.18%	11.61%	10.82%	12.93%	12.34%	12.56%	10.67%	12.90%	12.33%	12.16%	13.05%	12.53%	13.84%	10.89%	11.55%	12.87%	9.60%	10.47%	9.25%	11.45%	12.33%	13.36%	13.54%	11.43%	11.89%	9.94%	11.21%	10.28%	12.44%	11.40%	10.93%	10.82%	9.62%	9.59%	11.14%	15.13%	11.87%	11.43%	10.42%	11.88%	10.40%	13.76%	11.62%	11.54%	11.04%	11.61%	15.15%	11.60%	13.06%	10.20%	10.12%	11.98%	10.27%	9.77%	11.46%	10.86%	9.34%	14.89%	10.60%	7.89%	10.97%	11.06%	9.13%	16.88%	12.75%	8.84%	9.12%	9.45%	8.62%	6.98%	15.60%	8.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	9378	48	147	122	132	82	135	83	107	101	95	85	135	8	99	88	106	105	106	83	92	109	102	104	121	104	97	85	105	109	97	107	97	120	151	143	107	119	107	77	97	117	132	133	120	119	103	77	111	121	77	104	137	141	76	94	86	97	114	136	126	101	108	113	111	102	111	116	109	99	93	66	108	53	119	107	129	132	124	79	118	110	82	59	58	75	68	55	137	154	88	15	9	4	28					
		8.31%	6.19%	11.28%	9.39%	9.15%	6.97%	11.76%	7.36%	7.79%	9.66%	9.18%	5.99%	8.73%	4.08%	8.66%	8.81%	9.76%	8.49%	8.17%	6.52%	7.88%	8.16%	7.06%	7.92%	9.00%	7.98%	7.29%	6.21%	7.89%	8.55%	7.28%	7.76%	7.66%	9.27%	9.91%	9.12%	8.96%	8.38%	8.20%	7.18%	7.69%	8.59%	9.81%	8.77%	8.62%	8.66%	8.23%	6.27%	8.55%	9.10%	5.82%	6.81%	9.24%	8.29%	7.41%	9.14%	7.78%	8.38%	6.51%	10.41%	8.68%	8.77%	7.97%	8.71%	7.75%	9.41%	8.21%	8.71%	8.73%	7.14%	7.44%	6.68%	8.74%	7.25%	8.91%	8.72%	9.77%	9.64%	9.62%	8.79%	8.06%	10.60%	10.79%	7.53%	7.13%	6.85%	5.68%	5.80%	10.35%	9.43%	7.56%	8.62%	6.98%	3.67%	14.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1243	9	15	17	19	6	20	13	25	10	12	5	8	2	15	7	7	7	9	16	5	15	16	11	12	13	16	20	9	6	11	13	15	12	22	19	12	15	11	6	10	28	21	15	18	13	8	15	7	14	13	19	18	22	16	14	16	12	10	14	28	18	16	18	7	13	12	23	17	28	23	13	10	22	24	16	13	13	9	3	8	14	8	9	7	13	9	9	10	25	13	3	0	2	3					
		1.10%	1.16%	1.15%	1.31%	1.32%	0.51%	1.74%	1.15%	1.82%	0.96%	1.16%	0.35%	0.52%	1.02%	1.31%	0.70%	0.64%	0.57%	0.69%	1.26%	0.43%	1.12%	1.11%	0.84%	0.89%	0.99%	1.20%	1.46%	0.68%	0.47%	0.83%	0.94%	1.18%	0.93%	1.44%	1.21%	1.01%	1.06%	0.84%	0.56%	0.79%	2.06%	1.56%	0.99%	1.29%	0.95%	0.64%	1.22%	0.54%	1.05%	0.98%	1.24%	1.21%	1.29%	1.56%	1.36%	1.45%	1.04%	0.57%	1.07%	1.93%	1.56%	1.18%	1.39%	0.49%	1.20%	0.89%	1.73%	1.36%	2.02%	1.84%	1.32%	0.81%	3.01%	1.80%	1.30%	0.98%	0.95%	0.70%	0.33%	0.55%	1.35%	1.05%	1.15%	0.86%	1.19%	0.75%	0.95%	0.76%	1.53%	1.12%	1.72%	0.00%	1.83%	1.50%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	57992	478	636	627	713	692	525	548	686	530	551	912	945	128	545	508	579	627	691	641	636	696	778	643	683	706	684	699	664	670	689	741	675	644	730	803	622	711	675	591	620	589	623	812	727	690	695	677	691	727	766	923	696	817	501	443	510	570	949	646	737	595	693	698	755	555	678	668	662	665	635	538	615	385	662	626	697	695	689	492	742	498	358	460	417	465	629	497	617	686	569	70	96	74	100					
		51.40%	61.68%	48.81%	48.27%	49.45%	58.79%	45.73%	48.62%	49.96%	50.67%	53.24%	64.32%	61.09%	65.31%	47.68%	50.85%	53.31%	50.69%	53.28%	50.35%	54.50%	52.13%	53.84%	48.97%	50.82%	54.18%	51.43%	51.06%	49.92%	52.55%	51.69%	53.73%	53.32%	49.73%	47.90%	51.21%	52.09%	50.07%	51.72%	55.08%	49.17%	43.25%	46.32%	53.53%	52.23%	50.22%	55.56%	55.13%	53.24%	54.70%	57.90%	60.45%	46.93%	48.03%	48.83%	43.05%	46.15%	49.22%	54.17%	49.46%	50.76%	51.65%	51.14%	53.78%	52.72%	51.20%	50.15%	50.15%	53.00%	47.98%	50.80%	54.45%	49.80%	52.67%	49.55%	51.02%	52.76%	50.73%	53.45%	54.73%	50.68%	47.98%	47.11%	58.67%	51.23%	42.47%	52.55%	52.37%	46.60%	42.01%	48.88%	40.23%	74.42%	67.89%	50.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3128	8	35	34	43	18	27	56	42	47	21	16	15	0	43	39	22	21	37	26	36	44	46	55	49	38	32	28	25	21	17	31	41	43	41	38	28	36	23	32	53	58	55	40	30	35	35	31	26	20	28	24	65	43	38	58	44	25	46	36	54	29	46	28	26	32	31	33	39	38	40	30	49	16	52	39	37	46	48	21	34	39	22	7	23	26	14	16	50	55	45	3	6	2	8					
		2.77%	1.03%	2.69%	2.62%	2.98%	1.53%	2.35%	4.97%	3.06%	4.49%	2.03%	1.13%	0.97%	0.00%	3.76%	3.90%	2.03%	1.70%	2.85%	2.04%	3.08%	3.30%	3.18%	4.19%	3.65%	2.92%	2.41%	2.05%	1.88%	1.65%	1.28%	2.25%	3.24%	3.32%	2.69%	2.42%	2.35%	2.54%	1.76%	2.98%	4.20%	4.26%	4.09%	2.64%	2.16%	2.55%	2.80%	2.52%	2.00%	1.50%	2.12%	1.57%	4.38%	2.53%	3.70%	5.64%	3.98%	2.16%	2.63%	2.76%	3.72%	2.52%	3.39%	2.16%	1.82%	2.95%	2.29%	2.48%	3.12%	2.74%	3.20%	3.04%	3.97%	2.19%	3.89%	3.18%	2.80%	3.36%	3.72%	2.34%	2.32%	3.76%	2.89%	0.89%	2.83%	2.37%	1.17%	1.69%	3.78%	3.37%	3.87%	1.72%	4.65%	1.83%	4.00%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
