Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Верхнедонская 																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976					
		1.58%	0.0%	0.57%	1.87%	1.88%	2.30%	0.72%	1.67%	1.96%	3.43%	0.69%	0.55%	1.33%	2.29%	1.72%	2.05%	4.34%	0.0%	2.70%	0.67%	1.86%	2.38%	1.14%	2.07%	0.89%	1.76%	0.70%	2.77%	0.0%	0.0%	0.0%	1.98%	0.0%	1.68%	1.56%	1.06%	1.58%	1.14%	2.53%	3.26%	2.11%	1.19%	0.0%	1.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	64	0	0	0	1	0	0	13	13	1	0	2	5	0	0	2	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	3	0	0	0	0	0	4	0	0	9	1	3	0					
		0.50%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	1.14%	0.91%	0.34%	0.0%	0.36%	0.95%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	1.52%	0.0%	0.0%	1.58%	0.59%	5.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	250	1	0	1	5	2	0	19	44	7	1	15	9	0	0	19	0	3	0	4	18	0	1	2	13	1	3	10	3	1	0	19	2	4	2	4	14	3	1	0	9	6	2	2					
		1.97%	0.99%	0.0%	0.62%	1.17%	1.53%	0.0%	1.67%	3.08%	2.40%	0.69%	2.77%	1.71%	0.0%	0.0%	2.29%	0.0%	0.77%	0.0%	2.68%	3.05%	0.0%	0.57%	1.03%	1.45%	0.58%	2.11%	3.47%	4.91%	0.75%	0.0%	3.43%	2.53%	2.24%	3.12%	2.13%	5.53%	1.14%	0.63%	0.0%	1.58%	3.59%	3.33%	0.95%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	87	1	0	1	3	0	0	8	20	5	0	2	0	0	0	11	0	6	0	0	6	0	2	0	7	4	0	0	0	0	0	1	0	0	1	1	2	1	0	0	3	0	1	1					
		0.68%	0.99%	0.0%	0.62%	0.70%	0.0%	0.0%	0.70%	1.40%	1.71%	0.0%	0.36%	0.0%	0.0%	0.0%	1.33%	0.0%	1.55%	0.0%	0.0%	1.01%	0.0%	1.14%	0.0%	0.78%	2.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	1.56%	0.53%	0.79%	0.38%	0.0%	0.0%	0.52%	0.0%	1.66%	0.47%					
22	"5. ""За Русь Святую"""	40	0	0	0	4	0	0	2	5	1	0	0	2	0	0	4	0	0	0	0	3	4	0	0	4	4	0	0	0	1	0	1	0	0	0	0	1	0	0	0	3	0	1	0					
		0.31%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	0.17%	0.35%	0.34%	0.0%	0.0%	0.38%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.50%	1.90%	0.0%	0.0%	0.44%	2.35%	0.0%	0.0%	0.0%	0.75%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.52%	0.0%	1.66%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	0	0	1	0	0	0	4	5	1	0	1	2	0	0	1	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	2	0	0	0					
		0.21%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.35%	0.35%	0.34%	0.0%	0.18%	0.38%	0.0%	0.0%	0.12%	1.08%	0.0%	0.0%	0.67%	0.33%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.53%	0.39%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	39	2	0	0	1	0	0	8	9	0	0	3	0	0	0	1	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	2	0	0	2					
		0.30%	1.98%	0.0%	0.0%	0.23%	0.0%	0.0%	0.70%	0.63%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.39%	0.38%	0.0%	0.0%	0.35%	0.0%	0.0%	0.95%					
25	"8. ""Народно-республиканская партия России"""	14	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2					
		0.11%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.17%	0.0%	0.0%	0.0%	0.95%					
26	"9. ""Российская экологическая партия ""Зеленые"""	17	0	0	0	1	0	2	0	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.23%	0.0%	1.45%	0.0%	0.0%	0.68%	0.0%	0.36%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	747	8	12	23	28	14	19	52	47	24	9	21	36	1	4	51	4	10	6	4	59	11	3	20	31	24	3	21	7	9	4	33	10	3	0	22	9	6	21	2	41	14	0	21					
		5.89%	7.92%	6.89%	14.37%	6.58%	10.76%	13.86%	4.58%	3.29%	8.24%	6.25%	3.88%	6.84%	1.14%	6.89%	6.16%	4.34%	2.59%	8.10%	2.68%	10.01%	5.23%	1.72%	10.36%	3.47%	14.11%	2.11%	7.29%	11.47%	6.76%	3.05%	5.96%	12.65%	1.68%	0.0%	11.76%	3.55%	2.29%	13.29%	2.17%	7.21%	8.38%	0.0%	10.04%					
28	"11. ""Истинные патриоты России"""	10	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.34%	0.0%	0.0%	0.19%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.67%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	60	1	0	0	1	0	4	5	8	4	0	4	1	0	0	4	0	0	0	0	3	0	0	0	9	3	1	3	0	0	0	2	1	0	0	3	0	2	0	0	0	0	1	0					
		0.47%	0.99%	0.0%	0.0%	0.23%	0.0%	2.91%	0.44%	0.56%	1.37%	0.0%	0.73%	0.19%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	1.00%	1.76%	0.70%	1.04%	0.0%	0.0%	0.0%	0.36%	1.26%	0.0%	0.0%	1.60%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	1.66%	0.0%					
30	"13. ""Демократическая партия России"""	30	0	0	0	1	0	0	4	3	0	0	3	3	0	0	6	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	2					
		0.23%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.35%	0.21%	0.0%	0.0%	0.55%	0.57%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.53%	0.39%	0.0%	0.0%	2.17%	0.0%	0.0%	0.0%	0.95%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	0	0	0	1	0	0	1	1	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0					
		0.13%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.08%	0.07%	0.0%	0.0%	0.0%	0.38%	1.14%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	1.06%	0.0%	0.38%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	0	0	0	1	0	0	1	1	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.08%	0.07%	0.0%	1.38%	0.36%	0.19%	0.0%	1.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	559	3	4	6	26	5	8	85	64	7	6	41	12	2	0	40	3	4	3	3	13	6	2	2	49	9	8	12	0	4	8	25	0	6	0	4	16	10	2	0	46	4	3	8					
		4.40%	2.97%	2.29%	3.75%	6.11%	3.84%	5.83%	7.50%	4.48%	2.40%	4.16%	7.57%	2.28%	2.29%	0.0%	4.83%	3.26%	1.03%	4.05%	2.01%	2.20%	2.85%	1.14%	1.03%	5.48%	5.29%	5.63%	4.16%	0.0%	3.00%	6.10%	4.52%	0.0%	3.37%	0.0%	2.13%	6.32%	3.81%	1.26%	0.0%	8.09%	2.39%	5.0%	3.82%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	32	1	0	2	0	0	1	2	2	1	4	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	1	3	1	2	1	0	0	0	0	0	2	0	0	3	1	0	0					
		0.25%	0.99%	0.0%	1.25%	0.0%	0.0%	0.72%	0.17%	0.14%	0.34%	2.77%	0.0%	0.0%	1.14%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.34%	4.91%	0.75%	1.52%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.52%	0.59%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1528	9	9	22	55	15	20	156	186	27	27	64	46	18	11	79	10	53	8	14	49	16	17	13	117	17	21	26	9	11	15	113	10	16	4	15	39	49	23	4	57	36	6	16					
		12.05%	8.91%	5.17%	13.75%	12.94%	11.53%	14.59%	13.76%	13.03%	9.27%	18.75%	11.82%	8.74%	20.68%	18.96%	9.55%	10.86%	13.73%	10.81%	9.39%	8.31%	7.61%	9.77%	6.73%	13.10%	10.0%	14.78%	9.02%	14.75%	8.27%	11.45%	20.43%	12.65%	8.98%	6.25%	8.02%	15.41%	18.70%	14.55%	4.34%	10.03%	21.55%	10.0%	7.65%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	212	1	2	5	7	0	6	18	21	1	0	6	10	5	1	11	1	0	3	2	16	0	2	3	21	0	0	11	1	3	2	17	3	4	4	3	4	4	2	0	6	2	0	4					
		1.67%	0.99%	1.14%	3.12%	1.64%	0.0%	4.37%	1.58%	1.47%	0.34%	0.0%	1.10%	1.90%	5.74%	1.72%	1.33%	1.08%	0.0%	4.05%	1.34%	2.71%	0.0%	1.14%	1.55%	2.35%	0.0%	0.0%	3.81%	1.63%	2.25%	1.52%	3.07%	3.79%	2.24%	6.25%	1.60%	1.58%	1.52%	1.26%	0.0%	1.05%	1.19%	0.0%	1.91%					
37	"20. ""Политическая партия ""Единая Россия"""	6992	61	133	42	118	64	53	583	709	165	88	317	329	45	32	448	53	280	52	108	337	147	141	136	479	88	94	158	31	82	95	238	44	122	50	120	135	128	88	57	288	90	36	128					
		55.15%	60.39%	76.43%	26.25%	27.76%	49.23%	38.68%	51.45%	49.68%	56.70%	61.11%	58.59%	62.54%	51.72%	55.17%	54.17%	57.60%	72.53%	70.27%	72.48%	57.21%	70.0%	81.03%	70.46%	53.63%	51.76%	66.19%	54.86%	50.81%	61.65%	72.51%	43.03%	55.69%	68.53%	78.12%	64.17%	53.35%	48.85%	55.69%	61.95%	50.70%	53.89%	60.0%	61.24%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	0	1	2	0	0	1	0	3	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	2	0	4	1	0	0	0	0	0	0	0	2	1	0	0					
		0.18%	0.0%	0.57%	1.25%	0.0%	0.0%	0.72%	0.0%	0.21%	0.34%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.57%	0.0%	0.22%	0.0%	0.70%	0.0%	0.0%	1.50%	0.0%	0.72%	1.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.59%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	14	0	0	1	0	0	0	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0					
		0.11%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.17%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1287	9	8	45	144	24	20	92	197	22	3	34	47	8	3	102	16	20	0	9	46	8	3	10	100	5	9	22	6	15	4	55	2	11	2	8	15	29	16	21	69	7	7	14					
		10.15%	8.91%	4.59%	28.12%	33.88%	18.46%	14.59%	8.12%	13.80%	7.56%	2.08%	6.28%	8.93%	9.19%	5.17%	12.33%	17.39%	5.18%	0.0%	6.04%	7.80%	3.80%	1.72%	5.18%	11.19%	2.94%	6.33%	7.63%	9.83%	11.27%	3.05%	9.94%	2.53%	6.17%	3.12%	4.27%	5.92%	11.06%	10.12%	22.82%	12.14%	4.19%	11.66%	6.69%					
																																																		
41	Против всех	296	4	4	3	15	1	2	45	49	6	2	16	6	0	3	19	0	10	0	2	15	0	0	3	17	5	1	7	1	4	0	11	5	3	0	1	9	12	1	0	9	1	0	4					
		2.33%	3.96%	2.29%	1.87%	3.52%	0.76%	1.45%	3.97%	3.43%	2.06%	1.38%	2.95%	1.14%	0.0%	5.17%	2.29%	0.0%	2.59%	0.0%	1.34%	2.54%	0.0%	0.0%	1.55%	1.90%	2.94%	0.70%	2.43%	1.63%	3.00%	0.0%	1.98%	6.32%	1.68%	0.0%	0.53%	3.55%	4.58%	0.63%	0.0%	1.58%	0.59%	0.0%	1.91%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
