Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Лухская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	10	5	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0					
		0.22%	0.34%	0.49%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	548	194	13	29	48	12	4	24	4	27	45	12	9	25	30	9	63					
		12.12%	13.22%	6.43%	14.42%	23.07%	5.91%	5.33%	13.71%	3.44%	15.69%	9.51%	15.38%	11.39%	13.29%	13.88%	6.87%	11.75%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	87	34	6	2	6	3	0	2	1	2	8	2	1	4	6	2	8					
		1.92%	2.31%	2.97%	0.99%	2.88%	1.47%	0.0%	1.14%	0.86%	1.16%	1.69%	2.56%	1.26%	2.12%	2.77%	1.52%	1.49%					
37	"20. ""Политическая партия ""Единая Россия"""	1685	454	74	54	55	88	42	84	63	65	170	19	31	81	86	47	272					
		37.27%	30.94%	36.63%	26.86%	26.44%	43.34%	56.0%	48.0%	54.31%	37.79%	35.94%	24.35%	39.24%	43.08%	39.81%	35.87%	50.74%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	1	0	0	0	1	1	0	0	0	2	0	1	1	1	1	3					
		0.26%	0.06%	0.0%	0.0%	0.0%	0.49%	1.33%	0.0%	0.0%	0.0%	0.42%	0.0%	1.26%	0.53%	0.46%	0.76%	0.55%					
39	"22. ""Развитие предпринимательства"""	13	5	2	0	0	0	0	0	1	0	1	0	0	0	1	2	1					
		0.28%	0.34%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.21%	0.0%	0.0%	0.0%	0.46%	1.52%	0.18%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	571	245	22	24	10	8	7	6	17	21	87	27	6	14	22	9	46					
		12.63%	16.70%	10.89%	11.94%	4.80%	3.94%	9.33%	3.42%	14.65%	12.20%	18.39%	34.61%	7.59%	7.44%	10.18%	6.87%	8.58%					
																							
41	Против всех	217	81	9	13	6	14	1	3	7	3	28	0	2	12	4	6	28					
		4.80%	5.52%	4.45%	6.46%	2.88%	6.89%	1.33%	1.71%	6.03%	1.74%	5.91%	0.0%	2.53%	6.38%	1.85%	4.58%	5.22%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
