Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Аргаяшская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №2218	УИК №2219	УИК №2220	УИК №2221									
		2.27%	5.24%	3.41%	4.06%	2.33%	3.91%	2.33%	1.56%	1.25%	1.22%	0.00%	1.61%	0.96%	0.92%	3.10%	1.48%	6.42%	3.56%	1.37%	0.88%	2.83%	1.69%	0.51%	0.85%	1.96%	1.62%	1.41%	0.36%	0.00%	0.00%	0.65%	1.10%	0.29%	1.69%	2.52%	0.52%	1.70%	1.94%	2.48%	0.92%	0.36%	1.30%	3.27%	1.83%	1.61%	2.01%	3.23%	5.19%	0.00%	2.76%	2.46%	1.35%	5.68%	1.72%	0.00%	0.91%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7444	236	286	244	351	178	206	37	82	110	62	81	52	272	58	212	78	172	112	67	77	346	117	121	46	434	183	164	35	33	98	47	158	75	79	105	100	174	194	81	135	80	99	263	135	181	89	255	52	214	58	81	47	33	51	60	48									
		47.91%	35.33%	38.96%	31.94%	40.96%	36.63%	48.02%	57.81%	51.25%	44.90%	50.82%	65.32%	50.00%	62.24%	44.96%	52.22%	35.78%	51.04%	51.14%	58.77%	72.64%	53.07%	59.69%	51.27%	45.10%	50.12%	51.69%	58.99%	71.43%	41.25%	63.64%	51.65%	46.20%	42.37%	33.19%	54.97%	56.82%	37.58%	43.79%	37.33%	48.04%	51.95%	46.26%	60.18%	54.22%	60.54%	57.42%	50.90%	55.32%	53.63%	47.54%	54.73%	53.41%	56.90%	48.11%	54.55%	50.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	88	6	4	5	3	3	3	1	2	5	0	1	1	0	0	2	2	2	1	0	1	1	0	0	0	5	1	2	1	0	0	0	0	0	1	2	0	0	9	1	2	0	1	3	5	1	0	1	0	6	0	0	0	0	3	0	1									
		0.57%	0.90%	0.54%	0.65%	0.35%	0.62%	0.70%	1.56%	1.25%	2.04%	0.00%	0.81%	0.96%	0.00%	0.00%	0.49%	0.92%	0.59%	0.46%	0.00%	0.94%	0.15%	0.00%	0.00%	0.00%	0.58%	0.28%	0.72%	2.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	1.05%	0.00%	0.00%	2.03%	0.46%	0.71%	0.00%	0.47%	0.69%	2.01%	0.33%	0.00%	0.20%	0.00%	1.50%	0.00%	0.00%	0.00%	0.00%	2.83%	0.00%	1.05%									
24	"6. Политическая партия ""Гражданская Платформа"""	53	1	1	1	1	2	4	0	2	2	1	1	1	0	1	2	1	0	1	0	0	7	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	4	1	2	0	2	1	0	1	0	0	0	2	1	1	1	1	1	0	0									
		0.34%	0.15%	0.14%	0.13%	0.12%	0.41%	0.93%	0.00%	1.25%	0.82%	0.82%	0.81%	0.96%	0.00%	0.78%	0.49%	0.46%	0.00%	0.46%	0.00%	0.00%	1.07%	0.51%	0.85%	0.00%	0.12%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.90%	0.46%	0.71%	0.00%	0.93%	0.23%	0.00%	0.33%	0.00%	0.00%	0.00%	0.50%	0.82%	0.68%	1.14%	1.72%	0.94%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1661	96	102	130	162	73	32	7	11	26	7	12	11	33	7	30	25	25	3	6	8	24	9	14	8	104	16	6	2	6	10	9	75	34	69	34	25	41	42	19	27	18	22	24	21	12	9	78	5	26	5	9	9	9	9	10	15									
		10.69%	14.37%	13.90%	17.02%	18.90%	15.02%	7.46%	10.94%	6.88%	10.61%	5.74%	9.68%	10.58%	7.55%	5.43%	7.39%	11.47%	7.42%	1.37%	5.26%	7.55%	3.68%	4.59%	5.93%	7.84%	12.01%	4.52%	2.16%	4.08%	7.50%	6.49%	9.89%	21.93%	19.21%	28.99%	17.80%	14.20%	8.86%	9.48%	8.76%	9.61%	11.69%	10.28%	5.49%	8.43%	4.01%	5.81%	15.57%	5.32%	6.52%	4.10%	6.08%	10.23%	15.52%	8.49%	9.09%	15.79%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	57	4	1	3	6	3	4	0	0	0	0	0	1	1	2	0	2	0	0	0	1	1	0	2	0	5	2	1	0	0	0	1	1	1	1	0	0	3	1	2	1	1	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0									
		0.37%	0.60%	0.14%	0.39%	0.70%	0.62%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.23%	1.55%	0.00%	0.92%	0.00%	0.00%	0.00%	0.94%	0.15%	0.00%	0.85%	0.00%	0.58%	0.56%	0.36%	0.00%	0.00%	0.00%	1.10%	0.29%	0.56%	0.42%	0.00%	0.00%	0.65%	0.23%	0.92%	0.36%	0.65%	0.00%	0.00%	0.00%	0.00%	0.65%	0.60%	0.00%	0.00%	0.82%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	103	6	7	7	3	6	5	0	2	1	0	0	1	2	0	0	1	4	3	0	0	2	4	0	2	3	3	0	0	0	2	0	1	3	0	0	1	5	1	3	0	1	4	6	0	3	0	1	0	4	2	0	0	0	1	2	1									
		0.66%	0.90%	0.95%	0.92%	0.35%	1.23%	1.17%	0.00%	1.25%	0.41%	0.00%	0.00%	0.96%	0.46%	0.00%	0.00%	0.46%	1.19%	1.37%	0.00%	0.00%	0.31%	2.04%	0.00%	1.96%	0.35%	0.85%	0.00%	0.00%	0.00%	1.30%	0.00%	0.29%	1.69%	0.00%	0.00%	0.57%	1.08%	0.23%	1.38%	0.00%	0.65%	1.87%	1.37%	0.00%	1.00%	0.00%	0.20%	0.00%	1.00%	1.64%	0.00%	0.00%	0.00%	0.94%	1.82%	1.05%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	21	0	2	1	0	0	1	0	0	1	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0									
		0.14%	0.00%	0.27%	0.13%	0.00%	0.00%	0.23%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.23%	0.00%	0.49%	0.00%	0.30%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.57%	0.43%	0.23%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.68%	0.00%	0.00%	0.94%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	138	8	3	14	9	11	2	1	3	1	0	0	0	6	0	1	2	0	3	1	0	5	0	1	0	14	0	1	0	3	0	0	0	4	4	3	3	6	1	3	2	0	4	4	4	1	1	1	1	3	0	1	0	0	1	2	0									
		0.89%	1.20%	0.41%	1.83%	1.05%	2.26%	0.47%	1.56%	1.88%	0.41%	0.00%	0.00%	0.00%	1.37%	0.00%	0.25%	0.92%	0.00%	1.37%	0.88%	0.00%	0.77%	0.00%	0.42%	0.00%	1.62%	0.00%	0.36%	0.00%	3.75%	0.00%	0.00%	0.00%	2.26%	1.68%	1.57%	1.70%	1.30%	0.23%	1.38%	0.71%	0.00%	1.87%	0.92%	1.61%	0.33%	0.65%	0.20%	1.06%	0.75%	0.00%	0.68%	0.00%	0.00%	0.94%	1.82%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2918	132	165	161	150	110	104	6	27	60	25	14	20	57	30	82	65	76	47	21	6	120	36	51	19	124	89	48	1	9	23	17	45	30	37	27	14	145	105	68	57	19	34	54	35	45	29	73	17	72	18	22	14	7	23	22	11									
		18.78%	19.76%	22.48%	21.07%	17.50%	22.63%	24.24%	9.38%	16.88%	24.49%	20.49%	11.29%	19.23%	13.04%	23.26%	20.20%	29.82%	22.55%	21.46%	18.42%	5.66%	18.40%	18.37%	21.61%	18.63%	14.32%	25.14%	17.27%	2.04%	11.25%	14.94%	18.68%	13.16%	16.95%	15.55%	14.14%	7.95%	31.32%	23.70%	31.34%	20.28%	12.34%	15.89%	12.36%	14.06%	15.05%	18.71%	14.57%	18.09%	18.05%	14.75%	14.86%	15.91%	12.07%	21.70%	20.00%	11.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	0	2	3	4	3	0	2	0	2	1	2	0	1	1	3	0	0	2	0	0	1	1	0	0	5	0	0	0	1	0	0	3	0	1	1	1	0	3	2	0	1	1	0	0	1	0	0	1	2	2	1	0	0	0	1	0									
		0.35%	0.00%	0.27%	0.39%	0.47%	0.62%	0.00%	3.13%	0.00%	0.82%	0.82%	1.61%	0.00%	0.23%	0.78%	0.74%	0.00%	0.00%	0.91%	0.00%	0.00%	0.15%	0.51%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.88%	0.00%	0.42%	0.52%	0.57%	0.00%	0.68%	0.92%	0.00%	0.65%	0.47%	0.00%	0.00%	0.33%	0.00%	0.00%	1.06%	0.50%	1.64%	0.68%	0.00%	0.00%	0.00%	0.91%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1286	85	76	113	77	45	30	3	14	16	11	5	7	23	12	29	10	20	7	6	2	71	10	24	6	82	29	25	4	13	12	6	25	20	17	9	11	32	25	10	25	11	22	38	26	22	12	28	10	26	5	14	4	4	5	6	6									
		8.28%	12.72%	10.35%	14.79%	8.98%	9.26%	6.99%	4.69%	8.75%	6.53%	9.02%	4.03%	6.73%	5.26%	9.30%	7.14%	4.59%	5.93%	3.20%	5.26%	1.89%	10.89%	5.10%	10.17%	5.88%	9.47%	8.19%	8.99%	8.16%	16.25%	7.79%	6.59%	7.31%	11.30%	7.14%	4.71%	6.25%	6.91%	5.64%	4.61%	8.90%	7.14%	10.28%	8.70%	10.44%	7.36%	7.74%	5.59%	10.64%	6.52%	4.10%	9.46%	4.55%	6.90%	4.72%	5.45%	6.32%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
