Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №26																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1455	30	34	19	22	21	17	23	24	32	35	21	20	19	31	20	38	16	17	26	0	25	24	35	24	34	34	24	0	16	15	16	14	18	30	6	12	43	23	12	23	10	16	25	23	26	10	14	15	24	21	19	17	14	19	16	25	28	19	17	19	12	21	0	17	4	78	23	16	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1357	12	16	10	30	4	29	13	5	4	16	36	11	9	21	15	16	12	6	22	60	54	18	17	20	86	16	36	37	29	21	45	27	21	53	13	15	11	11	7	2	10	33	4	15	15	10	8	9	18	14	18	16	41	16	25	13	26	20	7	4	12	4	67	13	7	19	11	8	8									
14	Число погашенных неиспользованных открепительных удостоверений	1175	10	16	21	18	19	33	17	16	18	15	19	20	11	9	20	12	24	23	14	0	15	16	5	16	16	6	16	10	14	25	24	26	12	20	14	28	27	17	8	17	10	14	25	17	24	10	26	15	16	9	21	23	26	11	24	5	12	11	23	21	18	9	20	13	16	22	17	24	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	149	7	2	2	2	1	4	3	1	5	3	2	2	3	2	3	1	3	6	3	0	3	2	2	1	4	2	3	0	2	4	2	2	3	0	0	2	13	3	0	0	1	0	5	2	1	0	0	0	1	0	3	1	1	0	0	2	3	2	2	1	4	1	0	2	0	9	1	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1002	20	12	17	17	21	24	7	7	16	24	22	13	7	23	12	17	17	22	19	3	16	18	18	19	11	13	22	11	15	17	16	15	11	22	7	11	23	22	9	17	5	6	20	24	18	8	19	16	9	8	18	10	14	14	12	11	11	16	16	16	8	14	10	8	1	26	10	12	9									
		2.40%	3.05%	1.99%	2.54%	2.66%	3.08%	3.32%	0.93%	1.10%	2.14%	2.78%	3.65%	2.10%	1.38%	3.19%	1.79%	2.20%	2.49%	3.17%	3.23%	1.88%	2.50%	2.60%	2.29%	2.44%	1.31%	2.22%	2.99%	2.20%	2.92%	2.80%	3.01%	2.15%	1.92%	3.76%	1.84%	2.45%	2.45%	2.92%	2.55%	2.29%	1.41%	1.05%	2.68%	3.66%	2.38%	2.62%	3.17%	2.87%	1.34%	1.71%	2.99%	1.52%	2.61%	2.52%	1.99%	2.85%	2.39%	3.64%	2.06%	2.30%	1.74%	2.98%	1.76%	2.20%	0.64%	2.13%	1.97%	2.83%	1.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	647	6	6	7	5	5	8	10	11	9	14	10	7	4	12	13	10	5	6	6	0	8	12	9	18	10	7	8	3	9	5	11	18	5	7	2	5	16	17	7	14	7	8	9	8	12	6	8	8	12	6	14	14	9	15	18	6	4	6	22	9	18	13	8	7	4	21	9	14	7									
		1.55%	0.91%	0.99%	1.05%	0.78%	0.73%	1.11%	1.32%	1.72%	1.20%	1.62%	1.66%	1.13%	0.79%	1.66%	1.94%	1.29%	0.73%	0.87%	1.02%	0.00%	1.25%	1.74%	1.14%	2.31%	1.19%	1.20%	1.09%	0.60%	1.75%	0.82%	2.07%	2.58%	0.87%	1.20%	0.53%	1.11%	1.71%	2.26%	1.98%	1.89%	1.97%	1.40%	1.20%	1.22%	1.59%	1.97%	1.34%	1.43%	1.79%	1.28%	2.32%	2.12%	1.68%	2.70%	2.98%	1.55%	0.87%	1.37%	2.83%	1.29%	3.91%	2.77%	1.41%	1.92%	2.56%	1.72%	1.77%	3.30%	1.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1076	23	25	16	20	14	12	20	19	22	20	15	12	20	14	19	27	15	20	19	8	12	19	12	16	28	7	16	3	8	10	10	11	22	16	10	14	16	18	10	29	7	19	26	8	12	5	16	16	18	12	14	22	18	16	14	9	15	10	24	16	15	16	20	13	6	25	11	12	14									
		2.57%	3.51%	4.14%	2.39%	3.13%	2.06%	1.66%	2.65%	2.97%	2.95%	2.32%	2.49%	1.94%	3.94%	1.94%	2.84%	3.49%	2.19%	2.89%	3.23%	5.00%	1.88%	2.75%	1.52%	2.05%	3.35%	1.20%	2.17%	0.60%	1.56%	1.65%	1.88%	1.58%	3.84%	2.74%	2.63%	3.12%	1.71%	2.39%	2.83%	3.91%	1.97%	3.33%	3.48%	1.22%	1.59%	1.64%	2.67%	2.87%	2.69%	2.57%	2.32%	3.33%	3.36%	2.88%	2.32%	2.33%	3.26%	2.28%	3.09%	2.30%	3.26%	3.40%	3.51%	3.57%	3.85%	2.04%	2.17%	2.83%	2.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17085	211	248	269	246	253	260	298	268	313	326	222	211	226	302	248	321	313	267	220	80	238	274	325	304	355	229	315	436	184	255	208	266	226	237	201	187	494	280	140	277	145	227	255	268	318	119	230	215	256	173	237	269	223	198	233	156	181	207	271	236	182	185	343	113	63	616	216	180	237									
		40.87%	32.16%	41.06%	40.21%	38.44%	37.15%	36.01%	39.42%	41.94%	41.90%	37.78%	36.88%	34.09%	44.58%	41.83%	37.01%	41.47%	45.76%	38.53%	37.35%	50.00%	37.19%	39.65%	41.30%	38.97%	42.41%	39.15%	42.74%	87.20%	35.87%	42.01%	39.10%	38.16%	39.44%	40.51%	52.89%	41.65%	52.67%	37.18%	39.66%	37.38%	40.85%	39.75%	34.14%	40.85%	42.01%	39.02%	38.40%	38.53%	38.21%	37.04%	39.30%	40.76%	41.60%	35.61%	38.58%	40.41%	39.35%	47.15%	34.88%	33.86%	39.57%	39.36%	60.28%	31.04%	40.38%	50.37%	42.52%	42.45%	43.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	599	12	9	17	10	7	5	18	8	22	15	4	8	6	7	8	10	10	12	6	0	13	14	16	9	13	11	9	4	3	9	5	12	10	8	4	4	7	12	4	7	6	8	12	9	15	0	5	12	13	7	12	14	12	5	8	3	5	2	5	17	5	7	9	10	0	13	6	3	8									
		1.43%	1.83%	1.49%	2.54%	1.56%	1.03%	0.69%	2.38%	1.25%	2.95%	1.74%	0.66%	1.29%	1.18%	0.97%	1.19%	1.29%	1.46%	1.73%	1.02%	0.00%	2.03%	2.03%	2.03%	1.15%	1.55%	1.88%	1.22%	0.80%	0.58%	1.48%	0.94%	1.72%	1.75%	1.37%	1.05%	0.89%	0.75%	1.59%	1.13%	0.94%	1.69%	1.40%	1.61%	1.37%	1.98%	0.00%	0.83%	2.15%	1.94%	1.50%	1.99%	2.12%	2.24%	0.90%	1.32%	0.78%	1.09%	0.46%	0.64%	2.44%	1.09%	1.49%	1.58%	2.75%	0.00%	1.06%	1.18%	0.71%	1.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	109	0	1	2	2	1	1	1	2	6	1	2	1	0	5	1	1	0	3	1	1	3	2	4	0	3	0	4	1	0	2	1	1	0	1	1	3	4	6	2	2	2	0	1	0	2	0	1	0	1	0	1	2	2	0	2	1	2	0	2	2	0	0	8	0	1	3	2	1	1									
		0.26%	0.00%	0.17%	0.30%	0.31%	0.15%	0.14%	0.13%	0.31%	0.80%	0.12%	0.33%	0.16%	0.00%	0.69%	0.15%	0.13%	0.00%	0.43%	0.17%	0.63%	0.47%	0.29%	0.51%	0.00%	0.36%	0.00%	0.54%	0.20%	0.00%	0.33%	0.19%	0.14%	0.00%	0.17%	0.26%	0.67%	0.43%	0.80%	0.57%	0.27%	0.56%	0.00%	0.13%	0.00%	0.26%	0.00%	0.17%	0.00%	0.15%	0.00%	0.17%	0.30%	0.37%	0.00%	0.33%	0.26%	0.43%	0.00%	0.26%	0.29%	0.00%	0.00%	1.41%	0.00%	0.64%	0.25%	0.39%	0.24%	0.18%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5176	87	65	72	66	77	96	83	85	58	104	68	105	49	91	81	81	72	70	65	28	69	60	67	64	74	81	98	15	68	97	57	68	59	64	52	56	163	106	55	86	38	60	113	98	110	44	98	65	75	64	78	72	56	76	88	74	72	65	113	93	55	58	54	48	17	189	84	69	88									
		12.38%	13.26%	10.76%	10.76%	10.31%	11.31%	13.30%	10.98%	13.30%	7.76%	12.05%	11.30%	16.96%	9.66%	12.60%	12.09%	10.47%	10.53%	10.10%	11.04%	17.50%	10.78%	8.68%	8.51%	8.21%	8.84%	13.85%	13.30%	3.00%	13.26%	15.98%	10.71%	9.76%	10.30%	10.94%	13.68%	12.47%	17.38%	14.08%	15.58%	11.61%	10.70%	10.51%	15.13%	14.94%	14.53%	14.43%	16.36%	11.65%	11.19%	13.70%	12.94%	10.91%	10.45%	13.67%	14.57%	19.17%	15.65%	14.81%	14.54%	13.34%	11.96%	12.34%	9.49%	13.19%	10.90%	15.45%	16.54%	16.27%	16.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	657	10	11	12	16	10	13	11	9	18	6	15	7	8	10	11	16	8	14	5	2	4	7	22	12	28	6	16	2	12	14	4	11	12	7	1	7	5	10	5	20	7	8	13	12	13	4	10	9	5	3	12	13	2	7	12	8	4	7	9	11	11	5	5	13	4	12	7	9	5									
		1.57%	1.52%	1.82%	1.79%	2.50%	1.47%	1.80%	1.46%	1.41%	2.41%	0.70%	2.49%	1.13%	1.58%	1.39%	1.64%	2.07%	1.17%	2.02%	0.85%	1.25%	0.63%	1.01%	2.80%	1.54%	3.35%	1.03%	2.17%	0.40%	2.34%	2.31%	0.75%	1.58%	2.09%	1.20%	0.26%	1.56%	0.53%	1.33%	1.42%	2.70%	1.97%	1.40%	1.74%	1.83%	1.72%	1.31%	1.67%	1.61%	0.75%	0.64%	1.99%	1.97%	0.37%	1.26%	1.99%	2.07%	0.87%	1.59%	1.16%	1.58%	2.39%	1.06%	0.88%	3.57%	2.56%	0.98%	1.38%	2.12%	0.91%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3072	65	42	39	49	41	52	52	53	57	62	47	39	39	46	50	56	36	38	33	11	48	41	69	60	49	41	58	5	49	33	49	68	41	35	21	27	42	52	19	43	38	39	53	44	58	36	51	61	68	49	60	53	60	52	48	22	36	32	90	76	42	39	12	32	11	31	45	37	40									
		7.35%	9.91%	6.95%	5.83%	7.66%	6.02%	7.20%	6.88%	8.29%	7.63%	7.18%	7.81%	6.30%	7.69%	6.37%	7.46%	7.24%	5.26%	5.48%	5.60%	6.88%	7.50%	5.93%	8.77%	7.69%	5.85%	7.01%	7.87%	1.00%	9.55%	5.44%	9.21%	9.76%	7.16%	5.98%	5.53%	6.01%	4.48%	6.91%	5.38%	5.80%	10.70%	6.83%	7.10%	6.71%	7.66%	11.80%	8.51%	10.93%	10.15%	10.49%	9.95%	8.03%	11.19%	9.35%	7.95%	5.70%	7.83%	7.29%	11.58%	10.90%	9.13%	8.30%	2.11%	8.79%	7.05%	2.53%	8.86%	8.73%	7.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	108	3	1	3	1	2	5	1	1	0	3	0	2	4	1	0	3	0	2	1	1	1	5	5	4	2	2	1	1	3	0	1	3	1	1	2	0	1	1	1	2	0	0	2	1	0	2	2	2	1	1	1	2	3	0	2	0	3	0	3	1	0	0	4	0	2	2	0	1	2									
		0.26%	0.46%	0.17%	0.45%	0.16%	0.29%	0.69%	0.13%	0.16%	0.00%	0.35%	0.00%	0.32%	0.79%	0.14%	0.00%	0.39%	0.00%	0.29%	0.17%	0.63%	0.16%	0.72%	0.64%	0.51%	0.24%	0.34%	0.14%	0.20%	0.58%	0.00%	0.19%	0.43%	0.17%	0.17%	0.53%	0.00%	0.11%	0.13%	0.28%	0.27%	0.00%	0.00%	0.27%	0.15%	0.00%	0.66%	0.33%	0.36%	0.15%	0.21%	0.17%	0.30%	0.56%	0.00%	0.33%	0.00%	0.65%	0.00%	0.39%	0.14%	0.00%	0.00%	0.70%	0.00%	1.28%	0.16%	0.00%	0.24%	0.36%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2393	56	45	51	45	43	48	58	49	49	66	28	42	35	39	44	55	35	46	39	2	41	56	57	73	58	47	43	4	47	33	33	61	47	34	13	30	21	33	15	43	21	20	21	33	37	18	14	31	27	34	29	28	25	33	21	17	18	14	40	36	19	18	27	30	14	33	23	21	27									
		5.72%	8.54%	7.45%	7.62%	7.03%	6.31%	6.65%	7.67%	7.67%	6.56%	7.65%	4.65%	6.79%	6.90%	5.40%	6.57%	7.11%	5.12%	6.64%	6.62%	1.25%	6.41%	8.10%	7.24%	9.36%	6.93%	8.03%	5.83%	0.80%	9.16%	5.44%	6.20%	8.75%	8.20%	5.81%	3.42%	6.68%	2.24%	4.38%	4.25%	5.80%	5.92%	3.50%	2.81%	5.03%	4.89%	5.90%	2.34%	5.56%	4.03%	7.28%	4.81%	4.24%	4.66%	5.94%	3.48%	4.40%	3.91%	3.19%	5.15%	5.16%	4.13%	3.83%	4.75%	8.24%	8.97%	2.70%	4.53%	4.95%	4.91%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5099	73	72	77	87	109	120	84	49	99	120	69	75	56	76	88	80	81	95	80	7	97	75	94	100	111	58	90	2	56	67	63	91	65	74	31	71	74	109	57	87	47	78	106	55	58	37	85	74	120	54	80	98	66	88	86	39	45	38	115	110	72	64	38	50	17	156	58	40	56									
		12.20%	11.13%	11.92%	11.51%	13.59%	16.01%	16.62%	11.11%	7.67%	13.25%	13.90%	11.46%	12.12%	11.05%	10.53%	13.13%	10.34%	11.84%	13.71%	13.58%	4.38%	15.16%	10.85%	11.94%	12.82%	13.26%	9.91%	12.21%	0.40%	10.92%	11.04%	11.84%	13.06%	11.34%	12.65%	8.16%	15.81%	7.89%	14.48%	16.15%	11.74%	13.24%	13.66%	14.19%	8.38%	7.66%	12.13%	14.19%	13.26%	17.91%	11.56%	13.27%	14.85%	12.31%	15.83%	14.24%	10.10%	9.78%	8.66%	14.80%	15.78%	15.65%	13.62%	6.68%	13.74%	10.90%	12.76%	11.42%	9.43%	10.18%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	178	2	3	5	2	3	5	2	3	2	11	4	2	0	5	1	7	2	1	4	1	4	5	5	2	1	1	3	1	0	3	3	5	0	3	1	1	3	5	1	1	2	1	2	4	3	3	2	2	2	0	1	3	3	1	3	0	3	3	2	2	2	4	5	1	2	7	1	0	1									
		0.43%	0.30%	0.50%	0.75%	0.31%	0.44%	0.69%	0.26%	0.47%	0.27%	1.27%	0.66%	0.32%	0.00%	0.69%	0.15%	0.90%	0.29%	0.14%	0.68%	0.63%	0.63%	0.72%	0.64%	0.26%	0.12%	0.17%	0.41%	0.20%	0.00%	0.49%	0.56%	0.72%	0.00%	0.51%	0.26%	0.22%	0.32%	0.66%	0.28%	0.13%	0.56%	0.18%	0.27%	0.61%	0.40%	0.98%	0.33%	0.36%	0.30%	0.00%	0.17%	0.45%	0.56%	0.18%	0.50%	0.00%	0.65%	0.68%	0.26%	0.29%	0.43%	0.85%	0.88%	0.27%	1.28%	0.57%	0.20%	0.00%	0.18%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3454	72	53	67	61	85	62	93	63	65	71	83	78	42	78	64	90	61	88	70	11	67	76	74	90	67	59	39	4	45	53	51	49	48	53	18	26	46	64	17	84	21	76	91	78	86	17	31	26	40	35	29	38	29	30	39	24	41	28	44	47	22	25	8	24	10	55	24	17	32									
		8.26%	10.98%	8.77%	10.01%	9.53%	12.48%	8.59%	12.30%	9.86%	8.70%	8.23%	13.79%	12.60%	8.28%	10.80%	9.55%	11.63%	8.92%	12.70%	11.88%	6.88%	10.47%	10.99%	9.40%	11.54%	8.00%	10.09%	5.29%	0.80%	8.77%	8.73%	9.59%	7.03%	8.38%	9.06%	4.74%	5.79%	4.90%	8.50%	4.82%	11.34%	5.92%	13.31%	12.18%	11.89%	11.36%	5.57%	5.18%	4.66%	5.97%	7.49%	4.81%	5.76%	5.41%	5.40%	6.46%	6.22%	8.91%	6.38%	5.66%	6.74%	4.78%	5.32%	1.41%	6.59%	6.41%	4.50%	4.72%	4.01%	5.82%									
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
