Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Корсаковская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585					
		1.13%	0.49%	1.31%	2.53%	2.61%	0.0%	2.13%	1.78%	0.98%	2.11%	0.55%	2.12%	1.86%	1.16%	0.99%	1.53%	0.94%	1.08%	0.50%	0.70%	0.83%	0.98%	1.41%	0.4%	1.31%	1.16%	0.88%	1.13%	4.76%	5.26%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	614	3	0	12	6	0	5	3	0	25	21	4	1	5	25	4	22	30	53	26	53	37	58	46	47	54	44	23	2	2	0	3	0					
		3.53%	0.73%	0.0%	1.44%	3.14%	0.0%	1.18%	1.07%	0.0%	4.06%	2.90%	1.41%	0.93%	1.45%	3.11%	2.05%	4.15%	4.07%	3.83%	3.03%	4.02%	5.20%	4.84%	4.6%	5.60%	5.25%	4.34%	2.00%	9.52%	10.52%	0.0%	30.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	650	19	11	34	1	2	17	8	5	8	29	14	0	7	31	6	34	23	48	33	48	26	38	44	28	47	32	52	5	0	0	0	0					
		3.74%	4.67%	7.23%	4.09%	0.52%	2.56%	4.02%	2.85%	4.90%	1.30%	4.01%	4.96%	0.0%	2.04%	3.86%	3.07%	6.42%	3.12%	3.47%	3.85%	3.64%	3.65%	3.17%	4.4%	3.33%	4.57%	3.16%	4.52%	23.80%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	891	9	0	13	8	2	3	7	3	35	14	9	5	18	35	15	31	64	89	53	82	29	69	65	48	61	62	59	0	1	1	1	0					
		5.13%	2.21%	0.0%	1.56%	4.18%	2.56%	0.71%	2.49%	2.94%	5.69%	1.93%	3.19%	4.67%	5.24%	4.35%	7.69%	5.86%	8.69%	6.43%	6.18%	6.23%	4.07%	5.75%	6.5%	5.72%	5.93%	6.12%	5.13%	0.0%	5.26%	5.0%	10.0%	0.0%					
22	"5. ""За Русь Святую"""	71	2	0	3	0	2	1	1	1	3	5	2	0	1	2	3	1	4	5	0	5	5	7	2	1	6	3	6	0	0	0	0	0					
		0.40%	0.49%	0.0%	0.36%	0.0%	2.56%	0.23%	0.35%	0.98%	0.48%	0.69%	0.70%	0.0%	0.29%	0.24%	1.53%	0.18%	0.54%	0.36%	0.0%	0.37%	0.70%	0.58%	0.2%	0.11%	0.58%	0.29%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	49	1	0	2	0	1	0	0	0	4	0	3	0	1	3	0	0	7	5	3	1	1	3	3	2	4	3	0	0	2	0	0	0					
		0.28%	0.24%	0.0%	0.24%	0.0%	1.28%	0.0%	0.0%	0.0%	0.65%	0.0%	1.06%	0.0%	0.29%	0.37%	0.0%	0.0%	0.95%	0.36%	0.35%	0.07%	0.14%	0.25%	0.3%	0.23%	0.38%	0.29%	0.0%	0.0%	10.52%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	116	2	0	3	1	0	5	0	0	7	6	2	1	4	7	0	5	7	10	5	6	4	5	4	12	8	7	4	1	0	0	0	0					
		0.66%	0.49%	0.0%	0.36%	0.52%	0.0%	1.18%	0.0%	0.0%	1.13%	0.83%	0.70%	0.93%	1.16%	0.87%	0.0%	0.94%	0.95%	0.72%	0.58%	0.45%	0.56%	0.41%	0.4%	1.43%	0.77%	0.69%	0.34%	4.76%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	21	1	1	2	1	0	2	0	1	0	2	0	0	0	2	0	0	1	2	0	0	0	1	1	1	1	1	1	0	0	0	0	0					
		0.12%	0.24%	0.65%	0.24%	0.52%	0.0%	0.47%	0.0%	0.98%	0.0%	0.27%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.13%	0.14%	0.0%	0.0%	0.0%	0.08%	0.1%	0.11%	0.09%	0.09%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	101	0	0	3	0	1	2	1	1	11	4	2	0	4	4	0	3	7	9	2	11	6	2	7	5	6	3	5	0	1	1	0	0					
		0.58%	0.0%	0.0%	0.36%	0.0%	1.28%	0.47%	0.35%	0.98%	1.78%	0.55%	0.70%	0.0%	1.16%	0.49%	0.0%	0.56%	0.95%	0.65%	0.23%	0.83%	0.84%	0.16%	0.7%	0.59%	0.58%	0.29%	0.43%	0.0%	5.26%	5.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	270	7	4	8	2	0	25	5	3	3	10	3	0	2	14	1	8	18	18	19	14	7	23	9	8	29	14	15	0	1	0	0	0					
		1.55%	1.72%	2.63%	0.96%	1.04%	0.0%	5.92%	1.78%	2.94%	0.48%	1.38%	1.06%	0.0%	0.58%	1.74%	0.51%	1.51%	2.44%	1.30%	2.21%	1.06%	0.98%	1.91%	0.9%	0.95%	2.82%	1.38%	1.30%	0.0%	5.26%	0.0%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	22	1	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	2	3	0	1	3	2	0	2	0	0	0	0	0					
		0.12%	0.24%	0.0%	0.24%	0.52%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.35%	0.15%	0.42%	0.0%	0.1%	0.35%	0.19%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	130	1	3	6	4	0	6	1	0	7	4	1	0	5	11	1	4	6	7	6	8	6	8	3	9	9	3	10	0	0	1	0	0					
		0.74%	0.24%	1.97%	0.72%	2.09%	0.0%	1.42%	0.35%	0.0%	1.13%	0.55%	0.35%	0.0%	1.45%	1.36%	0.51%	0.75%	0.81%	0.50%	0.70%	0.60%	0.84%	0.66%	0.3%	1.07%	0.87%	0.29%	0.87%	0.0%	0.0%	5.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	46	3	1	0	0	0	1	1	1	3	2	2	0	2	1	0	3	3	5	2	3	1	3	2	2	2	2	1	0	0	0	0	0					
		0.26%	0.73%	0.65%	0.0%	0.0%	0.0%	0.23%	0.35%	0.98%	0.48%	0.27%	0.70%	0.0%	0.58%	0.12%	0.0%	0.56%	0.40%	0.36%	0.23%	0.22%	0.14%	0.25%	0.2%	0.23%	0.19%	0.19%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	56	0	1	2	0	0	1	1	0	2	14	0	0	1	3	1	7	2	2	0	1	4	0	3	3	2	3	3	0	0	0	0	0					
		0.32%	0.0%	0.65%	0.24%	0.0%	0.0%	0.23%	0.35%	0.0%	0.32%	1.93%	0.0%	0.0%	0.29%	0.37%	0.51%	1.32%	0.27%	0.14%	0.0%	0.07%	0.56%	0.0%	0.3%	0.35%	0.19%	0.29%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	50	1	0	6	2	1	0	0	1	3	1	2	0	1	3	1	2	2	2	4	4	1	2	2	1	2	2	4	0	0	0	0	0					
		0.28%	0.24%	0.0%	0.72%	1.04%	1.28%	0.0%	0.0%	0.98%	0.48%	0.13%	0.70%	0.0%	0.29%	0.37%	0.51%	0.37%	0.27%	0.14%	0.46%	0.30%	0.14%	0.16%	0.2%	0.11%	0.19%	0.19%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1562	18	16	53	5	3	7	21	5	33	43	22	6	24	60	23	69	69	162	100	148	60	139	85	68	107	90	125	0	0	1	0	0					
		8.99%	4.43%	10.52%	6.38%	2.61%	3.84%	1.65%	7.49%	4.90%	5.36%	5.95%	7.80%	5.60%	6.99%	7.47%	11.79%	13.04%	9.37%	11.71%	11.66%	11.24%	8.43%	11.60%	8.5%	8.10%	10.41%	8.89%	10.88%	0.0%	0.0%	5.0%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	44	1	2	7	0	0	0	1	0	6	4	2	1	0	1	0	2	4	2	2	0	0	3	1	1	2	0	2	0	0	0	0	0					
		0.25%	0.24%	1.31%	0.84%	0.0%	0.0%	0.0%	0.35%	0.0%	0.97%	0.55%	0.70%	0.93%	0.0%	0.12%	0.0%	0.37%	0.54%	0.14%	0.23%	0.0%	0.0%	0.25%	0.1%	0.11%	0.19%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3311	97	29	186	47	15	63	65	15	133	166	69	17	80	178	40	106	144	232	161	217	156	199	174	146	182	180	206	4	0	3	1	0					
		19.06%	23.89%	19.07%	22.40%	24.60%	19.23%	14.92%	23.21%	14.70%	21.62%	22.99%	24.46%	15.88%	23.32%	22.16%	20.51%	20.03%	19.56%	16.77%	18.78%	16.48%	21.94%	16.61%	17.4%	17.40%	17.72%	17.78%	17.94%	19.04%	0.0%	15.0%	10.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	277	7	2	12	3	0	7	5	0	3	8	5	5	5	16	4	7	13	26	14	11	15	19	21	9	22	21	17	0	0	0	0	0					
		1.59%	1.72%	1.31%	1.44%	1.57%	0.0%	1.65%	1.78%	0.0%	0.48%	1.10%	1.77%	4.67%	1.45%	1.99%	2.05%	1.32%	1.76%	1.87%	1.63%	0.83%	2.10%	1.58%	2.1%	1.07%	2.14%	2.07%	1.48%	0.0%	0.0%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	5742	158	57	332	69	33	167	107	39	235	255	100	33	107	282	62	116	202	429	258	407	248	375	313	272	299	352	403	3	10	5	4	10					
		33.06%	38.91%	37.5%	40.0%	36.12%	42.30%	39.57%	38.21%	38.23%	38.21%	35.31%	35.46%	30.84%	31.19%	35.11%	31.79%	21.92%	27.44%	31.01%	30.10%	30.92%	34.88%	31.30%	31.3%	32.41%	29.11%	34.78%	35.10%	14.28%	52.63%	25.0%	40.0%	100.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	34	3	0	1	0	0	1	0	0	1	3	0	0	0	4	1	0	1	4	2	0	2	2	2	2	3	2	0	0	0	0	0	0					
		0.19%	0.73%	0.0%	0.12%	0.0%	0.0%	0.23%	0.0%	0.0%	0.16%	0.41%	0.0%	0.0%	0.0%	0.49%	0.51%	0.0%	0.13%	0.28%	0.23%	0.0%	0.28%	0.16%	0.2%	0.23%	0.29%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	47	0	0	0	0	2	0	0	1	2	2	1	2	0	1	0	2	1	5	2	4	2	4	2	2	4	6	2	0	0	0	0	0					
		0.27%	0.0%	0.0%	0.0%	0.0%	2.56%	0.0%	0.0%	0.98%	0.32%	0.27%	0.35%	1.86%	0.0%	0.12%	0.0%	0.37%	0.13%	0.36%	0.23%	0.30%	0.28%	0.33%	0.2%	0.23%	0.38%	0.59%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1887	38	16	51	20	12	69	22	17	33	66	15	25	50	67	14	80	70	187	92	188	48	140	137	111	99	100	119	0	1	0	0	0					
		10.86%	9.35%	10.52%	6.14%	10.47%	15.38%	16.35%	7.85%	16.66%	5.36%	9.14%	5.31%	23.36%	14.57%	8.34%	7.17%	15.12%	9.51%	13.52%	10.73%	14.28%	6.75%	11.68%	13.7%	13.23%	9.63%	9.88%	10.36%	0.0%	5.26%	0.0%	0.0%	0.0%					
																																							
41	Против всех	934	20	4	58	12	4	24	21	8	41	41	13	7	21	33	11	16	40	63	49	63	40	60	54	39	54	65	59	5	0	8	1	0					
		5.37%	4.92%	2.63%	6.98%	6.28%	5.12%	5.68%	7.49%	7.84%	6.66%	5.67%	4.60%	6.54%	6.12%	4.10%	5.64%	3.02%	5.43%	4.55%	5.71%	4.78%	5.62%	5.00%	5.4%	4.64%	5.25%	6.42%	5.13%	23.80%	0.0%	40.0%	10.0%	0.0%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
