Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №680	УИК №681									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2680	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	30	50	50	50	50	50	50	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	740	16	14	12	23	27	16	19	9	21	34	20	24	12	11	12	15	3	18	20	12	8	12	12	42	12	8	9	8	17	7	5	13	8	13	23	8	8	9	12	11	24	9	8	10	12	18	12	6	11	11	9	8	8	11	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	443	2	8	5	10	3	3	6	5	7	8	2	10	9	5	22	16	4	6	22	4	15	6	5	22	4	2	6	3	6	5	7	3	6	0	16	0	6	2	10	4	42	5	0	3	8	4	8	2	2	9	0	8	9	4	5	49									
14	Число погашенных неиспользованных открепительных удостоверений	1940	34	36	38	27	23	34	31	41	29	16	30	26	38	39	38	35	47	32	30	38	42	38	38	8	38	42	41	42	33	43	45	37	42	37	27	42	42	41	38	39	26	41	42	40	38	32	38	24	39	39	41	42	42	39	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	178	1	3	2	1	1	0	1	1	2	7	3	0	1	2	6	0	0	3	1	2	1	2	1	7	2	0	2	0	7	1	2	4	3	23	2	5	5	2	3	3	32	2	6	5	3	0	2	2	4	1	2	6	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1029	26	19	12	20	18	20	17	15	28	31	19	21	16	11	14	34	15	23	23	25	29	20	29	7	18	16	17	15	29	9	18	19	13	25	14	17	14	23	22	21	25	8	16	10	20	19	27	3	21	15	26	18	17	14	4	4									
		3.46%	3.88%	4.37%	1.98%	3.62%	4.07%	3.37%	2.56%	3.12%	3.90%	3.57%	2.87%	3.50%	2.63%	3.35%	3.13%	5.57%	3.20%	3.61%	3.59%	4.05%	4.06%	3.60%	5.84%	1.91%	3.51%	3.23%	3.59%	3.74%	3.87%	1.95%	3.16%	3.33%	3.23%	3.09%	3.09%	3.27%	3.76%	5.32%	3.76%	3.21%	4.74%	2.41%	3.14%	2.00%	4.65%	3.09%	4.47%	0.76%	4.83%	2.74%	4.82%	1.86%	3.98%	3.20%	3.70%	2.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	851	11	12	9	12	10	16	14	15	12	9	18	13	14	11	12	10	10	18	18	16	24	19	18	15	22	5	9	9	22	17	24	20	20	32	10	19	16	27	14	22	11	4	25	19	14	23	23	9	12	13	16	18	12	18	1	9									
		2.86%	1.64%	2.76%	1.49%	2.17%	2.26%	2.69%	2.11%	3.12%	1.67%	1.04%	2.72%	2.17%	2.30%	3.35%	2.68%	1.64%	2.13%	2.82%	2.81%	2.59%	3.36%	3.42%	3.62%	4.09%	4.29%	1.01%	1.90%	2.24%	2.93%	3.69%	4.22%	3.51%	4.96%	3.95%	2.21%	3.65%	4.30%	6.25%	2.39%	3.36%	2.09%	1.20%	4.91%	3.80%	3.26%	3.75%	3.81%	2.27%	2.76%	2.38%	2.97%	1.86%	2.81%	4.12%	0.93%	6.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	2007	28	15	25	18	17	27	24	22	37	34	27	22	24	16	19	39	15	69	53	52	65	48	42	29	32	47	42	34	68	46	54	47	28	28	37	39	31	47	59	49	38	20	43	49	40	68	57	18	16	22	53	43	35	33	7	10									
		6.74%	4.18%	3.45%	4.13%	3.26%	3.85%	4.55%	3.61%	4.57%	5.15%	3.91%	4.08%	3.67%	3.94%	4.88%	4.24%	6.39%	3.20%	10.82%	8.28%	8.43%	9.10%	8.63%	8.45%	7.90%	6.24%	9.49%	8.86%	8.48%	9.07%	9.98%	9.49%	8.25%	6.95%	3.46%	8.17%	7.50%	8.33%	10.88%	10.09%	7.49%	7.21%	6.02%	8.45%	9.80%	9.30%	11.07%	9.44%	4.55%	3.68%	4.02%	9.83%	4.44%	8.20%	7.55%	6.48%	6.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8279	201	111	171	155	106	156	180	161	181	273	223	165	164	90	139	163	123	157	174	141	167	127	111	91	134	129	111	84	168	116	108	135	116	299	128	141	104	94	140	177	137	92	120	115	115	149	147	246	125	140	149	514	108	108	43	57									
		27.81%	30.00%	25.52%	28.22%	28.08%	23.98%	26.26%	27.07%	33.47%	25.21%	31.42%	33.74%	27.50%	26.93%	27.44%	31.03%	26.72%	26.23%	24.61%	27.19%	22.85%	23.39%	22.84%	22.33%	24.80%	26.12%	26.06%	23.42%	20.95%	22.40%	25.16%	18.98%	23.68%	28.78%	36.91%	28.26%	27.12%	27.96%	21.76%	23.93%	27.06%	25.99%	27.71%	23.58%	23.00%	26.74%	24.27%	24.34%	62.12%	28.74%	25.59%	27.64%	53.10%	25.29%	24.71%	39.81%	38.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	289	6	2	5	8	4	4	5	8	4	6	2	2	10	1	2	3	7	1	6	6	6	7	2	8	5	6	7	5	4	6	8	5	9	6	13	5	2	4	6	8	1	3	8	9	5	10	6	1	3	6	1	11	4	4	1	2									
		0.97%	0.90%	0.46%	0.83%	1.45%	0.90%	0.67%	0.75%	1.66%	0.56%	0.69%	0.30%	0.33%	1.64%	0.30%	0.45%	0.49%	1.49%	0.16%	0.94%	0.97%	0.84%	1.26%	0.40%	2.18%	0.97%	1.21%	1.48%	1.25%	0.53%	1.30%	1.41%	0.88%	2.23%	0.74%	2.87%	0.96%	0.54%	0.93%	1.03%	1.22%	0.19%	0.90%	1.57%	1.80%	1.16%	1.63%	0.99%	0.25%	0.69%	1.10%	0.19%	1.14%	0.94%	0.92%	0.93%	1.36%									
24	"6. Политическая партия ""Гражданская Платформа"""	48	2	2	1	0	2	2	0	0	1	0	1	1	2	0	0	0	3	1	3	0	1	1	1	3	0	0	0	1	0	0	0	0	0	2	0	3	1	0	1	2	0	1	0	1	0	5	1	0	0	0	2	1	0	0	0	0									
		0.16%	0.30%	0.46%	0.17%	0.00%	0.45%	0.34%	0.00%	0.00%	0.14%	0.00%	0.15%	0.17%	0.33%	0.00%	0.00%	0.00%	0.64%	0.16%	0.47%	0.00%	0.14%	0.18%	0.20%	0.82%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.58%	0.27%	0.00%	0.17%	0.31%	0.00%	0.30%	0.00%	0.20%	0.00%	0.81%	0.17%	0.00%	0.00%	0.00%	0.37%	0.10%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5300	137	80	119	89	79	106	138	90	142	168	114	112	118	83	75	114	88	104	102	125	107	98	82	71	92	86	80	63	119	80	70	104	64	179	59	87	64	70	115	129	116	70	98	91	52	98	105	47	70	110	99	161	49	87	33	12									
		17.80%	20.45%	18.39%	19.64%	16.12%	17.87%	17.85%	20.75%	18.71%	19.78%	19.33%	17.25%	18.67%	19.38%	25.30%	16.74%	18.69%	18.76%	16.30%	15.94%	20.26%	14.99%	17.63%	16.50%	19.35%	17.93%	17.37%	16.88%	15.71%	15.87%	17.35%	12.30%	18.25%	15.88%	22.10%	13.02%	16.73%	17.20%	16.20%	19.66%	19.72%	22.01%	21.08%	19.25%	18.20%	12.09%	15.96%	17.38%	11.87%	16.09%	20.11%	18.37%	16.63%	11.48%	19.91%	30.56%	8.16%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	462	6	9	14	12	7	6	10	6	12	13	17	8	14	2	10	13	11	10	3	14	19	14	11	7	6	9	8	9	4	8	6	12	9	12	8	3	7	8	11	5	7	2	7	8	11	6	9	1	5	9	7	6	9	2	0	0									
		1.55%	0.90%	2.07%	2.31%	2.17%	1.58%	1.01%	1.50%	1.25%	1.67%	1.50%	2.57%	1.33%	2.30%	0.61%	2.23%	2.13%	2.35%	1.57%	0.47%	2.27%	2.66%	2.52%	2.21%	1.91%	1.17%	1.82%	1.69%	2.24%	0.53%	1.74%	1.05%	2.11%	2.23%	1.48%	1.77%	0.58%	1.88%	1.85%	1.88%	0.76%	1.33%	0.60%	1.38%	1.60%	2.56%	0.98%	1.49%	0.25%	1.15%	1.65%	1.30%	0.62%	2.11%	0.46%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	828	18	6	12	13	16	16	7	23	14	26	15	21	17	12	13	28	24	21	19	19	18	9	12	13	8	8	15	17	27	14	17	18	6	17	16	10	7	11	20	33	11	7	8	13	15	20	17	4	18	22	22	10	13	12	0	0									
		2.78%	2.69%	1.38%	1.98%	2.36%	3.62%	2.69%	1.05%	4.78%	1.95%	2.99%	2.27%	3.50%	2.79%	3.66%	2.90%	4.59%	5.12%	3.29%	2.97%	3.08%	2.52%	1.62%	2.41%	3.54%	1.56%	1.62%	3.16%	4.24%	3.60%	3.04%	2.99%	3.16%	1.49%	2.10%	3.53%	1.92%	1.88%	2.55%	3.42%	5.05%	2.09%	2.11%	1.57%	2.60%	3.49%	3.26%	2.81%	1.01%	4.14%	4.02%	4.08%	1.03%	3.04%	2.75%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	36	2	0	0	0	1	0	0	1	1	2	0	1	2	0	1	0	4	0	0	0	1	1	0	0	0	1	0	0	1	1	2	1	1	1	0	0	0	0	1	1	2	0	0	1	1	0	1	1	0	0	0	2	1	0	0	0									
		0.12%	0.30%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.21%	0.14%	0.23%	0.00%	0.17%	0.33%	0.00%	0.22%	0.00%	0.85%	0.00%	0.00%	0.00%	0.14%	0.18%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.13%	0.22%	0.35%	0.18%	0.25%	0.12%	0.00%	0.00%	0.00%	0.00%	0.17%	0.15%	0.38%	0.00%	0.00%	0.20%	0.23%	0.00%	0.17%	0.25%	0.00%	0.00%	0.00%	0.21%	0.23%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	881	19	19	16	19	23	17	37	10	14	23	13	16	30	10	15	10	31	20	11	21	22	14	11	10	18	21	17	16	33	11	12	18	7	13	20	17	8	7	15	21	21	7	9	12	16	21	17	6	16	13	12	17	21	6	2	0									
		2.96%	2.84%	4.37%	2.64%	3.44%	5.20%	2.86%	5.56%	2.08%	1.95%	2.65%	1.97%	2.67%	4.93%	3.05%	3.35%	1.64%	6.61%	3.13%	1.72%	3.40%	3.08%	2.52%	2.21%	2.72%	3.51%	4.24%	3.59%	3.99%	4.40%	2.39%	2.11%	3.16%	1.74%	1.60%	4.42%	3.27%	2.15%	1.62%	2.56%	3.21%	3.98%	2.11%	1.77%	2.40%	3.72%	3.42%	2.81%	1.52%	3.68%	2.38%	2.23%	1.76%	4.92%	1.37%	1.85%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5952	119	84	114	99	78	123	112	72	127	187	119	137	106	57	83	116	87	132	146	129	163	119	110	81	109	103	83	98	201	106	173	121	96	110	99	132	89	88	103	118	100	72	109	117	83	123	121	29	79	138	94	103	108	100	10	37									
		19.99%	17.76%	19.31%	18.81%	17.93%	17.65%	20.71%	16.84%	14.97%	17.69%	21.52%	18.00%	22.83%	17.41%	17.38%	18.53%	19.02%	18.55%	20.69%	22.81%	20.91%	22.83%	21.40%	22.13%	22.07%	21.25%	20.81%	17.51%	24.44%	26.80%	22.99%	30.40%	21.23%	23.82%	13.58%	21.85%	25.38%	23.92%	20.37%	17.61%	18.04%	18.98%	21.69%	21.41%	23.40%	19.30%	20.03%	20.03%	7.32%	18.16%	25.23%	17.44%	10.64%	25.29%	22.88%	9.26%	25.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	134	9	1	2	5	0	3	2	2	3	3	5	3	3	2	2	2	0	5	7	6	2	1	1	0	3	3	1	2	1	0	2	1	2	7	3	0	1	2	3	1	4	1	2	3	2	1	2	2	2	3	6	3	1	0	0	1									
		0.45%	1.34%	0.23%	0.33%	0.91%	0.00%	0.51%	0.30%	0.42%	0.42%	0.35%	0.76%	0.50%	0.49%	0.61%	0.45%	0.33%	0.00%	0.78%	1.09%	0.97%	0.28%	0.18%	0.20%	0.00%	0.58%	0.61%	0.21%	0.50%	0.13%	0.00%	0.35%	0.18%	0.50%	0.86%	0.66%	0.00%	0.27%	0.46%	0.51%	0.15%	0.76%	0.30%	0.39%	0.60%	0.47%	0.16%	0.33%	0.51%	0.46%	0.55%	1.11%	0.31%	0.23%	0.00%	0.00%	0.68%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2696	68	63	95	83	61	80	86	50	115	66	61	60	71	22	52	64	39	48	50	43	60	51	45	27	51	48	47	33	58	39	58	44	23	50	24	42	21	30	52	46	41	27	49	36	39	56	56	11	53	39	35	38	40	35	6	9									
		9.06%	10.15%	14.48%	15.68%	15.04%	13.80%	13.47%	12.93%	10.40%	16.02%	7.59%	9.23%	10.00%	11.66%	6.71%	11.61%	10.49%	8.32%	7.52%	7.81%	6.97%	8.40%	9.17%	9.05%	7.36%	9.94%	9.70%	9.92%	8.23%	7.73%	8.46%	10.19%	7.72%	5.71%	6.17%	5.30%	8.08%	5.65%	6.94%	8.89%	7.03%	7.78%	8.13%	9.63%	7.20%	9.07%	9.12%	9.27%	2.78%	12.18%	7.13%	6.49%	3.93%	9.37%	8.01%	5.56%	6.12%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
