Выборы Президента Российской Федерации																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Омск, Советская"																																																																																																					
																																																																																																					
Итоги голосования 																																																																																																					
																																																																																																					
		Сумма	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760					
		65.80%	67.31%	69.17%	67.15%	68.95%	66.36%	66.06%	65.95%	62.33%	62.64%	64.44%	58.56%	60.59%	67.13%	65.14%	66.50%	64.77%	68.09%	65.65%	62.32%	66.79%	70.59%	65.53%	61.83%	64.38%	64.77%	69.82%	65.69%	64.64%	70.48%	69.48%	67.37%	66.14%	67.70%	69.08%	66.88%	66.45%	67.13%	65.67%	65.19%	68.08%	65.52%	66.12%	64.57%	63.79%	63.68%	65.56%	69.19%	68.65%	64.44%	65.85%	66.26%	65.63%	65.50%	64.86%	66.54%	66.50%	66.47%	64.46%	67.71%	65.66%	66.95%	68.17%	64.81%	65.90%	68.08%	65.81%	66.61%	68.84%	63.23%	64.93%	64.45%	66.60%	67.06%	67.08%	65.95%	63.96%	61.62%	72.67%	65.56%	63.06%	64.27%	64.75%	61.29%	68.32%	60.89%	69.74%	62.73%	63.94%	58.96%	60.47%	76.39%	60.11%	80.11%	69.19%					
22	. Хакамада Ирина Муцуовна	7345	23	47	60	62	118	107	74	94	85	143	145	126	78	88	75	48	39	97	71	107	54	62	106	115	66	74	108	62	64	88	86	67	52	66	73	72	119	95	93	64	63	73	92	82	73	77	101	95	87	128	103	109	74	79	64	62	77	72	61	81	70	67	58	77	81	61	69	26	64	95	107	96	92	76	89	80	98	83	67	56	106	86	55	22	131	84	118	67	86	134	4	4	5	5					
		5.98%	2.94%	3.80%	4.18%	3.80%	7.66%	6.51%	6.35%	7.83%	7.02%	9.11%	9.66%	8.11%	5.69%	6.03%	5.29%	3.37%	2.34%	6.56%	4.70%	6.39%	4.05%	4.90%	7.77%	7.45%	5.14%	6.14%	8.29%	5.45%	5.38%	5.94%	5.87%	4.57%	3.93%	4.47%	5.22%	5.10%	7.24%	7.07%	7.08%	5.76%	5.29%	5.41%	6.64%	5.70%	5.36%	5.46%	6.58%	6.49%	6.33%	7.67%	6.26%	7.19%	4.71%	5.43%	4.88%	4.43%	5.11%	5.67%	5.31%	5.69%	5.48%	6.18%	5.22%	5.68%	6.03%	4.51%	5.61%	3.14%	6.05%	7.61%	6.90%	6.68%	7.18%	5.19%	6.83%	5.20%	6.56%	4.87%	6.03%	6.07%	7.20%	7.62%	6.34%	2.60%	6.99%	4.28%	9.16%	7.30%	8.02%	11.27%	5.56%	2.19%	2.69%	2.91%					
23	. Харитонов Николай Михайлович	18655	142	193	258	214	181	244	198	188	213	209	253	261	204	187	213	293	318	212	266	201	172	210	218	232	210	151	186	195	144	207	223	234	205	220	234	243	215	184	167	162	191	208	238	265	244	257	170	149	208	211	221	225	274	243	220	252	226	202	178	199	195	154	188	227	186	230	192	140	165	202	237	169	169	200	185	246	257	148	152	160	222	175	158	138	332	216	212	143	185	151	5	46	8	21					
		15.18%	18.14%	15.61%	17.99%	13.10%	11.75%	14.84%	16.98%	15.67%	17.60%	13.32%	16.86%	16.81%	14.87%	12.81%	15.02%	20.56%	19.08%	14.33%	17.62%	12.01%	12.90%	16.60%	15.97%	15.03%	16.37%	12.52%	14.27%	17.15%	12.11%	13.98%	15.22%	15.97%	15.51%	14.92%	16.74%	17.20%	13.09%	13.70%	12.72%	14.57%	16.02%	15.42%	17.17%	18.42%	17.90%	18.21%	11.07%	10.18%	15.13%	12.64%	13.43%	14.84%	17.44%	16.71%	16.77%	18.00%	15.01%	15.92%	15.49%	13.97%	15.27%	14.21%	16.92%	16.75%	13.84%	16.99%	15.60%	16.91%	15.60%	16.17%	15.29%	11.76%	13.19%	13.66%	14.19%	16.01%	17.21%	8.68%	13.67%	17.33%	15.08%	15.50%	18.20%	16.31%	17.72%	11.00%	16.46%	15.58%	17.26%	12.70%	6.94%	25.14%	4.30%	12.21%					
																																																																																																					
24	Против всех	5270	17	42	43	74	82	69	39	59	50	53	82	72	49	77	86	48	46	57	51	83	46	48	63	64	58	50	41	43	47	57	55	61	44	45	50	55	82	67	67	42	33	40	55	58	57	52	79	79	59	73	81	52	52	55	42	46	73	60	42	92	64	32	56	67	52	45	43	28	59	45	60	68	55	76	57	65	70	107	52	33	72	53	31	31	104	146	53	42	47	74	1	5	20	13					
		4.29%	2.17%	3.40%	3.00%	4.53%	5.32%	4.20%	3.34%	4.92%	4.13%	3.38%	5.46%	4.64%	3.57%	5.27%	6.06%	3.37%	2.76%	3.85%	3.38%	4.96%	3.45%	3.79%	4.62%	4.15%	4.52%	4.15%	3.15%	3.78%	3.95%	3.85%	3.75%	4.16%	3.33%	3.05%	3.58%	3.89%	4.99%	4.99%	5.10%	3.78%	2.77%	2.97%	3.97%	4.03%	4.18%	3.69%	5.15%	5.40%	4.29%	4.37%	4.92%	3.43%	3.31%	3.78%	3.20%	3.29%	4.85%	4.73%	3.66%	6.46%	5.01%	2.95%	5.04%	4.94%	3.87%	3.32%	3.49%	3.38%	5.58%	3.60%	3.87%	4.73%	4.29%	5.19%	4.37%	4.23%	4.69%	6.28%	4.68%	3.58%	4.89%	4.69%	3.57%	3.66%	5.55%	7.44%	4.11%	4.58%	4.38%	6.22%	1.39%	2.73%	10.75%	7.56%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
