Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Коченевская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	806	28	10	12	3	32	7	5	35	10	30	5	65	9	14	4	28	3	30	20	20	10	12	14	6	10	9	10	13	3	10	25	15	20	6	5	5	6	20	17	20	5	5	20	20	25	20	25	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	553	24	9	9	3	32	6	5	35	10	30	5	65	9	14	4	13	3	4	0	2	1	2	7	4	5	0	10	9	0	7	25	15	20	6	5	1	6	20	17	15	1	5	5	3	17	11	15	14	4	10	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	238	5	1	2	2	3	2	1	1	1	6	2	4	2	3	2	13	8	2	4	1	0	1	2	3	7	1	1	4	6	9	11	30	1	2	2	0	3	3	2	2	1	3	8	10	8	5	10	10	10	7	11									
14	Число погашенных неиспользованных открепительных удостоверений	253	4	1	3	0	0	1	0	0	0	0	0	0	0	0	0	15	0	26	20	18	9	10	7	2	5	9	0	4	3	3	0	0	0	0	0	4	0	0	0	5	4	0	15	17	8	9	10	6	16	10	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	8	8	29	9	5	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	203	6	1	1	0	2	0	0	2	0	6	1	3	0	1	2	8	0	20	4	3	2	2	0	1	1	0	1	0	0	2	5	0	6	1	2	0	1	1	6	3	4	0	21	11	16	12	19	13	7	3	3									
		1.57%	1.53%	0.72%	0.90%	0.00%	0.49%	0.00%	0.00%	0.96%	0.00%	1.73%	2.56%	0.74%	0.00%	0.57%	3.57%	1.40%	0.00%	2.48%	1.98%	1.06%	2.41%	1.87%	0.00%	1.35%	1.08%	0.00%	1.00%	0.00%	0.00%	1.96%	1.23%	0.00%	1.97%	0.97%	2.44%	0.00%	0.90%	0.39%	2.76%	1.00%	6.06%	0.00%	3.23%	1.92%	3.10%	2.45%	1.79%	1.88%	1.46%	0.75%	0.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	501	9	3	3	2	23	0	4	15	3	11	1	11	0	8	0	15	3	30	8	19	2	7	5	3	2	2	3	5	2	2	13	1	14	0	3	0	4	8	6	15	1	2	35	33	21	22	28	36	16	15	27									
		3.88%	2.30%	2.16%	2.70%	4.88%	5.67%	0.00%	10.81%	7.21%	2.83%	3.17%	2.56%	2.70%	0.00%	4.60%	0.00%	2.62%	7.50%	3.72%	3.96%	6.71%	2.41%	6.54%	4.20%	4.05%	2.15%	1.71%	3.00%	3.70%	4.00%	1.96%	3.21%	1.30%	4.59%	0.00%	3.66%	0.00%	3.60%	3.10%	2.76%	5.00%	1.52%	3.85%	5.38%	5.75%	4.07%	4.49%	2.64%	5.20%	3.33%	3.76%	4.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	219	5	1	0	0	11	2	0	2	2	2	0	3	0	7	1	4	0	16	3	9	1	3	3	1	2	1	2	2	1	1	7	0	2	2	2	0	2	4	3	7	0	0	9	16	9	11	9	23	6	17	5									
		1.70%	1.28%	0.72%	0.00%	0.00%	2.71%	2.78%	0.00%	0.96%	1.89%	0.58%	0.00%	0.74%	0.00%	4.02%	1.79%	0.70%	0.00%	1.99%	1.49%	3.18%	1.20%	2.80%	2.52%	1.35%	2.15%	0.85%	2.00%	1.48%	2.00%	0.98%	1.73%	0.00%	0.66%	1.94%	2.44%	0.00%	1.80%	1.55%	1.38%	2.33%	0.00%	0.00%	1.38%	2.79%	1.74%	2.24%	0.85%	3.32%	1.25%	4.26%	0.87%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6346	201	86	78	27	198	44	27	103	52	172	23	251	20	79	31	322	18	379	81	124	33	47	56	31	49	76	50	77	35	43	261	57	158	71	54	14	64	148	108	150	25	19	280	237	221	218	543	292	221	155	237									
		49.20%	51.41%	61.87%	70.27%	65.85%	48.77%	61.11%	72.97%	49.52%	49.06%	49.57%	58.97%	61.52%	43.48%	45.40%	55.36%	56.20%	45.00%	47.02%	40.10%	43.82%	39.76%	43.93%	47.06%	41.89%	52.69%	64.96%	50.00%	57.04%	70.00%	42.16%	64.44%	74.03%	51.80%	68.93%	65.85%	66.67%	57.66%	57.36%	49.77%	50.00%	37.88%	36.54%	43.08%	41.29%	42.83%	44.49%	51.23%	42.20%	46.04%	38.85%	41.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	63	1	0	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	5	4	2	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0	0	8	3	3	1	8	4	1	5	4									
		0.49%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.29%	0.00%	0.00%	0.00%	1.72%	0.00%	0.17%	0.00%	0.62%	1.98%	0.71%	1.20%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	2.00%	0.98%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%	0.00%	0.00%	1.23%	0.52%	0.58%	0.20%	0.75%	0.58%	0.21%	1.25%	0.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	27	0	0	0	0	2	0	1	1	0	2	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	4	5	1	1	0	2									
		0.21%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	2.70%	0.48%	0.00%	0.58%	2.56%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.30%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.82%	0.47%	0.14%	0.21%	0.00%	0.35%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2766	88	30	19	7	76	21	5	47	25	86	7	82	18	48	21	148	11	134	54	64	27	29	36	20	17	25	26	24	8	36	57	9	61	16	9	5	19	50	64	76	15	12	104	128	112	76	232	128	98	105	151									
		21.44%	22.51%	21.58%	17.12%	17.07%	18.72%	29.17%	13.51%	22.60%	23.58%	24.78%	17.95%	20.10%	39.13%	27.59%	37.50%	25.83%	27.50%	16.63%	26.73%	22.61%	32.53%	27.10%	30.25%	27.03%	18.28%	21.37%	26.00%	17.78%	16.00%	35.29%	14.07%	11.69%	20.00%	15.53%	10.98%	23.81%	17.12%	19.38%	29.49%	25.33%	22.73%	23.08%	16.00%	22.30%	21.71%	15.51%	21.89%	18.50%	20.42%	26.32%	26.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	55	2	0	0	0	1	1	0	1	1	0	0	4	0	0	0	0	1	5	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	1	3	4	3	4	6	4	2	3									
		0.43%	0.51%	0.00%	0.00%	0.00%	0.25%	1.39%	0.00%	0.48%	0.94%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	2.50%	0.62%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.85%	1.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	1.16%	0.00%	0.00%	0.00%	0.00%	0.15%	0.52%	0.78%	0.61%	0.38%	0.87%	0.83%	0.50%	0.52%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	45	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	1	1	0	1	0	0	0	0	1	2	0	0	1	0	1	2	0	0	1	2	0	0	0	0	1	3	3	0	9	5	1	1	0									
		0.35%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.87%	0.50%	0.35%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	1.00%	1.48%	0.00%	0.00%	0.25%	0.00%	0.33%	1.94%	0.00%	0.00%	0.90%	0.78%	0.00%	0.00%	0.00%	0.00%	0.15%	0.52%	0.58%	0.00%	0.85%	0.72%	0.21%	0.25%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.25%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.35%	0.00%	0.20%	0.09%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	94	4	1	0	0	1	0	0	0	1	1	0	0	0	7	0	3	0	7	2	3	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	8	3	3	8	13	8	9	2	1									
		0.73%	1.02%	0.72%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.94%	0.29%	0.00%	0.00%	0.00%	4.02%	0.00%	0.52%	0.00%	0.87%	0.99%	1.06%	0.00%	0.93%	0.00%	0.00%	1.08%	0.85%	0.00%	0.74%	0.00%	0.98%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.39%	0.00%	0.33%	0.00%	0.00%	1.23%	0.52%	0.58%	1.63%	1.23%	1.16%	1.88%	0.50%	0.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1762	49	11	8	4	71	2	0	15	13	44	4	35	8	13	1	32	3	147	26	35	13	13	13	16	15	6	10	18	1	8	46	8	32	6	3	0	15	28	15	35	16	18	137	92	96	95	122	121	81	64	98									
		13.66%	12.53%	7.91%	7.21%	9.76%	17.49%	2.78%	0.00%	7.21%	12.26%	12.68%	10.26%	8.58%	17.39%	7.47%	1.79%	5.58%	7.50%	18.24%	12.87%	12.37%	15.66%	12.15%	10.92%	21.62%	16.13%	5.13%	10.00%	13.33%	2.00%	7.84%	11.36%	10.39%	10.49%	5.83%	3.66%	0.00%	13.51%	10.85%	6.91%	11.67%	24.24%	34.62%	21.08%	16.03%	18.60%	19.39%	11.51%	17.49%	16.88%	16.04%	17.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	2	1	1	0	2	0	0	1	0	1	0	1	0	2	0	2	0	2	0	2	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	4	1	2	5	4	2	2	3									
		0.36%	0.51%	0.72%	0.90%	0.00%	0.49%	0.00%	0.00%	0.48%	0.00%	0.29%	0.00%	0.25%	0.00%	1.15%	0.00%	0.35%	0.00%	0.25%	0.00%	0.71%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.25%	1.30%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.46%	0.00%	0.00%	0.00%	0.15%	0.70%	0.19%	0.41%	0.47%	0.58%	0.42%	0.50%	0.52%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	359	13	2	0	1	8	0	0	5	4	8	0	9	0	2	0	8	2	31	3	9	4	0	4	0	1	4	0	2	0	3	2	0	8	3	3	0	1	5	6	9	1	1	32	23	14	18	31	22	18	17	22									
		2.78%	3.32%	1.44%	0.00%	2.44%	1.97%	0.00%	0.00%	2.40%	3.77%	2.31%	0.00%	2.21%	0.00%	1.15%	0.00%	1.40%	5.00%	3.85%	1.49%	3.18%	4.82%	0.00%	3.36%	0.00%	1.08%	3.42%	0.00%	1.48%	0.00%	2.94%	0.49%	0.00%	2.62%	2.91%	3.66%	0.00%	0.90%	1.94%	2.76%	3.00%	1.52%	1.92%	4.92%	4.01%	2.71%	3.67%	2.92%	3.18%	3.75%	4.26%	3.82%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
