Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    район Текстильщики     																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК  3128	УИК  3129	УИК  3130					
		7.83%	8.31%	7.37%	6.78%	8.58%	7.84%	8.16%	6.49%	6.93%	6.57%	8.74%	8.17%	6.25%	8.28%	8.66%	5.81%	7.26%	9.19%	7.04%	13.80%	6.80%	8.62%	8.25%	5.79%	7.86%	7.60%	9.49%	7.86%	1.98%	3.31%	6.60%					
																																					
24	Против всех	1977	59	85	63	84	94	94	86	60	85	59	81	82	55	48	96	58	77	49	83	65	44	87	40	97	73	67	45	8	13	40					
		5.61%	5.64%	5.60%	4.69%	6.16%	7.02%	6.56%	5.58%	4.78%	5.27%	5.06%	5.51%	6.32%	5.48%	4.72%	5.31%	5.61%	6.55%	5.47%	4.79%	6.50%	3.87%	5.88%	3.73%	6.15%	5.55%	7.23%	5.05%	7.92%	8.61%	7.13%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
