Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Мичуринская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	169	12	17	10	9	6	0	3	1	9	5	2	10	7	9	1	2	0	8	3	0	2	2	0	4	1	2	0	4	0	3	0	0	1	3	1	3	0	2	1	2	1	2	2	2	3	1	4	1	7	1					
		1.22%	1.88%	2.35%	1.58%	1.14%	1.11%	0.0%	1.07%	0.44%	3.33%	3.28%	0.79%	2.92%	1.22%	1.53%	1.16%	1.68%	0.0%	1.30%	0.97%	0.0%	0.71%	0.48%	0.0%	0.88%	0.49%	1.35%	0.0%	1.64%	0.0%	1.58%	0.0%	0.0%	0.50%	1.21%	0.71%	0.87%	0.0%	1.88%	0.42%	0.58%	0.47%	1.85%	0.80%	0.71%	1.86%	0.36%	1.49%	0.39%	2.00%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	812	25	59	33	61	28	2	14	19	26	3	7	12	23	16	7	4	4	23	15	7	24	25	5	17	26	10	18	25	4	20	19	6	4	15	8	11	7	5	16	14	13	6	13	17	13	11	17	30	16	9					
		5.88%	3.93%	8.17%	5.24%	7.77%	5.22%	4.08%	5.01%	8.48%	9.62%	1.97%	2.77%	3.50%	4.02%	2.72%	8.13%	3.36%	5.79%	3.73%	4.85%	6.54%	8.63%	6.03%	2.85%	3.77%	12.74%	6.75%	14.17%	10.28%	5.26%	10.58%	12.02%	7.31%	2.02%	6.07%	5.71%	3.21%	9.72%	4.71%	6.83%	4.10%	6.13%	5.55%	5.24%	6.09%	8.07%	4.02%	6.36%	11.71%	4.58%	11.68%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	259	10	9	16	22	20	2	6	3	5	1	6	6	8	12	0	2	1	14	14	4	8	5	4	6	3	1	2	4	2	3	1	0	4	3	3	5	2	0	7	4	1	2	4	1	3	0	3	6	10	1					
		1.87%	1.57%	1.24%	2.54%	2.80%	3.73%	4.08%	2.15%	1.33%	1.85%	0.65%	2.38%	1.75%	1.39%	2.04%	0.0%	1.68%	1.44%	2.27%	4.53%	3.73%	2.87%	1.20%	2.28%	1.33%	1.47%	0.67%	1.57%	1.64%	2.63%	1.58%	0.63%	0.0%	2.02%	1.21%	2.14%	1.46%	2.77%	0.0%	2.99%	1.17%	0.47%	1.85%	1.61%	0.35%	1.86%	0.0%	1.12%	2.34%	2.86%	1.29%					
22	"5. ""За Русь Святую"""	124	9	3	7	4	5	1	2	0	0	3	2	3	2	8	2	1	1	6	0	0	7	6	2	5	3	2	3	5	1	3	2	1	1	4	0	1	2	1	0	2	0	0	1	1	1	5	1	2	3	0					
		0.89%	1.41%	0.41%	1.11%	0.50%	0.93%	2.04%	0.71%	0.0%	0.0%	1.97%	0.79%	0.87%	0.34%	1.36%	2.32%	0.84%	1.44%	0.97%	0.0%	0.0%	2.51%	1.44%	1.14%	1.11%	1.47%	1.35%	2.36%	2.05%	1.31%	1.58%	1.26%	1.21%	0.50%	1.61%	0.0%	0.29%	2.77%	0.94%	0.0%	0.58%	0.0%	0.0%	0.40%	0.35%	0.62%	1.83%	0.37%	0.78%	0.85%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	45	1	2	3	0	0	0	1	0	0	0	0	3	2	2	1	0	1	1	1	0	2	5	1	0	0	0	2	0	1	2	0	0	0	2	0	1	1	0	0	5	0	2	0	0	0	2	0	1	0	0					
		0.32%	0.15%	0.27%	0.47%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.87%	0.34%	0.34%	1.16%	0.0%	1.44%	0.16%	0.32%	0.0%	0.71%	1.20%	0.57%	0.0%	0.0%	0.0%	1.57%	0.0%	1.31%	1.05%	0.0%	0.0%	0.0%	0.80%	0.0%	0.29%	1.38%	0.0%	0.0%	1.46%	0.0%	1.85%	0.0%	0.0%	0.0%	0.73%	0.0%	0.39%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	88	3	9	6	5	4	0	0	0	2	0	3	3	5	13	1	0	0	2	0	0	1	4	0	4	0	0	0	2	0	2	0	0	0	2	0	4	0	0	2	1	0	1	2	0	2	1	1	1	1	1					
		0.63%	0.47%	1.24%	0.95%	0.63%	0.74%	0.0%	0.0%	0.0%	0.74%	0.0%	1.19%	0.87%	0.87%	2.21%	1.16%	0.0%	0.0%	0.32%	0.0%	0.0%	0.35%	0.96%	0.0%	0.88%	0.0%	0.0%	0.0%	0.82%	0.0%	1.05%	0.0%	0.0%	0.0%	0.80%	0.0%	1.16%	0.0%	0.0%	0.85%	0.29%	0.0%	0.92%	0.80%	0.0%	1.24%	0.36%	0.37%	0.39%	0.28%	1.29%					
25	"8. ""Народно-республиканская партия России"""	23	1	3	1	1	1	0	2	0	1	0	0	2	1	1	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0					
		0.16%	0.15%	0.41%	0.15%	0.12%	0.18%	0.0%	0.71%	0.0%	0.37%	0.0%	0.0%	0.58%	0.17%	0.17%	0.0%	0.84%	0.0%	0.0%	0.64%	0.0%	0.35%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	24	3	4	1	1	1	0	2	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0					
		0.17%	0.47%	0.55%	0.15%	0.12%	0.18%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.34%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	1.31%	0.52%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.42%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.28%	0.0%					
27	"10. ""Аграрная партия России"""	764	26	17	18	26	45	2	10	16	19	16	27	19	23	12	3	6	3	15	25	7	15	33	8	29	7	5	0	16	11	4	3	1	21	7	17	22	5	5	25	35	21	10	26	16	10	19	19	20	18	1					
		5.53%	4.09%	2.35%	2.86%	3.31%	8.39%	4.08%	3.58%	7.14%	7.03%	10.52%	10.71%	5.55%	4.02%	2.04%	3.48%	5.04%	4.34%	2.43%	8.09%	6.54%	5.39%	7.97%	4.57%	6.44%	3.43%	3.37%	0.0%	6.58%	14.47%	2.11%	1.89%	1.21%	10.60%	2.83%	12.14%	6.43%	6.94%	4.71%	10.68%	10.26%	9.90%	9.25%	10.48%	5.73%	6.21%	6.95%	7.11%	7.81%	5.15%	1.29%					
28	"11. ""Истинные патриоты России"""	18	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0	1	0	0	1	1	1	0					
		0.13%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.34%	1.16%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	2.83%	0.0%	0.0%	0.47%	0.0%	0.0%	0.35%	0.0%	0.0%	0.37%	0.39%	0.28%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	114	9	4	4	5	5	0	4	3	3	2	0	2	2	5	0	0	1	7	0	1	2	2	4	2	5	0	0	3	0	4	5	1	2	3	4	2	0	0	2	2	3	1	0	1	1	0	2	1	5	0					
		0.82%	1.41%	0.55%	0.63%	0.63%	0.93%	0.0%	1.43%	1.33%	1.11%	1.31%	0.0%	0.58%	0.34%	0.85%	0.0%	0.0%	1.44%	1.13%	0.0%	0.93%	0.71%	0.48%	2.28%	0.44%	2.45%	0.0%	0.0%	1.23%	0.0%	2.11%	3.16%	1.21%	1.01%	1.21%	2.85%	0.58%	0.0%	0.0%	0.85%	0.58%	1.41%	0.92%	0.0%	0.35%	0.62%	0.0%	0.74%	0.39%	1.43%	0.0%					
30	"13. ""Демократическая партия России"""	22	1	0	2	0	1	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	3	0	0	0	1	0	0					
		0.15%	0.15%	0.0%	0.31%	0.0%	0.18%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.48%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.58%	0.0%	0.0%	0.0%	0.29%	0.0%	0.92%	0.0%	1.07%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	39	2	1	0	1	5	0	1	0	0	0	0	1	2	3	0	1	0	2	1	0	0	1	1	3	1	0	0	1	0	0	1	1	1	1	0	2	0	0	1	0	0	1	0	0	0	2	1	1	0	0					
		0.28%	0.31%	0.13%	0.0%	0.12%	0.93%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.29%	0.34%	0.51%	0.0%	0.84%	0.0%	0.32%	0.32%	0.0%	0.0%	0.24%	0.57%	0.66%	0.49%	0.0%	0.0%	0.41%	0.0%	0.0%	0.63%	1.21%	0.50%	0.40%	0.0%	0.58%	0.0%	0.0%	0.42%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.73%	0.37%	0.39%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	11	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.15%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1086	41	73	74	84	29	3	15	12	9	13	19	29	58	89	2	6	7	31	19	4	13	42	14	38	17	14	3	34	7	20	15	3	6	15	9	25	2	3	22	18	4	7	25	10	12	25	20	16	24	6					
		7.87%	6.45%	10.11%	11.76%	10.70%	5.41%	6.12%	5.37%	5.35%	3.33%	8.55%	7.53%	8.47%	10.13%	15.13%	2.32%	5.04%	10.14%	5.04%	6.14%	3.73%	4.67%	10.14%	8.0%	8.44%	8.33%	9.45%	2.36%	13.99%	9.21%	10.58%	9.49%	3.65%	3.03%	6.07%	6.42%	7.30%	2.77%	2.83%	9.40%	5.27%	1.88%	6.48%	10.08%	3.58%	7.45%	9.15%	7.49%	6.25%	6.87%	7.79%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	1	4	1	1	2	1	0	0	1	0	1	1	2	2	0	1	0	1	1	1	1	0	0	0	3	1	0	0	1	1	0	0	0	0	0	3	0	0	1	0	1	0	1	2	1	2	0	0	0	0					
		0.28%	0.15%	0.55%	0.15%	0.12%	0.37%	2.04%	0.0%	0.0%	0.37%	0.0%	0.39%	0.29%	0.34%	0.34%	0.0%	0.84%	0.0%	0.16%	0.32%	0.93%	0.35%	0.0%	0.0%	0.0%	1.47%	0.67%	0.0%	0.0%	1.31%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.42%	0.0%	0.47%	0.0%	0.40%	0.71%	0.62%	0.73%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1691	72	87	89	93	63	1	47	15	42	13	36	45	67	76	10	11	12	60	59	15	31	47	22	66	43	13	20	26	7	27	21	2	26	48	16	34	5	11	20	55	23	5	40	27	26	36	20	19	30	12					
		12.25%	11.33%	12.04%	14.14%	11.84%	11.75%	2.04%	16.84%	6.69%	15.55%	8.55%	14.28%	13.15%	11.71%	12.92%	11.62%	9.24%	17.39%	9.75%	19.09%	14.01%	11.15%	11.35%	12.57%	14.66%	21.07%	8.78%	15.74%	10.69%	9.21%	14.28%	13.29%	2.43%	13.13%	19.43%	11.42%	9.94%	6.94%	10.37%	8.54%	16.12%	10.84%	4.62%	16.12%	9.67%	16.14%	13.18%	7.49%	7.42%	8.59%	15.58%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	271	11	17	6	19	8	5	5	8	4	5	4	6	9	8	1	2	0	7	5	1	3	16	5	10	5	1	1	1	3	8	0	1	6	5	0	7	3	5	2	12	4	5	6	7	5	1	4	4	9	1					
		1.96%	1.73%	2.35%	0.95%	2.42%	1.49%	10.20%	1.79%	3.57%	1.48%	3.28%	1.58%	1.75%	1.57%	1.36%	1.16%	1.68%	0.0%	1.13%	1.61%	0.93%	1.07%	3.86%	2.85%	2.22%	2.45%	0.67%	0.78%	0.41%	3.94%	4.23%	0.0%	1.21%	3.03%	2.02%	0.0%	2.04%	4.16%	4.71%	0.85%	3.51%	1.88%	4.62%	2.41%	2.50%	3.10%	0.36%	1.49%	1.56%	2.57%	1.29%					
37	"20. ""Политическая партия ""Единая Россия"""	4241	237	233	192	264	150	15	73	57	71	49	68	135	200	162	17	51	20	211	91	39	61	125	53	130	34	63	30	71	16	41	62	42	67	93	14	142	27	34	49	69	61	46	79	100	46	85	87	55	102	22					
		30.74%	37.32%	32.27%	30.52%	33.63%	27.98%	30.61%	26.16%	25.44%	26.29%	32.23%	26.98%	39.47%	34.96%	27.55%	19.76%	42.85%	28.98%	34.30%	29.44%	36.44%	21.94%	30.19%	30.28%	28.88%	16.66%	42.56%	23.62%	29.21%	21.05%	21.69%	39.24%	51.21%	33.83%	37.65%	9.99%	41.52%	37.5%	32.07%	20.94%	20.23%	28.77%	42.59%	31.85%	35.84%	28.57%	31.13%	32.58%	21.48%	29.22%	28.57%					
38	"21. ""Российская Конституционно-демократическая партия"""	43	0	1	1	0	1	0	0	1	1	0	0	0	21	2	0	0	0	0	1	0	0	0	0	1	0	3	0	1	1	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3					
		0.31%	0.0%	0.13%	0.15%	0.0%	0.18%	0.0%	0.0%	0.44%	0.37%	0.0%	0.0%	0.0%	3.67%	0.34%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	2.02%	0.0%	0.41%	1.31%	0.52%	1.26%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.89%					
39	"22. ""Развитие предпринимательства"""	19	1	1	1	1	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	1					
		0.13%	0.15%	0.13%	0.15%	0.12%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	1.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.39%	0.57%	1.29%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2479	97	107	99	120	131	13	63	62	42	25	37	36	110	104	27	19	7	143	38	16	71	65	34	78	27	21	16	21	13	24	23	4	37	32	62	38	9	25	62	83	66	8	28	49	27	48	60	60	83	9					
		17.97%	15.27%	14.81%	15.73%	15.28%	24.44%	26.53%	22.58%	27.67%	15.55%	16.44%	14.68%	10.52%	19.23%	17.68%	31.39%	15.96%	10.14%	23.25%	12.29%	14.95%	25.53%	15.70%	19.42%	17.33%	13.23%	14.18%	12.59%	8.64%	17.10%	12.69%	14.55%	4.87%	18.68%	12.95%	44.28%	11.11%	12.5%	23.58%	26.49%	24.34%	31.13%	7.40%	11.29%	17.56%	16.77%	17.58%	22.47%	23.43%	23.78%	11.68%					
																																																									
41	Против всех	564	22	32	36	32	6	1	15	5	13	5	7	14	10	32	3	3	7	29	15	5	6	23	7	25	13	4	2	11	5	10	1	4	13	4	5	8	7	2	6	14	6	3	6	14	8	18	10	20	13	4					
		4.08%	3.46%	4.43%	5.72%	4.07%	1.11%	2.04%	5.37%	2.23%	4.81%	3.28%	2.77%	4.09%	1.74%	5.44%	3.48%	2.52%	10.14%	4.71%	4.85%	4.67%	2.15%	5.55%	4.0%	5.55%	6.37%	2.70%	1.57%	4.52%	6.57%	5.29%	0.63%	4.87%	6.56%	1.61%	3.57%	2.33%	9.72%	1.88%	2.56%	4.10%	2.83%	2.77%	2.41%	5.01%	4.96%	6.59%	3.74%	7.81%	3.72%	5.19%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
