Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Кочковская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489					
		1.89%	1.30%	1.77%	2.60%	2.38%	1.70%	1.59%	0.0%	1.26%	0.73%	1.15%	0.0%	1.07%	1.20%	2.85%	0.58%	1.10%	3.32%	3.05%					
22	"5. ""За Русь Святую"""	36	1	6	1	5	3	0	0	0	0	1	1	2	0	1	4	2	6	3					
		0.41%	0.13%	0.82%	0.43%	0.70%	0.46%	0.0%	0.0%	0.0%	0.0%	0.10%	0.61%	0.35%	0.0%	0.47%	2.32%	0.44%	0.43%	0.43%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	4	2	1	3	0	1	0	0	1	0	1	1	0	0	0	0	3	0					
		0.19%	0.52%	0.27%	0.43%	0.42%	0.0%	0.26%	0.0%	0.0%	0.36%	0.0%	0.61%	0.17%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	49	0	5	2	2	0	4	1	0	2	6	2	1	1	2	1	1	11	8					
		0.56%	0.0%	0.68%	0.86%	0.28%	0.0%	1.06%	0.91%	0.0%	0.73%	0.63%	1.22%	0.17%	0.60%	0.95%	0.58%	0.22%	0.79%	1.16%					
25	"8. ""Народно-республиканская партия России"""	26	2	0	4	2	3	0	1	1	2	2	1	1	1	0	0	1	3	2					
		0.29%	0.26%	0.0%	1.73%	0.28%	0.46%	0.0%	0.91%	1.26%	0.73%	0.21%	0.61%	0.17%	0.60%	0.0%	0.0%	0.22%	0.21%	0.29%					
26	"9. ""Российская экологическая партия ""Зеленые"""	17	1	2	1	0	0	1	0	0	2	2	0	3	0	0	0	1	4	0					
		0.19%	0.13%	0.27%	0.43%	0.0%	0.0%	0.26%	0.0%	0.0%	0.73%	0.21%	0.0%	0.53%	0.0%	0.0%	0.0%	0.22%	0.28%	0.0%					
27	"10. ""Аграрная партия России"""	903	121	85	17	60	55	31	13	5	38	136	12	51	32	31	14	69	81	52					
		10.41%	15.73%	11.62%	7.39%	8.42%	8.52%	8.24%	11.92%	6.32%	14.02%	14.30%	7.36%	9.10%	19.27%	14.76%	8.13%	15.26%	5.85%	7.55%					
28	"11. ""Истинные патриоты России"""	13	3	1	0	2	1	1	0	0	1	0	0	0	0	0	0	1	3	0					
		0.14%	0.39%	0.13%	0.0%	0.28%	0.15%	0.26%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.21%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	92	6	9	2	7	5	6	1	0	0	11	4	2	3	2	1	3	23	7					
		1.06%	0.78%	1.23%	0.86%	0.98%	0.77%	1.59%	0.91%	0.0%	0.0%	1.15%	2.45%	0.35%	1.80%	0.95%	0.58%	0.66%	1.66%	1.01%					
30	"13. ""Демократическая партия России"""	22	1	3	2	1	0	0	0	0	0	5	0	2	0	3	0	1	3	1					
		0.25%	0.13%	0.41%	0.86%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.35%	0.0%	1.42%	0.0%	0.22%	0.21%	0.14%					
31	"14. ""Великая Россия - Евразийский Союз"""	20	1	0	1	1	4	0	0	0	1	4	2	0	0	0	1	3	1	1					
		0.23%	0.13%	0.0%	0.43%	0.14%	0.62%	0.0%	0.0%	0.0%	0.36%	0.42%	1.22%	0.0%	0.0%	0.0%	0.58%	0.66%	0.07%	0.14%					
32	"15. ""Партия СЛОН"""	10	0	1	1	0	0	1	0	0	0	0	0	2	0	2	0	0	0	3					
		0.11%	0.0%	0.13%	0.43%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.95%	0.0%	0.0%	0.0%	0.43%					
33	"16. ""Родина"" (народно-патриотический союз)"""	493	78	32	4	50	40	19	10	6	12	33	7	18	5	5	11	15	101	47					
		5.68%	10.14%	4.37%	1.73%	7.02%	6.20%	5.05%	9.17%	7.59%	4.42%	3.47%	4.29%	3.21%	3.01%	2.38%	6.39%	3.31%	7.30%	6.83%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	3	4	2	5	5	1	0	0	1	4	1	0	4	1	0	3	2	2					
		0.43%	0.39%	0.54%	0.86%	0.70%	0.77%	0.26%	0.0%	0.0%	0.36%	0.42%	0.61%	0.0%	2.40%	0.47%	0.0%	0.66%	0.14%	0.29%					
35	"18. ""ЛДПР"""	1314	111	93	36	118	83	57	26	5	49	159	45	72	26	46	42	82	158	106					
		15.16%	14.43%	12.72%	15.65%	16.57%	12.86%	15.15%	23.85%	6.32%	18.08%	16.71%	27.60%	12.85%	15.66%	21.90%	24.41%	18.14%	11.42%	15.40%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	134	18	10	10	8	2	11	2	2	11	9	2	4	1	2	2	12	15	13					
		1.54%	2.34%	1.36%	4.34%	1.12%	0.31%	2.92%	1.83%	2.53%	4.05%	0.94%	1.22%	0.71%	0.60%	0.95%	1.16%	2.65%	1.08%	1.88%					
37	"20. ""Политическая партия ""Единая Россия"""	2476	176	252	67	151	162	107	24	29	63	302	43	204	38	39	43	93	439	244					
		28.56%	22.88%	34.47%	29.13%	21.20%	25.11%	28.45%	22.01%	36.70%	23.24%	31.75%	26.38%	36.42%	22.89%	18.57%	25.0%	20.57%	31.74%	35.46%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	1	2	0	1	1	0	0	0	0	2	0	0	0	0	1	0	1	1					
		0.11%	0.13%	0.27%	0.0%	0.14%	0.15%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.07%	0.14%					
39	"22. ""Развитие предпринимательства"""	16	0	0	0	0	1	1	1	0	0	2	0	2	1	3	0	1	3	1					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.15%	0.26%	0.91%	0.0%	0.0%	0.21%	0.0%	0.35%	0.60%	1.42%	0.0%	0.22%	0.21%	0.14%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1673	147	116	30	146	181	94	20	11	48	179	15	127	24	27	30	120	266	92					
		19.30%	19.11%	15.86%	13.04%	20.50%	28.06%	25.0%	18.34%	13.92%	17.71%	18.82%	9.20%	22.67%	14.45%	12.85%	17.44%	26.54%	19.23%	13.37%					
																									
41	Против всех	354	36	25	15	52	30	10	5	3	9	18	6	18	6	11	5	5	68	32					
		4.08%	4.68%	3.41%	6.52%	7.30%	4.65%	2.65%	4.58%	3.79%	3.32%	1.89%	3.68%	3.21%	3.61%	5.23%	2.90%	1.10%	4.91%	4.65%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
