Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Мариинская 																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	35	2	0	0	0	0	0	0	0	7	0	0	2	0	0	3	5	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0									
		0.10%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.15%	0.00%	0.00%	0.24%	0.37%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.48%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	143	0	4	2	1	6	1	15	17	5	4	3	2	2	3	8	3	4	1	0	1	39	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0	0	0	0	0	0	4	2	0	0	0	0	0	0	3	4	0	0	2									
		0.40%	0.00%	0.30%	0.17%	0.08%	0.44%	0.08%	1.52%	1.24%	0.49%	0.29%	0.26%	0.15%	0.20%	0.22%	0.65%	0.22%	0.30%	0.07%	0.00%	0.07%	8.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.28%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.48%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.38%	0.00%	0.00%	2.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	46	0	0	0	0	0	0	4	0	17	0	0	0	0	0	6	5	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	1.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.37%	0.30%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29176	967	1055	919	972	1067	955	819	1090	776	1156	923	1040	824	1114	1000	1107	1056	1193	395	1138	364	435	75	668	179	149	163	235	236	108	785	119	112	602	167	216	624	88	207	66	176	65	147	99	373	166	268	38	89	389	99	843	873	129	186	72									
		81.60%	81.67%	79.56%	76.08%	81.89%	77.54%	80.93%	83.06%	79.50%	75.63%	84.63%	81.04%	80.00%	82.81%	81.20%	81.57%	80.98%	79.58%	81.21%	84.76%	82.46%	82.54%	85.97%	85.23%	81.46%	83.26%	85.14%	84.90%	84.53%	84.89%	86.40%	80.60%	85.00%	87.50%	83.26%	83.92%	82.44%	81.04%	83.81%	85.19%	85.71%	84.21%	85.53%	87.50%	86.09%	83.63%	87.37%	87.30%	84.44%	84.76%	84.38%	81.82%	82.89%	83.22%	84.31%	84.16%	85.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	81	2	0	0	0	0	0	0	10	5	8	4	6	5	7	3	2	1	6	1	2	0	4	0	3	0	0	0	0	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0									
		0.23%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.49%	0.59%	0.35%	0.46%	0.50%	0.51%	0.24%	0.15%	0.08%	0.41%	0.21%	0.14%	0.00%	0.79%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.28%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2038	163	82	75	76	72	67	63	94	92	47	68	59	50	69	83	72	71	80	19	100	23	18	5	44	13	8	8	11	13	6	51	5	4	32	13	12	36	6	15	4	10	5	8	5	17	4	15	3	5	21	5	47	44	6	9	5									
		5.70%	13.77%	6.18%	6.21%	6.40%	5.23%	5.68%	6.39%	6.86%	8.97%	3.44%	5.97%	4.54%	5.03%	5.03%	6.77%	5.27%	5.35%	5.45%	4.08%	7.25%	5.22%	3.56%	5.68%	5.37%	6.05%	4.57%	4.17%	3.96%	4.68%	4.80%	5.24%	3.57%	3.13%	4.43%	6.53%	4.58%	4.68%	5.71%	6.17%	5.19%	4.78%	6.58%	4.76%	4.35%	3.81%	2.11%	4.89%	6.67%	4.76%	4.56%	4.13%	4.62%	4.19%	3.92%	4.07%	5.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.07%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.07%	0.23%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	1	2	1	0	3	1	2	1	4	6	2	4	1	0	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0									
		0.12%	0.08%	0.15%	0.08%	0.00%	0.22%	0.08%	0.20%	0.07%	0.39%	0.44%	0.18%	0.31%	0.10%	0.00%	0.33%	0.07%	0.08%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.96%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2715	34	98	96	78	137	97	38	105	77	113	85	124	68	123	99	109	101	126	37	115	0	36	6	70	17	13	15	21	20	7	76	9	9	60	15	27	47	6	21	6	17	5	13	2	36	16	15	2	9	40	12	83	91	10	18	5									
		7.59%	2.87%	7.39%	7.95%	6.57%	9.96%	8.22%	3.85%	7.66%	7.50%	8.27%	7.46%	9.54%	6.83%	8.97%	8.08%	7.97%	7.61%	8.58%	7.94%	8.33%	0.00%	7.11%	6.82%	8.54%	7.91%	7.43%	7.81%	7.55%	7.19%	5.60%	7.80%	6.43%	7.03%	8.30%	7.54%	10.31%	6.10%	5.71%	8.64%	7.79%	8.13%	6.58%	7.74%	1.74%	8.07%	8.42%	4.89%	4.44%	8.57%	8.68%	9.92%	8.16%	8.67%	6.54%	8.14%	5.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	0	10	10	8	5	1	2	4	1	1	2	2	1	0	1	2	1	0	5	0	0	0	0	0	0	0	0	1	0	0	7	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.20%	0.00%	0.75%	0.83%	0.67%	0.36%	0.08%	0.20%	0.29%	0.10%	0.07%	0.18%	0.15%	0.10%	0.00%	0.08%	0.15%	0.08%	0.00%	1.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.72%	1.43%	0.78%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1130	7	75	85	45	54	42	38	50	21	9	38	43	35	38	12	45	56	59	6	24	15	13	2	33	6	4	6	10	9	4	38	5	2	25	4	7	31	5	0	1	6	1	0	0	5	4	9	2	2	11	5	38	37	5	3	0									
		3.16%	0.59%	5.66%	7.04%	3.79%	3.92%	3.56%	3.85%	3.65%	2.05%	0.66%	3.34%	3.31%	3.52%	2.77%	0.98%	3.29%	4.22%	4.02%	1.29%	1.74%	3.40%	2.57%	2.27%	4.02%	2.79%	2.29%	3.13%	3.60%	3.24%	3.20%	3.90%	3.57%	1.56%	3.46%	2.01%	2.67%	4.03%	4.76%	0.00%	1.30%	2.87%	1.32%	0.00%	0.00%	1.12%	2.11%	2.93%	4.44%	1.90%	2.39%	4.13%	3.74%	3.53%	3.27%	1.36%	0.00%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
