Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Арамильская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №2641	УИК №2642	УИК №2643									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	617	61	54	83	58	102	22	37	47	29	47	36	41									
		9.01%	9.61%	8.17%	9.81%	7.13%	10.05%	12.15%	9.44%	9.75%	8.31%	7.76%	8.04%	9.81%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	4	3	2	7	3	0	2	3	2	3	3	3									
		0.51%	0.63%	0.45%	0.24%	0.86%	0.30%	0.00%	0.51%	0.62%	0.57%	0.50%	0.67%	0.72%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	648	57	55	107	65	108	17	27	21	23	65	64	39									
		9.46%	8.98%	8.32%	12.65%	7.99%	10.64%	9.39%	6.89%	4.36%	6.59%	10.73%	14.29%	9.33%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
