Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Верхнеландеховская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371					
27	"10. ""Аграрная партия России"""	305	31	53	12	23	18	11	21	12	53	46	9	16					
		9.87%	5.93%	9.15%	9.91%	14.37%	13.95%	6.96%	11.41%	7.54%	11.67%	17.76%	4.86%	8.98%					
28	"11. ""Истинные патриоты России"""	7	0	1	0	1	0	0	0	2	0	0	3	0					
		0.22%	0.0%	0.17%	0.0%	0.62%	0.0%	0.0%	0.0%	1.25%	0.0%	0.0%	1.62%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	25	8	3	0	2	0	0	2	2	3	3	2	0					
		0.80%	1.53%	0.51%	0.0%	1.25%	0.0%	0.0%	1.08%	1.25%	0.66%	1.15%	1.08%	0.0%					
30	"13. ""Демократическая партия России"""	10	1	2	0	0	0	2	0	1	1	0	2	1					
		0.32%	0.19%	0.34%	0.0%	0.0%	0.0%	1.26%	0.0%	0.62%	0.22%	0.0%	1.08%	0.56%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	1	0	1	0	0	0	2	0	3	0	0	1					
		0.25%	0.19%	0.0%	0.82%	0.0%	0.0%	0.0%	1.08%	0.0%	0.66%	0.0%	0.0%	0.56%					
32	"15. ""Партия СЛОН"""	5	3	0	1	0	0	0	0	0	1	0	0	0					
		0.16%	0.57%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	142	34	43	11	8	5	9	5	2	16	6	0	3					
		4.59%	6.51%	7.42%	9.09%	5.0%	3.87%	5.69%	2.71%	1.25%	3.52%	2.31%	0.0%	1.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	0	1	1	3	0	0	0	0	2	0	6	0					
		0.42%	0.0%	0.17%	0.82%	1.87%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	3.24%	0.0%					
35	"18. ""ЛДПР"""	331	56	52	3	15	15	17	14	10	68	38	14	29					
		10.71%	10.72%	8.98%	2.47%	9.37%	11.62%	10.75%	7.60%	6.28%	14.97%	14.67%	7.56%	16.29%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	86	16	24	6	5	3	6	4	0	7	9	1	5					
		2.78%	3.06%	4.14%	4.95%	3.12%	2.32%	3.79%	2.17%	0.0%	1.54%	3.47%	0.54%	2.80%					
37	"20. ""Политическая партия ""Единая Россия"""	1095	170	178	47	53	56	52	73	65	149	104	77	71					
		35.45%	32.56%	30.74%	38.84%	33.12%	43.41%	32.91%	39.67%	40.88%	32.81%	40.15%	41.62%	39.88%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	1	0	0	0	1	1	1	0	0	1	0	3					
		0.25%	0.19%	0.0%	0.0%	0.0%	0.77%	0.63%	0.54%	0.0%	0.0%	0.38%	0.0%	1.68%					
39	"22. ""Развитие предпринимательства"""	2	1	1	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.19%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	677	139	151	10	25	20	39	42	48	102	31	33	37					
		21.92%	26.62%	26.07%	8.26%	15.62%	15.50%	24.68%	22.82%	30.18%	22.46%	11.96%	17.83%	20.78%					
																			
41	Против всех	132	23	24	5	8	3	11	7	11	11	4	18	7					
		4.27%	4.40%	4.14%	4.13%	5.0%	2.32%	6.96%	3.80%	6.91%	2.42%	1.54%	9.72%	3.93%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
