Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Копейская городская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №2276	УИК №2277	УИК №2400									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1604	35	25	10	25	50	20	37	5	30	50	20	20	10	25	30	25	20	13	20	15	20	20	20	15	20	25	35	30	45	25	25	30	25	25	35	10	30	40	35	25	26	5	35	20	33	15	30	30	20	28	15	2	50	25	27	53	20	20	5	20	11	20	10	44	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1391	29	18	10	25	44	13	37	1	29	41	20	15	5	19	24	19	20	11	11	5	15	14	20	4	20	15	27	22	42	21	25	30	25	23	33	10	20	38	35	18	26	4	25	16	30	12	26	30	16	27	14	2	50	24	27	53	20	20	5	18	11	18	6	42	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	884	9	6	0	8	15	4	10	7	31	8	12	16	13	11	13	15	11	7	20	11	21	10	7	19	25	9	13	12	11	20	13	6	24	29	7	24	14	8	17	9	12	7	19	9	10	18	6	11	4	17	7	4	17	20	15	14	4	30	5	11	5	5	7	24	78									
14	Число погашенных неиспользованных открепительных удостоверений	213	6	7	0	0	6	7	0	4	1	9	0	5	5	6	6	6	0	2	9	10	5	6	0	11	0	10	8	8	3	4	0	0	0	2	2	0	10	2	0	7	0	1	10	4	3	3	4	0	4	1	1	0	0	1	0	0	0	0	0	2	0	2	4	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	213	1	1	5	4	1	7	7	0	6	3	3	3	1	3	10	3	1	2	3	0	2	4	1	0	3	7	7	3	8	8	1	4	7	10	5	4	4	7	4	9	3	1	3	1	2	2	6	5	1	3	1	1	2	4	0	0	2	3	0	1	0	1	1	6	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	976	17	8	12	9	17	16	19	0	18	14	19	13	1	48	18	21	19	9	20	9	6	11	13	4	13	9	30	29	43	31	29	33	16	31	19	7	15	26	19	11	14	4	12	7	11	13	12	17	5	19	6	0	15	8	14	15	20	21	3	15	1	4	9	22	7									
		2.01%	1.99%	1.74%	3.55%	1.18%	1.52%	1.72%	1.88%	0.00%	1.76%	1.54%	1.84%	1.74%	0.31%	3.56%	1.59%	2.75%	2.96%	1.99%	2.87%	2.27%	1.06%	1.51%	2.36%	1.53%	2.26%	1.78%	2.44%	2.78%	4.16%	2.82%	3.10%	2.67%	2.47%	2.63%	2.28%	1.54%	2.17%	2.45%	2.25%	1.31%	2.02%	1.38%	1.51%	1.52%	1.32%	2.30%	1.36%	1.93%	0.98%	1.88%	1.48%	0.00%	0.99%	1.33%	2.28%	1.43%	2.30%	1.94%	1.68%	1.17%	0.79%	0.72%	2.26%	2.30%	1.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	956	25	18	7	13	27	15	21	1	15	23	16	14	9	67	20	13	8	9	14	6	16	10	6	6	16	8	27	27	19	11	24	25	16	25	11	10	3	21	12	21	18	7	11	4	13	12	16	11	9	21	16	1	15	11	7	26	15	22	2	28	3	8	6	17	2									
		1.97%	2.93%	3.92%	2.07%	1.70%	2.41%	1.61%	2.08%	0.49%	1.46%	2.54%	1.55%	1.88%	2.83%	4.97%	1.77%	1.70%	1.25%	1.99%	2.01%	1.52%	2.83%	1.38%	1.09%	2.29%	2.78%	1.58%	2.19%	2.59%	1.84%	1.00%	2.56%	2.02%	2.47%	2.12%	1.32%	2.20%	0.43%	1.98%	1.42%	2.51%	2.60%	2.42%	1.38%	0.87%	1.56%	2.12%	1.81%	1.25%	1.77%	2.08%	3.95%	0.58%	0.99%	1.83%	1.14%	2.48%	1.73%	2.04%	1.12%	2.19%	2.36%	1.44%	1.50%	1.78%	0.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1077	19	15	5	12	24	23	26	6	16	13	20	17	13	71	30	19	16	11	17	6	7	20	15	7	8	11	20	16	24	26	22	31	12	29	12	14	17	17	23	27	8	1	9	13	24	11	16	14	10	16	8	6	8	14	12	42	20	28	6	24	1	12	8	21	8									
		2.22%	2.22%	3.27%	1.48%	1.57%	2.14%	2.47%	2.58%	2.96%	1.56%	1.43%	1.94%	2.28%	4.09%	5.26%	2.65%	2.49%	2.50%	2.43%	2.44%	1.52%	1.24%	2.75%	2.72%	2.67%	1.39%	2.17%	1.62%	1.53%	2.32%	2.37%	2.35%	2.51%	1.85%	2.46%	1.44%	3.08%	2.46%	1.60%	2.72%	3.22%	1.15%	0.35%	1.13%	2.83%	2.88%	1.95%	1.81%	1.59%	1.96%	1.59%	1.98%	3.49%	0.53%	2.33%	1.96%	4.01%	2.30%	2.59%	3.35%	1.88%	0.79%	2.15%	2.01%	2.20%	1.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17177	294	179	172	473	392	366	388	71	368	297	438	304	114	439	313	197	196	141	230	162	212	283	191	83	282	178	385	306	302	378	294	373	241	367	276	134	216	374	252	293	258	114	261	162	268	222	234	207	146	286	133	102	930	193	208	337	298	379	93	454	65	262	148	296	167									
		35.34%	34.43%	38.99%	50.89%	61.91%	35.03%	39.31%	38.45%	34.98%	35.90%	32.75%	42.52%	40.81%	35.85%	32.54%	27.65%	25.82%	30.58%	31.19%	33.05%	40.91%	37.46%	38.93%	34.60%	31.68%	48.96%	35.18%	31.28%	29.34%	29.24%	34.39%	31.41%	30.18%	37.13%	31.13%	33.13%	29.45%	31.21%	35.25%	29.79%	34.96%	37.23%	39.45%	32.75%	35.22%	32.13%	39.29%	26.47%	23.55%	28.68%	28.34%	32.84%	59.30%	61.39%	32.17%	33.93%	32.16%	34.29%	35.06%	51.96%	35.47%	51.18%	47.04%	37.09%	30.96%	38.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	479	3	5	1	3	5	13	4	1	9	2	5	10	6	51	19	4	4	2	2	1	7	13	10	2	2	7	14	10	9	17	11	11	11	15	12	6	5	17	10	9	9	6	5	7	6	4	6	3	3	9	3	0	1	3	4	5	7	10	0	17	2	2	4	9	6									
		0.99%	0.35%	1.09%	0.30%	0.39%	0.45%	1.40%	0.40%	0.49%	0.88%	0.22%	0.49%	1.34%	1.89%	3.78%	1.68%	0.52%	0.62%	0.44%	0.29%	0.25%	1.24%	1.79%	1.81%	0.76%	0.35%	1.38%	1.14%	0.96%	0.87%	1.55%	1.18%	0.89%	1.69%	1.27%	1.44%	1.32%	0.72%	1.60%	1.18%	1.07%	1.30%	2.08%	0.63%	1.52%	0.72%	0.71%	0.68%	0.34%	0.59%	0.89%	0.74%	0.00%	0.07%	0.50%	0.65%	0.48%	0.81%	0.93%	0.00%	1.33%	1.57%	0.36%	1.00%	0.94%	1.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	87	0	0	1	3	5	0	1	1	2	4	1	0	2	1	1	2	0	2	1	3	1	0	0	0	0	0	3	1	2	4	1	3	3	2	0	1	1	3	2	0	1	1	3	0	0	1	2	0	0	2	1	0	0	4	0	0	0	1	2	5	0	1	1	3	2									
		0.18%	0.00%	0.00%	0.30%	0.39%	0.45%	0.00%	0.10%	0.49%	0.20%	0.44%	0.10%	0.00%	0.63%	0.07%	0.09%	0.26%	0.00%	0.44%	0.14%	0.76%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.10%	0.19%	0.36%	0.11%	0.24%	0.46%	0.17%	0.00%	0.22%	0.14%	0.28%	0.24%	0.00%	0.14%	0.35%	0.38%	0.00%	0.00%	0.18%	0.23%	0.00%	0.00%	0.20%	0.25%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.09%	1.12%	0.39%	0.00%	0.18%	0.25%	0.31%	0.46%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6836	130	79	39	44	180	136	136	40	141	123	164	114	56	127	138	101	79	57	115	62	79	109	103	34	53	69	177	142	154	168	144	190	67	154	132	61	83	151	136	138	119	52	145	77	129	65	106	99	53	148	64	18	127	87	89	133	116	172	24	227	11	102	54	148	66									
		14.06%	15.22%	17.21%	11.54%	5.76%	16.09%	14.61%	13.48%	19.70%	13.76%	13.56%	15.92%	15.30%	17.61%	9.41%	12.19%	13.24%	12.32%	12.61%	16.52%	15.66%	13.96%	14.99%	18.66%	12.98%	9.20%	13.64%	14.38%	13.61%	14.91%	15.29%	15.38%	15.37%	10.32%	13.06%	15.85%	13.41%	11.99%	14.23%	16.08%	16.47%	17.17%	17.99%	18.19%	16.74%	15.47%	11.50%	11.99%	11.26%	10.41%	14.67%	15.80%	10.47%	8.38%	14.50%	14.52%	12.69%	13.35%	15.91%	13.41%	17.73%	8.66%	18.31%	13.53%	15.48%	15.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	390	10	3	2	3	6	6	5	3	5	5	7	3	1	49	12	2	6	2	9	1	5	1	0	8	6	4	11	12	14	7	5	10	7	10	14	4	2	8	5	11	4	3	11	5	7	7	6	2	2	3	3	0	1	7	5	4	1	9	0	11	2	2	3	5	3									
		0.80%	1.17%	0.65%	0.59%	0.39%	0.54%	0.64%	0.50%	1.48%	0.49%	0.55%	0.68%	0.40%	0.31%	3.63%	1.06%	0.26%	0.94%	0.44%	1.29%	0.25%	0.88%	0.14%	0.00%	3.05%	1.04%	0.79%	0.89%	1.15%	1.36%	0.64%	0.53%	0.81%	1.08%	0.85%	1.68%	0.88%	0.29%	0.75%	0.59%	1.31%	0.58%	1.04%	1.38%	1.09%	0.84%	1.24%	0.68%	0.23%	0.39%	0.30%	0.74%	0.00%	0.07%	1.17%	0.82%	0.38%	0.12%	0.83%	0.00%	0.86%	1.57%	0.36%	0.75%	0.52%	0.69%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	415	3	0	1	1	7	1	10	3	3	2	13	6	3	55	8	7	4	5	4	1	2	2	2	2	2	2	16	13	21	22	14	9	3	13	6	3	5	9	10	3	4	2	14	0	6	1	8	2	0	2	2	3	1	3	10	12	3	13	1	7	2	2	4	16	1									
		0.85%	0.35%	0.00%	0.30%	0.13%	0.63%	0.11%	0.99%	1.48%	0.29%	0.22%	1.26%	0.81%	0.94%	4.08%	0.71%	0.92%	0.62%	1.11%	0.57%	0.25%	0.35%	0.28%	0.36%	0.76%	0.35%	0.40%	1.30%	1.25%	2.03%	2.00%	1.50%	0.73%	0.46%	1.10%	0.72%	0.66%	0.72%	0.85%	1.18%	0.36%	0.58%	0.69%	1.76%	0.00%	0.72%	0.18%	0.90%	0.23%	0.00%	0.20%	0.49%	1.74%	0.07%	0.50%	1.63%	1.15%	0.35%	1.20%	0.56%	0.55%	1.57%	0.36%	1.00%	1.67%	0.23%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	67	1	0	0	1	1	1	2	0	1	3	0	0	2	1	2	0	1	1	0	1	0	1	1	1	0	1	4	1	2	0	0	0	2	4	0	1	13	0	1	0	1	1	2	0	2	1	1	1	0	1	0	0	1	0	1	0	0	0	0	2	0	1	1	1	0									
		0.14%	0.12%	0.00%	0.00%	0.13%	0.09%	0.11%	0.20%	0.00%	0.10%	0.33%	0.00%	0.00%	0.63%	0.07%	0.18%	0.00%	0.16%	0.22%	0.00%	0.25%	0.00%	0.14%	0.18%	0.38%	0.00%	0.20%	0.32%	0.10%	0.19%	0.00%	0.00%	0.00%	0.31%	0.34%	0.00%	0.22%	1.88%	0.00%	0.12%	0.00%	0.14%	0.35%	0.25%	0.00%	0.24%	0.18%	0.11%	0.11%	0.00%	0.10%	0.00%	0.00%	0.07%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.18%	0.25%	0.10%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	981	5	4	0	28	24	13	15	2	11	18	17	12	2	62	30	22	15	8	11	3	7	14	5	4	16	8	40	20	25	37	15	24	18	40	25	10	16	35	14	11	13	1	11	9	11	10	17	8	2	17	4	0	9	8	29	32	11	42	3	21	3	6	8	15	5									
		2.02%	0.59%	0.87%	0.00%	3.66%	2.14%	1.40%	1.49%	0.99%	1.07%	1.98%	1.65%	1.61%	0.63%	4.60%	2.65%	2.88%	2.34%	1.77%	1.58%	0.76%	1.24%	1.93%	0.91%	1.53%	2.78%	1.58%	3.25%	1.92%	2.42%	3.37%	1.60%	1.94%	2.77%	3.39%	3.00%	2.20%	2.31%	3.30%	1.65%	1.31%	1.88%	0.35%	1.38%	1.96%	1.32%	1.77%	1.92%	0.91%	0.39%	1.68%	0.99%	0.00%	0.59%	1.33%	4.73%	3.05%	1.27%	3.89%	1.68%	1.64%	2.36%	1.08%	2.01%	1.57%	1.14%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4717	85	40	27	31	82	104	101	16	95	82	104	68	31	95	153	87	71	51	85	32	42	55	33	21	39	51	139	102	106	113	126	153	60	179	78	47	69	112	93	95	65	25	66	41	68	48	83	69	43	89	39	13	106	61	65	120	85	116	5	154	13	52	30	89	19									
		9.70%	9.95%	8.71%	7.99%	4.06%	7.33%	11.17%	10.01%	7.88%	9.27%	9.04%	10.10%	9.13%	9.75%	7.04%	13.52%	11.40%	11.08%	11.28%	12.21%	8.08%	7.42%	7.57%	5.98%	8.02%	6.77%	10.08%	11.29%	9.78%	10.26%	10.28%	13.46%	12.38%	9.24%	15.18%	9.36%	10.33%	9.97%	10.56%	10.99%	11.34%	9.38%	8.65%	8.28%	8.91%	8.15%	8.50%	9.39%	7.85%	8.45%	8.82%	9.63%	7.56%	6.99%	10.17%	10.60%	11.45%	9.78%	10.73%	2.79%	12.03%	10.24%	9.34%	7.52%	9.31%	4.35%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	250	0	1	0	60	5	2	7	1	1	4	5	2	3	11	6	4	3	0	2	0	1	2	2	1	2	1	2	11	6	3	3	2	3	4	5	1	1	3	4	0	3	2	3	5	2	4	2	4	3	6	1	0	0	7	7	6	2	4	0	4	0	2	0	7	2									
		0.51%	0.00%	0.22%	0.00%	7.85%	0.45%	0.21%	0.69%	0.49%	0.10%	0.44%	0.49%	0.27%	0.94%	0.82%	0.53%	0.52%	0.47%	0.00%	0.29%	0.00%	0.18%	0.28%	0.36%	0.38%	0.35%	0.20%	0.16%	1.05%	0.58%	0.27%	0.32%	0.16%	0.46%	0.34%	0.60%	0.22%	0.14%	0.28%	0.47%	0.00%	0.43%	0.69%	0.38%	1.09%	0.24%	0.71%	0.23%	0.46%	0.59%	0.59%	0.25%	0.00%	0.00%	1.17%	1.14%	0.57%	0.23%	0.37%	0.00%	0.31%	0.00%	0.36%	0.00%	0.73%	0.46%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12616	226	82	63	65	305	197	250	55	305	283	188	155	66	242	336	255	191	133	164	99	160	189	151	83	118	141	326	330	276	243	220	342	168	268	224	143	220	258	235	188	158	55	217	121	256	152	343	396	200	339	110	24	282	176	131	289	261	229	39	279	19	88	102	275	132									
		25.95%	26.46%	17.86%	18.64%	8.51%	27.26%	21.16%	24.78%	27.09%	29.76%	31.20%	18.25%	20.81%	20.75%	17.94%	29.68%	33.42%	29.80%	29.42%	23.56%	25.00%	28.27%	25.99%	27.36%	31.68%	20.49%	27.87%	26.48%	31.64%	26.72%	22.11%	23.50%	27.67%	25.89%	22.73%	26.89%	31.43%	31.79%	24.32%	27.78%	22.43%	22.80%	19.03%	27.23%	26.30%	30.70%	26.90%	38.80%	45.05%	39.29%	33.60%	27.16%	13.95%	18.61%	29.33%	21.37%	27.58%	30.03%	21.18%	21.79%	21.80%	14.96%	15.80%	25.56%	28.77%	30.21%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
