Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
"Наименование Избирательной комиссии:    Владивосток, Первореченская"																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2000	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	517	18	10	10	16	11	17	16	15	4	8	5	9	15	2	8	18	15	3	12	12	7	11	8	9	10	10	12	4	14	7	7	3	11	13	9	9	13	10	7	9	11	16	9	8	1	8	18	16	12	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	763	26	8	13	9	3	15	14	7	5	3	14	12	11	41	36	19	16	5	5	28	29	3	14	11	11	14	17	118	20	2	8	14	2	23	9	9	5	6	9	5	46	27	7	8	0	3	14	8	19	12									
14	Число погашенных неиспользованных открепительных удостоверений	1483	22	30	30	24	29	23	24	25	36	32	35	31	25	38	32	22	25	37	28	28	33	29	32	31	30	30	28	36	26	33	33	37	29	27	31	31	27	30	33	31	29	24	31	32	39	32	22	24	28	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	168	0	2	1	3	2	1	4	16	3	0	2	1	3	4	2	7	8	3	3	8	1	1	6	3	0	4	3	1	1	1	0	6	4	0	0	0	0	3	1	1	3	0	1	0	1	7	15	5	20	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	964	24	16	14	14	16	27	14	16	12	13	27	23	20	20	17	8	15	13	12	33	16	12	36	31	29	24	26	11	20	29	20	31	30	12	18	17	23	10	20	16	21	13	11	18	19	17	25	15	24	16									
		2.98%	3.52%	2.55%	2.18%	3.18%	2.98%	3.40%	2.15%	1.97%	2.18%	2.34%	4.12%	2.96%	3.14%	3.70%	3.28%	1.32%	2.63%	3.07%	2.26%	5.43%	3.38%	2.36%	4.69%	2.60%	4.06%	2.90%	3.18%	2.43%	2.50%	4.33%	3.06%	6.19%	4.78%	2.40%	2.82%	3.36%	4.05%	2.01%	4.04%	2.89%	2.59%	2.47%	1.95%	3.45%	1.67%	3.51%	3.07%	1.77%	2.42%	2.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	893	24	10	18	10	18	22	20	19	17	14	23	20	15	19	11	18	16	10	18	11	9	15	23	31	16	30	18	12	27	20	15	21	23	11	19	11	16	13	15	22	24	13	20	25	23	13	17	17	24	17									
		2.76%	3.52%	1.59%	2.81%	2.27%	3.35%	2.77%	3.07%	2.34%	3.09%	2.52%	3.51%	2.58%	2.36%	3.52%	2.12%	2.96%	2.81%	2.36%	3.40%	1.81%	1.90%	2.95%	2.99%	2.60%	2.24%	3.63%	2.20%	2.65%	3.38%	2.99%	2.29%	4.19%	3.66%	2.20%	2.97%	2.17%	2.82%	2.61%	3.03%	3.97%	2.96%	2.47%	3.54%	4.79%	2.02%	2.69%	2.09%	2.01%	2.42%	2.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1357	30	28	31	22	15	32	32	30	18	28	36	27	26	18	26	28	29	32	26	23	25	25	32	34	31	52	33	12	35	32	38	22	29	28	33	32	23	25	20	24	26	20	30	29	16	8	22	45	18	21									
		4.20%	4.40%	4.46%	4.84%	5.00%	2.79%	4.04%	4.91%	3.69%	3.27%	5.04%	5.49%	3.48%	4.09%	3.33%	5.02%	4.61%	5.09%	7.55%	4.91%	3.78%	5.27%	4.92%	4.17%	2.85%	4.34%	6.29%	4.04%	2.65%	4.38%	4.78%	5.81%	4.39%	4.62%	5.60%	5.16%	6.32%	4.05%	5.02%	4.04%	4.33%	3.20%	3.80%	5.31%	5.56%	1.40%	1.65%	2.70%	5.31%	1.82%	2.97%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9670	156	179	166	107	142	237	151	249	148	128	152	201	189	164	133	172	163	137	171	196	122	161	228	549	178	210	197	119	209	192	156	139	168	135	172	111	141	150	137	131	296	148	173	149	616	165	316	259	355	247									
		29.91%	22.87%	28.50%	25.90%	24.32%	26.44%	29.89%	23.16%	30.67%	26.91%	23.02%	23.17%	25.90%	29.72%	30.37%	25.68%	28.29%	28.60%	32.31%	32.26%	32.24%	25.74%	31.69%	29.69%	45.98%	24.93%	25.39%	24.11%	26.33%	26.16%	28.66%	23.85%	27.74%	26.75%	27.00%	26.92%	21.94%	24.82%	30.12%	27.68%	23.65%	36.45%	28.08%	30.62%	28.54%	54.08%	34.09%	38.77%	30.58%	35.82%	34.99%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	409	13	13	4	11	5	7	4	13	10	12	5	12	11	5	12	4	7	8	7	7	3	2	6	4	13	11	10	9	19	2	7	5	11	4	15	5	2	10	4	6	9	8	11	4	12	7	6	13	13	8									
		1.27%	1.91%	2.07%	0.62%	2.50%	0.93%	0.88%	0.61%	1.60%	1.82%	2.16%	0.76%	1.55%	1.73%	0.93%	2.32%	0.66%	1.23%	1.89%	1.32%	1.15%	0.63%	0.39%	0.78%	0.34%	1.82%	1.33%	1.22%	1.99%	2.38%	0.30%	1.07%	0.99%	1.75%	0.80%	2.35%	0.99%	0.35%	2.01%	0.81%	1.08%	1.11%	1.52%	1.95%	0.77%	1.05%	1.45%	0.74%	1.53%	1.31%	1.13%									
24	"6. Политическая партия ""Гражданская Платформа"""	80	0	1	0	1	0	3	0	1	2	1	2	1	4	1	2	1	1	1	0	3	2	0	1	1	2	3	1	1	1	1	5	1	1	1	2	0	2	1	2	1	2	0	0	2	2	4	4	2	5	5									
		0.25%	0.00%	0.16%	0.00%	0.23%	0.00%	0.38%	0.00%	0.12%	0.36%	0.18%	0.30%	0.13%	0.63%	0.19%	0.39%	0.16%	0.18%	0.24%	0.00%	0.49%	0.42%	0.00%	0.13%	0.08%	0.28%	0.36%	0.12%	0.22%	0.13%	0.15%	0.76%	0.20%	0.16%	0.20%	0.31%	0.00%	0.35%	0.20%	0.40%	0.18%	0.25%	0.00%	0.00%	0.38%	0.18%	0.83%	0.49%	0.24%	0.50%	0.71%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5540	99	90	92	60	99	149	101	163	87	86	95	119	92	90	86	98	102	71	75	91	77	88	105	175	96	109	103	75	112	74	92	69	96	118	87	81	113	86	90	82	172	114	87	106	248	106	204	179	270	181									
		17.14%	14.52%	14.33%	14.35%	13.64%	18.44%	18.79%	15.49%	20.07%	15.82%	15.47%	14.48%	15.34%	14.47%	16.67%	16.60%	16.12%	17.89%	16.75%	14.15%	14.97%	16.24%	17.32%	13.67%	14.66%	13.45%	13.18%	12.61%	16.59%	14.02%	11.04%	14.07%	13.77%	15.29%	23.60%	13.62%	16.01%	19.89%	17.27%	18.18%	14.80%	21.18%	21.63%	15.40%	20.31%	21.77%	21.90%	25.03%	21.13%	27.25%	25.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	560	15	9	10	12	14	9	12	11	12	16	12	8	12	14	17	18	7	11	10	6	14	7	15	17	11	20	12	16	19	8	11	10	6	8	8	7	17	15	9	7	8	7	9	13	6	12	12	11	5	5									
		1.73%	2.20%	1.43%	1.56%	2.73%	2.61%	1.13%	1.84%	1.35%	2.18%	2.88%	1.83%	1.03%	1.89%	2.59%	3.28%	2.96%	1.23%	2.59%	1.89%	0.99%	2.95%	1.38%	1.95%	1.42%	1.54%	2.42%	1.47%	3.54%	2.38%	1.19%	1.68%	1.99%	0.96%	1.60%	1.25%	1.38%	2.99%	3.01%	1.82%	1.26%	0.99%	1.33%	1.59%	2.49%	0.53%	2.48%	1.47%	1.30%	0.50%	0.71%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1042	18	16	28	13	14	19	18	11	17	25	19	36	13	11	11	27	18	18	22	18	28	16	35	30	24	44	38	22	42	34	27	20	22	20	31	17	21	19	21	11	20	8	25	10	11	10	7	22	19	16									
		3.22%	2.64%	2.55%	4.37%	2.95%	2.61%	2.40%	2.76%	1.35%	3.09%	4.50%	2.90%	4.64%	2.04%	2.04%	2.12%	4.44%	3.16%	4.25%	4.15%	2.96%	5.91%	3.15%	4.56%	2.51%	3.36%	5.32%	4.65%	4.87%	5.26%	5.07%	4.13%	3.99%	3.50%	4.00%	4.85%	3.36%	3.70%	3.82%	4.24%	1.99%	2.46%	1.52%	4.42%	1.92%	0.97%	2.07%	0.86%	2.60%	1.92%	2.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	57	0	0	0	0	1	1	1	3	0	1	1	3	2	0	0	0	2	0	1	1	1	2	0	2	1	0	1	1	2	0	0	1	1	4	1	1	2	0	2	0	4	0	1	1	2	3	1	3	1	2									
		0.18%	0.00%	0.00%	0.00%	0.00%	0.19%	0.13%	0.15%	0.37%	0.00%	0.18%	0.15%	0.39%	0.31%	0.00%	0.00%	0.00%	0.35%	0.00%	0.19%	0.16%	0.21%	0.39%	0.00%	0.17%	0.14%	0.00%	0.12%	0.22%	0.25%	0.00%	0.00%	0.20%	0.16%	0.80%	0.16%	0.20%	0.35%	0.00%	0.40%	0.00%	0.49%	0.00%	0.18%	0.19%	0.18%	0.62%	0.12%	0.35%	0.10%	0.28%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1173	30	24	29	19	32	22	35	20	11	17	23	28	19	16	33	20	26	12	17	16	13	25	31	34	28	41	51	29	38	45	25	13	21	23	33	22	27	21	14	19	24	26	21	16	15	10	18	17	12	12									
		3.63%	4.40%	3.82%	4.52%	4.32%	5.96%	2.77%	5.37%	2.46%	2.00%	3.06%	3.51%	3.61%	2.99%	2.96%	6.37%	3.29%	4.56%	2.83%	3.21%	2.63%	2.74%	4.92%	4.04%	2.85%	3.92%	4.96%	6.24%	6.42%	4.76%	6.72%	3.82%	2.59%	3.34%	4.60%	5.16%	4.35%	4.75%	4.22%	2.83%	3.43%	2.96%	4.93%	3.72%	3.07%	1.32%	2.07%	2.21%	2.01%	1.21%	1.70%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6482	163	167	162	114	116	142	166	166	134	136	165	181	135	98	117	134	111	67	99	134	104	100	145	189	185	180	226	90	191	131	162	95	130	78	132	110	114	83	81	154	116	90	110	79	68	86	115	187	142	102									
		20.05%	23.90%	26.59%	25.27%	25.91%	21.60%	17.91%	25.46%	20.44%	24.36%	24.46%	25.15%	23.32%	21.23%	18.15%	22.59%	22.04%	19.47%	15.80%	18.68%	22.04%	21.94%	19.69%	18.88%	15.83%	25.91%	21.77%	27.66%	19.91%	23.90%	19.55%	24.77%	18.96%	20.70%	15.60%	20.66%	21.74%	20.07%	16.67%	16.36%	27.80%	14.29%	17.08%	19.47%	15.13%	5.97%	17.77%	14.11%	22.08%	14.33%	14.45%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	151	4	4	1	0	2	3	3	6	3	1	4	4	4	1	2	2	2	2	2	4	2	0	8	2	3	2	4	2	5	3	7	1	1	1	5	4	1	1	3	5	0	3	1	1	7	4	4	4	9	4									
		0.47%	0.59%	0.64%	0.16%	0.00%	0.37%	0.38%	0.46%	0.74%	0.55%	0.18%	0.61%	0.52%	0.63%	0.19%	0.39%	0.33%	0.35%	0.47%	0.38%	0.66%	0.42%	0.00%	1.04%	0.17%	0.42%	0.24%	0.49%	0.44%	0.63%	0.45%	1.07%	0.20%	0.16%	0.20%	0.78%	0.79%	0.18%	0.20%	0.61%	0.90%	0.00%	0.57%	0.18%	0.19%	0.61%	0.83%	0.49%	0.47%	0.91%	0.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2955	87	54	70	47	56	90	80	69	52	65	75	80	60	64	36	57	60	31	49	49	43	32	65	73	76	89	74	38	73	75	66	56	78	45	67	69	43	49	48	63	59	49	40	60	48	23	49	57	63	54									
		9.14%	12.76%	8.60%	10.92%	10.68%	10.43%	11.35%	12.27%	8.50%	9.45%	11.69%	11.43%	10.31%	9.43%	11.85%	6.95%	9.38%	10.53%	7.31%	9.25%	8.06%	9.07%	6.30%	8.46%	6.11%	10.64%	10.76%	9.06%	8.41%	9.14%	11.19%	10.09%	11.18%	12.42%	9.00%	10.49%	13.64%	7.57%	9.84%	9.70%	11.37%	7.27%	9.30%	7.08%	11.49%	4.21%	4.75%	6.01%	6.73%	6.36%	7.65%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
