Выборы Президента Российской Федерации																																																																																
																																																																																
Наименование Избирательной комиссии:    Тюкалинская																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																
18	. Глазьев Сергей Юрьевич	390	29	14	12	29	21	5	19	6	8	3	2	0	5	0	7	3	2	0	8	1	0	9	8	0	3	3	0	2	16	3	0	5	1	0	0	0	8	20	0	0	2	0	12	3	0	12	0	0	9	2	1	0	17	1	13	2	1	9	9	0	15	2	0	16	3	0	1	5	0	1	0	2	0					
		2.28%	2.45%	1.59%	2.41%	2.74%	2.64%	1.69%	2.55%	0.95%	1.64%	4.11%	2.50%	0.00%	2.16%	0.00%	2.81%	4.69%	1.64%	0.00%	2.14%	0.46%	0.00%	5.36%	1.91%	0.00%	3.61%	3.26%	0.00%	4.44%	3.29%	1.88%	0.00%	1.14%	2.86%	0.00%	0.00%	0.00%	8.42%	5.24%	0.00%	0.00%	3.70%	0.00%	3.01%	3.57%	0.00%	4.74%	0.00%	0.00%	1.71%	2.63%	1.96%	0.00%	4.12%	1.43%	17.57%	1.94%	1.33%	1.15%	2.12%	0.00%	2.31%	2.00%	0.00%	4.91%	4.11%	0.00%	1.59%	1.47%	0.00%	1.39%	0.00%	1.40%	0.00%					
19	. Малышкин Олег Александрович	698	49	49	16	39	28	8	36	30	19	0	6	3	8	0	14	4	3	0	11	11	6	22	15	3	2	12	1	0	11	7	9	24	0	4	0	0	2	13	2	1	0	10	18	4	5	5	8	3	11	3	4	3	19	2	3	8	8	30	18	4	22	1	1	15	1	1	4	11	5	2	0	1	0					
		4.08%	4.14%	5.56%	3.21%	3.68%	3.53%	2.71%	4.83%	4.76%	3.89%	0.00%	7.50%	4.48%	3.45%	0.00%	5.62%	6.25%	2.46%	0.00%	2.94%	5.02%	7.41%	13.10%	3.58%	3.23%	2.41%	13.04%	1.23%	0.00%	2.26%	4.38%	7.96%	5.49%	0.00%	6.90%	0.00%	0.00%	2.11%	3.40%	3.33%	4.17%	0.00%	8.47%	4.51%	4.76%	7.69%	1.98%	12.70%	2.63%	2.09%	3.95%	7.84%	3.85%	4.60%	2.86%	4.05%	7.77%	10.67%	3.83%	4.24%	4.94%	3.40%	1.00%	3.03%	4.60%	1.37%	2.38%	6.35%	3.23%	13.51%	2.78%	0.00%	0.70%	0.00%					
20	. Миронов Сергей Михайлович	124	8	9	1	5	4	3	4	7	7	0	0	2	4	2	7	0	3	0	2	1	0	1	0	2	0	1	1	0	5	1	0	1	0	1	0	0	1	3	1	0	1	2	1	1	4	0	0	0	1	3	0	0	1	1	0	0	0	9	3	0	1	6	0	2	0	0	0	0	0	1	0	0	0					
		0.73%	0.68%	1.02%	0.20%	0.47%	0.50%	1.02%	0.54%	1.11%	1.43%	0.00%	0.00%	2.99%	1.72%	2.50%	2.81%	0.00%	2.46%	0.00%	0.53%	0.46%	0.00%	0.60%	0.00%	2.15%	0.00%	1.09%	1.23%	0.00%	1.03%	0.62%	0.00%	0.23%	0.00%	1.72%	0.00%	0.00%	1.05%	0.79%	1.67%	0.00%	1.85%	1.69%	0.25%	1.19%	6.15%	0.00%	0.00%	0.00%	0.19%	3.95%	0.00%	0.00%	0.24%	1.43%	0.00%	0.00%	0.00%	1.15%	0.71%	0.00%	0.15%	6.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10961	749	570	356	701	509	221	491	426	337	44	39	42	166	69	133	40	91	15	259	161	60	100	261	53	61	53	66	29	332	103	70	181	17	38	48	23	69	228	34	12	30	93	255	57	42	111	34	80	379	49	20	49	230	51	41	45	45	566	258	45	297	47	22	219	57	24	45	213	24	55	21	123	77					
		64.11%	63.26%	64.63%	71.49%	66.19%	64.11%	74.92%	65.91%	67.62%	69.06%	60.27%	48.75%	62.69%	71.55%	86.25%	53.41%	62.50%	74.59%	46.88%	69.25%	73.52%	74.07%	59.52%	62.29%	56.99%	73.49%	57.61%	81.48%	64.44%	68.17%	64.38%	61.95%	41.42%	48.57%	65.52%	71.64%	52.27%	72.63%	59.69%	56.67%	50.00%	55.56%	78.81%	63.91%	67.86%	64.62%	43.87%	53.97%	70.18%	72.05%	64.47%	39.22%	62.82%	55.69%	72.86%	55.41%	43.69%	60.00%	72.19%	60.71%	55.56%	45.83%	47.00%	66.67%	67.18%	78.08%	57.14%	71.43%	62.46%	64.86%	76.39%	84.00%	86.01%	79.38%					
22	. Хакамада Ирина Муцуовна	344	28	13	14	30	18	6	16	13	6	3	7	0	2	1	6	1	2	0	6	2	2	3	8	1	0	0	1	1	8	4	2	16	1	1	0	0	0	7	0	1	1	3	12	1	2	5	0	2	8	0	1	1	11	1	2	4	2	11	13	0	13	5	3	4	2	1	1	3	0	0	2	0	0					
		2.01%	2.36%	1.47%	2.81%	2.83%	2.27%	2.03%	2.15%	2.06%	1.23%	4.11%	8.75%	0.00%	0.86%	1.25%	2.41%	1.56%	1.64%	0.00%	1.60%	0.91%	2.47%	1.79%	1.91%	1.08%	0.00%	0.00%	1.23%	2.22%	1.64%	2.50%	1.77%	3.66%	2.86%	1.72%	0.00%	0.00%	0.00%	1.83%	0.00%	4.17%	1.85%	2.54%	3.01%	1.19%	3.08%	1.98%	0.00%	1.75%	1.52%	0.00%	1.96%	1.28%	2.66%	1.43%	2.70%	3.88%	2.67%	1.40%	3.06%	0.00%	2.01%	5.00%	9.09%	1.23%	2.74%	2.38%	1.59%	0.88%	0.00%	0.00%	8.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	4150	289	196	86	226	187	47	160	138	99	20	26	16	36	7	69	14	21	16	78	39	10	33	112	34	15	22	11	12	104	41	27	196	16	13	19	21	14	98	18	9	20	10	92	17	11	113	20	27	113	16	24	23	126	13	14	44	18	125	112	30	288	38	7	67	9	15	11	100	8	12	0	16	16					
		24.27%	24.41%	22.22%	17.27%	21.34%	23.55%	15.93%	21.48%	21.90%	20.29%	27.40%	32.50%	23.88%	15.52%	8.75%	27.71%	21.88%	17.21%	50.00%	20.86%	17.81%	12.35%	19.64%	26.73%	36.56%	18.07%	23.91%	13.58%	26.67%	21.36%	25.62%	23.89%	44.85%	45.71%	22.41%	28.36%	47.73%	14.74%	25.65%	30.00%	37.50%	37.04%	8.47%	23.06%	20.24%	16.92%	44.66%	31.75%	23.68%	21.48%	21.05%	47.06%	29.49%	30.51%	18.57%	18.92%	42.72%	24.00%	15.94%	26.35%	37.04%	44.44%	38.00%	21.21%	20.55%	12.33%	35.71%	17.46%	29.33%	21.62%	16.67%	0.00%	11.19%	16.49%					
																																																																																
24	Против всех	264	26	24	11	18	23	5	14	8	8	2	0	0	5	0	10	0	0	0	4	2	1	0	5	0	0	1	0	1	5	1	3	4	0	1	0	0	1	9	0	1	0	0	2	0	1	4	0	1	1	2	1	0	5	1	1	0	1	17	10	1	10	0	0	3	1	1	0	5	0	1	2	0	0					
		1.54%	2.20%	2.72%	2.21%	1.70%	2.90%	1.69%	1.88%	1.27%	1.64%	2.74%	0.00%	0.00%	2.16%	0.00%	4.02%	0.00%	0.00%	0.00%	1.07%	0.91%	1.23%	0.00%	1.19%	0.00%	0.00%	1.09%	0.00%	2.22%	1.03%	0.62%	2.65%	0.92%	0.00%	1.72%	0.00%	0.00%	1.05%	2.36%	0.00%	4.17%	0.00%	0.00%	0.50%	0.00%	1.54%	1.58%	0.00%	0.88%	0.19%	2.63%	1.96%	0.00%	1.21%	1.43%	1.35%	0.00%	1.33%	2.17%	2.35%	1.23%	1.54%	0.00%	0.00%	0.92%	1.37%	2.38%	0.00%	1.47%	0.00%	1.39%	8.00%	0.00%	0.00%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
