Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Хайбуллинская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	283	4	3	3	3	3	4	3	3	3	10	5	8	10	12	5	3	3	4	5	5	5	5	4	3	3	3	3	3	4	3	8	3	4	3	3	3	19	3	3	3	3	3	3	4	3	4	10	3	3	3	3	3	3	14	14	8	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	157	2	3	2	1	0	3	0	0	0	6	3	5	10	12	5	3	2	0	3	0	0	4	1	0	0	0	2	3	1	1	5	0	2	0	0	1	19	2	0	0	3	0	3	0	0	0	8	2	0	0	0	0	0	14	14	8	3	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	2	0	0	2	0	3	0	0	0	2	0	4	7	5	0	0	3	1	3	4	6	2	1	1	0	0	0	2	1	0	2	0	0	0	0	0	1	1	1	2	1	1	0	3	0	0	0	0	1	2	2	0	5	0	1	1	2	4	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	126	2	0	1	2	3	1	3	3	3	4	2	3	0	0	0	0	1	4	2	5	5	1	3	3	3	3	1	0	3	2	3	3	2	3	3	2	0	1	3	3	0	3	0	4	3	4	2	1	3	3	3	3	3	0	0	0	0	2	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	0	0	0	0	0	1	1	2	5	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	118	2	1	0	0	0	0	0	0	0	5	3	7	7	4	2	0	0	1	5	0	4	9	4	1	1	0	3	0	7	0	2	0	2	0	0	0	6	1	0	6	1	3	0	4	0	3	8	3	1	0	1	1	3	0	0	6	0	0	0	1									
		0.68%	0.74%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.70%	1.72%	0.93%	0.46%	0.49%	0.00%	0.00%	0.27%	0.60%	0.00%	1.08%	0.98%	0.72%	1.37%	1.27%	0.00%	1.69%	0.00%	0.88%	0.00%	0.56%	0.00%	0.51%	0.00%	0.00%	0.00%	1.35%	0.44%	0.00%	2.54%	0.96%	3.30%	0.00%	0.77%	0.00%	1.38%	1.75%	1.75%	1.12%	0.00%	0.90%	0.68%	2.61%	0.00%	0.00%	1.79%	0.00%	0.00%	0.00%	1.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	879	5	11	3	3	2	16	0	1	2	27	9	26	31	51	23	139	6	13	0	11	17	38	5	1	1	4	4	13	32	17	21	13	18	4	3	23	15	5	5	17	6	2	40	28	8	14	30	7	7	18	8	0	9	10	19	18	3	6	10	1									
		5.05%	1.86%	4.74%	3.45%	3.33%	2.74%	5.84%	0.00%	1.52%	1.85%	5.68%	2.10%	6.39%	4.13%	5.88%	5.68%	25.79%	1.90%	3.55%	0.00%	4.66%	4.58%	4.16%	0.89%	1.37%	1.27%	4.60%	2.26%	3.68%	4.01%	7.91%	5.83%	5.75%	4.57%	1.66%	2.14%	10.70%	3.39%	2.21%	5.15%	7.20%	5.77%	2.20%	16.00%	5.39%	5.71%	6.42%	6.56%	4.09%	7.87%	8.65%	7.21%	0.00%	7.83%	3.11%	5.00%	5.37%	2.68%	3.66%	4.12%	1.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	278	1	6	2	2	0	10	2	0	1	18	9	12	17	13	20	0	9	11	0	8	9	9	1	2	1	1	1	0	9	9	2	0	9	5	1	0	9	0	0	4	0	0	5	7	3	4	10	0	0	1	1	3	4	2	4	10	2	7	2	0									
		1.60%	0.37%	2.59%	2.30%	2.22%	0.00%	3.65%	1.71%	0.00%	0.93%	3.79%	2.10%	2.95%	2.26%	1.50%	4.94%	0.00%	2.86%	3.01%	0.00%	3.39%	2.43%	0.98%	0.18%	2.74%	1.27%	1.15%	0.56%	0.00%	1.13%	4.19%	0.56%	0.00%	2.28%	2.07%	0.71%	0.00%	2.03%	0.00%	0.00%	1.69%	0.00%	0.00%	2.00%	1.35%	2.14%	1.83%	2.19%	0.00%	0.00%	0.48%	0.90%	2.05%	3.48%	0.62%	1.05%	2.99%	1.79%	4.27%	0.82%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11440	212	158	63	70	61	193	95	46	96	233	254	224	475	472	256	359	220	275	525	146	175	631	391	63	73	66	142	305	396	158	239	185	225	206	108	158	275	172	65	153	85	64	146	294	104	149	197	113	61	150	77	129	69	258	295	192	65	119	174	80									
		65.71%	78.81%	68.10%	72.41%	77.78%	83.56%	70.44%	81.20%	69.70%	88.89%	49.05%	59.35%	55.04%	63.25%	54.38%	63.21%	66.60%	69.84%	75.14%	62.95%	61.86%	47.17%	69.04%	69.95%	86.30%	92.41%	75.86%	80.23%	86.40%	49.56%	73.49%	66.39%	81.86%	57.11%	85.48%	77.14%	73.49%	62.08%	76.11%	67.01%	64.83%	81.73%	70.33%	58.40%	56.65%	74.29%	68.35%	43.11%	66.08%	68.54%	72.12%	69.37%	88.36%	60.00%	80.12%	77.63%	57.31%	58.04%	72.56%	71.60%	87.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	78	0	0	0	0	0	0	0	0	0	10	2	5	4	10	2	0	0	0	0	0	1	0	7	0	0	0	1	0	1	0	2	0	0	0	0	0	6	2	1	3	0	0	0	3	1	1	4	0	2	2	0	0	0	0	5	0	1	0	1	1									
		0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.11%	0.47%	1.23%	0.53%	1.15%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	1.25%	0.00%	0.00%	0.00%	0.56%	0.00%	0.13%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.88%	1.03%	1.27%	0.00%	0.00%	0.00%	0.58%	0.71%	0.46%	0.88%	0.00%	2.25%	0.96%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.89%	0.00%	0.41%	1.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	27	1	0	1	0	0	0	0	0	0	1	1	0	3	5	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	3	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0									
		0.16%	0.37%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.23%	0.00%	0.40%	0.58%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.13%	0.00%	0.00%	0.00%	0.51%	0.41%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.46%	0.44%	0.00%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1209	7	2	1	0	4	0	0	3	4	55	39	0	48	69	32	13	14	21	24	20	70	86	24	4	1	2	12	3	155	6	22	5	63	5	7	19	43	8	1	9	2	10	4	42	10	16	50	24	4	8	9	3	11	23	18	44	9	8	12	1									
		6.94%	2.60%	0.86%	1.15%	0.00%	5.48%	0.00%	0.00%	4.55%	3.70%	11.58%	9.11%	0.00%	6.39%	7.95%	7.90%	2.41%	4.44%	5.74%	2.88%	8.47%	18.87%	9.41%	4.29%	5.48%	1.27%	2.30%	6.78%	0.85%	19.40%	2.79%	6.11%	2.21%	15.99%	2.07%	5.00%	8.84%	9.71%	3.54%	1.03%	3.81%	1.92%	10.99%	1.60%	8.09%	7.14%	7.34%	10.94%	14.04%	4.49%	3.85%	8.11%	2.05%	9.57%	7.14%	4.74%	13.13%	8.04%	4.88%	4.94%	1.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	44	0	0	0	0	0	0	0	0	0	2	3	5	8	7	2	0	0	0	0	0	1	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	1	0	0	1	0	0	1	1	0	0	0									
		0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.70%	1.23%	1.07%	0.81%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	2.30%	0.00%	0.57%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.66%	0.00%	0.00%	0.48%	0.00%	0.00%	0.87%	0.00%	0.00%	0.30%	0.89%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	41	0	0	0	0	0	0	0	0	0	4	3	2	5	12	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	3	0	0	0									
		0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.70%	0.49%	0.67%	1.38%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.28%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	2.68%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	29	0	1	0	0	0	0	0	0	0	1	2	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	6	0	0	1	0	0	0	1	0	1	1	0	1	0									
		0.17%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.47%	0.00%	1.07%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.46%	1.31%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.31%	0.00%	0.30%	0.89%	0.00%	0.41%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	87	0	0	0	2	0	0	0	1	0	7	0	15	11	5	5	0	0	0	5	1	3	4	0	0	0	1	0	2	1	0	0	0	3	0	0	0	0	0	0	3	0	0	0	2	0	1	6	0	3	0	1	0	0	0	0	3	0	0	2	0									
		0.50%	0.00%	0.00%	0.00%	2.22%	0.00%	0.00%	0.00%	1.52%	0.00%	1.47%	0.00%	3.69%	1.46%	0.58%	1.23%	0.00%	0.00%	0.00%	0.60%	0.42%	0.81%	0.44%	0.00%	0.00%	0.00%	1.15%	0.00%	0.57%	0.13%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	0.39%	0.00%	0.46%	1.31%	0.00%	3.37%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.00%	0.82%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1788	16	17	4	4	3	27	14	9	2	65	54	64	80	95	44	28	10	29	50	27	52	95	112	2	2	5	13	14	164	9	54	17	43	10	5	0	55	30	18	14	5	12	15	96	10	17	90	17	4	19	10	4	9	16	23	34	11	14	25	1									
		10.27%	5.95%	7.33%	4.60%	4.44%	4.11%	9.85%	11.97%	13.64%	1.85%	13.68%	12.62%	15.72%	10.65%	10.94%	10.86%	5.19%	3.17%	7.92%	5.99%	11.44%	14.02%	10.39%	20.04%	2.74%	2.53%	5.75%	7.34%	3.97%	20.53%	4.19%	15.00%	7.52%	10.91%	4.15%	3.57%	0.00%	12.42%	13.27%	18.56%	5.93%	4.81%	13.19%	6.00%	18.50%	7.14%	7.80%	19.69%	9.94%	4.49%	9.13%	9.01%	2.74%	7.83%	4.97%	6.05%	10.15%	9.82%	8.54%	10.29%	1.10%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	56	0	0	1	0	0	0	0	0	0	3	1	10	4	8	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	4	1	4	0	0	0	0	1	0	0	9	0	0	1	0	0	0	0	0	2	0	2	0	0									
		0.32%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.23%	2.46%	0.53%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.90%	0.44%	4.12%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	1.97%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	1.22%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1099	24	36	9	7	3	18	6	5	3	26	34	31	38	105	12	0	37	15	225	17	21	35	15	0	0	6	0	11	23	16	17	5	12	9	16	15	21	7	3	4	4	0	40	21	2	11	32	3	5	4	2	4	7	12	15	12	11	7	14	6									
		6.31%	8.92%	15.52%	10.34%	7.78%	4.11%	6.57%	5.13%	7.58%	2.78%	5.47%	7.94%	7.62%	5.06%	12.10%	2.96%	0.00%	11.75%	4.10%	26.98%	7.20%	5.66%	3.83%	2.68%	0.00%	0.00%	6.90%	0.00%	3.12%	2.88%	7.44%	4.72%	2.21%	3.05%	3.73%	11.43%	6.98%	4.74%	3.10%	3.09%	1.69%	3.85%	0.00%	16.00%	4.05%	1.43%	5.05%	7.00%	1.75%	5.62%	1.92%	1.80%	2.74%	6.09%	3.73%	3.95%	3.58%	9.82%	4.27%	5.76%	6.59%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
