Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Пестяковская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573									
		0.15%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.27%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	0	1	2	0	0	2	0	0	0	0	4	1									
		0.38%	0.00%	0.64%	1.32%	0.00%	0.00%	3.13%	0.00%	0.00%	0.00%	0.00%	0.56%	0.13%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	481	15	29	22	14	17	5	13	15	24	40	121	166									
		18.16%	13.64%	18.59%	14.57%	19.18%	12.78%	7.81%	23.21%	12.71%	19.05%	19.90%	16.88%	22.34%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	0	0	4	0	2	0	0	0	1	1	4	6									
		0.68%	0.00%	0.00%	2.65%	0.00%	1.50%	0.00%	0.00%	0.00%	0.79%	0.50%	0.56%	0.81%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	103	7	9	1	1	3	1	6	4	3	9	29	30									
		3.89%	6.36%	5.77%	0.66%	1.37%	2.26%	1.56%	10.71%	3.39%	2.38%	4.48%	4.04%	4.04%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
