Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Устьянская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №870	УИК №871	УИК №872	УИК №873	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №909	УИК №911									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1178	8	1	9	33	20	13	12	34	22	41	20	28	68	64	50	9	21	179	121	6	2	18	2	12	25	5	17	42	18	40	90	16	18	50	8	36	20									
		12.23%	5.80%	2.00%	7.44%	12.64%	10.93%	9.49%	13.04%	10.33%	9.13%	11.95%	12.99%	12.61%	15.53%	17.73%	16.18%	5.03%	2.41%	15.54%	15.30%	6.82%	4.17%	8.33%	2.90%	7.59%	10.33%	6.85%	10.30%	18.10%	12.59%	11.59%	20.04%	10.26%	9.14%	28.41%	10.39%	14.88%	10.93%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	0	1	0	0	0	0	0	1	2	1	0	0	1	1	3	0	0	5	3	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0									
		0.27%	0.00%	2.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.83%	0.29%	0.00%	0.00%	0.23%	0.28%	0.97%	0.00%	0.00%	0.43%	0.38%	1.14%	0.00%	0.46%	1.45%	0.63%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.22%	0.64%	0.51%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	765	5	4	4	17	4	2	5	13	16	17	8	22	40	37	22	22	110	142	68	4	1	21	1	11	9	4	7	17	4	15	35	13	16	15	7	8	19									
		7.94%	3.62%	8.00%	3.31%	6.51%	2.19%	1.46%	5.43%	3.95%	6.64%	4.96%	5.19%	9.91%	9.13%	10.25%	7.12%	12.29%	12.63%	12.33%	8.60%	4.55%	2.08%	9.72%	1.45%	6.96%	3.72%	5.48%	4.24%	7.33%	2.80%	4.35%	7.80%	8.33%	8.12%	8.52%	9.09%	3.31%	10.38%									
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
