Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Миллеровская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	110	0	3	10	1	4	7	5	2	1	4	10	1	5	1	7	5	2	0	2	2	0	2	0	9	0	1	1	0	0	0	0	0	2	0	3	1	0	1	0	3	0	0	0	1	1	0	1	0	0	0	0	4	0	0	7	0	1	0									
		0.43%	0.00%	0.29%	1.29%	0.11%	0.68%	0.84%	0.51%	0.34%	0.31%	0.57%	1.09%	0.52%	0.54%	0.12%	0.58%	1.31%	0.49%	0.00%	0.92%	0.77%	0.00%	0.64%	0.00%	0.92%	0.00%	0.24%	1.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	2.26%	0.19%	0.00%	0.28%	0.00%	0.42%	0.00%	0.00%	0.00%	0.32%	0.30%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	1.42%	0.00%	0.00%	0.90%	0.00%	0.38%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	45	0	1	3	1	1	6	3	3	1	2	3	1	0	3	0	0	0	0	0	0	1	1	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	3	1	0	0	0	0	3	0	0	0									
		0.18%	0.00%	0.10%	0.39%	0.11%	0.17%	0.72%	0.31%	0.51%	0.31%	0.28%	0.33%	0.52%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.30%	0.32%	0.00%	0.10%	0.00%	0.48%	1.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.84%	0.00%	0.30%	0.00%	0.00%	0.00%	0.34%	0.40%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3848	79	105	156	102	98	124	162	120	53	134	203	23	113	88	199	49	57	1	42	44	5	48	33	227	17	44	9	25	34	19	11	5	239	18	18	51	25	41	8	74	32	43	27	54	135	25	38	14	97	24	46	36	41	44	184	38	42	25									
		14.99%	6.39%	10.13%	20.13%	11.11%	16.75%	14.81%	16.67%	20.48%	16.26%	19.01%	22.09%	11.92%	12.15%	10.99%	16.46%	12.79%	14.07%	0.87%	19.35%	16.99%	6.49%	15.34%	10.06%	23.09%	8.54%	10.45%	10.98%	12.08%	14.78%	17.12%	11.70%	5.21%	24.51%	14.17%	13.53%	9.70%	5.94%	11.52%	4.85%	10.26%	11.94%	17.13%	22.69%	17.53%	40.66%	20.16%	12.67%	13.86%	11.12%	9.64%	10.87%	12.81%	17.60%	11.86%	23.56%	13.38%	16.09%	18.52%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	54	0	1	1	1	1	1	4	4	3	5	0	0	0	10	8	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	3	0	2	0									
		0.21%	0.00%	0.10%	0.13%	0.11%	0.17%	0.12%	0.41%	0.68%	0.92%	0.71%	0.00%	0.00%	0.00%	1.25%	0.66%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.24%	0.00%	0.86%	0.00%	0.38%	0.00%	0.77%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	91	4	1	6	7	4	6	3	3	1	8	8	1	3	3	4	0	1	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	2	1	1	0	2	2	4	0	0	0	1	1	2	0									
		0.35%	0.32%	0.10%	0.77%	0.76%	0.68%	0.72%	0.31%	0.51%	0.31%	1.13%	0.87%	0.52%	0.32%	0.37%	0.33%	0.00%	0.25%	0.00%	1.84%	0.00%	0.00%	0.00%	0.30%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.60%	0.81%	0.33%	0.00%	0.23%	0.80%	0.95%	0.00%	0.00%	0.00%	0.13%	0.35%	0.77%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0									
		0.07%	0.00%	0.00%	0.26%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.49%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.43%	0.00%	0.13%	0.00%	0.38%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	130	11	5	5	7	5	6	6	3	4	12	9	3	5	2	0	8	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	6	1	0	1	0	0	0	4	1	2	0	0	1	1	2	0	4	0	4	0	0	0	5	0	2	0									
		0.51%	0.89%	0.48%	0.65%	0.76%	0.85%	0.72%	0.62%	0.51%	1.23%	1.70%	0.98%	1.55%	0.54%	0.25%	0.00%	2.09%	0.00%	0.00%	0.00%	0.00%	1.30%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.62%	0.79%	0.00%	0.19%	0.00%	0.00%	0.00%	0.55%	0.37%	0.80%	0.00%	0.00%	0.30%	0.81%	0.67%	0.00%	0.46%	0.00%	0.95%	0.00%	0.00%	0.00%	0.64%	0.00%	0.77%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3389	61	94	182	103	122	137	160	127	62	131	195	37	121	97	115	28	54	0	48	46	4	27	24	106	22	21	6	9	58	6	6	3	192	9	24	90	55	34	7	50	17	38	20	58	44	26	50	14	93	33	30	14	28	45	81	46	57	22									
		13.20%	4.93%	9.06%	23.48%	11.22%	20.85%	16.37%	16.46%	21.67%	19.02%	18.58%	21.22%	19.17%	13.01%	12.11%	9.51%	7.31%	13.33%	0.00%	22.12%	17.76%	5.19%	8.63%	7.32%	10.78%	11.06%	4.99%	7.32%	4.35%	25.22%	5.41%	6.38%	3.13%	19.69%	7.09%	18.05%	17.11%	13.06%	9.55%	4.24%	6.93%	6.34%	15.14%	16.81%	18.83%	13.25%	20.97%	16.67%	13.86%	10.67%	13.25%	7.09%	4.98%	12.02%	12.13%	10.37%	16.20%	21.84%	16.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	52	4	2	1	2	2	6	2	0	1	2	0	1	1	4	0	0	1	0	0	0	0	0	0	2	0	0	1	0	3	1	0	0	4	0	0	2	0	2	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	2	1	0	0									
		0.20%	0.32%	0.19%	0.13%	0.22%	0.34%	0.72%	0.21%	0.00%	0.31%	0.28%	0.00%	0.52%	0.11%	0.50%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	1.22%	0.00%	1.30%	0.90%	0.00%	0.00%	0.41%	0.00%	0.00%	0.38%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.84%	0.32%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.43%	0.00%	0.26%	0.35%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	699	58	26	40	17	22	28	40	31	8	20	29	10	16	30	29	3	17	0	5	11	1	15	7	21	6	2	0	3	2	0	4	1	27	2	3	3	10	5	1	13	4	5	2	8	4	2	8	7	36	8	6	0	7	3	18	7	5	3									
		2.72%	4.69%	2.51%	5.16%	1.85%	3.76%	3.35%	4.12%	5.29%	2.45%	2.84%	3.16%	5.18%	1.72%	3.75%	2.40%	0.78%	4.20%	0.00%	2.30%	4.25%	1.30%	4.79%	2.13%	2.14%	3.02%	0.48%	0.00%	1.45%	0.87%	0.00%	4.26%	1.04%	2.77%	1.57%	2.26%	0.57%	2.38%	1.40%	0.61%	1.80%	1.49%	1.99%	1.68%	2.60%	1.20%	1.61%	2.67%	6.93%	4.13%	3.21%	1.42%	0.00%	3.00%	0.81%	2.30%	2.46%	1.92%	2.22%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
