Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Велижская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	817	24	23	18	44	27	31	50	57	176	218	149									
		19.80%	15.48%	12.04%	12.50%	22.00%	22.88%	16.32%	15.02%	18.57%	21.81%	22.38%	21.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	1	1	1	0	0	0	1	0	1	2	6									
		0.32%	0.65%	0.52%	0.69%	0.00%	0.00%	0.00%	0.30%	0.00%	0.12%	0.21%	0.85%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	0	1	0	0	0	0	2	3	6	8	5									
		0.61%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.60%	0.98%	0.74%	0.82%	0.71%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	1	0	1	0	0	0	0	0	0	0									
		0.05%	0.00%	0.52%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	0	0	0	0	1	0	0	0	8	6	8									
		0.56%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.99%	0.62%	1.13%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	540	15	26	20	26	9	13	50	25	105	155	96									
		13.09%	9.68%	13.61%	13.89%	13.00%	7.63%	6.84%	15.02%	8.14%	13.01%	15.91%	13.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	0	0	0	2	0	1	2	0	4	2	3									
		0.34%	0.00%	0.00%	0.00%	1.00%	0.00%	0.53%	0.60%	0.00%	0.50%	0.21%	0.42%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	123	3	3	3	1	2	3	7	8	41	33	19									
		2.98%	1.94%	1.57%	2.08%	0.50%	1.69%	1.58%	2.10%	2.61%	5.08%	3.39%	2.69%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
