Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
"Наименование Избирательной комиссии:    Иваново, Фрунзенская"																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	374	4	14	12	7	12	3	10	9	6	8	5	9	5	10	10	14	9	10	10	10	6	5	9	7	10	10	11	14	4	8	4	12	8	11	7	4	4	3	6	11	15	8	5	15					
14	Число погашенных открепительных удостоверений	260	4	10	0	0	5	4	3	0	12	11	9	4	15	5	13	10	4	1	6	8	2	4	7	11	10	7	2	2	9	6	10	5	1	1	0	12	3	13	4	8	9	3	1	6					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	"1. ""ЕДИНЕНИЕ"""	350	8	7	12	8	3	6	13	5	9	9	6	5	8	5	3	14	9	5	4	1	7	6	9	8	6	7	6	13	3	12	6	7	5	4	39	11	8	9	9	10	6	10	3	6					
		0.75%	0.55%	0.65%	1.10%	0.91%	0.37%	0.82%	1.28%	0.51%	0.97%	0.97%	0.58%	0.93%	0.91%	0.45%	0.39%	1.08%	1.28%	0.45%	0.26%	0.06%	0.68%	0.70%	0.88%	0.94%	0.46%	0.56%	0.46%	1.01%	0.28%	1.11%	0.79%	0.60%	0.46%	0.38%	2.78%	1.03%	0.86%	0.83%	0.80%	0.74%	0.81%	0.89%	0.24%	0.60%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3525	110	70	85	69	80	45	102	113	38	69	92	33	28	56	50	98	49	95	177	154	95	76	71	58	123	91	86	124	61	66	82	98	88	64	73	61	48	72	77	93	72	74	99	60					
		7.63%	7.57%	6.50%	7.80%	7.89%	9.97%	6.18%	10.07%	11.64%	4.13%	7.49%	8.96%	6.16%	3.21%	5.07%	6.57%	7.62%	7.0%	8.64%	11.8%	10.45%	9.26%	8.95%	6.96%	6.87%	9.61%	7.33%	6.63%	9.66%	5.87%	6.10%	10.81%	8.49%	8.24%	6.12%	5.21%	5.75%	5.16%	6.71%	6.85%	6.97%	9.72%	6.58%	8.01%	6.08%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1556	37	34	50	29	42	21	36	25	38	29	27	15	25	45	22	48	20	32	33	40	38	31	40	37	55	44	43	37	40	27	25	30	49	46	29	35	33	43	37	54	15	41	33	46					
		3.36%	2.54%	3.15%	4.59%	3.31%	5.23%	2.88%	3.55%	2.57%	4.13%	3.14%	2.63%	2.80%	2.87%	4.07%	2.89%	3.73%	2.85%	2.91%	2.2%	2.71%	3.70%	3.65%	3.92%	4.38%	4.30%	3.54%	3.31%	2.88%	3.84%	2.49%	3.29%	2.60%	4.59%	4.40%	2.07%	3.30%	3.54%	4.01%	3.29%	4.04%	2.02%	3.65%	2.67%	4.66%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2959	82	63	59	66	69	41	33	83	54	72	84	13	43	59	62	91	36	77	110	107	63	37	74	39	86	87	82	102	86	61	62	91	88	72	69	58	42	62	76	96	55	56	61	50					
		6.40%	5.64%	5.85%	5.41%	7.55%	8.60%	5.63%	3.26%	8.55%	5.87%	7.81%	8.18%	2.42%	4.94%	5.34%	8.14%	7.08%	5.14%	7.00%	7.33%	7.26%	6.14%	4.35%	7.25%	4.62%	6.72%	7.01%	6.32%	7.95%	8.27%	5.64%	8.17%	7.89%	8.24%	6.88%	4.92%	5.47%	4.51%	5.78%	6.76%	7.19%	7.43%	4.98%	4.93%	5.07%					
22	"5. ""За Русь Святую"""	183	2	5	2	2	3	6	5	1	5	1	3	3	4	7	2	3	5	5	6	6	1	2	5	2	2	6	5	3	4	6	4	4	2	4	3	6	5	9	6	4	1	9	6	8					
		0.39%	0.13%	0.46%	0.18%	0.22%	0.37%	0.82%	0.49%	0.10%	0.54%	0.10%	0.29%	0.56%	0.45%	0.63%	0.26%	0.23%	0.71%	0.45%	0.4%	0.40%	0.09%	0.23%	0.49%	0.23%	0.15%	0.48%	0.38%	0.23%	0.38%	0.55%	0.52%	0.34%	0.18%	0.38%	0.21%	0.56%	0.53%	0.83%	0.53%	0.29%	0.13%	0.80%	0.48%	0.81%					
23	"6. ""Объединенная Российская партия ""Русь"""	115	2	0	6	0	0	1	2	3	0	2	5	3	4	2	1	5	1	2	3	4	2	0	3	2	4	2	7	3	4	0	0	0	1	0	9	3	6	2	3	7	2	4	2	3					
		0.24%	0.13%	0.0%	0.55%	0.0%	0.0%	0.13%	0.19%	0.30%	0.0%	0.21%	0.48%	0.56%	0.45%	0.18%	0.13%	0.38%	0.14%	0.18%	0.2%	0.27%	0.19%	0.0%	0.29%	0.23%	0.31%	0.16%	0.53%	0.23%	0.38%	0.0%	0.0%	0.0%	0.09%	0.0%	0.64%	0.28%	0.64%	0.18%	0.26%	0.52%	0.27%	0.35%	0.16%	0.30%					
24	"7. ""Новый курс - Автомобильная Россия"""	374	10	5	11	9	6	3	6	3	14	7	8	3	9	7	6	5	6	10	16	12	4	10	6	5	8	15	15	10	12	16	5	3	5	6	24	14	5	7	9	8	10	7	9	5					
		0.80%	0.68%	0.46%	1.01%	1.02%	0.74%	0.41%	0.59%	0.30%	1.52%	0.76%	0.77%	0.56%	1.03%	0.63%	0.78%	0.38%	0.85%	0.90%	1.06%	0.81%	0.39%	1.17%	0.58%	0.59%	0.62%	1.20%	1.15%	0.77%	1.15%	1.48%	0.65%	0.26%	0.46%	0.57%	1.71%	1.32%	0.53%	0.65%	0.80%	0.59%	1.35%	0.62%	0.72%	0.50%					
25	"8. ""Народно-республиканская партия России"""	36	1	1	2	0	0	0	2	0	1	0	0	0	5	0	1	1	1	0	0	1	1	0	0	3	0	2	0	1	0	0	1	0	0	2	1	1	1	0	2	1	1	1	2	0					
		0.07%	0.06%	0.09%	0.18%	0.0%	0.0%	0.0%	0.19%	0.0%	0.10%	0.0%	0.0%	0.0%	0.57%	0.0%	0.13%	0.07%	0.14%	0.0%	0.0%	0.06%	0.09%	0.0%	0.0%	0.35%	0.0%	0.16%	0.0%	0.07%	0.0%	0.0%	0.13%	0.0%	0.0%	0.19%	0.07%	0.09%	0.10%	0.0%	0.17%	0.07%	0.13%	0.08%	0.16%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	247	8	12	5	9	13	3	3	5	0	2	4	0	5	7	8	6	7	3	10	6	11	6	4	4	8	5	6	9	5	7	4	3	6	4	15	8	4	2	1	3	6	5	3	2					
		0.53%	0.55%	1.11%	0.45%	1.02%	1.62%	0.41%	0.29%	0.51%	0.0%	0.21%	0.38%	0.0%	0.57%	0.63%	1.05%	0.46%	1.0%	0.27%	0.66%	0.40%	1.07%	0.70%	0.39%	0.47%	0.62%	0.40%	0.46%	0.70%	0.48%	0.64%	0.52%	0.26%	0.56%	0.38%	1.07%	0.75%	0.43%	0.18%	0.08%	0.22%	0.81%	0.44%	0.24%	0.20%					
27	"10. ""Аграрная партия России"""	1111	29	18	24	33	21	11	21	18	35	26	29	17	21	27	22	32	14	17	26	33	28	19	28	19	34	38	28	37	26	14	16	39	30	23	26	31	32	24	34	29	11	23	29	19					
		2.40%	1.99%	1.67%	2.20%	3.77%	2.61%	1.51%	2.07%	1.85%	3.80%	2.82%	2.82%	3.17%	2.41%	2.44%	2.89%	2.49%	2.0%	1.54%	1.73%	2.24%	2.73%	2.23%	2.74%	2.25%	2.65%	3.06%	2.15%	2.88%	2.50%	1.29%	2.11%	3.38%	2.81%	2.20%	1.85%	2.92%	3.44%	2.23%	3.02%	2.17%	1.48%	2.04%	2.34%	1.92%					
28	"11. ""Истинные патриоты России"""	43	0	0	1	0	0	1	0	1	5	0	1	0	4	1	0	0	0	1	6	2	1	0	0	0	1	0	3	2	1	0	1	0	0	0	6	2	0	0	0	0	2	0	1	0					
		0.09%	0.0%	0.0%	0.09%	0.0%	0.0%	0.13%	0.0%	0.10%	0.54%	0.0%	0.09%	0.0%	0.45%	0.09%	0.0%	0.0%	0.0%	0.09%	0.4%	0.13%	0.09%	0.0%	0.0%	0.0%	0.07%	0.0%	0.23%	0.15%	0.09%	0.0%	0.13%	0.0%	0.0%	0.0%	0.42%	0.18%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.08%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	405	10	10	10	2	6	7	8	8	7	2	8	6	8	15	4	10	8	5	15	19	10	8	15	15	7	18	9	7	12	10	3	18	10	6	12	4	7	10	9	15	3	8	15	6					
		0.87%	0.68%	0.92%	0.91%	0.22%	0.74%	0.96%	0.79%	0.82%	0.76%	0.21%	0.77%	1.12%	0.91%	1.35%	0.52%	0.77%	1.14%	0.45%	1.0%	1.28%	0.97%	0.94%	1.47%	1.77%	0.54%	1.45%	0.69%	0.54%	1.15%	0.92%	0.39%	1.56%	0.93%	0.57%	0.85%	0.37%	0.75%	0.93%	0.80%	1.12%	0.40%	0.71%	1.21%	0.60%					
30	"13. ""Демократическая партия России"""	68	0	2	1	0	2	0	2	1	0	0	2	1	0	3	0	6	3	1	2	2	0	1	2	2	1	5	1	4	1	2	0	1	0	2	7	4	0	0	1	5	0	1	0	0					
		0.14%	0.0%	0.18%	0.09%	0.0%	0.24%	0.0%	0.19%	0.10%	0.0%	0.0%	0.19%	0.18%	0.0%	0.27%	0.0%	0.46%	0.42%	0.09%	0.13%	0.13%	0.0%	0.11%	0.19%	0.23%	0.07%	0.40%	0.07%	0.31%	0.09%	0.18%	0.0%	0.08%	0.0%	0.19%	0.5%	0.37%	0.0%	0.0%	0.08%	0.37%	0.0%	0.08%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	135	1	1	2	6	1	3	4	7	5	2	0	0	4	3	0	2	2	5	3	6	0	3	1	13	2	0	1	4	2	3	4	4	0	5	10	10	2	1	1	0	0	7	3	2					
		0.29%	0.06%	0.09%	0.18%	0.68%	0.12%	0.41%	0.39%	0.72%	0.54%	0.21%	0.0%	0.0%	0.45%	0.27%	0.0%	0.15%	0.28%	0.45%	0.2%	0.40%	0.0%	0.35%	0.09%	1.54%	0.15%	0.0%	0.07%	0.31%	0.19%	0.27%	0.52%	0.34%	0.0%	0.47%	0.71%	0.94%	0.21%	0.09%	0.08%	0.0%	0.0%	0.62%	0.24%	0.20%					
32	"15. ""Партия СЛОН"""	183	4	6	2	5	0	1	4	5	3	3	1	2	2	7	3	5	2	1	4	6	4	4	4	2	9	4	7	8	5	5	1	5	5	4	22	7	1	2	2	6	4	1	2	3					
		0.39%	0.27%	0.55%	0.18%	0.57%	0.0%	0.13%	0.39%	0.51%	0.32%	0.32%	0.09%	0.37%	0.22%	0.63%	0.39%	0.38%	0.28%	0.09%	0.26%	0.40%	0.39%	0.47%	0.39%	0.23%	0.70%	0.32%	0.53%	0.62%	0.48%	0.46%	0.13%	0.43%	0.46%	0.38%	1.57%	0.66%	0.10%	0.18%	0.17%	0.44%	0.54%	0.08%	0.16%	0.30%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5198	184	131	137	90	96	97	88	103	80	104	146	39	69	105	76	165	100	159	224	247	131	88	112	69	148	153	181	161	144	114	82	138	169	92	62	71	98	131	117	120	62	106	134	75					
		11.25%	12.67%	12.17%	12.58%	10.29%	11.97%	13.34%	8.69%	10.61%	8.70%	11.29%	14.23%	7.28%	7.93%	9.51%	9.98%	12.84%	14.28%	14.46%	14.93%	16.76%	12.78%	10.36%	10.98%	8.17%	11.57%	12.33%	13.95%	12.54%	13.85%	10.54%	10.81%	11.96%	15.83%	8.80%	4.42%	6.69%	10.53%	12.22%	10.41%	8.99%	8.37%	9.43%	10.85%	7.60%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	63	2	1	1	0	1	0	3	0	0	3	2	1	4	0	1	0	0	0	3	0	1	0	1	1	1	1	0	1	1	2	3	3	0	1	10	10	0	0	1	0	1	1	2	0					
		0.13%	0.13%	0.09%	0.09%	0.0%	0.12%	0.0%	0.29%	0.0%	0.0%	0.32%	0.19%	0.18%	0.45%	0.0%	0.13%	0.0%	0.0%	0.0%	0.2%	0.0%	0.09%	0.0%	0.09%	0.11%	0.07%	0.08%	0.0%	0.07%	0.09%	0.18%	0.39%	0.26%	0.0%	0.09%	0.71%	0.94%	0.0%	0.0%	0.08%	0.0%	0.13%	0.08%	0.16%	0.0%					
35	"18. ""ЛДПР"""	6374	237	134	133	111	82	83	133	124	101	120	142	77	155	160	87	193	87	164	172	163	112	104	122	96	177	174	203	145	114	146	96	107	121	149	348	242	135	147	161	178	111	181	178	169					
		13.80%	16.32%	12.45%	12.21%	12.70%	10.22%	11.41%	13.14%	12.78%	10.99%	13.02%	13.84%	14.39%	17.81%	14.49%	11.43%	15.01%	12.42%	14.92%	11.46%	11.06%	10.92%	12.24%	11.96%	11.37%	13.83%	14.03%	15.65%	11.30%	10.97%	13.50%	12.66%	9.28%	11.34%	14.25%	24.85%	22.83%	14.51%	13.71%	14.33%	13.34%	15.0%	16.11%	14.41%	17.13%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1154	36	23	25	13	22	22	23	28	38	30	21	19	10	34	19	32	18	23	15	29	32	23	27	17	32	30	25	37	25	31	24	22	31	30	48	18	31	30	17	33	19	30	23	39					
		2.49%	2.47%	2.13%	2.29%	1.48%	2.74%	3.02%	2.27%	2.88%	4.13%	3.25%	2.04%	3.55%	1.14%	3.07%	2.49%	2.49%	2.57%	2.09%	1.0%	1.96%	3.12%	2.70%	2.64%	2.01%	2.50%	2.41%	1.92%	2.88%	2.40%	2.86%	3.16%	1.90%	2.90%	2.87%	3.42%	1.69%	3.33%	2.79%	1.51%	2.47%	2.56%	2.67%	1.86%	3.95%					
37	"20. ""Политическая партия ""Единая Россия"""	13652	425	341	337	259	214	219	307	294	336	299	260	202	234	352	253	328	198	305	393	384	285	262	331	296	355	323	367	370	313	344	184	358	268	334	394	300	289	312	369	429	213	350	341	325					
		29.56%	29.26%	31.69%	30.94%	29.63%	26.68%	30.12%	30.33%	30.30%	36.56%	32.46%	25.34%	37.75%	26.89%	31.88%	33.24%	25.52%	28.28%	27.75%	26.2%	26.06%	27.80%	30.85%	32.45%	35.07%	27.75%	26.04%	28.29%	28.83%	30.12%	31.82%	24.27%	31.04%	25.11%	31.96%	28.14%	28.30%	31.07%	29.10%	32.85%	32.15%	28.78%	31.16%	27.61%	32.96%					
38	"21. ""Российская Конституционно-демократическая партия"""	56	1	1	1	1	1	1	0	0	1	2	2	0	2	2	1	0	2	1	3	1	2	0	0	2	2	4	0	0	4	1	1	2	0	1	3	1	3	0	0	0	2	2	3	0					
		0.12%	0.06%	0.09%	0.09%	0.11%	0.12%	0.13%	0.0%	0.0%	0.10%	0.21%	0.19%	0.0%	0.22%	0.18%	0.13%	0.0%	0.28%	0.09%	0.2%	0.06%	0.19%	0.0%	0.0%	0.23%	0.15%	0.32%	0.0%	0.0%	0.38%	0.09%	0.13%	0.17%	0.0%	0.09%	0.21%	0.09%	0.32%	0.0%	0.0%	0.0%	0.27%	0.17%	0.24%	0.0%					
39	"22. ""Развитие предпринимательства"""	109	2	1	2	2	2	2	5	1	3	4	3	2	2	4	0	2	2	1	3	1	4	1	2	0	2	6	3	3	0	1	1	1	4	2	5	4	5	3	4	2	4	3	3	2					
		0.23%	0.13%	0.09%	0.18%	0.22%	0.24%	0.27%	0.49%	0.10%	0.32%	0.43%	0.29%	0.37%	0.22%	0.36%	0.0%	0.15%	0.28%	0.09%	0.2%	0.06%	0.39%	0.11%	0.19%	0.0%	0.15%	0.48%	0.23%	0.23%	0.0%	0.09%	0.13%	0.08%	0.37%	0.19%	0.35%	0.37%	0.53%	0.27%	0.35%	0.14%	0.54%	0.26%	0.24%	0.20%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4409	125	131	106	81	92	84	113	80	85	71	90	64	71	118	64	133	70	82	130	115	99	86	84	83	117	130	122	103	125	120	81	123	109	104	76	56	96	105	91	132	79	109	195	79					
		9.54%	8.60%	12.17%	9.73%	9.26%	11.47%	11.55%	11.16%	8.24%	9.24%	7.70%	8.77%	11.96%	8.16%	10.68%	8.40%	10.35%	10.0%	7.46%	8.66%	7.80%	9.65%	10.12%	8.23%	9.83%	9.14%	10.48%	9.40%	8.02%	12.03%	11.10%	10.68%	10.66%	10.21%	9.95%	5.42%	5.28%	10.32%	9.79%	8.10%	9.89%	10.67%	9.70%	15.78%	8.01%					
																																																			
41	Против всех	3388	129	70	65	64	39	63	87	59	57	49	83	24	50	69	72	92	51	99	136	127	93	72	75	65	94	87	87	93	46	82	62	79	72	77	97	98	65	92	79	96	56	84	77	75					
		7.33%	8.88%	6.50%	5.96%	7.32%	4.86%	8.66%	8.59%	6.08%	6.20%	5.32%	8.08%	4.48%	5.74%	6.24%	9.46%	7.15%	7.28%	9.00%	9.06%	8.62%	9.07%	8.48%	7.35%	7.70%	7.34%	7.01%	6.70%	7.24%	4.42%	7.58%	8.17%	6.85%	6.74%	7.36%	6.92%	9.24%	6.98%	8.58%	7.03%	7.19%	7.56%	7.47%	6.23%	7.60%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
