Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Савинская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749					
		0.14%	0.0%	0.36%	0.52%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%					
33	"16. ""Родина"" (народно-патриотический союз)"""	380	60	60	38	62	10	48	34	5	9	2	4	8	2	9	6	2	21					
		6.14%	6.34%	7.33%	5.01%	6.91%	6.09%	8.0%	8.0%	2.14%	3.10%	1.81%	4.81%	4.44%	3.77%	6.08%	5.04%	2.32%	7.77%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	18	0	2	2	2	0	3	4	0	1	0	0	0	1	0	3	0	0					
		0.29%	0.0%	0.24%	0.26%	0.22%	0.0%	0.5%	0.94%	0.0%	0.34%	0.0%	0.0%	0.0%	1.88%	0.0%	2.52%	0.0%	0.0%					
35	"18. ""ЛДПР"""	959	151	124	125	116	31	86	51	49	31	28	10	29	5	26	25	23	49					
		15.52%	15.96%	15.15%	16.51%	12.93%	18.90%	14.33%	12.0%	21.03%	10.68%	25.45%	12.04%	16.11%	9.43%	17.56%	21.00%	26.74%	18.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	178	31	27	20	30	1	19	15	7	5	2	1	2	1	6	5	0	6					
		2.88%	3.27%	3.30%	2.64%	3.34%	0.60%	3.16%	3.52%	3.00%	1.72%	1.81%	1.20%	1.11%	1.88%	4.05%	4.20%	0.0%	2.22%					
37	"20. ""Политическая партия ""Единая Россия"""	2233	329	271	232	357	57	233	133	96	122	47	48	73	20	57	27	44	87					
		36.13%	34.77%	33.12%	30.64%	39.79%	34.75%	38.83%	31.29%	41.20%	42.06%	42.72%	57.83%	40.55%	37.73%	38.51%	22.68%	51.16%	32.22%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	2	1	2	4	1	1	1	0	1	0	0	0	0	1	1	0	1					
		0.25%	0.21%	0.12%	0.26%	0.44%	0.60%	0.16%	0.23%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.67%	0.84%	0.0%	0.37%					
39	"22. ""Развитие предпринимательства"""	10	0	1	3	1	0	1	0	2	0	0	0	0	0	0	0	0	2					
		0.16%	0.0%	0.12%	0.39%	0.11%	0.0%	0.16%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	777	143	132	133	134	19	50	54	20	22	4	9	11	4	12	9	4	17					
		12.57%	15.11%	16.13%	17.56%	14.93%	11.58%	8.33%	12.70%	8.58%	7.58%	3.63%	10.84%	6.11%	7.54%	8.10%	7.56%	4.65%	6.29%					
																								
41	Против всех	284	48	45	38	36	7	23	27	7	9	1	2	7	2	12	8	1	11					
		4.59%	5.07%	5.50%	5.01%	4.01%	4.26%	3.83%	6.35%	3.00%	3.10%	0.90%	2.40%	3.88%	3.77%	8.10%	6.72%	1.16%	4.07%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
