Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
Наименование Избирательной комиссии:    Боровичcкая																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74									
15	Число открепительных удостоверений выданных ТИК	43	1	1	0	0	2	2	0	1	1	2	2	2	1	1	0	1	3	3	0	0	1	0	1	0	0	0	0	1	1	0	3	0	1	1	0	0	1	0	0	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0									
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
18	"1. ""ЕДИНЕНИЕ"""	249	5	3	3	7	8	5	3	5	2	1	4	8	3	4	5	6	7	6	2	3	5	1	2	9	3	4	3	6	3	6	7	1	5	12	2	0	9	3	4	5	2	8	4	0	3	1	0	5	1	2	4	2	5	3	1	9	5	3	3	2	1	5									
		0.80%	0.51%	0.57%	0.46%	0.91%	0.93%	0.46%	0.56%	0.57%	0.29%	0.21%	1.08%	1.20%	0.90%	0.48%	2.03%	0.88%	0.69%	0.85%	0.76%	0.54%	0.57%	0.22%	0.46%	0.92%	0.55%	1.02%	0.54%	0.71%	0.36%	0.56%	0.79%	0.27%	0.57%	3.76%	1.37%	0.0%	1.64%	1.29%	2.31%	1.82%	0.58%	1.02%	0.82%	0.0%	1.71%	0.33%	0.0%	1.02%	0.46%	0.46%	0.49%	1.16%	1.51%	1.66%	1.81%	1.18%	1.08%	0.94%	0.98%	1.38%	1.17%	2.23%									
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	303	20	6	4	5	12	9	2	16	11	3	4	6	1	6	3	7	14	5	2	4	3	6	2	14	5	6	5	4	13	11	7	3	15	2	0	0	6	1	1	2	4	5	5	0	1	1	2	3	0	2	12	1	4	1	0	4	2	1	3	3	1	2									
		0.97%	2.07%	1.14%	0.62%	0.65%	1.39%	0.83%	0.37%	1.83%	1.64%	0.65%	1.08%	0.90%	0.30%	0.72%	1.21%	1.03%	1.39%	0.70%	0.76%	0.73%	0.34%	1.35%	0.46%	1.44%	0.92%	1.53%	0.90%	0.47%	1.59%	1.03%	0.79%	0.81%	1.72%	0.62%	0.0%	0.0%	1.09%	0.43%	0.57%	0.72%	1.17%	0.64%	1.03%	0.0%	0.57%	0.33%	1.13%	0.61%	0.0%	0.46%	1.47%	0.58%	1.20%	0.55%	0.0%	0.52%	0.43%	0.31%	0.98%	2.08%	1.17%	0.89%									
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	940	29	12	9	34	54	50	19	29	17	14	8	21	9	24	1	14	26	25	5	21	24	11	10	31	14	14	11	23	44	25	24	12	18	2	3	3	15	8	12	4	15	14	8	3	4	5	10	13	6	18	33	2	9	1	4	28	6	4	11	4	4	9									
		3.02%	3.00%	2.29%	1.39%	4.43%	6.28%	4.63%	3.60%	3.31%	2.54%	3.07%	2.16%	3.16%	2.71%	2.91%	0.40%	2.06%	2.59%	3.54%	1.90%	3.83%	2.73%	2.47%	2.30%	3.20%	2.58%	3.58%	1.99%	2.72%	5.39%	2.34%	2.72%	3.27%	2.06%	0.62%	2.06%	3.75%	2.74%	3.44%	6.93%	1.45%	4.41%	1.79%	1.64%	4.91%	2.28%	1.68%	5.68%	2.67%	2.81%	4.15%	4.06%	1.16%	2.71%	0.55%	7.27%	3.69%	1.30%	1.25%	3.60%	2.77%	4.70%	4.01%									
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	892	37	14	32	28	21	39	18	42	29	13	10	23	15	37	10	31	29	16	10	16	25	5	10	33	22	15	21	24	22	59	25	7	23	6	4	2	2	1	3	2	5	23	3	1	4	3	3	7	2	6	17	3	8	1	0	5	5	2	3	4	2	4									
		2.86%	3.83%	2.67%	4.96%	3.65%	2.44%	3.61%	3.41%	4.80%	4.34%	2.85%	2.71%	3.46%	4.53%	4.49%	4.06%	4.57%	2.89%	2.26%	3.80%	2.92%	2.85%	1.12%	2.30%	3.40%	4.06%	3.83%	3.81%	2.84%	2.69%	5.54%	2.83%	1.91%	2.64%	1.88%	2.75%	2.5%	0.36%	0.43%	1.73%	0.72%	1.47%	2.95%	0.61%	1.63%	2.28%	1.01%	1.70%	1.44%	0.93%	1.38%	2.09%	1.75%	2.41%	0.55%	0.0%	0.66%	1.08%	0.62%	0.98%	2.77%	2.35%	1.78%									
22	"5. ""За Русь Святую"""	146	3	8	3	4	1	6	3	5	3	2	1	3	1	1	1	4	4	3	0	3	3	1	3	3	7	1	3	5	0	5	5	2	4	1	0	0	1	0	1	3	0	1	1	0	0	0	3	3	3	2	4	0	3	2	0	6	0	3	3	3	2	0									
		0.46%	0.31%	1.52%	0.46%	0.52%	0.11%	0.55%	0.56%	0.57%	0.44%	0.43%	0.27%	0.45%	0.30%	0.12%	0.40%	0.59%	0.39%	0.42%	0.0%	0.54%	0.34%	0.22%	0.69%	0.30%	1.29%	0.25%	0.54%	0.59%	0.0%	0.46%	0.56%	0.54%	0.45%	0.31%	0.0%	0.0%	0.18%	0.0%	0.57%	1.09%	0.0%	0.12%	0.20%	0.0%	0.0%	0.0%	1.70%	0.61%	1.40%	0.46%	0.49%	0.0%	0.90%	1.11%	0.0%	0.79%	0.0%	0.94%	0.98%	2.08%	2.35%	0.0%									
23	"6. ""Объединенная Российская партия ""Русь"""	69	1	2	2	1	4	0	0	2	0	3	1	1	1	2	0	1	3	3	0	1	2	2	1	2	2	1	2	3	0	0	1	1	0	1	1	0	1	0	0	0	2	4	0	0	0	1	2	1	1	1	5	0	0	1	0	1	0	1	0	1	0	0									
		0.22%	0.10%	0.38%	0.31%	0.13%	0.46%	0.0%	0.0%	0.22%	0.0%	0.65%	0.27%	0.15%	0.30%	0.24%	0.0%	0.14%	0.29%	0.42%	0.0%	0.18%	0.22%	0.45%	0.23%	0.20%	0.36%	0.25%	0.36%	0.35%	0.0%	0.0%	0.11%	0.27%	0.0%	0.31%	0.68%	0.0%	0.18%	0.0%	0.0%	0.0%	0.58%	0.51%	0.0%	0.0%	0.0%	0.33%	1.13%	0.20%	0.46%	0.23%	0.61%	0.0%	0.0%	0.55%	0.0%	0.13%	0.0%	0.31%	0.0%	0.69%	0.0%	0.0%									
24	"7. ""Новый курс - Автомобильная Россия"""	174	5	3	6	2	5	5	8	5	7	0	3	7	2	2	1	7	8	3	3	6	2	2	1	5	3	2	3	7	5	3	4	0	12	1	0	0	2	0	0	0	1	8	0	0	0	1	0	0	1	1	4	1	3	1	0	5	3	0	4	1	0	0									
		0.55%	0.51%	0.57%	0.93%	0.26%	0.58%	0.46%	1.51%	0.57%	1.04%	0.0%	0.81%	1.05%	0.60%	0.24%	0.40%	1.03%	0.79%	0.42%	1.14%	1.09%	0.22%	0.45%	0.23%	0.51%	0.55%	0.51%	0.54%	0.83%	0.61%	0.28%	0.45%	0.0%	1.37%	0.31%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.29%	1.02%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.46%	0.23%	0.49%	0.58%	0.90%	0.55%	0.0%	0.66%	0.65%	0.0%	1.31%	0.69%	0.0%	0.0%									
25	"8. ""Народно-республиканская партия России"""	32	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	1	3	0	0	0	0	2	1	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	4	2	1	0	0									
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.14%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.22%	0.0%	0.23%	0.30%	0.0%	0.0%	0.0%	0.0%	0.24%	0.09%	0.0%	0.0%	0.0%	0.0%	2.06%	1.25%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.21%	1.25%	0.65%	0.69%	0.0%	0.0%									
26	"9. ""Российская экологическая партия ""Зеленые"""	80	4	3	2	0	0	5	3	3	4	2	2	0	0	3	1	2	4	0	0	1	3	1	1	2	0	1	2	0	0	3	3	0	0	3	1	0	0	1	0	0	1	2	1	0	0	1	1	0	1	1	0	0	0	1	0	2	4	2	1	2	0	0									
		0.25%	0.41%	0.57%	0.31%	0.0%	0.0%	0.46%	0.56%	0.34%	0.59%	0.43%	0.54%	0.0%	0.0%	0.36%	0.40%	0.29%	0.39%	0.0%	0.0%	0.18%	0.34%	0.22%	0.23%	0.20%	0.0%	0.25%	0.36%	0.0%	0.0%	0.28%	0.34%	0.0%	0.0%	0.94%	0.68%	0.0%	0.0%	0.43%	0.0%	0.0%	0.29%	0.25%	0.20%	0.0%	0.0%	0.33%	0.56%	0.0%	0.46%	0.23%	0.0%	0.0%	0.0%	0.55%	0.0%	0.26%	0.86%	0.62%	0.32%	1.38%	0.0%	0.0%									
27	"10. ""Аграрная партия России"""	1551	24	17	26	27	32	33	17	27	27	12	21	29	11	26	17	29	28	25	9	28	30	15	1	33	17	14	18	42	26	30	37	14	29	66	5	7	36	24	14	11	47	83	46	2	8	58	13	14	12	61	54	13	10	11	15	32	25	24	58	14	9	8									
		4.98%	2.48%	3.25%	4.03%	3.52%	3.72%	3.05%	3.22%	3.08%	4.04%	2.63%	5.69%	4.37%	3.32%	3.15%	6.91%	4.28%	2.79%	3.54%	3.42%	5.11%	3.42%	3.37%	0.23%	3.40%	3.14%	3.58%	3.26%	4.98%	3.18%	2.81%	4.19%	3.82%	3.32%	20.68%	3.44%	8.75%	6.59%	10.34%	8.09%	4.01%	13.82%	10.66%	9.48%	3.27%	4.57%	19.52%	7.38%	2.88%	5.63%	14.08%	6.65%	7.60%	3.02%	6.11%	27.27%	4.22%	5.43%	7.52%	19.01%	9.72%	10.58%	3.57%									
28	"11. ""Истинные патриоты России"""	25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1									
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.09%	0.0%	0.0%	0.36%	0.22%	0.22%	2.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	1.38%	0.0%	0.44%									
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	361	11	6	8	16	13	23	6	14	4	5	3	7	3	14	1	5	10	8	1	10	10	1	4	6	3	2	2	7	13	14	14	7	8	3	0	1	10	0	0	1	4	4	15	0	3	7	2	0	1	0	9	4	5	0	0	10	5	4	7	2	0	5									
		1.16%	1.14%	1.14%	1.24%	2.08%	1.51%	2.13%	1.13%	1.60%	0.59%	1.09%	0.81%	1.05%	0.90%	1.69%	0.40%	0.73%	0.99%	1.13%	0.38%	1.82%	1.14%	0.22%	0.92%	0.61%	0.55%	0.51%	0.36%	0.83%	1.59%	1.31%	1.58%	1.91%	0.91%	0.94%	0.0%	1.25%	1.83%	0.0%	0.0%	0.36%	1.17%	0.51%	3.09%	0.0%	1.71%	2.35%	1.13%	0.0%	0.46%	0.0%	1.10%	2.33%	1.51%	0.0%	0.0%	1.32%	1.08%	1.25%	2.29%	1.38%	0.0%	2.23%									
30	"13. ""Демократическая партия России"""	93	0	0	0	2	2	3	0	4	4	0	1	3	1	2	3	0	3	4	0	3	5	1	2	1	0	1	2	2	2	2	1	2	1	2	1	1	1	0	0	1	1	1	1	0	1	1	2	0	2	6	3	0	3	1	0	2	3	2	0	0	0	1									
		0.29%	0.0%	0.0%	0.0%	0.26%	0.23%	0.27%	0.0%	0.45%	0.59%	0.0%	0.27%	0.45%	0.30%	0.24%	1.21%	0.0%	0.29%	0.56%	0.0%	0.54%	0.57%	0.22%	0.46%	0.10%	0.0%	0.25%	0.36%	0.23%	0.24%	0.18%	0.11%	0.54%	0.11%	0.62%	0.68%	1.25%	0.18%	0.0%	0.0%	0.36%	0.29%	0.12%	0.20%	0.0%	0.57%	0.33%	1.13%	0.0%	0.93%	1.38%	0.36%	0.0%	0.90%	0.55%	0.0%	0.26%	0.65%	0.62%	0.0%	0.0%	0.0%	0.44%									
31	"14. ""Великая Россия - Евразийский Союз"""	63	2	0	1	5	3	1	0	0	0	0	0	2	0	3	1	1	1	0	0	0	2	0	0	2	2	1	1	1	2	1	1	2	0	0	2	1	0	0	0	2	1	1	2	0	0	1	0	4	1	2	1	0	0	1	0	5	1	0	0	2	0	1									
		0.20%	0.20%	0.0%	0.15%	0.65%	0.34%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.36%	0.40%	0.14%	0.09%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.20%	0.36%	0.25%	0.18%	0.11%	0.24%	0.09%	0.11%	0.54%	0.0%	0.0%	1.37%	1.25%	0.0%	0.0%	0.0%	0.72%	0.29%	0.12%	0.41%	0.0%	0.0%	0.33%	0.0%	0.82%	0.46%	0.46%	0.12%	0.0%	0.0%	0.55%	0.0%	0.66%	0.21%	0.0%	0.0%	1.38%	0.0%	0.44%									
32	"15. ""Партия СЛОН"""	28	2	0	1	2	1	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	1	0	1	2	0	2	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1									
		0.09%	0.20%	0.0%	0.15%	0.26%	0.11%	0.09%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.20%	0.18%	0.0%	0.18%	0.23%	0.0%	0.18%	0.11%	0.27%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	1.16%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%									
33	"16. ""Родина"" (народно-патриотический союз)"""	2376	129	46	77	57	74	107	39	63	73	45	26	49	31	93	13	47	83	42	20	39	43	33	31	110	68	31	45	76	93	75	62	27	66	16	6	3	42	15	2	7	17	39	27	1	9	11	6	4	19	15	50	10	19	8	2	44	26	23	25	4	0	13									
		7.64%	13.38%	8.79%	11.95%	7.43%	8.61%	9.91%	7.40%	7.20%	10.94%	9.89%	7.04%	7.39%	9.36%	11.28%	5.28%	6.94%	8.27%	5.95%	7.60%	7.12%	4.90%	7.43%	7.15%	11.36%	12.56%	7.92%	8.16%	9.01%	11.39%	7.04%	7.02%	7.37%	7.57%	5.01%	4.13%	3.75%	7.69%	6.46%	1.15%	2.55%	5.0%	5.01%	5.56%	1.63%	5.14%	3.70%	3.40%	0.82%	8.92%	3.46%	6.15%	5.84%	5.74%	4.44%	3.63%	5.81%	5.65%	7.21%	8.19%	2.77%	0.0%	5.80%									
34	"17. ""Партия Мира и Единства (ПМЕ)"""	75	2	0	1	0	1	1	0	4	1	0	0	0	2	1	0	0	2	1	1	2	4	0	1	1	1	1	1	0	1	1	1	0	2	1	1	0	2	0	0	2	0	2	1	0	0	2	0	2	2	1	7	0	4	1	0	6	1	1	3	1	0	2									
		0.24%	0.20%	0.0%	0.15%	0.0%	0.11%	0.09%	0.0%	0.45%	0.14%	0.0%	0.0%	0.0%	0.60%	0.12%	0.0%	0.0%	0.19%	0.14%	0.38%	0.36%	0.45%	0.0%	0.23%	0.10%	0.18%	0.25%	0.18%	0.0%	0.12%	0.09%	0.11%	0.0%	0.22%	0.31%	0.68%	0.0%	0.36%	0.0%	0.0%	0.72%	0.0%	0.25%	0.20%	0.0%	0.0%	0.67%	0.0%	0.41%	0.93%	0.23%	0.86%	0.0%	1.20%	0.55%	0.0%	0.79%	0.21%	0.31%	0.98%	0.69%	0.0%	0.89%									
35	"18. ""ЛДПР"""	4929	144	101	92	132	138	152	97	166	71	82	80	125	66	134	40	97	149	151	48	67	171	80	84	172	80	74	72	139	114	214	168	75	158	41	18	12	92	21	17	36	26	89	46	12	29	30	24	56	29	50	149	23	65	19	4	130	71	26	37	19	9	16									
		15.85%	14.93%	19.31%	14.28%	17.20%	16.06%	14.08%	18.40%	18.99%	10.64%	18.02%	21.68%	18.85%	19.93%	16.26%	16.26%	14.32%	14.85%	21.41%	18.25%	12.24%	19.49%	18.01%	19.39%	17.76%	14.78%	18.92%	13.06%	16.48%	13.97%	20.11%	19.04%	20.49%	18.14%	12.85%	12.41%	15.0%	16.84%	9.05%	9.82%	13.13%	7.64%	11.43%	9.48%	19.67%	16.57%	10.10%	13.63%	11.52%	13.61%	11.54%	18.34%	13.45%	19.63%	10.55%	7.27%	17.17%	15.43%	8.15%	12.13%	13.19%	10.58%	7.14%									
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1026	30	26	41	25	29	41	14	29	17	12	13	28	16	36	10	24	44	29	10	13	33	11	10	31	14	11	23	21	16	29	27	14	26	10	8	1	19	4	3	9	12	17	10	2	2	8	0	22	8	11	32	5	6	4	0	25	18	8	11	9	2	7									
		3.30%	3.11%	4.97%	6.36%	3.25%	3.37%	3.79%	2.65%	3.31%	2.54%	2.63%	3.52%	4.22%	4.83%	4.36%	4.06%	3.54%	4.38%	4.11%	3.80%	2.37%	3.76%	2.47%	2.30%	3.20%	2.58%	2.81%	4.17%	2.49%	1.96%	2.72%	3.06%	3.82%	2.98%	3.13%	5.51%	1.25%	3.47%	1.72%	1.73%	3.28%	3.52%	2.18%	2.06%	3.27%	1.14%	2.69%	0.0%	4.52%	3.75%	2.54%	3.94%	2.92%	1.81%	2.22%	0.0%	3.30%	3.91%	2.50%	3.60%	6.25%	2.35%	3.12%									
37	"20. ""Политическая партия ""Единая Россия"""	13172	383	192	222	287	322	398	244	354	249	183	142	263	123	321	88	299	453	300	116	257	407	195	203	345	223	153	257	353	346	454	345	142	364	113	64	37	249	130	93	152	148	336	261	22	78	117	87	276	104	184	347	84	152	104	25	322	230	174	94	41	48	117									
		42.36%	39.73%	36.71%	34.47%	37.41%	37.48%	36.88%	46.29%	40.50%	37.33%	40.21%	38.48%	39.66%	37.16%	38.95%	35.77%	44.16%	45.16%	42.55%	44.10%	46.98%	46.40%	43.91%	46.88%	35.64%	41.21%	39.13%	46.64%	41.87%	42.40%	42.66%	39.11%	38.79%	41.79%	35.42%	44.13%	46.25%	45.60%	56.03%	53.75%	55.47%	43.52%	43.18%	53.81%	36.06%	44.57%	39.39%	49.43%	56.79%	48.82%	42.49%	42.73%	49.12%	45.92%	57.77%	45.45%	42.53%	49.99%	54.54%	30.81%	28.47%	56.47%	52.23%									
38	"21. ""Российская Конституционно-демократическая партия"""	88	0	1	4	3	1	0	0	1	2	1	4	3	2	2	2	1	2	1	0	1	2	1	2	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	3	1	0	27	0	1	1	0	0	0	0	2	3	3	2	0	0	1									
		0.28%	0.0%	0.19%	0.62%	0.39%	0.11%	0.0%	0.0%	0.11%	0.29%	0.21%	1.08%	0.45%	0.60%	0.24%	0.81%	0.14%	0.19%	0.14%	0.0%	0.18%	0.22%	0.22%	0.46%	0.0%	0.18%	0.0%	0.18%	0.11%	0.0%	0.0%	0.0%	0.27%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.20%	0.0%	1.71%	0.33%	0.0%	5.55%	0.0%	0.23%	0.12%	0.0%	0.0%	0.0%	0.0%	0.26%	0.65%	0.94%	0.65%	0.0%	0.0%	0.44%									
39	"22. ""Развитие предпринимательства"""	71	4	1	1	0	1	5	4	3	3	2	1	2	1	0	0	2	1	4	1	1	2	0	1	1	0	1	0	0	0	2	1	2	7	0	1	0	0	1	0	0	1	1	3	0	0	0	0	2	0	1	0	0	2	0	1	2	0	1	0	0	1	0									
