Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Инжавинская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  1041					
		7.63%	5.08%	4.14%	4.24%	4.40%	3.71%	7.37%	4.96%	4.30%	3.26%	5.09%	8.57%	12.74%	20.10%	8.94%	8.81%	4.51%	9.12%	11.87%	3.0%	11.02%	6.97%	5.69%	11.68%	10.06%	5.76%	8.35%	11.40%	21.46%	23.61%	6.25%	7.43%	11.74%	4.71%	5.38%	1.51%	3.40%	7.56%	10.70%	6.88%	12.28%	14.56%	15.11%					
28	"11. ""Истинные патриоты России"""	39	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	6	0	0	2	0	0	0	0	0	2	0	0	9	11	0	0	0					
		0.29%	0.14%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.25%	0.0%	0.36%	0.0%	0.0%	0.54%	0.0%	0.27%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.34%	0.0%	1.56%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	3.01%	3.98%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	113	3	5	5	5	4	3	1	5	0	4	7	4	0	3	4	2	0	1	1	1	0	3	10	3	1	7	4	2	0	1	0	0	4	1	1	3	5	3	1	6	0	0					
		0.84%	0.43%	0.79%	0.73%	0.75%	0.61%	0.69%	0.31%	1.26%	0.0%	1.45%	2.0%	0.98%	0.0%	2.43%	1.10%	1.50%	0.0%	0.62%	1.0%	0.78%	0.0%	0.43%	2.59%	1.04%	0.38%	1.82%	1.34%	0.97%	0.0%	0.48%	0.0%	0.0%	1.88%	0.76%	0.21%	1.70%	1.05%	1.00%	0.36%	3.50%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	31	2	1	2	1	2	2	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	2	2	2	0	1	0	0	1	0	0	2	0	0	2	1	0	0	3	1	0	0					
		0.23%	0.29%	0.15%	0.29%	0.15%	0.30%	0.46%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.75%	0.33%	0.0%	0.0%	0.78%	0.0%	0.29%	0.51%	0.69%	0.0%	0.26%	0.0%	0.0%	0.36%	0.0%	0.0%	0.71%	0.0%	0.0%	0.43%	0.56%	0.0%	0.0%	1.08%	0.58%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	0	0	0	2	2	0	0	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	2	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0					
		0.16%	0.0%	0.0%	0.0%	0.30%	0.30%	0.0%	0.0%	0.25%	0.0%	0.36%	0.0%	0.24%	0.54%	0.0%	0.0%	0.75%	0.0%	0.0%	1.0%	0.78%	1.16%	0.14%	0.51%	0.0%	0.0%	0.0%	0.33%	0.0%	0.36%	0.0%	0.0%	0.0%	0.47%	0.0%	0.21%	0.56%	0.0%	0.33%	0.36%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	15	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0					
		0.11%	0.43%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.29%	0.25%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	737	33	45	23	25	31	25	13	17	19	19	14	32	8	13	32	13	8	13	5	9	9	51	18	7	6	15	26	2	10	6	23	13	16	6	29	1	13	29	12	7	5	36					
		5.49%	4.79%	7.16%	3.36%	3.79%	4.79%	5.76%	4.03%	4.30%	7.75%	6.90%	4.0%	7.84%	4.34%	10.56%	8.81%	9.77%	2.70%	8.12%	5.0%	7.08%	10.46%	7.44%	4.67%	2.43%	2.30%	3.91%	8.72%	0.97%	3.69%	2.88%	7.12%	4.62%	7.54%	4.61%	6.26%	0.56%	2.73%	9.69%	4.34%	4.09%	3.31%	20.93%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	51	0	3	4	1	2	0	1	1	0	2	0	0	0	0	3	1	0	0	0	0	0	2	5	1	1	0	1	1	1	3	0	3	2	2	3	0	1	1	1	3	2	0					
		0.38%	0.0%	0.47%	0.58%	0.15%	0.30%	0.0%	0.31%	0.25%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.82%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	1.29%	0.34%	0.38%	0.0%	0.33%	0.48%	0.36%	1.44%	0.0%	1.06%	0.94%	1.53%	0.64%	0.0%	0.21%	0.33%	0.36%	1.75%	1.32%	0.0%					
35	"18. ""ЛДПР"""	1376	58	59	71	57	101	45	43	61	16	24	31	48	32	13	33	8	29	8	5	18	11	60	26	34	21	28	28	18	31	24	40	23	15	26	35	24	70	13	31	15	11	32					
		10.25%	8.43%	9.39%	10.39%	8.66%	15.63%	10.36%	13.35%	15.44%	6.53%	8.72%	8.85%	11.76%	17.39%	10.56%	9.09%	6.01%	9.79%	5.0%	5.0%	14.17%	12.79%	8.75%	6.75%	11.80%	8.07%	7.31%	9.39%	8.78%	11.43%	11.53%	12.38%	8.18%	7.07%	20.0%	7.55%	13.63%	14.70%	4.34%	11.23%	8.77%	7.28%	18.60%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	276	15	14	16	16	10	6	6	7	6	2	6	13	8	0	4	5	4	0	0	6	1	15	13	10	6	9	12	4	2	2	3	8	10	4	9	6	6	5	4	1	2	0					
		2.05%	2.18%	2.22%	2.34%	2.43%	1.54%	1.38%	1.86%	1.77%	2.44%	0.72%	1.71%	3.18%	4.34%	0.0%	1.10%	3.75%	1.35%	0.0%	0.0%	4.72%	1.16%	2.18%	3.37%	3.47%	2.30%	2.34%	4.02%	1.95%	0.73%	0.96%	0.92%	2.84%	4.71%	3.07%	1.94%	3.40%	1.26%	1.67%	1.44%	0.58%	1.32%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	4849	303	230	295	295	259	170	117	157	111	117	136	101	33	57	118	32	105	89	44	38	40	209	117	95	96	124	91	70	50	44	113	107	81	38	200	68	186	92	75	39	56	51					
		36.14%	44.04%	36.62%	43.19%	44.83%	40.09%	39.17%	36.33%	39.74%	45.30%	42.54%	38.85%	24.75%	17.93%	46.34%	32.50%	24.06%	35.47%	55.62%	44.0%	29.92%	46.51%	30.51%	30.38%	32.98%	36.92%	32.37%	30.53%	34.14%	18.45%	21.15%	34.98%	38.07%	38.20%	29.23%	43.19%	38.63%	39.07%	30.76%	27.17%	22.80%	37.08%	29.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	23	0	0	1	1	0	0	2	0	0	0	1	1	0	1	0	1	1	1	1	0	2	4	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	2	0	0					
		0.17%	0.0%	0.0%	0.14%	0.15%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.28%	0.24%	0.0%	0.81%	0.0%	0.75%	0.33%	0.62%	1.0%	0.0%	2.32%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.36%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	1.16%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	22	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	2	0	0	0	1	1	1	3	1	1	0	0	0	0					
		0.16%	0.43%	0.0%	0.14%	0.15%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.78%	0.0%	0.48%	0.73%	0.0%	0.0%	0.0%	0.47%	0.76%	0.21%	1.70%	0.21%	0.33%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2553	131	150	130	103	95	86	75	72	33	49	43	81	21	5	74	29	58	13	25	11	4	197	66	57	68	103	51	35	49	72	66	60	43	21	91	21	88	61	49	25	29	13					
		19.02%	19.04%	23.88%	19.03%	15.65%	14.70%	19.81%	23.29%	18.22%	13.46%	17.81%	12.28%	19.85%	11.41%	4.06%	20.38%	21.80%	19.59%	8.12%	25.0%	8.66%	4.65%	28.75%	17.14%	19.79%	26.15%	26.89%	17.11%	17.07%	18.08%	34.61%	20.43%	21.35%	20.28%	16.15%	19.65%	11.93%	18.48%	20.40%	17.75%	14.61%	19.20%	7.55%					
																																																	
41	Против всех	559	31	21	28	36	34	20	19	18	13	7	10	20	7	4	10	6	11	7	5	5	0	30	15	14	11	17	8	13	9	10	21	6	5	8	22	9	12	4	14	13	6	0					
		4.16%	4.50%	3.34%	4.09%	5.47%	5.26%	4.60%	5.90%	4.55%	5.30%	2.54%	2.85%	4.90%	3.80%	3.25%	2.75%	4.51%	3.71%	4.37%	5.0%	3.93%	0.0%	4.37%	3.89%	4.86%	4.23%	4.43%	2.68%	6.34%	3.32%	4.80%	6.50%	2.13%	2.35%	6.15%	4.75%	5.11%	2.52%	1.33%	5.07%	7.60%	3.97%	0.0%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
