Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
Наименование Избирательной комиссии:    Октябрьская 																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  2483	УИК  2484	УИК  2506	УИК  2507					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	"1. ""ЕДИНЕНИЕ"""	450	7	5	0	12	0	3	4	0	11	2	0	0	0	0	11	0	12	19	16	2	3	3	13	3	15	3	0	4	11	18	4	13	3	7	4	8	23	76	10	28	15	15	17	21	12	6	3	2	6					
		1.25%	1.05%	0.51%	0.0%	1.34%	0.0%	1.19%	1.80%	0.0%	0.96%	0.20%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	1.6%	2.91%	1.33%	0.49%	0.51%	1.91%	2.30%	0.51%	1.43%	0.63%	0.0%	0.5%	2.66%	1.22%	0.52%	1.21%	1.13%	0.88%	0.28%	0.56%	1.54%	3.60%	2.38%	1.80%	0.90%	2.07%	1.26%	1.63%	1.80%	2.63%	1.14%	0.33%	1.16%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	575	9	3	0	8	3	8	4	2	25	10	1	5	2	3	12	2	10	11	6	4	3	1	9	8	15	7	0	6	14	13	13	17	2	5	0	37	31	63	8	36	42	13	29	37	9	4	4	10	11					
		1.59%	1.35%	0.30%	0.0%	0.89%	2.29%	3.18%	1.80%	1.23%	2.18%	1.03%	0.50%	0.87%	1.43%	1.14%	1.34%	1.04%	1.33%	1.68%	0.49%	0.99%	0.51%	0.63%	1.59%	1.37%	1.43%	1.47%	0.0%	0.75%	3.39%	0.88%	1.71%	1.59%	0.75%	0.63%	0.0%	2.61%	2.08%	2.99%	1.90%	2.32%	2.54%	1.79%	2.16%	2.88%	1.35%	1.75%	1.52%	1.65%	2.14%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	638	12	6	4	9	4	5	0	0	22	3	5	2	1	2	16	3	18	12	26	1	14	1	13	19	33	18	2	8	7	21	10	17	1	3	6	26	34	24	12	20	14	27	33	41	30	6	2	11	34					
		1.77%	1.80%	0.61%	0.67%	1.00%	3.05%	1.99%	0.0%	0.0%	1.92%	0.31%	2.52%	0.35%	0.71%	0.76%	1.79%	1.57%	2.4%	1.84%	2.16%	0.24%	2.38%	0.63%	2.30%	3.27%	3.15%	3.80%	2.22%	1.0%	1.69%	1.42%	1.32%	1.59%	0.37%	0.37%	0.42%	1.83%	2.28%	1.13%	2.86%	1.28%	0.84%	3.72%	2.46%	3.19%	4.50%	2.63%	0.76%	1.81%	6.62%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	529	13	3	0	4	1	2	0	0	8	2	1	1	0	2	11	5	13	1	8	10	7	2	8	9	24	12	5	13	2	27	11	28	2	11	0	54	35	33	14	32	19	8	22	28	18	2	1	5	12					
		1.47%	1.95%	0.30%	0.0%	0.44%	0.76%	0.79%	0.0%	0.0%	0.70%	0.20%	0.50%	0.17%	0.0%	0.76%	1.23%	2.61%	1.73%	0.15%	0.66%	2.48%	1.19%	1.27%	1.42%	1.54%	2.29%	2.53%	5.55%	1.62%	0.48%	1.83%	1.45%	2.62%	0.75%	1.38%	0.0%	3.81%	2.34%	1.56%	3.34%	2.06%	1.15%	1.10%	1.64%	2.18%	2.70%	0.87%	0.38%	0.82%	2.33%					
22	"5. ""За Русь Святую"""	130	1	2	0	1	0	1	0	0	4	1	5	0	0	0	4	0	4	3	3	3	1	0	2	3	1	8	0	6	0	6	3	6	0	0	0	7	7	11	1	3	2	0	8	13	5	0	0	1	4					
		0.36%	0.15%	0.20%	0.0%	0.11%	0.0%	0.39%	0.0%	0.0%	0.35%	0.10%	2.52%	0.0%	0.0%	0.0%	0.44%	0.0%	0.53%	0.46%	0.24%	0.74%	0.17%	0.0%	0.35%	0.51%	0.09%	1.69%	0.0%	0.75%	0.0%	0.40%	0.39%	0.56%	0.0%	0.0%	0.0%	0.49%	0.46%	0.52%	0.23%	0.19%	0.12%	0.0%	0.59%	1.01%	0.75%	0.0%	0.0%	0.16%	0.77%					
23	"6. ""Объединенная Российская партия ""Русь"""	89	0	0	0	4	0	0	0	0	1	3	0	0	2	0	1	0	2	2	1	0	4	0	3	4	3	0	0	2	0	9	2	1	0	2	0	4	8	6	1	7	3	3	2	1	4	0	1	3	0					
		0.24%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.08%	0.31%	0.0%	0.0%	1.43%	0.0%	0.11%	0.0%	0.26%	0.30%	0.08%	0.0%	0.68%	0.0%	0.53%	0.68%	0.28%	0.0%	0.0%	0.25%	0.0%	0.61%	0.26%	0.09%	0.0%	0.25%	0.0%	0.28%	0.53%	0.28%	0.23%	0.45%	0.18%	0.41%	0.14%	0.07%	0.60%	0.0%	0.38%	0.49%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	159	1	0	0	1	0	2	0	1	5	0	0	0	0	0	3	0	5	1	3	2	1	1	0	0	6	1	1	3	4	7	2	5	0	1	0	6	19	31	2	9	5	6	12	2	2	0	0	3	6					
		0.44%	0.15%	0.0%	0.0%	0.11%	0.0%	0.79%	0.0%	0.61%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.66%	0.15%	0.24%	0.49%	0.17%	0.63%	0.0%	0.0%	0.57%	0.21%	1.11%	0.37%	0.97%	0.47%	0.26%	0.46%	0.0%	0.12%	0.0%	0.42%	1.27%	1.47%	0.47%	0.58%	0.30%	0.82%	0.89%	0.15%	0.30%	0.0%	0.0%	0.49%	1.16%					
25	"8. ""Народно-республиканская партия России"""	33	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	1	1	0	0	3	0	2	0	2	2	1	0	4	3	1	0	0	2	1	0	0	0					
		0.09%	0.15%	0.0%	0.33%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.30%	0.08%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.12%	0.24%	0.0%	0.0%	0.28%	0.0%	0.25%	0.0%	0.14%	0.13%	0.04%	0.0%	0.25%	0.18%	0.13%	0.0%	0.0%	0.30%	0.43%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	3	2	0	0	0	2	0	3	0	1	0	20	10	11	0	4	4	3	6	2	1	0	0	1	2					
		0.22%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.13%	0.15%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.28%	0.42%	0.0%	0.0%	0.0%	0.13%	0.0%	0.28%	0.0%	0.12%	0.0%	1.41%	0.67%	0.52%	0.0%	0.25%	0.24%	0.41%	0.44%	0.15%	0.15%	0.0%	0.0%	0.16%	0.38%					
27	"10. ""Аграрная партия России"""	1570	26	60	9	28	5	7	22	39	78	93	7	14	2	33	41	3	42	31	113	8	55	8	31	74	40	16	19	31	39	40	23	42	7	47	0	121	67	34	26	22	3	11	31	32	22	22	22	12	12					
		4.36%	3.90%	6.15%	1.51%	3.12%	3.81%	2.78%	9.95%	24.07%	6.83%	9.63%	3.53%	2.46%	1.43%	12.59%	4.60%	1.57%	5.6%	4.76%	9.39%	1.99%	9.38%	5.09%	5.50%	12.73%	3.82%	3.38%	21.11%	3.87%	9.46%	2.71%	3.03%	3.93%	2.64%	5.92%	0.0%	8.54%	4.49%	1.61%	6.20%	1.41%	0.18%	1.51%	2.31%	2.49%	3.30%	9.64%	8.39%	1.98%	2.33%					
28	"11. ""Истинные патриоты России"""	33	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	8	0	1	7	2	1	0	1	1	1	0	0					
		0.09%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.24%	0.0%	0.63%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.06%	0.37%	0.0%	0.06%	0.42%	0.27%	0.07%	0.0%	0.15%	0.43%	0.38%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	378	5	0	2	0	2	4	0	0	21	1	7	1	1	0	8	0	16	9	12	1	2	0	6	9	28	9	2	4	0	12	17	12	0	7	0	22	17	26	10	9	31	7	20	15	11	0	1	5	6					
		1.05%	0.75%	0.0%	0.33%	0.0%	1.52%	1.59%	0.0%	0.0%	1.83%	0.10%	3.53%	0.17%	0.71%	0.0%	0.89%	0.0%	2.13%	1.38%	0.99%	0.24%	0.34%	0.0%	1.06%	1.54%	2.67%	1.90%	2.22%	0.5%	0.0%	0.81%	2.24%	1.12%	0.0%	0.88%	0.0%	1.55%	1.14%	1.23%	2.38%	0.58%	1.87%	0.96%	1.49%	1.16%	1.65%	0.0%	0.38%	0.82%	1.16%					
30	"13. ""Демократическая партия России"""	59	0	0	0	0	0	0	0	0	4	2	3	0	0	0	0	0	2	1	0	2	1	0	0	2	2	3	0	0	0	0	2	3	0	1	0	3	3	13	2	4	2	1	0	0	0	0	0	1	2					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.20%	1.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.15%	0.0%	0.49%	0.17%	0.0%	0.0%	0.34%	0.19%	0.63%	0.0%	0.0%	0.0%	0.0%	0.26%	0.28%	0.0%	0.12%	0.0%	0.21%	0.20%	0.61%	0.47%	0.25%	0.12%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	65	2	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	5	1	0	0	0	0	1	0	2	1	0	0	0	2	0	3	0	1	0	2	6	12	0	4	5	0	4	4	2	0	3	0	0					
		0.18%	0.30%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.08%	0.0%	0.50%	0.0%	0.0%	0.0%	0.22%	0.0%	0.66%	0.15%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.19%	0.21%	0.0%	0.0%	0.0%	0.13%	0.0%	0.28%	0.0%	0.12%	0.0%	0.14%	0.40%	0.56%	0.0%	0.25%	0.30%	0.0%	0.29%	0.31%	0.30%	0.0%	1.14%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	80	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	21	25	3	4	5	0	3	0	0	0	0	0	1					
		0.22%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	1.40%	1.18%	0.71%	0.25%	0.30%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2010	44	18	7	29	5	12	6	0	89	12	5	7	5	4	65	4	27	45	42	17	43	3	4	5	67	27	2	56	6	143	85	136	0	29	5	160	121	37	37	36	29	87	135	117	63	3	18	70	43					
		5.58%	6.60%	1.84%	1.17%	3.24%	3.81%	4.78%	2.71%	0.0%	7.79%	1.24%	2.52%	1.23%	3.59%	1.52%	7.29%	2.09%	3.6%	6.91%	3.49%	4.22%	7.33%	1.91%	0.71%	0.86%	6.40%	5.70%	2.22%	7.0%	1.45%	9.69%	11.22%	12.75%	0.0%	3.65%	0.35%	11.29%	8.12%	1.75%	8.83%	2.32%	1.75%	12.01%	10.08%	9.11%	9.45%	1.31%	6.87%	11.57%	8.38%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	97	1	6	0	0	0	0	5	0	2	0	0	0	0	0	4	0	3	1	1	0	2	0	1	0	4	3	0	2	3	4	0	5	1	0	14	3	4	11	0	7	5	1	0	1	2	0	0	0	1					
		0.26%	0.15%	0.61%	0.0%	0.0%	0.0%	0.0%	2.26%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.4%	0.15%	0.08%	0.0%	0.34%	0.0%	0.17%	0.0%	0.38%	0.63%	0.0%	0.25%	0.72%	0.27%	0.0%	0.46%	0.37%	0.0%	1.0%	0.21%	0.26%	0.52%	0.0%	0.45%	0.30%	0.13%	0.0%	0.07%	0.30%	0.0%	0.0%	0.0%	0.19%					
35	"18. ""ЛДПР"""	4093	60	42	38	92	15	34	28	19	96	110	19	18	8	3	105	7	96	105	97	44	82	1	32	60	174	63	2	118	22	178	82	166	13	45	0	172	265	297	51	196	271	121	179	177	100	40	17	64	69					
		11.37%	9.00%	4.30%	6.38%	10.27%	11.45%	13.54%	12.66%	11.72%	8.40%	11.39%	9.59%	3.16%	5.75%	1.14%	11.78%	3.66%	12.8%	16.12%	8.06%	10.94%	13.99%	0.63%	5.68%	10.32%	16.63%	13.31%	2.22%	14.75%	5.33%	12.06%	10.83%	15.57%	4.90%	5.67%	0.0%	12.14%	17.78%	14.09%	12.17%	12.63%	16.43%	16.71%	13.36%	13.78%	15.01%	17.54%	6.48%	10.57%	13.45%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	404	8	5	0	0	0	1	0	2	22	1	1	0	1	5	12	0	8	9	20	7	0	2	21	4	30	11	0	4	0	18	5	21	0	10	0	18	9	10	7	18	7	17	39	17	15	1	1	5	12					
		1.12%	1.20%	0.51%	0.0%	0.0%	0.0%	0.39%	0.0%	1.23%	1.92%	0.10%	0.50%	0.0%	0.71%	1.90%	1.34%	0.0%	1.06%	1.38%	1.66%	1.74%	0.0%	1.27%	3.73%	0.68%	2.86%	2.32%	0.0%	0.5%	0.0%	1.22%	0.66%	1.96%	0.0%	1.26%	0.0%	1.27%	0.60%	0.47%	1.67%	1.16%	0.42%	2.34%	2.91%	1.32%	2.25%	0.43%	0.38%	0.82%	2.33%					
37	"20. ""Политическая партия ""Единая Россия"""	19496	375	790	528	585	78	117	109	93	531	598	100	492	109	197	510	161	337	285	730	253	274	103	339	257	370	173	45	465	257	753	414	390	219	539	1358	428	514	1113	174	946	997	235	580	514	248	112	167	325	209					
		54.19%	56.30%	81.02%	88.73%	65.36%	59.54%	46.61%	49.32%	57.40%	46.49%	61.96%	50.50%	86.46%	78.41%	75.19%	57.23%	84.29%	44.93%	43.77%	60.68%	62.93%	46.75%	65.60%	60.21%	44.23%	35.37%	36.57%	50.0%	58.12%	62.37%	51.05%	54.68%	36.58%	82.64%	67.96%	97.0%	30.22%	34.49%	52.82%	41.52%	60.99%	60.46%	32.45%	43.31%	40.03%	37.23%	49.12%	63.74%	53.71%	40.74%					
38	"21. ""Российская Конституционно-демократическая партия"""	67	1	0	1	0	0	0	0	1	2	0	1	0	0	0	3	0	4	4	0	0	0	0	1	0	3	1	0	0	1	5	1	7	0	6	0	1	3	6	0	4	2	2	4	2	1	0	0	0	0					
		0.18%	0.15%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.61%	0.17%	0.0%	0.50%	0.0%	0.0%	0.0%	0.33%	0.0%	0.53%	0.61%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.28%	0.21%	0.0%	0.0%	0.24%	0.33%	0.13%	0.65%	0.0%	0.75%	0.0%	0.07%	0.20%	0.28%	0.0%	0.25%	0.12%	0.27%	0.29%	0.15%	0.15%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	77	1	0	0	0	1	0	0	0	3	0	0	1	0	0	2	0	1	1	0	1	3	0	0	0	3	1	0	0	0	7	0	2	0	1	0	2	7	9	2	2	9	0	5	5	2	1	1	3	1					
		0.21%	0.15%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.17%	0.0%	0.0%	0.22%	0.0%	0.13%	0.15%	0.0%	0.24%	0.51%	0.0%	0.0%	0.0%	0.28%	0.21%	0.0%	0.0%	0.0%	0.47%	0.0%	0.18%	0.0%	0.12%	0.0%	0.14%	0.46%	0.42%	0.47%	0.12%	0.54%	0.0%	0.37%	0.38%	0.30%	0.43%	0.38%	0.49%	0.19%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3421	74	24	4	94	11	43	39	1	178	106	30	21	8	11	62	2	100	67	90	35	69	22	60	104	164	67	10	49	27	169	69	134	13	57	13	182	158	132	31	86	55	115	168	211	88	23	19	68	58					
		9.50%	11.11%	2.46%	0.67%	10.50%	8.39%	17.13%	17.64%	0.61%	15.58%	10.98%	15.15%	3.69%	5.75%	4.19%	6.95%	1.04%	13.33%	10.29%	7.48%	8.70%	11.77%	14.01%	10.65%	17.90%	15.67%	14.16%	11.11%	6.12%	6.55%	11.45%	9.11%	12.57%	4.90%	7.18%	0.92%	12.85%	10.60%	6.26%	7.39%	5.54%	3.33%	15.88%	12.54%	16.43%	13.21%	10.08%	7.25%	11.23%	11.30%					
																																																								
41	Против всех	1211	17	11	0	20	1	8	4	4	34	16	4	5	0	2	15	4	36	26	30	11	18	9	17	19	33	22	2	28	18	38	14	42	4	14	0	124	108	94	14	69	97	39	41	39	23	6	1	9	21					
		3.36%	2.55%	1.12%	0.0%	2.23%	0.76%	3.18%	1.80%	2.46%	2.97%	1.65%	2.02%	0.87%	0.0%	0.76%	1.68%	2.09%	4.8%	3.99%	2.49%	2.73%	3.07%	5.73%	3.01%	3.27%	3.15%	4.65%	2.22%	3.5%	4.36%	2.57%	1.84%	3.93%	1.50%	1.76%	0.0%	8.75%	7.24%	4.46%	3.34%	4.44%	5.88%	5.38%	3.06%	3.03%	3.45%	2.63%	0.38%	1.48%	4.09%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
