Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Вичугская городская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210					
		3.02%	4.94%	3.40%	3.89%	3.97%	4.26%	3.11%	3.52%	2.37%	3.09%	3.48%	3.69%	2.32%	2.02%	3.64%	1.56%	1.85%	2.36%	2.02%	2.07%	2.88%	2.16%					
28	"11. ""Истинные патриоты России"""	8	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.16%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	220	8	6	10	6	12	12	24	5	18	11	25	5	13	2	8	7	12	5	3	18	10					
		1.32%	1.19%	0.97%	1.49%	1.13%	1.02%	1.24%	1.92%	0.98%	1.42%	1.82%	2.56%	0.82%	1.75%	0.33%	0.78%	1.44%	1.13%	0.92%	0.77%	1.67%	1.08%					
30	"13. ""Демократическая партия России"""	23	3	0	0	0	4	1	0	0	2	0	2	1	2	1	0	1	2	0	1	2	1					
		0.13%	0.44%	0.0%	0.0%	0.0%	0.34%	0.10%	0.0%	0.0%	0.15%	0.0%	0.20%	0.16%	0.27%	0.16%	0.0%	0.20%	0.18%	0.0%	0.25%	0.18%	0.10%					
31	"14. ""Великая Россия - Евразийский Союз"""	33	2	2	2	2	0	1	2	1	1	2	2	2	1	1	1	0	1	5	1	3	1					
		0.19%	0.29%	0.32%	0.29%	0.37%	0.0%	0.10%	0.16%	0.19%	0.07%	0.33%	0.20%	0.33%	0.13%	0.16%	0.09%	0.0%	0.09%	0.92%	0.25%	0.27%	0.10%					
32	"15. ""Партия СЛОН"""	27	0	0	1	0	3	0	4	1	2	1	2	0	2	1	1	0	2	0	2	2	3					
		0.16%	0.0%	0.0%	0.14%	0.0%	0.25%	0.0%	0.32%	0.19%	0.15%	0.16%	0.20%	0.0%	0.27%	0.16%	0.09%	0.0%	0.18%	0.0%	0.51%	0.18%	0.32%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1295	43	46	57	36	89	86	105	37	81	46	80	22	59	53	85	41	96	39	41	98	55					
		7.78%	6.44%	7.46%	8.54%	6.81%	7.58%	8.92%	8.41%	7.31%	6.42%	7.62%	8.20%	3.64%	7.98%	8.78%	8.30%	8.47%	9.09%	7.19%	10.64%	9.13%	5.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	31	2	1	1	1	1	0	3	0	3	0	2	2	2	0	3	1	4	2	0	2	1					
		0.18%	0.29%	0.16%	0.14%	0.18%	0.08%	0.0%	0.24%	0.0%	0.23%	0.0%	0.20%	0.33%	0.27%	0.0%	0.29%	0.20%	0.37%	0.36%	0.0%	0.18%	0.10%					
35	"18. ""ЛДПР"""	2661	123	102	99	96	216	153	194	81	259	94	165	105	103	74	154	71	130	79	45	166	152					
		15.98%	18.44%	16.55%	14.84%	18.18%	18.41%	15.87%	15.54%	16.00%	20.53%	15.58%	16.92%	17.41%	13.93%	12.27%	15.03%	14.66%	12.31%	14.57%	11.68%	15.47%	16.43%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	524	17	17	15	20	24	24	60	10	42	15	34	24	25	13	33	21	40	20	18	25	27					
		3.14%	2.54%	2.75%	2.24%	3.78%	2.04%	2.48%	4.80%	1.97%	3.33%	2.48%	3.48%	3.98%	3.38%	2.15%	3.22%	4.33%	3.78%	3.69%	4.67%	2.32%	2.91%					
37	"20. ""Политическая партия ""Единая Россия"""	6471	254	208	263	222	442	371	413	201	501	264	370	271	300	269	393	193	442	204	129	398	363					
		38.88%	38.08%	33.76%	39.43%	42.04%	37.68%	38.48%	33.09%	39.72%	39.73%	43.78%	37.94%	44.94%	40.59%	44.61%	38.37%	39.87%	41.85%	37.63%	33.50%	37.09%	39.24%					
38	"21. ""Российская Конституционно-демократическая партия"""	36	2	0	0	1	4	1	3	0	5	1	2	1	2	1	4	0	2	1	1	2	3					
		0.21%	0.29%	0.0%	0.0%	0.18%	0.34%	0.10%	0.24%	0.0%	0.39%	0.16%	0.20%	0.16%	0.27%	0.16%	0.39%	0.0%	0.18%	0.18%	0.25%	0.18%	0.32%					
39	"22. ""Развитие предпринимательства"""	38	0	1	1	2	1	3	3	0	4	0	5	2	2	1	5	2	2	2	0	0	2					
		0.22%	0.0%	0.16%	0.14%	0.37%	0.08%	0.31%	0.24%	0.0%	0.31%	0.0%	0.51%	0.33%	0.27%	0.16%	0.48%	0.41%	0.18%	0.36%	0.0%	0.0%	0.21%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2065	80	104	73	55	143	142	165	83	135	77	101	62	82	74	128	59	132	85	53	122	110					
		12.40%	11.99%	16.88%	10.94%	10.41%	12.19%	14.73%	13.22%	16.40%	10.70%	12.76%	10.35%	10.28%	11.09%	12.27%	12.5%	12.19%	12.5%	15.68%	13.76%	11.36%	11.89%					
																												
41	Против всех	729	26	23	34	12	52	43	69	19	54	12	50	26	15	19	56	11	52	27	10	73	46					
		4.38%	3.89%	3.73%	5.09%	2.27%	4.43%	4.46%	5.52%	3.75%	4.28%	1.99%	5.12%	4.31%	2.02%	3.15%	5.46%	2.27%	4.92%	4.98%	2.59%	6.80%	4.97%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
