Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Район Братеево																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  1624	УИК  1625	УИК  1626	УИК  1627	УИК  1628	УИК  1629	УИК  1630	УИК  1631	УИК  1632	УИК  1633	УИК  1634	УИК  1635	УИК  1636	УИК  1637	УИК  1638	УИК  1639	УИК  1640	УИК  1641	УИК  1642	УИК  1643	УИК  1644	УИК  1645	УИК  1646	УИК  1647	УИК  1648	УИК  1649					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1350	50	50	50	50	50	50	50	50	60	50	50	50	50	50	70	50	50	50	50	50	50	50	70	50	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1018	46	29	35	33	47	36	37	38	50	44	30	29	28	34	62	39	41	44	32	44	46	44	49	35	22	44					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	643	49	12	19	31	31	25	14	29	24	7	29	14	32	20	30	39	16	48	25	14	27	23	33	12	15	25					
14	Число погашенных открепительных удостоверений	332	4	21	15	17	3	14	13	12	10	6	20	21	22	16	8	11	9	6	18	6	4	6	21	15	28	6					
15	Число открепительных удостоверений выданных ТИК	22	2	0	0	0	0	0	4	0	2	3	3	0	0	0	1	1	0	1	4	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	266	3	14	8	4	18	11	8	12	15	14	9	7	5	9	9	15	5	14	7	7	18	16	8	9	15	6					
		0.79%	0.25%	1.10%	0.54%	0.34%	1.20%	0.82%	0.62%	0.96%	1.04%	1.07%	0.80%	0.57%	0.42%	0.73%	0.54%	1.07%	0.38%	1.30%	0.63%	0.50%	1.22%	1.10%	0.58%	0.71%	1.09%	0.77%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1838	82	78	72	79	95	58	92	81	88	55	75	86	104	85	84	58	62	39	52	81	90	69	67	50	33	23					
		5.48%	6.85%	6.17%	4.86%	6.86%	6.36%	4.33%	7.17%	6.54%	6.10%	4.21%	6.67%	7.08%	8.84%	6.98%	5.12%	4.13%	4.80%	3.63%	4.75%	5.84%	6.12%	4.76%	4.86%	3.96%	2.41%	2.96%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	690	25	16	27	23	38	25	34	17	39	15	21	23	33	17	33	26	32	22	22	31	40	26	37	30	28	10					
		2.05%	2.09%	1.26%	1.82%	1.99%	2.54%	1.86%	2.65%	1.37%	2.70%	1.14%	1.86%	1.89%	2.80%	1.39%	2.01%	1.85%	2.48%	2.04%	2.01%	2.23%	2.72%	1.79%	2.68%	2.38%	2.04%	1.28%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2299	95	118	120	101	118	67	91	80	66	72	69	97	106	97	93	57	99	71	101	102	88	87	130	87	44	43					
		6.86%	7.94%	9.33%	8.10%	8.77%	7.90%	5.01%	7.09%	6.46%	4.58%	5.51%	6.14%	7.99%	9.01%	7.97%	5.67%	4.06%	7.68%	6.61%	9.23%	7.35%	5.99%	6.01%	9.44%	6.90%	3.21%	5.53%					
22	"5. ""За Русь Святую"""	159	9	8	3	4	4	8	9	7	13	7	5	3	4	7	5	13	5	6	6	7	8	3	5	2	6	2					
		0.47%	0.75%	0.63%	0.20%	0.34%	0.26%	0.59%	0.70%	0.56%	0.90%	0.53%	0.44%	0.24%	0.34%	0.57%	0.30%	0.92%	0.38%	0.55%	0.54%	0.50%	0.54%	0.20%	0.36%	0.15%	0.43%	0.25%					
23	"6. ""Объединенная Российская партия ""Русь"""	78	2	1	3	2	5	2	6	0	1	4	1	1	0	1	4	5	6	3	2	6	3	1	5	6	6	2					
		0.23%	0.16%	0.07%	0.20%	0.17%	0.33%	0.14%	0.46%	0.0%	0.06%	0.30%	0.08%	0.08%	0.0%	0.08%	0.24%	0.35%	0.46%	0.27%	0.18%	0.43%	0.20%	0.06%	0.36%	0.47%	0.43%	0.25%					
24	"7. ""Новый курс - Автомобильная Россия"""	631	17	25	22	28	32	23	33	25	18	18	24	26	27	29	23	18	24	42	30	34	32	17	18	24	16	6					
		1.88%	1.42%	1.97%	1.48%	2.43%	2.14%	1.72%	2.57%	2.01%	1.24%	1.37%	2.13%	2.14%	2.29%	2.38%	1.40%	1.28%	1.86%	3.91%	2.74%	2.45%	2.17%	1.17%	1.30%	1.90%	1.17%	0.77%					
25	"8. ""Народно-республиканская партия России"""	22	0	0	3	0	0	3	0	2	0	1	1	1	1	4	0	0	0	0	0	0	1	2	3	0	0	0					
		0.06%	0.0%	0.0%	0.20%	0.0%	0.0%	0.22%	0.0%	0.16%	0.0%	0.07%	0.08%	0.08%	0.08%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.13%	0.21%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	249	6	5	13	11	10	6	14	6	14	8	12	13	7	6	9	7	17	6	10	13	12	5	14	11	9	5					
		0.74%	0.50%	0.39%	0.87%	0.95%	0.66%	0.44%	1.09%	0.48%	0.97%	0.61%	1.06%	1.07%	0.59%	0.49%	0.54%	0.49%	1.31%	0.55%	0.91%	0.93%	0.81%	0.34%	1.01%	0.87%	0.65%	0.64%					
27	"10. ""Аграрная партия России"""	513	14	13	28	27	15	19	17	23	25	22	8	22	22	16	26	31	19	16	17	26	19	24	26	0	24	14					
		1.53%	1.17%	1.02%	1.89%	2.34%	1.00%	1.42%	1.32%	1.85%	1.73%	1.68%	0.71%	1.81%	1.87%	1.31%	1.58%	2.21%	1.47%	1.48%	1.55%	1.87%	1.29%	1.65%	1.88%	0.0%	1.75%	1.80%					
28	"11. ""Истинные патриоты России"""	31	1	4	2	0	0	2	1	1	3	0	0	0	0	2	0	1	1	0	1	4	1	1	5	0	1	0					
		0.09%	0.08%	0.31%	0.13%	0.0%	0.0%	0.14%	0.07%	0.08%	0.20%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.07%	0.07%	0.0%	0.09%	0.28%	0.06%	0.06%	0.36%	0.0%	0.07%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	434	20	15	23	12	18	13	9	17	9	17	9	11	11	18	29	36	16	10	11	13	25	20	24	24	18	6					
		1.29%	1.67%	1.18%	1.55%	1.04%	1.20%	0.97%	0.70%	1.37%	0.62%	1.30%	0.80%	0.90%	0.93%	1.47%	1.76%	2.56%	1.24%	0.93%	1.00%	0.93%	1.70%	1.38%	1.74%	1.90%	1.31%	0.77%					
30	"13. ""Демократическая партия России"""	66	0	6	5	0	2	4	0	3	3	2	1	3	2	5	5	0	2	0	2	5	6	2	2	3	3	0					
		0.19%	0.0%	0.47%	0.33%	0.0%	0.13%	0.29%	0.0%	0.24%	0.20%	0.15%	0.08%	0.24%	0.17%	0.41%	0.30%	0.0%	0.15%	0.0%	0.18%	0.36%	0.40%	0.13%	0.14%	0.23%	0.21%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	61	0	1	2	3	5	0	3	6	5	3	1	3	1	0	6	3	1	1	0	2	3	2	0	3	4	3					
		0.18%	0.0%	0.07%	0.13%	0.26%	0.33%	0.0%	0.23%	0.48%	0.34%	0.22%	0.08%	0.24%	0.08%	0.0%	0.36%	0.21%	0.07%	0.09%	0.0%	0.14%	0.20%	0.13%	0.0%	0.23%	0.29%	0.38%					
32	"15. ""Партия СЛОН"""	86	7	2	6	2	3	0	4	3	2	2	5	3	7	4	4	1	4	1	1	1	5	5	9	1	3	1					
		0.25%	0.58%	0.15%	0.40%	0.17%	0.20%	0.0%	0.31%	0.24%	0.13%	0.15%	0.44%	0.24%	0.59%	0.32%	0.24%	0.07%	0.31%	0.09%	0.09%	0.07%	0.34%	0.34%	0.65%	0.07%	0.21%	0.12%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4071	176	175	192	163	175	117	217	156	175	158	111	131	139	182	188	147	182	104	127	137	189	196	162	148	133	91					
		12.15%	14.71%	13.84%	12.96%	14.16%	11.72%	8.75%	16.92%	12.60%	12.14%	12.10%	9.88%	10.79%	11.81%	14.95%	11.47%	10.49%	14.11%	9.68%	11.60%	9.88%	12.86%	13.54%	11.76%	11.74%	9.72%	11.71%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	40	1	2	1	1	1	5	0	0	3	5	4	2	2	0	2	0	2	1	1	1	2	0	0	2	1	1					
		0.11%	0.08%	0.15%	0.06%	0.08%	0.06%	0.37%	0.0%	0.0%	0.20%	0.38%	0.35%	0.16%	0.17%	0.0%	0.12%	0.0%	0.15%	0.09%	0.09%	0.07%	0.13%	0.0%	0.0%	0.15%	0.07%	0.12%					
35	"18. ""ЛДПР"""	2999	89	88	139	63	140	142	103	131	144	127	111	109	106	93	127	137	127	103	87	144	134	106	118	98	154	79					
		8.95%	7.44%	6.96%	9.38%	5.47%	9.37%	10.62%	8.03%	10.58%	9.99%	9.73%	9.88%	8.98%	9.01%	7.64%	7.74%	9.77%	9.85%	9.59%	7.95%	10.38%	9.12%	7.32%	8.56%	7.77%	11.26%	10.16%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	307	11	26	11	4	10	19	11	11	0	19	9	23	6	9	10	14	12	10	11	13	11	8	13	11	21	4					
		0.91%	0.91%	2.05%	0.74%	0.34%	0.66%	1.42%	0.85%	0.88%	0.0%	1.45%	0.80%	1.89%	0.51%	0.73%	0.61%	0.99%	0.93%	0.93%	1.00%	0.93%	0.74%	0.55%	0.94%	0.87%	1.53%	0.51%					
37	"20. ""Политическая партия ""Единая Россия"""	13674	490	488	569	457	564	622	422	490	575	556	456	438	441	479	726	638	466	435	436	567	610	624	543	560	646	376					
		40.82%	40.96%	38.60%	38.41%	39.70%	37.77%	46.52%	32.91%	39.57%	39.90%	42.60%	40.60%	36.10%	37.5%	39.35%	44.29%	45.53%	36.15%	40.50%	39.85%	40.90%	41.52%	43.12%	39.43%	44.44%	47.25%	48.39%					
38	"21. ""Российская Конституционно-демократическая партия"""	63	2	1	2	0	21	0	3	1	1	1	0	1	2	0	3	2	3	2	2	0	1	0	3	3	2	7					
		0.18%	0.16%	0.07%	0.13%	0.0%	1.40%	0.0%	0.23%	0.08%	0.06%	0.07%	0.0%	0.08%	0.17%	0.0%	0.18%	0.14%	0.23%	0.18%	0.18%	0.0%	0.06%	0.0%	0.21%	0.23%	0.14%	0.90%					
39	"22. ""Развитие предпринимательства"""	101	4	5	8	5	1	8	5	5	3	3	1	3	4	3	4	1	2	6	2	5	5	2	9	3	3	1					
		0.30%	0.33%	0.39%	0.54%	0.43%	0.06%	0.59%	0.39%	0.40%	0.20%	0.22%	0.08%	0.24%	0.34%	0.24%	0.24%	0.07%	0.15%	0.55%	0.18%	0.36%	0.34%	0.13%	0.65%	0.23%	0.21%	0.12%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2020	78	78	112	84	88	60	94	64	117	73	61	69	71	67	109	87	96	69	56	65	57	97	68	88	73	39					
		6.03%	6.52%	6.17%	7.56%	7.29%	5.89%	4.48%	7.33%	5.16%	8.11%	5.59%	5.43%	5.68%	6.03%	5.50%	6.65%	6.20%	7.44%	6.42%	5.11%	4.68%	3.88%	6.70%	4.93%	6.98%	5.34%	5.01%					
																																	
41	Против всех	2350	56	87	99	66	117	105	88	92	101	106	100	77	61	72	120	86	96	87	92	104	89	107	104	82	98	58					
		7.01%	4.68%	6.88%	6.68%	5.73%	7.83%	7.85%	6.86%	7.43%	7.00%	8.12%	8.90%	6.34%	5.18%	5.91%	7.32%	6.13%	7.44%	8.10%	8.40%	7.50%	6.05%	7.39%	7.55%	6.50%	7.16%	7.46%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
