Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																												
Дата голосования: 18.09.2016																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Азовская																																																																																												
																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																												
																																																																																												
		Сумма	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	803	36	16	9	13	3	7	4	3	17	7	6	14	1	16	16	12	15	19	11	11	8	7	6	3	8	8	13	25	2	1	3	11	0	0	2	0	0	35	12	0	3	2	3	10	10	1	9	7	17	15	11	6	0	13	4	28	5	0	9	29	3	14	0	2	0	31	24	0	19	3	3	13	18	25	11	32	12	4	8	15	4									
		1.89%	3.27%	4.61%	3.80%	4.85%	4.55%	3.24%	4.94%	1.15%	3.15%	3.27%	2.10%	1.68%	0.72%	7.69%	8.16%	5.36%	2.75%	6.13%	2.89%	3.59%	7.92%	10.29%	5.66%	3.57%	1.02%	1.64%	1.91%	4.60%	3.28%	1.69%	2.80%	1.67%	0.00%	0.00%	1.59%	0.00%	0.00%	2.58%	1.45%	0.00%	0.98%	1.85%	1.34%	1.34%	0.74%	0.08%	0.66%	0.49%	1.54%	7.50%	3.01%	3.39%	0.00%	1.64%	1.67%	1.91%	0.95%	0.00%	1.65%	3.07%	5.26%	3.37%	0.00%	0.32%	0.00%	4.58%	2.97%	0.00%	2.22%	1.50%	0.44%	1.55%	2.05%	3.64%	0.81%	4.41%	2.17%	0.89%	1.17%	1.58%	3.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	415	8	4	1	2	0	0	0	5	9	2	4	19	0	3	3	1	14	7	12	5	1	0	2	6	12	0	8	7	0	0	4	2	0	1	0	0	5	11	1	2	2	0	2	3	14	0	12	10	3	1	10	1	0	18	0	5	5	0	5	0	0	6	0	2	3	13	8	8	3	5	4	12	12	9	12	14	18	3	27	4	0									
		0.98%	0.73%	1.15%	0.42%	0.75%	0.00%	0.00%	0.00%	1.92%	1.67%	0.93%	1.40%	2.28%	0.00%	1.44%	1.53%	0.45%	2.56%	2.26%	3.16%	1.63%	0.99%	0.00%	1.89%	7.14%	1.53%	0.00%	1.17%	1.29%	0.00%	0.00%	3.74%	0.30%	0.00%	0.62%	0.00%	0.00%	0.28%	0.81%	0.12%	0.21%	0.65%	0.00%	0.89%	0.40%	1.04%	0.00%	0.89%	0.70%	0.27%	0.50%	2.74%	0.56%	0.00%	2.27%	0.00%	0.34%	0.95%	0.00%	0.91%	0.00%	0.00%	1.45%	0.00%	0.32%	1.76%	1.92%	0.99%	1.72%	0.35%	2.50%	0.59%	1.43%	1.37%	1.31%	0.88%	1.93%	3.25%	0.67%	3.96%	0.42%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	30183	799	203	189	168	53	177	65	186	293	111	138	566	110	123	113	144	326	159	198	159	42	49	50	31	443	344	352	264	45	40	56	578	425	150	108	171	1611	980	664	804	264	94	184	615	944	829	954	1003	675	128	245	149	53	449	167	1027	474	401	435	615	30	305	148	544	124	331	468	295	668	150	603	638	633	377	1109	419	411	360	480	818	80									
		71.22%	72.64%	58.50%	79.75%	62.69%	80.30%	81.94%	80.25%	71.26%	54.26%	51.87%	48.25%	67.87%	79.14%	59.13%	57.65%	64.29%	59.71%	51.29%	52.11%	51.96%	41.58%	72.06%	47.17%	36.90%	56.43%	70.64%	51.61%	48.53%	73.77%	67.80%	52.34%	87.84%	89.66%	93.17%	85.71%	95.53%	90.56%	72.11%	80.00%	85.53%	85.99%	87.04%	82.14%	82.55%	69.98%	64.56%	70.46%	70.04%	60.98%	64.00%	67.12%	84.18%	72.60%	56.62%	69.87%	70.05%	90.11%	92.18%	79.52%	65.08%	52.63%	73.49%	87.06%	87.46%	72.94%	48.89%	57.99%	63.58%	78.13%	75.00%	88.29%	76.04%	72.01%	54.88%	81.72%	57.71%	74.32%	80.00%	70.38%	85.92%	71.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	131	5	3	2	0	0	2	0	2	3	2	0	3	0	2	0	4	2	1	2	1	0	0	2	1	0	0	4	2	0	1	1	1	0	0	0	0	0	2	1	0	0	1	2	3	1	0	1	1	2	0	1	1	0	0	1	5	0	0	0	0	2	1	0	0	0	15	6	0	4	0	2	3	9	1	6	3	0	3	5	3	0									
		0.31%	0.45%	0.86%	0.84%	0.00%	0.00%	0.93%	0.00%	0.77%	0.56%	0.93%	0.00%	0.36%	0.00%	0.96%	0.00%	1.79%	0.37%	0.32%	0.53%	0.33%	0.00%	0.00%	1.89%	1.19%	0.00%	0.00%	0.59%	0.37%	0.00%	1.69%	0.93%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.12%	0.00%	0.00%	0.93%	0.89%	0.40%	0.07%	0.00%	0.07%	0.07%	0.18%	0.00%	0.27%	0.56%	0.00%	0.00%	0.42%	0.34%	0.00%	0.00%	0.00%	0.00%	3.51%	0.24%	0.00%	0.00%	0.00%	2.22%	0.74%	0.00%	0.47%	0.00%	0.29%	0.36%	1.02%	0.15%	0.44%	0.41%	0.00%	0.67%	0.73%	0.32%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	73	15	1	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	6	0	0	0	1	0	1	0	0	0	0	5	0	0	1	0	0	0	1	0	0	14	0	0	2	3	0	4	1	0	0	1	1	0	2	2	0									
		0.17%	1.36%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.19%	0.47%	0.00%	0.00%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.18%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.44%	0.00%	0.00%	0.00%	0.09%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	2.07%	0.00%	0.00%	0.23%	1.50%	0.00%	0.48%	0.11%	0.00%	0.00%	0.14%	0.18%	0.00%	0.29%	0.21%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3484	99	38	13	34	5	10	6	34	99	36	70	87	14	31	19	20	63	39	57	51	16	4	21	20	111	61	118	102	5	7	13	19	15	4	4	4	62	129	44	10	6	7	24	50	32	68	26	50	44	33	37	14	7	88	22	52	5	5	41	129	11	38	9	44	27	130	124	71	75	19	21	50	77	96	73	97	50	38	72	15	13									
		8.22%	9.00%	10.95%	5.49%	12.69%	7.58%	4.63%	7.41%	13.03%	18.33%	16.82%	24.48%	10.43%	10.07%	14.90%	9.69%	8.93%	11.54%	12.58%	15.00%	16.67%	15.84%	5.88%	19.81%	23.81%	14.14%	12.53%	17.30%	18.75%	8.20%	11.86%	12.15%	2.89%	3.16%	2.48%	3.17%	2.23%	3.49%	9.49%	5.30%	1.06%	1.95%	6.48%	10.71%	6.71%	2.37%	5.30%	1.92%	3.49%	3.97%	16.50%	10.14%	7.91%	9.59%	11.10%	9.21%	3.55%	0.95%	1.15%	7.50%	13.65%	19.30%	9.16%	5.29%	7.07%	15.88%	19.20%	15.37%	15.30%	8.77%	9.50%	3.07%	5.96%	8.76%	13.97%	5.38%	13.36%	9.04%	8.44%	10.56%	1.58%	11.61%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	93	9	1	0	2	0	0	0	2	2	3	2	1	0	0	0	1	1	1	1	4	0	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	2	2	0	2	1	0	1	5	0	1	2	0	0	2	0	0	0	0	3	2	0	0	1	0	0	0	0	0	6	5	0	2	0	0	2	2	2	6	2	1	0	0	4	0									
		0.22%	0.82%	0.29%	0.00%	0.75%	0.00%	0.00%	0.00%	0.77%	0.37%	1.40%	0.70%	0.12%	0.00%	0.00%	0.00%	0.45%	0.18%	0.32%	0.26%	1.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.74%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.24%	0.00%	0.65%	0.93%	0.00%	0.13%	0.37%	0.00%	0.07%	0.14%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.20%	0.38%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	0.62%	0.00%	0.23%	0.00%	0.00%	0.24%	0.23%	0.29%	0.44%	0.28%	0.18%	0.00%	0.00%	0.42%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	190	0	2	1	0	0	2	0	1	10	0	3	2	0	2	1	0	4	0	2	1	0	0	0	1	0	1	5	4	0	0	1	2	0	0	0	0	2	4	0	0	2	0	0	0	4	14	5	2	0	1	1	0	0	0	0	45	0	2	2	0	0	0	0	0	0	9	8	5	1	1	1	2	5	8	6	4	1	1	5	4	0									
		0.45%	0.00%	0.58%	0.42%	0.00%	0.00%	0.93%	0.00%	0.38%	1.85%	0.00%	1.05%	0.24%	0.00%	0.96%	0.51%	0.00%	0.73%	0.00%	0.53%	0.33%	0.00%	0.00%	0.00%	1.19%	0.00%	0.21%	0.73%	0.74%	0.00%	0.00%	0.93%	0.30%	0.00%	0.00%	0.00%	0.00%	0.11%	0.29%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.30%	1.09%	0.37%	0.14%	0.00%	0.50%	0.27%	0.00%	0.00%	0.00%	0.00%	3.07%	0.00%	0.46%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%	0.99%	1.08%	0.12%	0.50%	0.15%	0.24%	0.57%	1.16%	0.44%	0.55%	0.18%	0.22%	0.73%	0.42%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	54	1	0	0	1	0	0	0	0	2	1	0	2	0	0	1	1	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	11	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	8	1	0	0	0	0	1	0	2	1	2	0	0	0	2	0									
		0.13%	0.09%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.37%	0.47%	0.00%	0.24%	0.00%	0.00%	0.51%	0.45%	0.00%	0.32%	0.53%	0.00%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.81%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.18%	0.12%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.29%	0.07%	0.28%	0.00%	0.00%	0.00%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	197	7	1	0	0	0	0	2	3	7	4	7	4	1	0	0	1	3	4	4	1	0	2	2	3	7	3	5	1	0	2	0	2	0	0	0	0	0	5	0	0	0	0	0	4	3	0	14	6	2	0	4	0	0	0	2	9	0	1	2	3	0	3	0	2	0	12	5	7	2	0	1	2	3	9	5	5	2	2	2	4	0									
		0.46%	0.64%	0.29%	0.00%	0.00%	0.00%	0.00%	2.47%	1.15%	1.30%	1.87%	2.45%	0.48%	0.72%	0.00%	0.00%	0.45%	0.55%	1.29%	1.05%	0.33%	0.00%	2.94%	1.89%	3.57%	0.89%	0.62%	0.73%	0.18%	0.00%	3.39%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.22%	0.00%	1.03%	0.42%	0.18%	0.00%	1.10%	0.00%	0.00%	0.00%	0.84%	0.61%	0.00%	0.23%	0.37%	0.32%	0.00%	0.72%	0.00%	0.32%	0.00%	1.77%	0.62%	1.51%	0.23%	0.00%	0.15%	0.24%	0.34%	1.31%	0.37%	0.69%	0.36%	0.44%	0.29%	0.42%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4817	70	56	19	21	4	10	3	19	53	24	29	96	13	16	16	17	69	50	59	39	16	5	16	12	150	61	120	86	7	7	11	30	20	5	2	4	72	140	83	92	20	1	5	34	285	324	271	302	321	11	34	0	9	211	33	213	30	15	31	147	8	36	8	23	13	63	92	27	48	6	19	38	67	89	88	90	37	22	56	56	12									
		11.37%	6.36%	16.14%	8.02%	7.84%	6.06%	4.63%	3.70%	7.28%	9.81%	11.21%	10.14%	11.51%	9.35%	7.69%	8.16%	7.59%	12.64%	16.13%	15.53%	12.75%	15.84%	7.35%	15.09%	14.29%	19.11%	12.53%	17.60%	15.81%	11.48%	11.86%	10.28%	4.56%	4.22%	3.11%	1.59%	2.23%	4.05%	10.30%	10.00%	9.79%	6.51%	0.93%	2.23%	4.56%	21.13%	25.23%	20.01%	21.09%	28.99%	5.50%	9.32%	0.00%	12.33%	26.61%	13.81%	14.53%	5.70%	3.45%	5.67%	15.56%	14.04%	8.67%	4.71%	3.70%	7.65%	9.31%	11.40%	5.82%	5.61%	3.00%	2.78%	4.53%	7.62%	12.95%	6.48%	12.40%	6.69%	4.89%	8.21%	5.88%	10.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	105	1	0	1	2	0	0	0	1	5	1	2	0	0	0	1	0	2	1	3	0	0	0	1	0	0	0	7	2	0	0	2	0	0	0	0	0	0	4	2	0	0	0	0	2	3	0	1	5	13	0	1	0	0	0	1	9	5	0	0	0	0	0	0	0	0	7	2	0	5	1	0	0	1	1	2	4	1	0	0	3	0									
		0.25%	0.09%	0.00%	0.42%	0.75%	0.00%	0.00%	0.00%	0.38%	0.93%	0.47%	0.70%	0.00%	0.00%	0.00%	0.51%	0.00%	0.37%	0.32%	0.79%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	1.03%	0.37%	0.00%	0.00%	1.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.24%	0.00%	0.00%	0.00%	0.00%	0.27%	0.22%	0.00%	0.07%	0.35%	1.17%	0.00%	0.27%	0.00%	0.00%	0.00%	0.42%	0.61%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.25%	0.00%	0.58%	0.50%	0.00%	0.00%	0.11%	0.15%	0.15%	0.55%	0.18%	0.00%	0.00%	0.32%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	953	34	6	0	12	0	5	1	4	17	8	8	28	0	3	6	8	15	11	16	16	4	0	1	2	32	9	25	18	2	1	2	4	14	1	0	0	18	23	12	29	2	1	0	13	10	37	39	34	27	5	12	3	4	14	6	9	0	8	8	2	3	9	2	5	3	21	31	29	15	9	6	16	35	34	23	33	12	5	21	12	0									
		2.25%	3.09%	1.73%	0.00%	4.48%	0.00%	2.31%	1.23%	1.53%	3.15%	3.74%	2.80%	3.36%	0.00%	1.44%	3.06%	3.57%	2.75%	3.55%	4.21%	5.23%	3.96%	0.00%	0.94%	2.38%	4.08%	1.85%	3.67%	3.31%	3.28%	1.69%	1.87%	0.61%	2.95%	0.62%	0.00%	0.00%	1.01%	1.69%	1.45%	3.09%	0.65%	0.93%	0.00%	1.74%	0.74%	2.88%	2.88%	2.37%	2.44%	2.50%	3.29%	1.69%	5.48%	1.77%	2.51%	0.61%	0.00%	1.84%	1.46%	0.21%	5.26%	2.17%	1.18%	0.80%	1.76%	3.10%	3.84%	6.25%	1.75%	4.50%	0.88%	1.91%	3.98%	4.95%	1.69%	4.55%	2.17%	1.11%	3.08%	1.26%	0.00%									
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
