Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Ярославль, Фрунзенская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №880	УИК №881	УИК №882	УИК №883									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1590	25	25	25	35	35	35	25	25	35	35	25	25	35	25	35	35	25	25	35	35	35	35	25	25	35	35	25	35	35	35	35	24	26	25	25	25	25	25	25	25	35	25	25	25	25	25	35	25	25	35	35	25	35	35	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	435	8	7	2	16	6	9	10	12	8	11	6	1	8	5	9	11	3	2	13	16	5	5	8	9	12	3	4	8	14	11	9	14	10	11	5	5	2	11	7	6	12	4	9	9	6	6	6	10	6	7	9	8	14	7	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	334	0	2	10	19	3	4	7	2	7	2	4	3	8	1	7	2	4	2	7	8	6	10	8	3	9	4	2	2	9	8	13	9	5	3	5	3	3	6	3	8	5	4	9	4	2	2	2	3	3	2	6	3	3	4	48	6	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	1155	17	18	23	19	29	26	15	13	27	24	19	24	27	20	26	24	22	23	22	19	30	30	17	16	23	32	21	27	21	24	26	10	16	14	20	20	23	14	18	19	23	21	16	16	19	19	29	15	19	28	26	17	21	28	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	0	0	0	1	6	1	0	0	1	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	2	0	1	1	1	3	0	1	0	0	0	0	1	1	0	3	0	0	0	3	1	0	0	3	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	768	7	6	2	18	13	12	19	17	15	22	7	8	20	4	23	15	1	12	19	22	9	16	16	9	18	13	10	27	12	13	20	10	12	9	17	10	5	13	8	11	31	21	15	19	11	17	12	14	13	20	26	9	9	22	4	2	2	1									
		2.08%	1.67%	2.15%	0.68%	2.04%	2.37%	1.70%	2.38%	2.34%	1.98%	2.91%	1.58%	1.85%	2.74%	0.77%	2.41%	1.87%	0.26%	2.53%	2.04%	2.51%	1.19%	2.34%	2.20%	1.45%	2.30%	1.81%	2.77%	3.04%	2.18%	1.69%	2.93%	1.53%	2.59%	1.79%	2.43%	1.89%	1.21%	1.78%	1.13%	1.75%	3.37%	2.80%	2.26%	2.60%	1.65%	2.95%	1.63%	2.24%	1.79%	2.46%	2.77%	1.07%	1.06%	2.64%	0.86%	1.74%	5.00%	1.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	750	6	12	9	28	10	16	26	16	13	16	16	7	13	16	17	12	9	14	19	16	20	19	21	9	13	12	7	21	9	12	7	6	7	7	19	14	10	12	7	11	14	9	15	11	13	19	14	15	13	16	10	13	21	18	9	3	0	3									
		2.03%	1.43%	4.30%	3.06%	3.18%	1.82%	2.27%	3.26%	2.20%	1.72%	2.12%	3.60%	1.62%	1.78%	3.09%	1.78%	1.49%	2.36%	2.95%	2.04%	1.83%	2.65%	2.78%	2.89%	1.45%	1.66%	1.67%	1.94%	2.36%	1.63%	1.56%	1.02%	0.92%	1.51%	1.39%	2.71%	2.64%	2.42%	1.65%	0.99%	1.75%	1.52%	1.20%	2.26%	1.50%	1.95%	3.30%	1.90%	2.40%	1.79%	1.97%	1.07%	1.55%	2.46%	2.16%	1.94%	2.61%	0.00%	3.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	922	8	10	5	18	5	6	18	19	25	36	8	6	23	13	24	25	10	20	24	17	19	10	18	18	20	17	16	16	9	15	21	14	11	14	16	8	6	24	26	13	27	24	21	18	26	17	14	12	17	21	26	21	22	14	10	0	0	1									
		2.50%	1.91%	3.58%	1.70%	2.04%	0.91%	0.85%	2.26%	2.62%	3.30%	4.77%	1.80%	1.39%	3.15%	2.51%	2.52%	3.11%	2.62%	4.21%	2.57%	1.94%	2.52%	1.46%	2.48%	2.90%	2.55%	2.37%	4.43%	1.80%	1.63%	1.96%	3.07%	2.14%	2.37%	2.79%	2.29%	1.51%	1.45%	3.29%	3.68%	2.07%	2.93%	3.20%	3.17%	2.46%	3.89%	2.95%	1.90%	1.92%	2.34%	2.58%	2.77%	2.50%	2.58%	1.68%	2.15%	0.00%	0.00%	1.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13154	152	100	99	309	184	248	281	229	275	270	156	156	278	210	353	320	165	212	358	363	277	263	264	275	309	259	150	286	202	253	240	221	168	186	235	201	181	228	276	193	293	225	243	254	229	191	232	201	254	245	309	270	296	252	176	48	17	34									
		35.60%	36.28%	35.84%	33.67%	35.07%	33.58%	35.18%	35.26%	31.54%	36.28%	35.76%	35.14%	36.11%	38.08%	40.62%	37.00%	39.85%	43.19%	44.63%	38.37%	41.49%	36.69%	38.45%	36.31%	44.35%	39.41%	36.12%	41.55%	32.17%	36.66%	32.99%	35.14%	33.74%	36.21%	37.05%	33.57%	37.92%	43.83%	31.28%	39.09%	30.78%	31.85%	30.04%	36.65%	34.75%	34.28%	33.16%	31.56%	32.16%	34.94%	30.14%	32.94%	32.10%	34.74%	30.25%	37.85%	41.74%	42.50%	37.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	581	5	4	6	12	8	12	15	20	12	12	3	9	12	9	18	17	6	3	15	7	8	5	9	6	23	15	3	16	5	12	14	17	7	6	17	9	4	12	11	6	16	7	12	14	13	8	10	3	13	10	15	17	13	9	9	1	0	1									
		1.57%	1.19%	1.43%	2.04%	1.36%	1.46%	1.70%	1.88%	2.75%	1.58%	1.59%	0.68%	2.08%	1.64%	1.74%	1.89%	2.12%	1.57%	0.63%	1.61%	0.80%	1.06%	0.73%	1.24%	0.97%	2.93%	2.09%	0.83%	1.80%	0.91%	1.56%	2.05%	2.60%	1.51%	1.20%	2.43%	1.70%	0.97%	1.65%	1.56%	0.96%	1.74%	0.93%	1.81%	1.92%	1.95%	1.39%	1.36%	0.48%	1.79%	1.23%	1.60%	2.02%	1.53%	1.08%	1.94%	0.87%	0.00%	1.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	135	4	2	3	3	2	2	5	4	1	2	1	1	0	2	2	5	2	0	4	1	5	1	4	2	1	4	1	1	4	4	0	2	1	3	3	1	1	4	2	4	5	4	2	6	2	1	3	2	1	4	1	0	2	0	7	1	0	0									
		0.37%	0.95%	0.72%	1.02%	0.34%	0.36%	0.28%	0.63%	0.55%	0.13%	0.26%	0.23%	0.23%	0.00%	0.39%	0.21%	0.62%	0.52%	0.00%	0.43%	0.11%	0.66%	0.15%	0.55%	0.32%	0.13%	0.56%	0.28%	0.11%	0.73%	0.52%	0.00%	0.31%	0.22%	0.60%	0.43%	0.19%	0.24%	0.55%	0.28%	0.64%	0.54%	0.53%	0.30%	0.82%	0.30%	0.17%	0.41%	0.32%	0.14%	0.49%	0.11%	0.00%	0.23%	0.00%	1.51%	0.87%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6144	74	50	68	171	96	122	118	145	103	117	74	91	120	98	157	140	76	95	174	157	120	139	120	86	131	154	68	147	97	98	129	89	69	69	94	110	72	119	110	109	141	119	86	101	82	85	109	82	98	110	132	116	133	160	158	32	5	19									
		16.63%	17.66%	17.92%	23.13%	19.41%	17.52%	17.30%	14.81%	19.97%	13.59%	15.50%	16.67%	21.06%	16.44%	18.96%	16.46%	17.43%	19.90%	20.00%	18.65%	17.94%	15.89%	20.32%	16.51%	13.87%	16.71%	21.48%	18.84%	16.54%	17.60%	12.78%	18.89%	13.59%	14.87%	13.75%	13.43%	20.75%	17.43%	16.32%	15.58%	17.38%	15.33%	15.89%	12.97%	13.82%	12.28%	14.76%	14.83%	13.12%	13.48%	13.53%	14.07%	13.79%	15.61%	19.21%	33.98%	27.83%	12.50%	20.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	668	21	5	6	16	21	25	18	22	13	11	6	3	12	2	17	20	3	1	14	11	9	8	9	2	19	21	4	23	10	21	17	17	7	5	15	6	2	8	12	12	15	15	21	19	9	5	13	3	9	11	13	18	17	7	15	2	1	1									
		1.81%	5.01%	1.79%	2.04%	1.82%	3.83%	3.55%	2.26%	3.03%	1.72%	1.46%	1.35%	0.69%	1.64%	0.39%	1.78%	2.49%	0.79%	0.21%	1.50%	1.26%	1.19%	1.17%	1.24%	0.32%	2.42%	2.93%	1.11%	2.59%	1.81%	2.74%	2.49%	2.60%	1.51%	0.99%	2.14%	1.13%	0.48%	1.10%	1.70%	1.91%	1.63%	2.00%	3.17%	2.60%	1.35%	0.87%	1.77%	0.48%	1.24%	1.35%	1.39%	2.14%	1.99%	0.84%	3.23%	1.74%	2.50%	1.10%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	650	11	5	4	9	16	24	24	10	13	14	7	9	12	10	14	14	8	7	12	8	5	12	7	6	10	16	5	24	12	21	10	16	4	15	21	5	8	8	6	7	22	7	24	11	13	9	9	7	12	14	26	14	19	11	2	0	0	1									
		1.76%	2.63%	1.79%	1.36%	1.02%	2.92%	3.40%	3.01%	1.38%	1.72%	1.85%	1.58%	2.08%	1.64%	1.93%	1.47%	1.74%	2.09%	1.47%	1.29%	0.91%	0.66%	1.75%	0.96%	0.97%	1.28%	2.23%	1.39%	2.70%	2.18%	2.74%	1.46%	2.44%	0.86%	2.99%	3.00%	0.94%	1.94%	1.10%	0.85%	1.12%	2.39%	0.93%	3.62%	1.50%	1.95%	1.56%	1.22%	1.12%	1.65%	1.72%	2.77%	1.66%	2.23%	1.32%	0.43%	0.00%	0.00%	1.10%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	33	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	2	1	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	3	1	1	0	0	3	2	1	2	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.13%	0.14%	0.13%	0.00%	0.00%	0.00%	0.00%	0.19%	0.10%	0.25%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.38%	0.00%	0.28%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.13%	0.00%	0.41%	0.45%	0.17%	0.14%	0.00%	0.00%	0.37%	0.21%	0.12%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1842	42	13	15	32	42	61	54	34	30	41	15	19	41	22	34	37	9	5	40	34	30	21	33	12	20	33	16	53	19	46	32	50	21	34	45	26	17	59	40	52	58	49	46	43	23	18	40	35	39	34	49	51	33	32	9	2	1	1									
		4.98%	10.02%	4.66%	5.10%	3.63%	7.66%	8.65%	6.78%	4.68%	3.96%	5.43%	3.38%	4.40%	5.62%	4.26%	3.56%	4.61%	2.36%	1.05%	4.29%	3.89%	3.97%	3.07%	4.54%	1.94%	2.55%	4.60%	4.43%	5.96%	3.45%	5.99%	4.69%	7.63%	4.53%	6.77%	6.43%	4.91%	4.12%	8.09%	5.67%	8.29%	6.30%	6.54%	6.94%	5.88%	3.44%	3.13%	5.44%	5.60%	5.36%	4.18%	5.22%	6.06%	3.87%	3.84%	1.94%	1.74%	2.50%	1.10%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5728	53	49	45	117	66	97	140	125	147	125	82	59	117	80	173	113	57	57	157	158	108	128	120	114	137	86	46	164	98	138	99	113	73	84	112	63	53	138	90	94	160	120	103	116	97	79	129	105	112	112	124	117	112	125	13	9	7	13									
		15.50%	12.65%	17.56%	15.31%	13.28%	12.04%	13.76%	17.57%	17.22%	19.39%	16.56%	18.47%	13.66%	16.03%	15.47%	18.13%	14.07%	14.92%	12.00%	16.83%	18.06%	14.30%	18.71%	16.51%	18.39%	17.47%	11.99%	12.74%	18.45%	17.79%	17.99%	14.49%	17.25%	15.73%	16.73%	16.00%	11.89%	12.83%	18.93%	12.75%	14.99%	17.39%	16.02%	15.54%	15.87%	14.52%	13.72%	17.55%	16.80%	15.41%	13.78%	13.22%	13.91%	13.15%	15.01%	2.80%	7.83%	17.50%	14.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	257	2	0	2	3	5	8	7	4	11	3	3	3	5	4	2	6	2	3	7	1	12	5	6	6	6	3	1	3	5	7	5	5	5	6	7	4	7	1	9	6	10	6	6	3	6	1	2	1	1	4	4	3	4	14	2	0	0	0									
		0.70%	0.48%	0.00%	0.68%	0.34%	0.91%	1.13%	0.88%	0.55%	1.45%	0.40%	0.68%	0.69%	0.68%	0.77%	0.21%	0.75%	0.52%	0.63%	0.75%	0.11%	1.59%	0.73%	0.83%	0.97%	0.77%	0.42%	0.28%	0.34%	0.91%	0.91%	0.73%	0.76%	1.08%	1.20%	1.00%	0.75%	1.69%	0.14%	1.27%	0.96%	1.09%	0.80%	0.90%	0.41%	0.90%	0.17%	0.27%	0.16%	0.14%	0.49%	0.43%	0.36%	0.47%	1.68%	0.43%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4587	31	18	26	121	76	64	62	77	79	69	49	53	55	32	98	56	23	31	81	59	117	40	77	61	62	72	30	92	57	114	77	83	75	58	90	56	36	93	93	105	115	115	61	107	124	111	128	132	134	197	184	174	149	157	19	11	7	14									
		12.41%	7.40%	6.45%	8.84%	13.73%	13.87%	9.08%	7.78%	10.61%	10.42%	9.14%	11.04%	12.27%	7.53%	6.19%	10.27%	6.97%	6.02%	6.53%	8.68%	6.74%	15.50%	5.85%	10.59%	9.84%	7.91%	10.04%	8.31%	10.35%	10.34%	14.86%	11.27%	12.67%	16.16%	11.55%	12.86%	10.57%	8.72%	12.76%	13.17%	16.75%	12.50%	15.35%	9.20%	14.64%	18.56%	19.27%	17.41%	21.12%	18.43%	24.23%	19.62%	20.69%	17.49%	18.85%	4.09%	9.57%	17.50%	15.38%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
