Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Александрово-Заводская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486					
		11.10%	5.19%	0.0%	12.23%	3.86%	9.15%	12.14%	8.59%	6.45%	9.15%	4.10%	12.23%	6.66%	13.68%	32.96%	18.22%	16.03%	9.77%	3.27%	18.93%	10.43%	3.70%	15.13%	0.90%	12.80%	20.45%	26.08%	20.64%					
28	"11. ""Истинные патриоты России"""	4	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.10%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	43	13	2	0	2	8	0	0	4	1	0	0	0	2	3	1	1	2	2	1	0	0	1	0	0	0	0	0					
		0.86%	1.34%	3.33%	0.0%	0.85%	5.22%	0.0%	0.0%	4.30%	0.70%	0.0%	0.0%	0.0%	2.10%	1.09%	0.52%	0.76%	1.50%	0.50%	0.75%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	12	0	1	0	2	1	1	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0					
		0.24%	0.0%	1.66%	0.0%	0.85%	0.65%	0.93%	1.56%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.45%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	4	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.10%	1.66%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1					
		0.06%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.44%	0.64%					
33	"16. ""Родина"" (народно-патриотический союз)"""	125	16	1	5	6	6	5	1	3	5	0	2	1	3	5	1	4	5	20	2	3	4	8	5	4	4	3	3					
		2.52%	1.66%	1.66%	1.74%	2.57%	3.92%	4.67%	0.78%	3.22%	3.52%	0.0%	1.43%	0.74%	3.15%	1.83%	0.52%	3.05%	3.75%	5.03%	1.51%	2.60%	7.40%	5.26%	4.54%	1.97%	1.81%	4.34%	1.93%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	2	0	2	0	1	0	0	1	1	0	0	0	2	0	2	1	1	2	0	0	0	0	3	0	2	0	1					
		0.42%	0.20%	0.0%	0.69%	0.0%	0.65%	0.0%	0.0%	1.07%	0.70%	0.0%	0.0%	0.0%	2.10%	0.0%	1.04%	0.76%	0.75%	0.50%	0.0%	0.0%	0.0%	0.0%	2.72%	0.0%	0.90%	0.0%	0.64%					
35	"18. ""ЛДПР"""	685	143	11	19	20	16	12	14	2	35	8	29	21	21	28	24	21	23	44	19	37	3	23	24	24	29	9	26					
		13.85%	14.84%	18.33%	6.64%	8.58%	10.45%	11.21%	10.93%	2.15%	24.64%	10.95%	20.86%	15.55%	22.10%	10.25%	12.5%	16.03%	17.29%	11.08%	14.39%	32.17%	5.55%	15.13%	21.81%	11.82%	13.18%	13.04%	16.77%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	110	23	1	5	6	2	3	5	1	4	2	2	5	0	4	9	0	2	11	2	10	0	2	1	5	2	0	3					
		2.22%	2.38%	1.66%	1.74%	2.57%	1.30%	2.80%	3.90%	1.07%	2.81%	2.73%	1.43%	3.70%	0.0%	1.46%	4.68%	0.0%	1.50%	2.77%	1.51%	8.69%	0.0%	1.31%	0.90%	2.46%	0.90%	0.0%	1.93%					
37	"20. ""Политическая партия ""Единая Россия"""	2193	468	30	172	120	77	63	57	45	35	52	59	71	33	103	76	53	43	155	50	27	40	71	28	101	80	31	53					
		44.36%	48.59%	50.0%	60.13%	51.50%	50.32%	58.87%	44.53%	48.38%	24.64%	71.23%	42.44%	52.59%	34.73%	37.72%	39.58%	40.45%	32.33%	39.04%	37.87%	23.47%	74.07%	46.71%	25.45%	49.75%	36.36%	44.92%	34.19%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	2	0	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.20%	0.20%	0.0%	1.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1					
		0.08%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.64%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	627	147	4	20	33	6	2	18	12	16	4	15	18	13	22	29	5	30	104	15	11	0	13	25	8	37	1	19					
		12.68%	15.26%	6.66%	6.99%	14.16%	3.92%	1.86%	14.06%	12.90%	11.26%	5.47%	10.79%	13.33%	13.68%	8.05%	15.10%	3.81%	22.55%	26.19%	11.36%	9.56%	0.0%	8.55%	22.72%	3.94%	16.81%	1.44%	12.25%					
																																		
41	Против всех	88	14	2	8	3	1	3	3	1	6	3	5	4	1	2	5	2	2	5	5	1	1	1	3	1	2	1	3					
		1.78%	1.45%	3.33%	2.79%	1.28%	0.65%	2.80%	2.34%	1.07%	4.22%	4.10%	3.59%	2.96%	1.05%	0.73%	2.60%	1.52%	1.50%	1.25%	3.78%	0.86%	1.85%	0.65%	2.72%	0.49%	0.90%	1.44%	1.93%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
