Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
"Наименование Избирательной комиссии:    Иваново, Октябрьская"																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	238	3	4	2	7	4	4	6	10	10	8	10	4	4	8	5	0	4	7	5	8	3	6	5	11	5	12	3	2	10	4	12	5	6	13	4	8	1	5	10					
		0.62%	0.29%	0.38%	0.25%	0.65%	0.40%	0.39%	0.56%	0.81%	0.74%	0.72%	0.73%	0.33%	0.36%	0.79%	0.62%	0.0%	0.48%	0.63%	0.46%	1.27%	0.39%	0.60%	0.49%	1.08%	0.83%	1.59%	0.46%	0.18%	1.24%	0.36%	1.07%	0.42%	0.55%	1.07%	0.37%	1.01%	0.13%	0.92%	0.97%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2898	127	116	84	88	86	75	88	80	95	81	128	101	88	99	51	60	91	132	54	38	44	58	73	77	40	42	50	54	49	90	67	73	73	95	55	56	55	28	57					
		7.64%	12.43%	11.18%	10.55%	8.20%	8.76%	7.46%	8.23%	6.49%	7.10%	7.35%	9.43%	8.52%	8.09%	9.87%	6.32%	9.70%	11.04%	11.93%	4.98%	6.07%	5.72%	5.80%	7.21%	7.62%	6.67%	5.57%	7.69%	4.87%	6.10%	8.12%	5.97%	6.17%	6.72%	7.89%	5.17%	7.08%	7.26%	5.17%	5.58%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1199	26	25	23	23	21	25	35	49	60	38	51	53	36	21	27	38	26	36	50	12	26	22	26	29	23	30	17	44	31	24	32	27	37	42	33	24	28	4	25					
		3.16%	2.54%	2.41%	2.88%	2.14%	2.14%	2.48%	3.27%	3.97%	4.48%	3.44%	3.75%	4.47%	3.31%	2.09%	3.34%	6.14%	3.15%	3.25%	4.61%	1.91%	3.38%	2.20%	2.56%	2.87%	3.83%	3.97%	2.61%	3.97%	3.86%	2.16%	2.85%	2.28%	3.41%	3.48%	3.10%	3.03%	3.69%	0.73%	2.44%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2442	46	77	72	113	89	87	81	116	91	79	136	85	77	86	36	32	52	65	39	38	42	51	68	42	32	41	37	58	50	65	67	49	73	62	65	50	36	11	46					
		6.43%	4.50%	7.42%	9.04%	10.54%	9.07%	8.65%	7.57%	9.41%	6.80%	7.16%	10.02%	7.17%	7.08%	8.57%	4.46%	5.17%	6.31%	5.87%	3.59%	6.07%	5.46%	5.10%	6.71%	4.15%	5.34%	5.43%	5.69%	5.23%	6.23%	5.86%	5.97%	4.14%	6.72%	5.14%	6.12%	6.32%	4.75%	2.03%	4.50%					
22	"5. ""За Русь Святую"""	162	8	1	3	1	3	4	7	4	9	6	5	2	4	4	4	2	2	3	3	3	2	6	2	1	3	5	0	2	5	5	2	3	9	7	7	3	5	13	4					
		0.42%	0.78%	0.09%	0.37%	0.09%	0.30%	0.39%	0.65%	0.32%	0.67%	0.54%	0.36%	0.16%	0.36%	0.39%	0.49%	0.32%	0.24%	0.27%	0.27%	0.47%	0.26%	0.60%	0.19%	0.09%	0.50%	0.66%	0.0%	0.18%	0.62%	0.45%	0.17%	0.25%	0.82%	0.58%	0.65%	0.37%	0.66%	2.40%	0.39%					
23	"6. ""Объединенная Российская партия ""Русь"""	66	4	3	0	4	1	3	2	0	0	4	3	2	1	1	2	1	1	2	1	0	1	4	0	0	0	0	3	1	0	2	6	3	3	0	2	0	2	1	3					
		0.17%	0.39%	0.28%	0.0%	0.37%	0.10%	0.29%	0.18%	0.0%	0.0%	0.36%	0.22%	0.16%	0.09%	0.09%	0.24%	0.16%	0.12%	0.18%	0.09%	0.0%	0.13%	0.40%	0.0%	0.0%	0.0%	0.0%	0.46%	0.09%	0.0%	0.18%	0.53%	0.25%	0.27%	0.0%	0.18%	0.0%	0.26%	0.18%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	226	5	2	4	6	4	6	5	5	7	5	10	5	4	4	5	7	4	8	6	1	4	3	10	3	5	7	5	5	6	8	5	12	7	11	6	6	6	4	10					
		0.59%	0.48%	0.19%	0.50%	0.55%	0.40%	0.59%	0.46%	0.40%	0.52%	0.45%	0.73%	0.42%	0.36%	0.39%	0.62%	1.13%	0.48%	0.72%	0.55%	0.15%	0.52%	0.30%	0.98%	0.29%	0.83%	0.92%	0.76%	0.45%	0.74%	0.72%	0.44%	1.01%	0.64%	0.91%	0.56%	0.75%	0.79%	0.73%	0.97%					
25	"8. ""Народно-республиканская партия России"""	56	1	0	1	1	1	0	1	0	1	4	0	0	0	1	0	0	2	0	1	1	1	1	0	4	0	2	2	3	2	1	2	7	2	1	1	0	3	3	6					
		0.14%	0.09%	0.0%	0.12%	0.09%	0.10%	0.0%	0.09%	0.0%	0.07%	0.36%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.24%	0.0%	0.09%	0.15%	0.13%	0.10%	0.0%	0.39%	0.0%	0.26%	0.30%	0.27%	0.24%	0.09%	0.17%	0.59%	0.18%	0.08%	0.09%	0.0%	0.39%	0.55%	0.58%					
26	"9. ""Российская экологическая партия ""Зеленые"""	167	9	6	4	7	6	2	3	5	5	0	6	2	5	9	3	2	6	5	2	3	3	4	3	4	2	2	4	5	1	8	2	5	7	4	6	3	3	4	7					
		0.44%	0.88%	0.57%	0.50%	0.65%	0.61%	0.19%	0.28%	0.40%	0.37%	0.0%	0.44%	0.16%	0.45%	0.89%	0.37%	0.32%	0.72%	0.45%	0.18%	0.47%	0.39%	0.40%	0.29%	0.39%	0.33%	0.26%	0.61%	0.45%	0.12%	0.72%	0.17%	0.42%	0.64%	0.33%	0.56%	0.37%	0.39%	0.73%	0.68%					
27	"10. ""Аграрная партия России"""	889	14	21	17	30	18	16	26	32	35	36	34	28	19	24	23	11	14	19	20	12	22	34	25	38	13	22	22	41	16	33	19	27	25	19	27	12	17	2	26					
		2.34%	1.37%	2.02%	2.13%	2.79%	1.83%	1.59%	2.43%	2.59%	2.61%	3.26%	2.50%	2.36%	1.74%	2.39%	2.85%	1.77%	1.69%	1.71%	1.84%	1.91%	2.86%	3.40%	2.47%	3.76%	2.17%	2.91%	3.38%	3.70%	1.99%	2.97%	1.69%	2.28%	2.30%	1.57%	2.54%	1.51%	2.24%	0.36%	2.54%					
28	"11. ""Истинные патриоты России"""	30	0	0	0	1	1	0	0	1	0	0	1	0	0	1	2	2	1	0	2	1	0	2	1	1	1	0	0	4	0	0	1	0	2	0	0	0	1	0	4					
		0.07%	0.0%	0.0%	0.0%	0.09%	0.10%	0.0%	0.0%	0.08%	0.0%	0.0%	0.07%	0.0%	0.0%	0.09%	0.24%	0.32%	0.12%	0.0%	0.18%	0.15%	0.0%	0.20%	0.09%	0.09%	0.16%	0.0%	0.0%	0.36%	0.0%	0.0%	0.08%	0.0%	0.18%	0.0%	0.0%	0.0%	0.13%	0.0%	0.39%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	325	4	3	8	11	8	12	10	10	11	17	11	18	11	9	10	4	10	11	11	4	3	5	3	9	7	6	8	8	6	6	14	15	13	2	4	8	4	3	8					
		0.85%	0.39%	0.28%	1.00%	1.02%	0.81%	1.19%	0.93%	0.81%	0.82%	1.54%	0.81%	1.51%	1.01%	0.89%	1.24%	0.64%	1.21%	0.99%	1.01%	0.63%	0.39%	0.50%	0.29%	0.89%	1.16%	0.79%	1.23%	0.72%	0.74%	0.54%	1.24%	1.26%	1.19%	0.16%	0.37%	1.01%	0.52%	0.55%	0.78%					
30	"13. ""Демократическая партия России"""	46	2	0	1	0	1	0	0	1	2	3	1	0	2	0	0	2	2	0	1	1	2	1	0	2	2	0	0	1	0	4	1	3	1	0	2	1	0	2	5					
		0.12%	0.19%	0.0%	0.12%	0.0%	0.10%	0.0%	0.0%	0.08%	0.14%	0.27%	0.07%	0.0%	0.18%	0.0%	0.0%	0.32%	0.24%	0.0%	0.09%	0.15%	0.26%	0.10%	0.0%	0.19%	0.33%	0.0%	0.0%	0.09%	0.0%	0.36%	0.08%	0.25%	0.09%	0.0%	0.18%	0.12%	0.0%	0.36%	0.48%					
31	"14. ""Великая Россия - Евразийский Союз"""	109	4	2	1	5	2	1	0	5	1	4	1	1	7	1	2	2	0	6	1	0	5	1	4	4	1	2	0	3	3	1	7	3	3	7	4	2	3	10	0					
		0.28%	0.39%	0.19%	0.12%	0.46%	0.20%	0.09%	0.0%	0.40%	0.07%	0.36%	0.07%	0.08%	0.64%	0.09%	0.24%	0.32%	0.0%	0.54%	0.09%	0.0%	0.65%	0.10%	0.39%	0.39%	0.16%	0.26%	0.0%	0.27%	0.37%	0.09%	0.62%	0.25%	0.27%	0.58%	0.37%	0.25%	0.39%	1.84%	0.0%					
32	"15. ""Партия СЛОН"""	199	14	5	3	7	11	8	4	5	7	1	9	11	2	9	3	2	5	5	2	2	4	6	6	7	3	3	0	3	4	6	9	6	5	7	3	4	2	3	3					
		0.52%	1.37%	0.48%	0.37%	0.65%	1.12%	0.79%	0.37%	0.40%	0.52%	0.09%	0.66%	0.92%	0.18%	0.89%	0.37%	0.32%	0.60%	0.45%	0.18%	0.31%	0.52%	0.60%	0.59%	0.69%	0.50%	0.39%	0.0%	0.27%	0.49%	0.54%	0.80%	0.50%	0.46%	0.58%	0.28%	0.50%	0.26%	0.55%	0.29%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4448	79	139	106	148	103	119	123	164	169	124	163	140	115	116	65	50	79	119	99	73	89	138	119	86	56	85	91	134	90	197	215	207	86	176	109	67	82	14	114					
		11.72%	7.73%	13.40%	13.31%	13.80%	10.49%	11.84%	11.50%	13.31%	12.64%	11.25%	12.01%	11.81%	10.57%	11.56%	8.06%	8.09%	9.58%	10.75%	9.13%	11.66%	11.57%	13.81%	11.75%	8.51%	9.34%	11.27%	14.0%	12.09%	11.22%	17.77%	19.17%	17.51%	7.92%	14.61%	10.26%	8.48%	10.83%	2.58%	11.16%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	60	3	2	0	2	2	0	2	2	1	0	1	0	4	1	4	2	0	3	1	0	1	2	0	1	1	0	1	2	1	2	2	2	5	0	1	0	0	7	2					
		0.15%	0.29%	0.19%	0.0%	0.18%	0.20%	0.0%	0.18%	0.16%	0.07%	0.0%	0.07%	0.0%	0.36%	0.09%	0.49%	0.32%	0.0%	0.27%	0.09%	0.0%	0.13%	0.20%	0.0%	0.09%	0.16%	0.0%	0.15%	0.18%	0.12%	0.18%	0.17%	0.16%	0.46%	0.0%	0.09%	0.0%	0.0%	1.29%	0.19%					
35	"18. ""ЛДПР"""	5326	177	145	77	94	108	93	118	130	143	118	148	120	149	112	141	85	133	150	211	89	125	148	175	153	77	134	102	182	123	161	133	197	138	158	162	153	114	206	144					
		14.04%	17.33%	13.98%	9.67%	8.76%	11.00%	9.25%	11.03%	10.55%	10.69%	10.70%	10.90%	10.12%	13.70%	11.16%	17.49%	13.75%	16.14%	13.56%	19.46%	14.21%	16.25%	14.81%	17.29%	15.14%	12.85%	17.77%	15.69%	16.42%	15.33%	14.53%	11.86%	16.66%	12.71%	13.12%	15.25%	19.36%	15.05%	38.07%	14.10%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	793	17	14	14	19	30	24	26	33	38	18	22	34	20	19	18	17	21	31	24	23	15	16	15	12	12	15	6	26	25	18	13	22	18	32	24	12	20	10	20					
		2.09%	1.66%	1.35%	1.75%	1.77%	3.05%	2.38%	2.43%	2.67%	2.84%	1.63%	1.62%	2.86%	1.83%	1.89%	2.23%	2.75%	2.54%	2.80%	2.21%	3.67%	1.95%	1.60%	1.48%	1.18%	2.00%	1.98%	0.92%	2.34%	3.11%	1.62%	1.15%	1.86%	1.65%	2.65%	2.25%	1.51%	2.64%	1.84%	1.95%					
37	"20. ""Политическая партия ""Единая Россия"""	11291	280	288	199	317	289	340	330	365	414	349	326	390	316	321	268	181	220	301	393	181	247	323	297	315	199	220	188	325	236	283	302	299	382	338	376	255	236	55	347					
		29.77%	27.42%	27.77%	25.0%	29.57%	29.45%	33.83%	30.86%	29.62%	30.96%	31.66%	24.02%	32.91%	29.07%	32.00%	33.25%	29.28%	26.69%	27.21%	36.25%	28.91%	32.11%	32.33%	29.34%	31.18%	33.22%	29.17%	28.92%	29.33%	29.42%	25.54%	26.94%	25.29%	35.20%	28.07%	35.40%	32.27%	31.17%	10.16%	33.98%					
38	"21. ""Российская Конституционно-демократическая партия"""	63	1	1	1	1	1	1	2	1	1	2	2	0	2	4	2	1	0	0	0	1	0	1	3	1	3	0	0	0	1	4	4	3	4	3	1	3	2	3	3					
		0.16%	0.09%	0.09%	0.12%	0.09%	0.10%	0.09%	0.18%	0.08%	0.07%	0.18%	0.14%	0.0%	0.18%	0.39%	0.24%	0.16%	0.0%	0.0%	0.0%	0.15%	0.0%	0.10%	0.29%	0.09%	0.50%	0.0%	0.0%	0.0%	0.12%	0.36%	0.35%	0.25%	0.36%	0.24%	0.09%	0.37%	0.26%	0.55%	0.29%					
39	"22. ""Развитие предпринимательства"""	103	5	2	3	1	0	3	3	0	4	2	4	7	0	4	3	0	1	4	1	5	2	2	4	4	3	2	0	3	1	2	1	8	2	4	1	0	3	4	5					
		0.27%	0.48%	0.19%	0.37%	0.09%	0.0%	0.29%	0.28%	0.0%	0.29%	0.18%	0.29%	0.59%	0.0%	0.39%	0.37%	0.0%	0.12%	0.36%	0.09%	0.79%	0.26%	0.20%	0.39%	0.39%	0.50%	0.26%	0.0%	0.27%	0.12%	0.18%	0.08%	0.67%	0.18%	0.33%	0.09%	0.0%	0.39%	0.73%	0.48%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3677	90	94	114	102	116	107	101	117	139	140	153	110	85	85	69	64	77	124	77	73	69	82	82	114	70	73	63	119	82	105	114	86	104	143	94	61	75	10	94					
		9.69%	8.81%	9.06%	14.32%	9.51%	11.82%	10.64%	9.44%	9.49%	10.39%	12.70%	11.27%	9.28%	7.81%	8.47%	8.56%	10.35%	9.34%	11.21%	7.10%	11.66%	8.97%	8.20%	8.10%	11.28%	11.68%	9.68%	9.69%	10.74%	10.22%	9.47%	10.16%	7.27%	9.58%	11.87%	8.85%	7.72%	9.90%	1.84%	9.20%					
																																														
41	Против всех	2799	97	77	56	81	71	67	87	89	82	55	116	65	120	58	56	45	66	72	69	53	53	75	83	84	24	43	41	74	51	75	81	115	74	71	65	58	54	125	71					
		7.38%	9.50%	7.42%	7.03%	7.55%	7.23%	6.66%	8.13%	7.22%	6.13%	4.99%	8.54%	5.48%	11.03%	5.78%	6.94%	7.28%	8.00%	6.50%	6.36%	8.46%	6.89%	7.50%	8.20%	8.31%	4.00%	5.70%	6.30%	6.67%	6.35%	6.76%	7.22%	9.72%	6.82%	5.89%	6.12%	7.34%	7.13%	23.10%	6.95%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
