Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
"Наименование Избирательной комиссии:    Иваново, Советская"																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	499	14	14	13	14	14	14	14	14	14	20	14	14	8	14	14	14	14	14	13	8	14	14	14	14	22	18	20	14	14	13	14	14	14	14	14					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	209	0	5	0	7	4	9	5	8	11	5	11	9	2	2	2	2	1	13	1	2	8	10	5	7	22	11	10	2	5	6	6	13	3	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	193	4	4	2	3	13	9	2	5	6	8	2	1	4	2	3	4	5	4	2	12	6	2	8	5	3	12	7	4	5	8	9	4	5	17	3					
14	Число погашенных открепительных удостоверений	290	14	9	13	7	10	5	9	6	3	15	3	5	6	12	12	12	13	1	12	6	6	4	9	7	0	7	10	12	9	7	8	1	11	14	12					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	228	5	3	5	4	12	5	5	3	5	12	5	6	2	10	6	5	7	14	6	2	8	11	7	7	12	11	5	4	5	8	6	5	4	2	11					
		0.90%	0.95%	0.40%	1.10%	0.67%	1.39%	0.60%	1.06%	0.48%	0.66%	1.48%	0.61%	0.87%	0.53%	1.29%	0.65%	0.68%	0.89%	1.51%	1.23%	0.48%	1.07%	1.16%	1.18%	1.13%	0.85%	0.97%	0.59%	0.72%	0.81%	1.36%	0.88%	0.56%	0.89%	0.28%	1.38%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1686	37	57	23	44	44	58	28	18	50	82	39	40	34	64	74	57	46	71	19	17	48	91	53	41	84	87	58	28	35	30	42	45	25	54	63					
		6.72%	7.04%	7.70%	5.06%	7.45%	5.09%	7.01%	5.94%	2.88%	6.60%	10.17%	4.79%	5.82%	9.06%	8.29%	8.03%	7.85%	5.86%	7.67%	3.92%	4.10%	6.46%	9.65%	8.99%	6.66%	6.00%	7.73%	6.91%	5.08%	5.72%	5.11%	6.17%	5.10%	5.59%	7.76%	7.92%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	830	24	17	22	40	33	23	20	24	33	15	27	19	13	20	39	19	31	23	12	10	19	23	25	19	56	28	31	17	30	14	19	22	12	35	16					
		3.31%	4.57%	2.29%	4.84%	6.77%	3.82%	2.78%	4.24%	3.84%	4.35%	1.86%	3.32%	2.76%	3.46%	2.59%	4.23%	2.61%	3.95%	2.48%	2.47%	2.41%	2.55%	2.43%	4.24%	3.08%	4.00%	2.48%	3.69%	3.08%	4.90%	2.38%	2.79%	2.49%	2.68%	5.03%	2.01%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1276	17	46	20	32	57	43	29	38	43	29	53	42	19	19	60	24	40	63	20	35	31	44	40	40	75	46	41	25	18	28	27	36	18	25	53					
		5.09%	3.23%	6.21%	4.40%	5.42%	6.60%	5.19%	6.15%	6.08%	5.68%	3.59%	6.51%	6.11%	5.06%	2.46%	6.51%	3.30%	5.10%	6.81%	4.13%	8.45%	4.17%	4.66%	6.79%	6.50%	5.36%	4.08%	4.88%	4.53%	2.94%	4.77%	3.97%	4.08%	4.02%	3.59%	6.66%					
22	"5. ""За Русь Святую"""	113	3	5	2	4	0	2	1	4	1	8	2	3	4	3	4	1	6	6	2	2	3	8	2	7	5	5	1	3	1	0	6	4	0	5	0					
		0.45%	0.57%	0.67%	0.44%	0.67%	0.0%	0.24%	0.21%	0.64%	0.13%	0.99%	0.24%	0.43%	1.06%	0.38%	0.43%	0.13%	0.76%	0.64%	0.41%	0.48%	0.40%	0.84%	0.33%	1.13%	0.35%	0.44%	0.11%	0.54%	0.16%	0.0%	0.88%	0.45%	0.0%	0.71%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	59	4	0	1	0	4	1	0	5	3	2	2	1	3	1	1	1	1	4	0	1	3	0	2	2	0	3	3	2	3	1	0	4	0	1	0					
		0.23%	0.76%	0.0%	0.22%	0.0%	0.46%	0.12%	0.0%	0.80%	0.39%	0.24%	0.24%	0.14%	0.8%	0.12%	0.10%	0.13%	0.12%	0.43%	0.0%	0.24%	0.40%	0.0%	0.33%	0.32%	0.0%	0.26%	0.35%	0.36%	0.49%	0.17%	0.0%	0.45%	0.0%	0.14%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	147	6	2	5	7	3	5	2	4	2	8	1	10	1	6	9	5	5	4	1	0	2	6	3	4	6	4	1	9	2	5	3	4	7	3	2					
		0.58%	1.14%	0.27%	1.10%	1.18%	0.34%	0.60%	0.42%	0.64%	0.26%	0.99%	0.12%	1.45%	0.26%	0.77%	0.97%	0.68%	0.63%	0.43%	0.20%	0.0%	0.26%	0.63%	0.50%	0.65%	0.42%	0.35%	0.11%	1.63%	0.32%	0.85%	0.44%	0.45%	1.56%	0.43%	0.25%					
25	"8. ""Народно-республиканская партия России"""	32	0	0	0	0	1	0	2	0	1	0	2	0	1	2	1	3	1	3	0	1	1	1	0	0	1	3	1	0	1	0	1	1	1	2	1					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.42%	0.0%	0.13%	0.0%	0.24%	0.0%	0.26%	0.25%	0.10%	0.41%	0.12%	0.32%	0.0%	0.24%	0.13%	0.10%	0.0%	0.0%	0.07%	0.26%	0.11%	0.0%	0.16%	0.0%	0.14%	0.11%	0.22%	0.28%	0.12%					
26	"9. ""Российская экологическая партия ""Зеленые"""	101	0	2	3	1	6	5	1	7	1	4	7	3	1	7	2	1	2	5	3	0	6	3	2	0	3	4	3	0	4	6	0	1	2	1	5					
		0.40%	0.0%	0.27%	0.66%	0.16%	0.69%	0.60%	0.21%	1.12%	0.13%	0.49%	0.86%	0.43%	0.26%	0.90%	0.21%	0.13%	0.25%	0.54%	0.61%	0.0%	0.80%	0.31%	0.33%	0.0%	0.21%	0.35%	0.35%	0.0%	0.65%	1.02%	0.0%	0.11%	0.44%	0.14%	0.62%					
27	"10. ""Аграрная партия России"""	582	8	15	4	16	15	31	8	8	8	24	15	14	12	18	32	21	23	13	10	16	15	24	6	13	38	27	34	10	12	14	10	18	13	22	15					
		2.32%	1.52%	2.02%	0.88%	2.71%	1.73%	3.74%	1.69%	1.28%	1.05%	2.97%	1.84%	2.03%	3.2%	2.33%	3.47%	2.89%	2.93%	1.40%	2.06%	3.86%	2.01%	2.54%	1.01%	2.11%	2.71%	2.4%	4.05%	1.81%	1.96%	2.38%	1.47%	2.04%	2.90%	3.16%	1.88%					
28	"11. ""Истинные патриоты России"""	20	1	0	0	0	0	2	0	3	1	0	1	1	0	0	0	1	0	0	0	0	2	0	0	1	0	2	1	1	0	0	0	2	1	0	0					
		0.07%	0.19%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.48%	0.13%	0.0%	0.12%	0.14%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.16%	0.0%	0.17%	0.11%	0.18%	0.0%	0.0%	0.0%	0.22%	0.22%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	241	5	15	4	9	11	10	3	6	12	4	19	4	4	3	3	6	8	9	1	3	3	6	11	9	14	7	9	2	5	3	4	8	3	3	15					
		0.96%	0.95%	2.02%	0.88%	1.52%	1.27%	1.20%	0.63%	0.96%	1.58%	0.49%	2.33%	0.58%	1.06%	0.38%	0.32%	0.82%	1.02%	0.97%	0.20%	0.72%	0.40%	0.63%	1.86%	1.46%	1.00%	0.62%	1.07%	0.36%	0.81%	0.51%	0.58%	0.90%	0.67%	0.43%	1.88%					
30	"13. ""Демократическая партия России"""	30	1	1	0	0	0	0	2	2	1	4	1	2	1	0	0	0	0	4	0	0	0	1	0	1	0	0	2	1	0	2	1	1	0	1	1					
		0.11%	0.19%	0.13%	0.0%	0.0%	0.0%	0.0%	0.42%	0.32%	0.13%	0.49%	0.12%	0.29%	0.26%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.10%	0.0%	0.16%	0.0%	0.0%	0.23%	0.18%	0.0%	0.34%	0.14%	0.11%	0.0%	0.14%	0.12%					
31	"14. ""Великая Россия - Евразийский Союз"""	51	0	0	4	1	1	1	0	2	3	0	2	2	2	1	2	2	3	1	1	2	3	1	6	0	1	4	0	1	0	0	4	1	0	0	0					
		0.20%	0.0%	0.0%	0.88%	0.16%	0.11%	0.12%	0.0%	0.32%	0.39%	0.0%	0.24%	0.29%	0.53%	0.12%	0.21%	0.27%	0.38%	0.10%	0.20%	0.48%	0.40%	0.10%	1.01%	0.0%	0.07%	0.35%	0.0%	0.18%	0.0%	0.0%	0.58%	0.11%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	67	3	1	1	0	5	1	0	4	3	0	2	2	1	6	2	4	5	2	0	1	1	3	0	2	2	1	3	3	4	0	3	0	1	0	1					
		0.26%	0.57%	0.13%	0.22%	0.0%	0.57%	0.12%	0.0%	0.64%	0.39%	0.0%	0.24%	0.29%	0.26%	0.77%	0.21%	0.55%	0.63%	0.21%	0.0%	0.24%	0.13%	0.31%	0.0%	0.32%	0.14%	0.08%	0.35%	0.54%	0.65%	0.0%	0.44%	0.0%	0.22%	0.0%	0.12%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2445	56	61	41	43	89	106	43	46	65	64	65	51	30	101	128	74	96	89	38	41	88	88	61	70	140	125	72	50	44	49	66	90	28	51	96					
		9.75%	10.66%	8.24%	9.03%	7.28%	10.31%	12.81%	9.12%	7.37%	8.58%	7.94%	7.99%	7.42%	8.0%	13.08%	13.89%	10.19%	12.24%	9.62%	7.85%	9.90%	11.84%	9.33%	10.35%	11.38%	10.00%	11.11%	8.58%	9.07%	7.20%	8.34%	9.70%	10.20%	6.26%	7.33%	12.07%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	54	2	0	1	1	1	3	2	2	1	1	3	0	2	2	4	1	3	2	4	1	0	2	0	0	2	3	1	2	0	1	0	2	1	3	1					
		0.21%	0.38%	0.0%	0.22%	0.16%	0.11%	0.36%	0.42%	0.32%	0.13%	0.12%	0.36%	0.0%	0.53%	0.25%	0.43%	0.13%	0.38%	0.21%	0.82%	0.24%	0.0%	0.21%	0.0%	0.0%	0.14%	0.26%	0.11%	0.36%	0.0%	0.17%	0.0%	0.22%	0.22%	0.43%	0.12%					
35	"18. ""ЛДПР"""	3851	95	136	77	75	146	121	96	101	126	147	136	127	51	130	126	106	91	140	80	78	95	123	67	69	214	155	115	100	112	100	106	136	79	74	121					
		15.36%	18.09%	18.37%	16.96%	12.71%	16.91%	14.63%	20.38%	16.18%	16.64%	18.23%	16.72%	18.48%	13.6%	16.83%	13.68%	14.60%	11.60%	15.13%	16.52%	18.84%	12.78%	13.04%	11.37%	11.21%	15.29%	13.77%	13.70%	18.14%	18.33%	17.03%	15.58%	15.41%	17.67%	10.64%	15.22%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	560	18	16	7	7	19	20	4	24	24	12	13	17	13	23	24	10	21	18	5	13	18	26	16	20	26	26	17	9	5	11	23	18	10	16	11					
		2.23%	3.42%	2.16%	1.54%	1.18%	2.20%	2.41%	0.84%	3.84%	3.17%	1.48%	1.59%	2.47%	3.46%	2.97%	2.60%	1.37%	2.67%	1.94%	1.03%	3.14%	2.42%	2.75%	2.71%	3.25%	1.85%	2.31%	2.02%	1.63%	0.81%	1.87%	3.38%	2.04%	2.23%	2.30%	1.38%					
37	"20. ""Политическая партия ""Единая Россия"""	7582	143	194	152	172	230	240	143	198	225	239	248	220	109	214	223	198	229	233	173	126	234	284	177	164	414	354	292	183	208	202	242	292	156	244	227					
		30.25%	27.23%	26.21%	33.48%	29.15%	26.65%	29.02%	30.36%	31.73%	29.72%	29.65%	30.50%	32.02%	29.06%	27.72%	24.21%	27.27%	29.20%	25.18%	35.74%	30.43%	31.49%	30.11%	30.05%	26.66%	29.59%	31.46%	34.80%	33.21%	34.04%	34.41%	35.58%	33.10%	34.89%	35.10%	28.55%					
38	"21. ""Российская Конституционно-демократическая партия"""	37	2	1	1	3	1	2	0	2	0	0	0	2	2	2	2	1	1	2	0	0	0	1	0	0	0	1	0	2	0	3	1	3	0	0	2					
		0.14%	0.38%	0.13%	0.22%	0.50%	0.11%	0.24%	0.0%	0.32%	0.0%	0.0%	0.0%	0.29%	0.53%	0.25%	0.21%	0.13%	0.12%	0.21%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.08%	0.0%	0.36%	0.0%	0.51%	0.14%	0.34%	0.0%	0.0%	0.25%					
39	"22. ""Развитие предпринимательства"""	61	1	1	1	3	4	2	1	1	2	4	4	0	2	1	2	3	1	1	3	1	2	3	1	2	2	0	2	0	2	3	2	1	0	1	2					
		0.24%	0.19%	0.13%	0.22%	0.50%	0.46%	0.24%	0.21%	0.16%	0.26%	0.49%	0.49%	0.0%	0.53%	0.12%	0.21%	0.41%	0.12%	0.10%	0.61%	0.24%	0.26%	0.31%	0.16%	0.32%	0.14%	0.0%	0.23%	0.0%	0.32%	0.51%	0.29%	0.11%	0.0%	0.14%	0.25%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2657	50	87	53	72	87	78	45	55	67	66	89	53	40	86	115	97	96	133	62	25	75	91	56	77	152	113	86	49	73	61	58	117	55	83	55					
		10.60%	9.52%	11.75%	11.67%	12.20%	10.08%	9.43%	9.55%	8.81%	8.85%	8.18%	10.94%	7.71%	10.66%	11.13%	12.48%	13.36%	12.24%	14.37%	12.80%	6.03%	10.09%	9.65%	9.50%	12.52%	10.86%	10.04%	10.25%	8.89%	11.94%	10.39%	8.52%	13.26%	12.30%	11.94%	6.91%					
																																										
41	Против всех	2001	31	74	22	50	85	57	34	55	70	70	68	57	21	42	55	52	67	82	34	27	76	89	49	61	138	96	52	40	40	37	47	62	26	50	85					
		7.98%	5.90%	10.0%	4.84%	8.47%	9.84%	6.89%	7.21%	8.81%	9.24%	8.68%	8.36%	8.29%	5.6%	5.44%	5.97%	7.16%	8.54%	8.86%	7.02%	6.52%	10.22%	9.43%	8.31%	9.91%	9.86%	8.53%	6.19%	7.25%	6.54%	6.30%	6.91%	7.02%	5.81%	7.19%	10.69%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
