Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Камышловская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932									
		38.97%	42.97%	35.98%	37.12%	35.84%	37.88%	33.04%	40.53%	38.13%	41.01%	36.21%	40.80%	39.82%	39.43%	39.82%	38.89%	40.04%	41.41%	36.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	80	3	4	3	3	4	2	5	5	8	10	8	1	3	2	3	3	8	5									
		0.86%	0.78%	1.22%	0.70%	0.90%	0.63%	1.79%	0.66%	0.90%	1.62%	1.20%	1.10%	0.22%	0.66%	0.29%	1.85%	0.59%	1.13%	0.66%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	1	0	0	1	1	0	0	2	1	1	2	0	1	3	1	1	3	1									
		0.20%	0.26%	0.00%	0.00%	0.30%	0.16%	0.00%	0.00%	0.36%	0.20%	0.12%	0.27%	0.00%	0.22%	0.44%	0.62%	0.20%	0.42%	0.13%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1850	69	77	115	83	124	46	147	113	95	152	117	80	99	125	35	103	143	127									
		19.87%	17.97%	23.48%	26.68%	25.00%	19.65%	41.07%	19.47%	20.32%	19.19%	18.23%	16.07%	17.90%	21.81%	18.30%	21.60%	20.12%	20.14%	16.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	45	2	0	2	1	4	0	5	3	3	4	0	5	4	1	1	1	6	3									
		0.48%	0.52%	0.00%	0.46%	0.30%	0.63%	0.00%	0.66%	0.54%	0.61%	0.48%	0.00%	1.12%	0.88%	0.15%	0.62%	0.20%	0.85%	0.40%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	75	3	4	5	4	4	2	5	8	6	3	5	7	3	3	0	4	6	3									
		0.81%	0.78%	1.22%	1.16%	1.20%	0.63%	1.79%	0.66%	1.44%	1.21%	0.36%	0.69%	1.57%	0.66%	0.44%	0.00%	0.78%	0.85%	0.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0									
		0.10%	0.00%	0.30%	0.23%	0.30%	0.00%	0.00%	0.00%	0.18%	0.00%	0.12%	0.00%	0.22%	0.22%	0.15%	0.00%	0.20%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	130	8	4	5	2	8	2	13	10	5	10	8	13	3	9	2	6	8	14									
		1.40%	2.08%	1.22%	1.16%	0.60%	1.27%	1.79%	1.72%	1.80%	1.01%	1.20%	1.10%	2.91%	0.66%	1.32%	1.23%	1.17%	1.13%	1.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1526	61	61	70	54	99	9	131	88	74	159	125	56	69	116	20	90	95	149									
		16.39%	15.89%	18.60%	16.24%	16.27%	15.69%	8.04%	17.35%	15.83%	14.95%	19.06%	17.17%	12.53%	15.20%	16.98%	12.35%	17.58%	13.38%	19.66%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	1	0	2	1	3	0	1	3	5	6	3	2	1	1	0	3	0	1									
		0.35%	0.26%	0.00%	0.46%	0.30%	0.48%	0.00%	0.13%	0.54%	1.01%	0.72%	0.41%	0.45%	0.22%	0.15%	0.00%	0.59%	0.00%	0.13%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	872	25	22	20	20	67	7	61	66	43	91	93	47	56	60	19	41	49	85									
		9.36%	6.51%	6.71%	4.64%	6.02%	10.62%	6.25%	8.08%	11.87%	8.69%	10.91%	12.77%	10.51%	12.33%	8.78%	11.73%	8.01%	6.90%	11.21%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
