Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Курагинская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК  1508	УИК  1509	УИК  1510	УИК  1511	УИК  1512	УИК  1513	УИК  1514	УИК  1515	УИК  1516	УИК  1517	УИК  1518	УИК  1519	УИК  1520	УИК  1521	УИК  1522	УИК  1523	УИК  1524	УИК  1525	УИК  1526	УИК  1527	УИК  1528	УИК  1529	УИК  1530	УИК  1531	УИК  1532	УИК  1533	УИК  1534	УИК  1535	УИК  1536	УИК  1537	УИК  1538	УИК  1539	УИК  1540	УИК  1541	УИК  1542	УИК  1543	УИК  1544	УИК  1545	УИК  1546	УИК  1547	УИК  1548	УИК  1549	УИК  1550	УИК  1551	УИК  1552	УИК  1553	УИК  1554	УИК  1555	УИК  1556	УИК  1557	УИК  1558	УИК  1559	УИК  1560	УИК  1561					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	4	3	7	3	3	6	3	3	7	3	6	14	12	12	16	13	16	4	10	3	24	20	3	7	3	3	3	3	3	5	3	3	3	10	5	9	3	3	3	8	5	3	6	20	10	10	7	7	11	20	20	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	86	1	0	1	0	0	2	0	0	0	0	0	1	5	3	2	5	3	2	1	0	6	8	0	1	0	0	1	1	0	1	2	1	0	2	0	1	2	1	0	3	5	0	0	3	3	2	1	1	1	7	7	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	0	0	0	0	0	0	0	0	0	0	0	1	0	7	2	1	1	0	1	0	2	5	0	0	1	0	0	1	0	2	2	2	1	3	2	2	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0					
14	Число погашенных открепительных удостоверений	314	3	3	6	3	3	4	3	3	7	3	6	13	7	9	14	8	13	2	9	3	18	12	3	6	3	3	2	2	3	4	1	2	3	8	5	8	1	2	3	5	0	3	6	17	7	8	6	6	10	13	13	3	3	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	50	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	181	4	0	1	2	0	2	0	5	5	5	0	3	3	1	6	4	5	5	4	0	9	7	7	4	4	0	2	4	0	2	1	3	2	10	5	3	2	3	2	1	5	6	2	4	1	4	2	1	5	13	9	1	0	2					
		1.00%	1.65%	0.0%	0.22%	1.04%	0.0%	0.64%	0.0%	3.59%	1.24%	2.5%	0.0%	0.42%	0.51%	0.13%	0.71%	0.68%	0.59%	1.98%	0.72%	0.0%	0.90%	0.76%	6.48%	1.14%	2.09%	0.0%	1.27%	5.88%	0.0%	0.69%	1.0%	2.06%	3.57%	2.41%	1.73%	0.92%	1.81%	1.80%	1.63%	0.31%	2.10%	5.21%	1.44%	0.95%	0.26%	0.97%	0.85%	0.28%	0.99%	1.45%	0.93%	1.12%	0.0%	1.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	140	1	0	5	0	0	0	1	0	2	0	1	6	4	9	10	7	7	4	2	2	9	11	0	1	3	1	1	0	3	1	0	2	0	6	0	3	2	1	1	0	1	1	0	4	2	2	2	4	4	2	7	2	1	2					
		0.77%	0.41%	0.0%	1.11%	0.0%	0.0%	0.0%	0.66%	0.0%	0.49%	0.0%	0.35%	0.84%	0.69%	1.24%	1.19%	1.19%	0.82%	1.58%	0.36%	1.98%	0.90%	1.20%	0.0%	0.28%	1.57%	1.05%	0.63%	0.0%	6.0%	0.34%	0.0%	1.37%	0.0%	1.44%	0.0%	0.92%	1.81%	0.60%	0.81%	0.0%	0.42%	0.86%	0.0%	0.95%	0.53%	0.48%	0.85%	1.14%	0.79%	0.22%	0.72%	2.24%	0.64%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	466	8	1	12	2	1	11	5	2	9	1	12	14	6	25	11	10	15	1	10	1	24	28	8	5	7	1	4	2	0	10	4	11	1	14	8	5	7	7	3	9	4	1	4	11	18	7	9	16	13	23	30	1	4	10					
		2.58%	3.30%	0.71%	2.67%	1.04%	1.38%	3.52%	3.31%	1.43%	2.24%	0.5%	4.25%	1.96%	1.03%	3.44%	1.30%	1.70%	1.77%	0.39%	1.82%	0.99%	2.41%	3.07%	7.40%	1.43%	3.66%	1.05%	2.54%	2.94%	0.0%	3.47%	4.0%	7.58%	1.78%	3.38%	2.76%	1.54%	6.36%	4.21%	2.45%	2.83%	1.68%	0.86%	2.89%	2.61%	4.78%	1.71%	3.86%	4.57%	2.59%	2.57%	3.11%	1.12%	2.56%	6.49%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	282	3	2	2	2	0	2	1	1	1	0	6	10	13	15	18	11	11	7	7	1	20	34	0	9	5	0	0	0	0	0	1	0	0	6	6	4	9	0	1	1	4	1	9	3	5	10	0	9	3	7	19	1	0	2					
		1.56%	1.23%	1.42%	0.44%	1.04%	0.0%	0.64%	0.66%	0.71%	0.24%	0.0%	2.12%	1.40%	2.24%	2.06%	2.14%	1.87%	1.30%	2.77%	1.27%	0.99%	2.01%	3.73%	0.0%	2.57%	2.61%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	1.44%	2.07%	1.23%	8.18%	0.0%	0.81%	0.31%	1.68%	0.86%	6.52%	0.71%	1.32%	2.44%	0.0%	2.57%	0.59%	0.78%	1.97%	1.12%	0.0%	1.29%					
22	"5. ""За Русь Святую"""	118	1	1	8	0	0	2	0	0	3	2	3	7	2	7	4	2	3	2	3	2	2	4	0	0	0	0	0	0	0	0	1	3	1	1	1	0	1	1	2	1	3	2	3	10	5	0	0	7	4	9	3	1	1	0					
		0.65%	0.41%	0.71%	1.78%	0.0%	0.0%	0.64%	0.0%	0.0%	0.74%	1.0%	1.06%	0.98%	0.34%	0.96%	0.47%	0.34%	0.35%	0.79%	0.54%	1.98%	0.20%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	2.06%	1.78%	0.24%	0.34%	0.0%	0.90%	0.60%	1.63%	0.31%	1.26%	1.73%	2.17%	2.38%	1.32%	0.0%	0.0%	2.0%	0.79%	1.00%	0.31%	1.12%	0.64%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	38	2	3	1	1	0	1	0	0	0	0	0	1	0	2	2	1	2	2	1	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	3	0	0	1					
		0.21%	0.82%	2.14%	0.22%	0.52%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.27%	0.23%	0.17%	0.23%	0.79%	0.18%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.31%	0.0%	0.0%	0.64%					
24	"7. ""Новый курс - Автомобильная Россия"""	83	0	2	0	2	0	2	1	1	0	0	1	1	2	4	5	2	6	1	1	0	8	1	0	0	0	0	1	0	0	3	0	1	0	1	0	2	0	1	0	4	1	1	0	3	1	1	7	0	5	4	5	0	1	1					
		0.45%	0.0%	1.42%	0.0%	1.04%	0.0%	0.64%	0.66%	0.71%	0.0%	0.0%	0.35%	0.14%	0.34%	0.55%	0.59%	0.34%	0.70%	0.39%	0.18%	0.0%	0.80%	0.10%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	1.04%	0.0%	0.68%	0.0%	0.24%	0.0%	0.61%	0.0%	0.60%	0.0%	1.25%	0.42%	0.86%	0.0%	0.71%	0.26%	0.24%	3.00%	0.0%	0.99%	0.44%	0.51%	0.0%	0.64%	0.64%					
25	"8. ""Народно-республиканская партия России"""	14	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0					
		0.07%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.5%	0.35%	0.0%	0.17%	0.0%	0.0%	0.0%	0.11%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.28%	0.52%	0.0%	0.0%	0.0%	2.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.26%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	54	0	0	1	0	0	1	4	0	0	0	0	2	0	0	1	0	2	2	5	0	5	2	0	0	1	0	0	0	0	2	0	0	0	3	1	0	2	3	1	2	1	1	1	6	0	1	0	0	2	0	2	0	0	0					
		0.29%	0.0%	0.0%	0.22%	0.0%	0.0%	0.32%	2.64%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.11%	0.0%	0.23%	0.79%	0.91%	0.0%	0.50%	0.21%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.72%	0.34%	0.0%	1.81%	1.80%	0.81%	0.62%	0.42%	0.86%	0.72%	1.42%	0.0%	0.24%	0.0%	0.0%	0.39%	0.0%	0.20%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1196	48	56	33	21	15	31	21	22	22	10	16	31	21	34	30	20	26	6	79	6	68	80	18	44	22	20	16	7	1	29	17	6	1	20	23	20	6	4	8	32	23	11	0	12	8	16	5	9	20	35	40	6	15	6					
		6.62%	19.83%	39.99%	7.34%	10.99%	20.83%	9.93%	13.90%	15.82%	5.48%	5.0%	5.67%	4.35%	3.62%	4.68%	3.57%	3.41%	3.07%	2.38%	14.41%	5.94%	6.84%	8.79%	16.66%	12.60%	11.51%	21.05%	10.19%	10.29%	2.0%	10.06%	17.0%	4.13%	1.78%	4.83%	7.95%	6.17%	5.45%	2.40%	6.55%	10.06%	9.66%	9.56%	0.0%	2.85%	2.12%	3.91%	2.14%	2.57%	3.99%	3.91%	4.15%	6.74%	9.61%	3.89%					
28	"11. ""Истинные патриоты России"""	14	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.20%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	1.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.57%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	103	1	0	3	2	2	0	0	1	2	1	2	9	3	4	3	4	6	0	2	2	6	1	1	1	2	2	0	1	0	0	2	0	0	1	2	2	0	0	2	4	2	0	1	4	3	7	1	0	3	4	3	0	0	1					
		0.57%	0.41%	0.0%	0.66%	1.04%	2.77%	0.0%	0.0%	0.71%	0.49%	0.5%	0.70%	1.26%	0.51%	0.55%	0.35%	0.68%	0.70%	0.0%	0.36%	1.98%	0.60%	0.10%	0.92%	0.28%	1.04%	2.10%	0.0%	1.47%	0.0%	0.0%	2.0%	0.0%	0.0%	0.24%	0.69%	0.61%	0.0%	0.0%	1.63%	1.25%	0.84%	0.0%	0.72%	0.95%	0.79%	1.71%	0.42%	0.0%	0.59%	0.44%	0.31%	0.0%	0.0%	0.64%					
30	"13. ""Демократическая партия России"""	63	3	1	0	0	1	1	0	0	4	0	0	2	1	0	4	1	5	2	0	0	5	2	0	0	1	1	0	0	0	2	0	2	0	0	0	3	0	0	1	0	0	0	0	2	0	4	1	2	5	2	3	1	1	0					
		0.34%	1.23%	0.71%	0.0%	0.0%	1.38%	0.32%	0.0%	0.0%	0.99%	0.0%	0.0%	0.28%	0.17%	0.0%	0.47%	0.17%	0.59%	0.79%	0.0%	0.0%	0.50%	0.21%	0.0%	0.0%	0.52%	1.05%	0.0%	0.0%	0.0%	0.69%	0.0%	1.37%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.97%	0.42%	0.57%	0.99%	0.22%	0.31%	1.12%	0.64%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	32	0	0	0	1	0	1	0	0	2	0	0	0	0	1	2	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	1	3	0	0	1	3	0	0	3	0	0	0	2	0	0	0					
		0.17%	0.0%	0.0%	0.0%	0.52%	0.0%	0.32%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.13%	0.23%	0.0%	0.23%	0.0%	0.0%	0.0%	0.10%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.24%	0.69%	0.0%	0.90%	0.0%	0.81%	0.94%	0.0%	0.0%	0.72%	0.71%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	24	1	0	0	1	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	1	2	2	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0					
		0.13%	0.41%	0.0%	0.0%	0.52%	0.0%	0.0%	0.66%	0.71%	0.0%	0.0%	0.35%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.18%	0.99%	0.20%	0.21%	0.0%	0.0%	0.0%	1.05%	0.0%	1.47%	0.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.34%	0.0%	0.0%	0.0%	0.81%	0.31%	0.0%	0.86%	0.0%	0.23%	0.0%	0.24%	0.0%	0.0%	0.0%	0.11%	0.10%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2644	16	10	78	10	0	36	11	19	51	26	41	122	93	105	138	117	134	35	68	7	200	164	5	70	14	14	19	10	1	37	1	17	2	62	20	55	5	4	9	28	20	12	1	31	77	64	36	48	71	152	216	23	36	3					
		14.64%	6.61%	7.14%	17.37%	5.23%	0.0%	11.53%	7.28%	13.66%	12.71%	13.0%	14.53%	17.13%	16.06%	14.48%	16.42%	19.96%	15.83%	13.88%	12.40%	6.93%	20.14%	18.02%	4.62%	20.05%	7.32%	14.73%	12.10%	14.70%	2.0%	12.84%	1.0%	11.72%	3.57%	14.97%	6.92%	16.97%	4.54%	2.40%	7.37%	8.80%	8.40%	10.43%	0.72%	7.38%	20.47%	15.64%	15.45%	13.71%	14.17%	17.02%	22.45%	25.84%	23.07%	1.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	32	0	0	2	1	1	1	1	0	2	0	1	0	2	1	1	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	3	0	0	0	1	1	2	2	0	0	0					
		0.17%	0.0%	0.0%	0.44%	0.52%	1.38%	0.32%	0.66%	0.0%	0.49%	0.0%	0.35%	0.0%	0.34%	0.13%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.10%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.71%	0.0%	0.0%	0.0%	0.28%	0.19%	0.22%	0.20%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2268	28	23	43	49	13	63	18	24	74	49	55	76	64	85	126	73	49	41	39	22	115	122	14	55	36	10	26	11	8	39	20	17	15	58	23	31	13	19	19	27	16	8	6	32	32	31	46	46	70	114	110	16	18	31					
		12.56%	11.57%	16.42%	9.57%	25.65%	18.05%	20.19%	11.92%	17.26%	18.45%	24.5%	19.50%	10.67%	11.05%	11.72%	15.0%	12.45%	5.79%	16.26%	7.11%	21.78%	11.58%	13.40%	12.96%	15.75%	18.84%	10.52%	16.56%	16.17%	16.0%	13.54%	20.0%	11.72%	26.78%	14.00%	7.95%	9.56%	11.81%	11.44%	15.57%	8.49%	6.72%	6.95%	4.34%	7.61%	8.51%	7.57%	19.74%	13.14%	13.97%	12.76%	11.43%	17.97%	11.53%	20.12%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	288	2	1	3	7	1	4	1	0	4	3	9	10	6	10	16	5	16	3	2	2	16	17	3	12	1	3	3	1	0	6	1	3	2	7	5	2	2	1	1	4	3	2	0	8	7	14	2	6	11	18	11	3	6	2					
		1.59%	0.82%	0.71%	0.66%	3.66%	1.38%	1.28%	0.66%	0.0%	0.99%	1.5%	3.19%	1.40%	1.03%	1.37%	1.90%	0.85%	1.89%	1.19%	0.36%	1.98%	1.61%	1.86%	2.77%	3.43%	0.52%	3.15%	1.91%	1.47%	0.0%	2.08%	1.0%	2.06%	3.57%	1.69%	1.73%	0.61%	1.81%	0.60%	0.81%	1.25%	1.26%	1.73%	0.0%	1.90%	1.86%	3.42%	0.85%	1.71%	2.19%	2.01%	1.14%	3.37%	3.84%	1.29%					
37	"20. ""Политическая партия ""Единая Россия"""	5973	58	21	160	43	25	71	30	34	138	66	89	280	184	211	263	188	326	89	97	31	267	249	40	73	64	32	34	19	13	69	30	32	14	126	128	112	35	71	40	142	108	35	96	214	139	152	73	143	214	325	338	20	58	64					
		33.08%	23.96%	14.99%	35.63%	22.51%	34.72%	22.75%	19.86%	24.46%	34.41%	33.0%	31.56%	39.32%	31.77%	29.10%	31.30%	32.08%	38.53%	35.31%	17.70%	30.69%	26.88%	27.36%	37.03%	20.91%	33.50%	33.68%	21.65%	27.94%	26.0%	23.95%	30.0%	22.06%	24.99%	30.43%	44.29%	34.56%	31.81%	42.77%	32.78%	44.65%	45.37%	30.43%	69.56%	50.95%	36.96%	37.16%	31.33%	40.85%	42.71%	36.39%	35.13%	22.47%	37.17%	41.55%					
38	"21. ""Российская Конституционно-демократическая партия"""	31	0	0	0	0	1	0	0	0	0	1	0	1	1	2	5	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	3	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0					
		0.17%	0.0%	0.0%	0.0%	0.0%	1.38%	0.0%	0.0%	0.0%	0.0%	0.5%	0.0%	0.14%	0.17%	0.27%	0.59%	0.0%	0.11%	0.39%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.06%	0.0%	0.24%	0.34%	0.0%	0.0%	1.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.22%	0.41%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	86	0	0	0	0	0	1	0	3	1	0	0	0	0	3	1	1	55	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	3	0	1	0	2	3	2	0	0	1					
		0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	2.15%	0.24%	0.0%	0.0%	0.0%	0.0%	0.41%	0.11%	0.17%	6.50%	0.0%	0.0%	0.0%	0.10%	0.21%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.79%	0.0%	0.42%	0.0%	0.39%	0.33%	0.20%	0.0%	0.0%	0.64%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2831	50	17	83	38	8	62	49	16	71	17	35	105	134	171	159	104	141	38	203	17	156	119	10	59	13	9	44	10	8	66	14	38	9	57	15	51	8	11	8	20	17	15	2	28	55	73	35	39	43	135	110	9	4	23					
		15.67%	20.66%	12.14%	18.48%	19.89%	11.11%	19.87%	32.45%	11.51%	17.70%	8.5%	12.41%	14.74%	23.14%	23.58%	18.92%	17.74%	16.66%	15.07%	37.04%	16.83%	15.70%	13.07%	9.25%	16.90%	6.80%	9.47%	28.02%	14.70%	16.0%	22.91%	14.0%	26.20%	16.07%	13.76%	5.19%	15.74%	7.27%	6.62%	6.55%	6.28%	7.14%	13.04%	1.44%	6.66%	14.62%	17.84%	15.02%	11.14%	8.58%	15.11%	11.43%	10.11%	2.56%	14.93%					
																																																													
41	Против всех	911	10	2	9	8	4	14	6	5	9	11	6	25	33	29	34	32	28	12	15	4	59	56	0	14	13	1	3	1	15	15	4	7	4	33	44	19	14	32	17	30	17	16	7	33	11	20	5	17	17	34	38	5	10	4					
		5.04%	4.13%	1.42%	2.00%	4.18%	5.55%	4.48%	3.97%	3.59%	2.24%	5.5%	2.12%	3.51%	5.69%	4.0%	4.04%	5.46%	3.30%	4.76%	2.73%	3.96%	5.94%	6.15%	0.0%	4.01%	6.80%	1.05%	1.91%	1.47%	30.0%	5.20%	4.0%	4.82%	7.14%	7.97%	15.22%	5.86%	12.72%	19.27%	13.93%	9.43%	7.14%	13.91%	5.07%	7.85%	2.92%	4.88%	2.14%	4.85%	3.39%	3.80%	3.95%	5.61%	6.41%	2.59%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
