Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																														
Дата голосования: 02.12.2007																																																																																														
																																																																																														
"Наименование Избирательной комиссии:    Екатеринбург, Кировская"																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №666	УИК №679	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3150	0	0	40	28	80	35	35	25	25	30	33	35	38	53	35	35	35	35	38	60	42	48	30	25	25	28	35	40	30	35	31	30	35	40	30	50	20	29	38	35	20	25	0	15	47	46	65	48	57	35	36	38	40	38	43	43	43	20	30	35	36	10	10	65	0	58	58	50	40	45	48	53	37	43	50	20	50	65	54	50	33	32	50	45	25	28	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2898	0	0	34	24	75	31	33	25	21	21	30	35	32	47	30	32	27	32	31	60	41	48	27	25	23	21	27	30	23	29	28	30	33	39	29	46	20	26	31	35	16	22	0	14	47	44	65	44	56	32	35	37	33	36	43	43	42	20	30	33	34	9	9	65	0	51	56	48	38	38	40	48	37	43	49	20	46	61	54	45	31	27	40	40	25	21	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3363	879	63	43	41	36	33	42	25	12	24	35	31	21	45	28	20	30	12	26	21	10	24	29	10	92	10	64	21	28	25	52	20	48	87	25	16	32	34	57	46	26	28	5	16	120	20	49	21	10	14	17	15	31	15	34	18	16	28	29	15	22	33	27	18	75	46	16	12	32	18	25	34	18	13	15	16	19	23	13	72	24	15	13	12	12	16	0					
14	Число погашенных неиспользованных открепительных удостоверений	252	0	0	6	4	5	4	2	0	4	9	3	0	6	6	5	3	8	3	7	0	1	0	3	0	2	7	8	10	7	6	3	0	2	1	1	4	0	3	7	0	4	3	0	1	0	2	0	4	1	3	1	1	7	2	0	0	1	0	0	2	2	1	1	0	0	7	2	2	2	7	8	5	0	0	1	0	4	4	0	5	2	5	10	5	0	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	345	0	0	3	5	4	3	4	2	2	4	5	0	1	0	3	0	2	1	2	4	2	9	1	0	4	1	2	4	3	4	1	2	5	1	4	1	1	7	1	4	2	5	0	1	6	4	2	3	2	4	2	5	2	4	6	2	4	0	6	2	1	2	3	4	0	7	8	9	11	13	4	14	5	6	12	6	9	8	14	10	3	8	6	7	8	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																														
18	1.Политическая партия «Аграрная партия России»	2021	14	1	22	32	29	41	26	26	3	33	37	35	31	20	23	19	27	12	14	14	22	36	25	14	18	34	30	28	16	21	33	35	37	29	10	24	18	25	24	26	13	17	2	14	34	23	34	39	31	51	27	39	33	30	25	22	27	31	12	21	19	7	12	18	11	20	33	27	24	34	28	23	19	27	11	18	19	20	20	27	22	20	15	27	14	14	3					
		1.99%	1.56%	0.54%	1.57%	2.82%	1.66%	2.71%	2.07%	2.61%	0.43%	2.57%	3.23%	2.28%	2.28%	1.58%	1.79%	1.93%	3.00%	1.57%	1.27%	1.32%	1.60%	2.35%	2.73%	1.64%	1.63%	3.21%	2.44%	3.03%	1.92%	1.77%	2.07%	2.25%	2.47%	2.19%	0.96%	2.20%	1.70%	2.05%	2.40%	1.74%	2.14%	1.97%	1.67%	1.26%	2.44%	1.82%	2.24%	3.10%	2.19%	4.08%	2.39%	2.31%	2.66%	2.38%	1.71%	1.67%	2.16%	2.66%	1.48%	1.92%	1.88%	0.99%	2.11%	1.44%	2.51%	1.24%	2.18%	1.66%	1.71%	2.85%	2.02%	1.49%	1.44%	2.49%	1.07%	1.81%	1.51%	1.38%	1.25%	1.75%	1.63%	2.38%	1.10%	2.02%	1.62%	2.07%	0.62%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6639	20	4	81	82	116	131	72	62	76	88	92	81	80	81	69	59	47	43	103	88	83	96	63	86	81	93	110	66	48	93	121	120	106	78	80	73	66	120	64	74	28	57	4	26	95	81	90	89	79	147	96	141	95	66	122	96	72	63	38	61	33	26	23	43	18	111	103	89	83	67	90	106	103	52	67	58	74	85	81	58	131	47	99	65	95	67	23					
		6.57%	2.23%	2.17%	5.78%	7.22%	6.64%	8.66%	5.73%	6.22%	10.90%	6.86%	8.04%	5.27%	5.88%	6.40%	5.38%	5.98%	5.23%	5.61%	9.31%	8.30%	6.03%	6.27%	6.88%	10.09%	7.35%	8.78%	8.93%	7.15%	5.77%	7.84%	7.61%	7.70%	7.07%	5.88%	7.68%	6.70%	6.22%	9.84%	6.39%	4.96%	4.61%	6.59%	3.33%	2.35%	6.81%	6.42%	5.93%	7.07%	5.59%	11.77%	8.50%	8.36%	7.66%	5.24%	8.33%	7.27%	5.76%	5.40%	4.69%	5.59%	3.27%	3.69%	4.05%	3.44%	4.11%	6.88%	6.82%	5.46%	5.91%	5.61%	6.50%	6.87%	7.80%	4.79%	6.50%	5.85%	5.88%	5.85%	5.04%	3.76%	9.71%	5.60%	7.25%	4.87%	11.02%	9.93%	4.74%					
20	3.Политическая партия «Демократическая партия России»	193	1	1	2	1	5	2	2	1	0	0	3	0	2	1	1	3	1	3	2	2	3	3	2	0	2	0	7	2	0	2	6	5	5	4	2	3	0	3	3	0	2	5	0	2	1	2	4	2	3	2	6	3	1	1	2	2	1	2	1	2	0	2	1	3	0	3	2	0	2	4	3	3	1	4	1	3	3	4	3	1	7	3	4	1	1	4	1					
		0.19%	0.11%	0.54%	0.14%	0.09%	0.29%	0.13%	0.16%	0.10%	0.00%	0.00%	0.26%	0.00%	0.15%	0.08%	0.08%	0.30%	0.11%	0.39%	0.18%	0.19%	0.22%	0.20%	0.22%	0.00%	0.18%	0.00%	0.57%	0.22%	0.00%	0.17%	0.38%	0.32%	0.33%	0.30%	0.19%	0.28%	0.00%	0.25%	0.30%	0.00%	0.33%	0.58%	0.00%	0.18%	0.07%	0.16%	0.26%	0.16%	0.21%	0.16%	0.53%	0.18%	0.08%	0.08%	0.14%	0.15%	0.08%	0.17%	0.12%	0.18%	0.00%	0.28%	0.18%	0.24%	0.00%	0.19%	0.13%	0.00%	0.14%	0.34%	0.22%	0.19%	0.08%	0.37%	0.10%	0.30%	0.24%	0.28%	0.19%	0.06%	0.52%	0.36%	0.29%	0.07%	0.12%	0.59%	0.21%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7879	13	9	165	93	188	134	124	84	38	120	107	128	118	80	124	88	62	60	87	47	106	137	114	99	93	104	90	82	59	94	98	104	92	117	99	104	84	97	77	112	58	81	6	53	108	105	150	130	162	102	54	126	107	106	94	135	112	121	41	95	47	41	26	76	34	132	129	145	96	83	113	100	97	97	53	64	64	92	109	96	73	52	98	93	46	29	17					
		7.80%	1.45%	4.89%	11.78%	8.19%	10.77%	8.86%	9.87%	8.43%	5.45%	9.36%	9.35%	8.32%	8.68%	6.32%	9.66%	8.92%	6.90%	7.83%	7.87%	4.43%	7.70%	8.94%	12.45%	11.62%	8.44%	9.82%	7.31%	8.88%	7.09%	7.93%	6.16%	6.68%	6.14%	8.82%	9.50%	9.54%	7.92%	7.95%	7.68%	7.50%	9.54%	9.36%	5.00%	4.78%	7.74%	8.33%	9.89%	10.33%	11.46%	8.17%	4.78%	7.47%	8.62%	8.41%	6.42%	10.23%	8.97%	10.38%	5.06%	8.70%	4.66%	5.82%	4.58%	6.08%	7.76%	8.18%	8.54%	8.90%	6.84%	6.95%	8.16%	6.49%	7.35%	8.93%	5.15%	6.45%	5.09%	6.33%	6.79%	6.22%	5.41%	6.20%	7.17%	6.97%	5.34%	4.30%	3.51%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3581	7	2	99	56	80	93	53	63	34	43	42	61	58	54	41	39	18	20	22	21	47	47	30	69	49	44	43	52	17	63	54	69	50	58	30	37	42	28	48	63	19	34	2	17	43	61	38	34	50	30	40	58	44	51	56	57	30	38	22	17	27	22	3	18	11	53	61	47	44	43	44	52	53	30	20	50	33	32	47	31	61	39	43	50	37	33	10					
		3.54%	0.78%	1.09%	7.07%	4.93%	4.58%	6.15%	4.22%	6.33%	4.88%	3.35%	3.67%	3.97%	4.26%	4.27%	3.20%	3.96%	2.00%	2.61%	1.99%	1.98%	3.42%	3.07%	3.28%	8.10%	4.45%	4.15%	3.49%	5.63%	2.04%	5.31%	3.39%	4.43%	3.34%	4.37%	2.88%	3.39%	3.96%	2.30%	4.79%	4.22%	3.13%	3.93%	1.67%	1.53%	3.08%	4.84%	2.50%	2.70%	3.54%	2.40%	3.54%	3.44%	3.55%	4.05%	3.83%	4.32%	2.40%	3.26%	2.72%	1.56%	2.68%	3.12%	0.53%	1.44%	2.51%	3.29%	4.04%	2.89%	3.13%	3.60%	3.18%	3.37%	4.02%	2.76%	1.94%	5.04%	2.62%	2.20%	2.93%	2.01%	4.52%	4.65%	3.15%	3.75%	4.29%	4.89%	2.06%					
23	6.Политическая партия «Партия социальной справедливости»	363	1	1	4	4	7	1	4	2	7	3	3	3	5	4	8	4	2	4	4	3	6	6	2	3	0	4	4	4	1	4	12	11	7	10	0	3	5	3	4	7	7	6	0	6	5	2	1	5	7	6	7	5	8	3	5	5	4	4	0	2	2	0	2	8	1	13	5	3	5	1	3	6	3	2	1	2	6	1	3	3	6	5	8	11	4	1	0					
		0.36%	0.11%	0.54%	0.29%	0.35%	0.40%	0.07%	0.32%	0.20%	1.00%	0.23%	0.26%	0.20%	0.37%	0.32%	0.62%	0.41%	0.22%	0.52%	0.36%	0.28%	0.44%	0.39%	0.22%	0.35%	0.00%	0.38%	0.32%	0.43%	0.12%	0.34%	0.75%	0.71%	0.47%	0.75%	0.00%	0.28%	0.47%	0.25%	0.40%	0.47%	1.15%	0.69%	0.00%	0.54%	0.36%	0.16%	0.07%	0.40%	0.50%	0.48%	0.62%	0.30%	0.64%	0.24%	0.34%	0.38%	0.32%	0.34%	0.00%	0.18%	0.20%	0.00%	0.35%	0.64%	0.23%	0.81%	0.33%	0.18%	0.36%	0.08%	0.22%	0.39%	0.23%	0.18%	0.10%	0.20%	0.48%	0.07%	0.19%	0.19%	0.44%	0.60%	0.59%	0.82%	0.46%	0.15%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	9241	73	15	101	79	182	114	114	80	61	118	78	114	103	105	94	72	75	68	123	107	124	158	75	51	97	74	108	71	93	104	185	188	158	106	100	104	89	118	81	153	52	86	7	182	84	106	122	95	108	126	127	151	106	115	165	130	126	95	85	118	79	41	44	154	33	150	136	154	138	118	129	144	102	93	101	97	127	121	165	144	124	90	130	122	97	61	48					
		9.14%	8.14%	8.15%	7.21%	6.95%	10.42%	7.54%	9.08%	8.03%	8.75%	9.20%	6.82%	7.41%	7.57%	8.29%	7.33%	7.30%	8.34%	8.88%	11.12%	10.09%	9.01%	10.31%	8.19%	5.99%	8.80%	6.99%	8.77%	7.69%	11.18%	8.77%	11.63%	12.07%	10.54%	7.99%	9.60%	9.54%	8.39%	9.67%	8.08%	10.25%	8.55%	9.94%	5.83%	16.43%	6.02%	8.41%	8.04%	7.55%	7.64%	10.09%	11.24%	8.96%	8.54%	9.13%	11.27%	9.85%	10.09%	8.15%	10.49%	10.81%	7.83%	5.82%	7.75%	12.33%	7.53%	9.30%	9.00%	9.45%	9.83%	9.88%	9.31%	9.34%	7.73%	8.56%	9.81%	9.78%	10.10%	8.33%	10.27%	9.33%	9.19%	10.73%	9.52%	9.15%	11.25%	9.04%	9.90%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8905	23	5	132	117	152	172	141	113	48	126	101	140	140	126	154	101	101	81	97	88	150	159	86	93	89	99	116	88	62	120	141	110	112	137	103	90	120	109	89	146	60	85	16	39	127	125	150	119	149	105	103	142	82	112	106	116	82	140	52	85	85	31	32	70	34	155	133	140	150	108	138	117	109	102	72	73	103	138	114	114	101	69	121	110	51	48	15					
		8.81%	2.56%	2.72%	9.42%	10.30%	8.71%	11.38%	11.23%	11.35%	6.89%	9.83%	8.83%	9.10%	10.29%	9.95%	12.00%	10.24%	11.23%	10.57%	8.77%	8.30%	10.90%	10.38%	9.39%	10.92%	8.08%	9.35%	9.42%	9.53%	7.45%	10.12%	8.86%	7.06%	7.47%	10.33%	9.88%	8.26%	11.31%	8.93%	8.88%	9.78%	9.87%	9.83%	13.33%	3.52%	9.10%	9.91%	9.89%	9.46%	10.54%	8.41%	9.12%	8.42%	6.61%	8.89%	7.24%	8.79%	6.57%	12.01%	6.42%	7.78%	8.42%	4.40%	5.63%	5.60%	7.76%	9.61%	8.80%	8.59%	10.68%	9.05%	9.96%	7.59%	8.26%	9.39%	6.99%	7.36%	8.19%	9.50%	7.10%	7.38%	7.49%	8.22%	8.86%	8.25%	5.92%	7.11%	3.09%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	874	4	1	20	12	27	23	9	11	1	12	9	7	13	16	4	8	13	4	16	12	7	8	8	13	13	6	20	6	9	9	16	12	12	6	7	8	9	12	8	10	9	7	0	14	17	15	22	12	5	14	13	22	7	8	7	10	13	10	8	6	8	6	2	7	8	11	12	11	9	6	12	10	13	10	6	14	8	13	9	8	7	4	11	9	7	9	4					
		0.86%	0.45%	0.54%	1.43%	1.06%	1.55%	1.52%	0.72%	1.10%	0.14%	0.94%	0.79%	0.46%	0.96%	1.26%	0.31%	0.81%	1.45%	0.52%	1.45%	1.13%	0.51%	0.52%	0.87%	1.53%	1.18%	0.57%	1.62%	0.65%	1.08%	0.76%	1.01%	0.77%	0.80%	0.45%	0.67%	0.73%	0.85%	0.98%	0.80%	0.67%	1.48%	0.81%	0.00%	1.26%	1.22%	1.19%	1.45%	0.95%	0.35%	1.12%	1.15%	1.30%	0.56%	0.63%	0.48%	0.76%	1.04%	0.86%	0.99%	0.55%	0.79%	0.85%	0.35%	0.56%	1.83%	0.68%	0.79%	0.68%	0.64%	0.50%	0.87%	0.65%	0.98%	0.92%	0.58%	1.41%	0.64%	0.89%	0.56%	0.52%	0.52%	0.48%	0.81%	0.67%	0.81%	1.33%	0.82%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	55368	716	142	620	564	829	677	618	472	372	662	615	895	731	706	689	542	502	423	588	633	742	811	431	341	585	512	608	450	501	603	827	781	836	672	542	571	558	626	549	815	330	443	80	717	803	645	812	670	730	598	585	883	697	698	801	681	733	600	520	656	671	471	403	825	262	876	818	915	767	663	749	906	720	603	645	570	759	870	982	1000	692	464	754	770	456	363	355					
		54.78%	79.82%	77.17%	44.25%	49.65%	47.48%	44.78%	49.20%	47.39%	53.37%	51.64%	53.76%	58.19%	53.75%	55.77%	53.70%	54.97%	55.84%	55.22%	53.16%	59.72%	53.92%	52.94%	47.05%	40.02%	53.09%	48.35%	49.35%	48.75%	60.22%	50.84%	51.98%	50.13%	55.77%	50.68%	52.02%	52.39%	52.59%	51.31%	54.79%	54.59%	54.28%	51.21%	66.67%	64.71%	57.56%	51.15%	53.53%	53.26%	51.66%	47.88%	51.77%	52.37%	56.16%	55.40%	54.71%	51.59%	58.69%	51.46%	64.20%	60.07%	66.50%	66.81%	70.95%	66.05%	59.82%	54.31%	54.14%	56.17%	54.63%	55.53%	54.08%	58.75%	54.55%	55.52%	62.62%	57.46%	60.33%	59.88%	61.15%	64.77%	51.30%	55.30%	55.20%	57.72%	52.90%	53.78%	73.20%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4828	16	0	133	83	108	103	80	65	52	63	47	56	73	62	56	39	41	41	37	37	75	64	68	70	65	81	84	65	24	61	80	93	63	84	64	60	56	55	40	77	25	41	3	29	64	80	67	54	70	49	42	85	48	49	66	52	37	49	24	18	27	18	12	14	16	74	62	84	64	57	67	62	82	52	45	32	50	65	58	46	108	34	70	64	45	42	5					
		4.78%	1.78%	0.00%	9.49%	7.31%	6.19%	6.81%	6.37%	6.53%	7.46%	4.91%	4.11%	3.64%	5.37%	4.90%	4.36%	3.96%	4.56%	5.35%	3.35%	3.49%	5.45%	4.18%	7.42%	8.22%	5.90%	7.65%	6.82%	7.04%	2.88%	5.14%	5.03%	5.97%	4.20%	6.33%	6.14%	5.50%	5.28%	4.51%	3.99%	5.16%	4.11%	4.74%	2.50%	2.62%	4.59%	6.34%	4.42%	4.29%	4.95%	3.92%	3.72%	5.04%	3.87%	3.89%	4.51%	3.94%	2.96%	4.20%	2.96%	1.65%	2.68%	2.55%	2.11%	1.12%	3.65%	4.59%	4.10%	5.16%	4.56%	4.77%	4.84%	4.02%	6.21%	4.79%	4.37%	3.23%	3.97%	4.47%	3.61%	2.98%	8.01%	4.05%	5.12%	4.80%	5.22%	6.22%	1.03%					
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
