Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Ильинская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516					
		1.19%	0.99%	0.0%	1.87%	1.80%	1.28%	1.28%	0.73%	0.72%	0.0%	1.15%	1.78%	2.64%	1.38%	1.53%	1.62%	1.81%	1.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	77	17	0	1	3	4	4	16	11	2	4	0	4	2	1	5	1	2					
		1.48%	2.11%	0.0%	0.37%	0.90%	5.12%	1.28%	1.29%	2.0%	5.40%	1.53%	0.0%	2.11%	1.38%	1.53%	1.62%	0.60%	0.71%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	117	22	1	4	6	7	9	35	5	1	7	0	6	0	0	7	5	2					
		2.25%	2.74%	1.61%	1.49%	1.80%	8.97%	2.89%	2.84%	0.90%	2.70%	2.69%	0.0%	3.17%	0.0%	0.0%	2.27%	3.03%	0.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	106	23	2	3	6	0	6	33	17	0	1	3	3	4	1	2	0	2					
		2.04%	2.86%	3.22%	1.12%	1.80%	0.0%	1.92%	2.68%	3.09%	0.0%	0.38%	2.67%	1.58%	2.77%	1.53%	0.64%	0.0%	0.71%					
22	"5. ""За Русь Святую"""	28	5	0	3	3	1	2	4	2	0	3	0	0	0	0	1	3	1					
		0.53%	0.62%	0.0%	1.12%	0.90%	1.28%	0.64%	0.32%	0.36%	0.0%	1.15%	0.0%	0.0%	0.0%	0.0%	0.32%	1.81%	0.35%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	3	0	0	1	1	2	1	0	0	0	0	0	0	0	0	1	1					
		0.19%	0.37%	0.0%	0.0%	0.30%	1.28%	0.64%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.35%					
24	"7. ""Новый курс - Автомобильная Россия"""	14	3	0	0	3	0	0	1	2	0	1	0	0	0	0	3	1	0					
		0.26%	0.37%	0.0%	0.0%	0.90%	0.0%	0.0%	0.08%	0.36%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.97%	0.60%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.35%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	0	0	0	0	0	1	2	1	0	1	0	1	0	0	3	0	1					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.16%	0.18%	0.0%	0.38%	0.0%	0.52%	0.0%	0.0%	0.97%	0.0%	0.35%					
27	"10. ""Аграрная партия России"""	683	84	24	43	61	6	23	140	54	4	46	16	18	47	2	66	22	27					
		13.15%	10.47%	38.70%	16.10%	18.37%	7.69%	7.39%	11.37%	9.81%	10.81%	17.69%	14.28%	9.52%	32.63%	3.07%	21.42%	13.33%	9.71%					
28	"11. ""Истинные патриоты России"""	8	0	0	0	0	0	0	5	0	0	2	0	1	0	0	0	0	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.76%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	45	3	0	3	1	0	1	16	4	0	2	1	2	2	1	5	1	3					
		0.86%	0.37%	0.0%	1.12%	0.30%	0.0%	0.32%	1.29%	0.72%	0.0%	0.76%	0.89%	1.05%	1.38%	1.53%	1.62%	0.60%	1.07%					
30	"13. ""Демократическая партия России"""	15	4	0	1	1	0	0	2	2	0	2	0	0	0	0	0	0	3					
		0.28%	0.49%	0.0%	0.37%	0.30%	0.0%	0.0%	0.16%	0.36%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	2	1	0	1	0	0	3	1	0	0	1	0	0	0	1	1	1					
		0.23%	0.24%	1.61%	0.0%	0.30%	0.0%	0.0%	0.24%	0.18%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.32%	0.60%	0.35%					
32	"15. ""Партия СЛОН"""	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.05%	0.12%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	354	46	2	12	18	2	24	109	49	4	7	8	10	6	1	27	15	14					
		6.81%	5.73%	3.22%	4.49%	5.42%	2.56%	7.71%	8.85%	8.90%	10.81%	2.69%	7.14%	5.29%	4.16%	1.53%	8.76%	9.09%	5.03%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	1	0	2	1	0	1	2	0	0	2	0	0	1	1	1	2	1					
		0.28%	0.12%	0.0%	0.74%	0.30%	0.0%	0.32%	0.16%	0.0%	0.0%	0.76%	0.0%	0.0%	0.69%	1.53%	0.32%	1.21%	0.35%					
35	"18. ""ЛДПР"""	745	126	7	46	62	13	59	142	97	5	47	11	20	18	4	35	12	41					
		14.35%	15.71%	11.29%	17.22%	18.67%	16.66%	18.97%	11.53%	17.63%	13.51%	18.07%	9.82%	10.58%	12.5%	6.15%	11.36%	7.27%	14.74%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	239	18	2	7	17	2	17	68	25	0	21	6	9	0	4	18	11	14					
		4.60%	2.24%	3.22%	2.62%	5.12%	2.56%	5.46%	5.52%	4.54%	0.0%	8.07%	5.35%	4.76%	0.0%	6.15%	5.84%	6.66%	5.03%					
37	"20. ""Политическая партия ""Единая Россия"""	1732	240	19	108	80	32	107	395	171	18	84	52	79	45	46	86	54	116					
		33.36%	29.92%	30.64%	40.44%	24.09%	41.02%	34.40%	32.08%	31.09%	48.64%	32.30%	46.42%	41.79%	31.25%	70.76%	27.92%	32.72%	41.72%					
38	"21. ""Российская Конституционно-демократическая партия"""	7	0	0	1	1	0	1	2	0	0	0	0	0	0	0	1	0	1					
		0.13%	0.0%	0.0%	0.37%	0.30%	0.0%	0.32%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.35%					
39	"22. ""Развитие предпринимательства"""	6	0	0	2	1	0	0	0	2	0	1	0	0	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.74%	0.30%	0.0%	0.0%	0.0%	0.36%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	614	156	3	18	31	3	31	179	64	2	14	11	22	8	2	36	14	20					
		11.82%	19.45%	4.83%	6.74%	9.33%	3.84%	9.96%	14.54%	11.63%	5.40%	5.38%	9.82%	11.64%	5.55%	3.07%	11.68%	8.48%	7.19%					
																								
41	Против всех	200	29	1	5	20	3	17	47	35	0	8	1	2	2	1	2	13	14					
		3.85%	3.61%	1.61%	1.87%	6.02%	3.84%	5.46%	3.81%	6.36%	0.0%	3.07%	0.89%	1.05%	1.38%	1.53%	0.64%	7.87%	5.03%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
