Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №30																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1700	50	45	45	45	50	45	50	50	45	40	50	45	45	45	50	45	50	50	45	50	50	45	50	50	50	50	50	50	45	45	50	45	45	45	45	45	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	788	50	22	14	21	48	28	22	28	17	9	27	23	29	18	15	12	19	19	19	18	24	23	13	28	22	26	23	25	29	19	16	25	11	18	16	12	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1105	19	31	52	17	26	40	29	44	8	19	33	11	37	69	20	28	36	21	53	23	9	14	23	17	17	29	36	27	18	17	54	37	42	12	8	12	5	112									
14	Число погашенных неиспользованных открепительных удостоверений	912	0	23	31	24	2	17	28	22	28	31	23	22	16	27	35	33	31	31	26	32	26	22	37	22	28	24	27	25	16	26	34	20	34	27	29	33	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	92	6	0	6	0	1	2	3	1	2	1	2	2	6	2	2	1	3	4	6	1	0	0	4	2	1	2	2	1	2	2	3	6	10	1	2	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	649	24	12	3	14	32	17	27	32	11	6	24	24	15	19	23	15	23	12	6	20	18	14	14	16	12	19	33	20	13	14	25	13	19	14	21	14	7	4									
		2.85%	1.89%	2.36%	0.61%	3.31%	3.29%	2.36%	3.18%	3.05%	2.24%	2.09%	3.02%	3.69%	2.91%	4.16%	4.01%	2.44%	3.36%	1.86%	1.17%	3.06%	3.01%	2.57%	3.15%	2.74%	2.04%	2.58%	4.52%	3.14%	2.79%	3.17%	3.63%	2.24%	2.57%	3.25%	3.64%	2.83%	3.47%	3.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	282	8	7	5	6	9	9	6	11	6	2	7	6	2	7	13	7	10	9	7	6	11	8	7	14	4	9	6	9	10	6	8	10	14	4	10	6	1	2									
		1.24%	0.63%	1.38%	1.02%	1.42%	0.93%	1.25%	0.71%	1.05%	1.22%	0.70%	0.88%	0.92%	0.39%	1.53%	2.27%	1.14%	1.46%	1.40%	1.36%	0.92%	1.84%	1.47%	1.57%	2.40%	0.68%	1.22%	0.82%	1.41%	2.15%	1.36%	1.16%	1.72%	1.89%	0.93%	1.73%	1.21%	0.50%	1.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	446	11	14	13	5	16	20	16	11	8	3	14	16	11	12	14	14	14	16	7	12	14	16	12	15	4	20	14	12	7	10	12	12	15	6	10	10	7	3									
		1.96%	0.87%	2.75%	2.65%	1.18%	1.65%	2.78%	1.88%	1.05%	1.63%	1.05%	1.76%	2.46%	2.13%	2.63%	2.44%	2.27%	2.05%	2.48%	1.36%	1.84%	2.34%	2.94%	2.70%	2.57%	0.68%	2.71%	1.92%	1.88%	1.50%	2.27%	1.74%	2.07%	2.03%	1.39%	1.73%	2.02%	3.47%	2.68%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8412	520	152	170	161	452	234	262	424	157	100	321	227	165	182	186	232	244	231	172	251	192	185	182	201	157	303	258	233	175	175	277	217	283	183	199	206	96	47									
		36.96%	41.04%	29.86%	34.62%	38.06%	46.50%	32.50%	30.86%	40.46%	31.91%	34.84%	40.38%	34.92%	31.98%	39.82%	32.46%	37.66%	35.67%	35.81%	33.40%	38.44%	32.11%	33.94%	40.90%	34.42%	26.70%	41.11%	35.34%	36.58%	37.55%	39.68%	40.20%	37.35%	38.24%	42.46%	34.49%	41.62%	47.52%	41.96%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	379	10	7	9	8	18	11	16	23	8	6	13	11	13	5	6	8	13	13	10	15	16	10	7	8	7	7	13	13	5	4	14	9	12	8	12	8	1	2									
		1.67%	0.79%	1.38%	1.83%	1.89%	1.85%	1.53%	1.88%	2.19%	1.63%	2.09%	1.64%	1.69%	2.52%	1.09%	1.05%	1.30%	1.90%	2.02%	1.94%	2.30%	2.68%	1.83%	1.57%	1.37%	1.19%	0.95%	1.78%	2.04%	1.07%	0.91%	2.03%	1.55%	1.62%	1.86%	2.08%	1.62%	0.50%	1.79%									
24	"6. Политическая партия ""Гражданская Платформа"""	63	1	2	2	2	2	1	2	7	1	0	0	0	4	5	0	2	1	3	2	0	1	1	2	1	1	1	1	2	2	1	0	2	4	2	3	2	0	0									
		0.28%	0.08%	0.39%	0.41%	0.47%	0.21%	0.14%	0.24%	0.67%	0.20%	0.00%	0.00%	0.00%	0.78%	1.09%	0.00%	0.32%	0.15%	0.47%	0.39%	0.00%	0.17%	0.18%	0.45%	0.17%	0.17%	0.14%	0.14%	0.31%	0.43%	0.23%	0.00%	0.34%	0.54%	0.46%	0.52%	0.40%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2167	64	36	39	40	121	59	71	109	39	16	54	58	46	47	62	72	66	51	56	57	64	47	31	69	33	87	78	71	31	45	86	71	61	59	71	53	31	16									
		9.52%	5.05%	7.07%	7.94%	9.46%	12.45%	8.19%	8.36%	10.40%	7.93%	5.57%	6.79%	8.92%	8.91%	10.28%	10.82%	11.69%	9.65%	7.91%	10.87%	8.73%	10.70%	8.62%	6.97%	11.82%	5.61%	11.80%	10.68%	11.15%	6.65%	10.20%	12.48%	12.22%	8.24%	13.69%	12.31%	10.71%	15.35%	14.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	653	10	14	16	20	20	18	35	28	13	9	35	22	17	12	24	26	15	13	17	19	13	13	16	15	17	12	25	17	18	17	20	17	20	13	15	17	3	2									
		2.87%	0.79%	2.75%	3.26%	4.73%	2.06%	2.50%	4.12%	2.67%	2.64%	3.14%	4.40%	3.38%	3.29%	2.63%	4.19%	4.22%	2.19%	2.02%	3.30%	2.91%	2.17%	2.39%	3.60%	2.57%	2.89%	1.63%	3.42%	2.67%	3.86%	3.85%	2.90%	2.93%	2.70%	3.02%	2.60%	3.43%	1.49%	1.79%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1810	20	60	56	42	57	69	82	88	47	34	67	60	41	40	36	47	63	53	57	42	54	52	33	50	30	65	63	53	43	30	59	36	59	22	51	37	10	2									
		7.95%	1.58%	11.79%	11.41%	9.93%	5.86%	9.58%	9.66%	8.40%	9.55%	11.85%	8.43%	9.23%	7.95%	8.75%	6.28%	7.63%	9.21%	8.22%	11.07%	6.43%	9.03%	9.54%	7.42%	8.56%	5.10%	8.82%	8.63%	8.32%	9.23%	6.80%	8.56%	6.20%	7.97%	5.10%	8.84%	7.47%	4.95%	1.79%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	66	4	1	1	1	1	1	2	4	1	1	2	0	4	1	1	2	3	3	2	2	1	1	1	1	0	3	2	4	2	2	0	1	3	0	3	2	3	0									
		0.29%	0.32%	0.20%	0.20%	0.24%	0.10%	0.14%	0.24%	0.38%	0.20%	0.35%	0.25%	0.00%	0.78%	0.22%	0.17%	0.32%	0.44%	0.47%	0.39%	0.31%	0.17%	0.18%	0.22%	0.17%	0.00%	0.41%	0.27%	0.63%	0.43%	0.45%	0.00%	0.17%	0.41%	0.00%	0.52%	0.40%	1.49%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3201	58	91	84	66	98	135	149	141	98	59	136	92	107	62	102	88	103	122	93	92	100	82	73	81	48	53	109	100	69	61	66	82	106	50	71	58	7	9									
		14.06%	4.58%	17.88%	17.11%	15.60%	10.08%	18.75%	17.55%	13.45%	19.92%	20.56%	17.11%	14.15%	20.74%	13.57%	17.80%	14.29%	15.06%	18.91%	18.06%	14.09%	16.72%	15.05%	16.40%	13.87%	8.16%	7.19%	14.93%	15.70%	14.81%	13.83%	9.58%	14.11%	14.32%	11.60%	12.31%	11.72%	3.47%	8.04%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2465	51	70	53	34	95	110	115	104	64	30	77	91	51	46	62	66	67	80	56	78	72	70	46	73	34	89	86	60	56	46	74	74	81	55	64	59	14	12									
		10.83%	4.03%	13.75%	10.79%	8.04%	9.77%	15.28%	13.55%	9.92%	13.01%	10.45%	9.69%	14.00%	9.88%	10.07%	10.82%	10.71%	9.80%	12.40%	10.87%	11.94%	12.04%	12.84%	10.34%	12.50%	5.78%	12.08%	11.78%	9.42%	12.02%	10.43%	10.74%	12.74%	10.95%	12.76%	11.09%	11.92%	6.93%	10.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	85	5	0	4	4	3	2	5	2	2	3	3	2	1	1	5	1	0	3	0	6	5	0	3	0	0	1	2	1	3	1	5	2	3	1	3	1	2	0									
		0.37%	0.39%	0.00%	0.81%	0.95%	0.31%	0.28%	0.59%	0.19%	0.41%	1.05%	0.38%	0.31%	0.19%	0.22%	0.87%	0.16%	0.00%	0.47%	0.00%	0.92%	0.84%	0.00%	0.67%	0.00%	0.00%	0.14%	0.27%	0.16%	0.64%	0.23%	0.73%	0.34%	0.41%	0.23%	0.52%	0.20%	0.99%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	972	18	29	25	17	28	24	46	48	22	10	29	27	31	14	27	25	26	29	20	34	25	35	14	31	26	40	30	23	21	18	28	25	41	12	32	14	17	11									
		4.27%	1.42%	5.70%	5.09%	4.02%	2.88%	3.33%	5.42%	4.58%	4.47%	3.48%	3.65%	4.15%	6.01%	3.06%	4.71%	4.06%	3.80%	4.50%	3.88%	5.21%	4.18%	6.42%	3.15%	5.31%	4.42%	5.43%	4.11%	3.61%	4.51%	4.08%	4.06%	4.30%	5.54%	2.78%	5.55%	2.83%	8.42%	9.82%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
