Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
"Наименование Избирательной комиссии:    Томск, Октябрьская"																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №40	УИК №45	УИК №56	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1580	20	20	20	20	20	20	20	40	20	20	20	40	20	20	20	20	20	80	20	20	20	20	20	20	20	20	20	20	20	20	20	40	40	20	20	20	40	20	40	20	20	20	20	20	40	60	20	20	20	20	20	20	20	0	20	20	20	20	40	0	20	20	20	60	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	832	14	15	11	8	3	3	8	21	8	5	3	27	7	3	5	3	8	17	3	4	5	15	8	15	9	9	11	20	20	16	17	20	23	20	14	12	21	15	19	12	13	9	13	19	22	37	16	6	11	8	10	13	1	0	15	17	17	11	24	0	3	9	14	55	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1146	6	32	10	14	4	2	4	10	5	9	7	5	6	3	9	5	9	5	0	4	7	8	1	9	10	13	17	10	3	10	5	3	9	4	4	6	9	10	29	17	29	51	39	53	0	21	7	2	13	3	5	3	8	13	56	2	5	44	10	401	6	10	9	8	11	4					
14	Число погашенных открепительных удостоверений	748	6	5	9	12	17	17	12	19	12	15	17	13	13	17	15	17	12	63	17	16	15	5	12	5	11	11	9	0	0	4	3	20	17	0	6	8	19	5	21	8	7	11	7	1	18	23	4	14	9	12	10	7	19	0	5	3	3	9	16	0	17	11	6	5	14	14					
15	Число открепительных удостоверений выданных ТИК	60	2	0	1	0	1	0	3	0	1	0	1	0	1	0	0	0	0	1	0	0	3	0	0	3	2	1	0	2	1	0	0	1	1	1	0	2	1	1	1	1	2	2	2	0	2	0	1	1	1	4	2	1	0	0	0	3	0	1	0	0	2	1	1	0	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
18	"1. ""ЕДИНЕНИЕ"""	692	4	12	9	7	4	4	8	17	3	9	3	22	6	10	3	5	7	11	10	4	11	10	9	12	7	8	24	12	21	10	10	11	10	5	6	19	13	7	19	9	9	7	25	8	17	14	15	6	16	12	13	14	4	0	14	6	12	18	15	22	8	10	11	11	2	12					
		1.30%	0.46%	1.19%	1.02%	0.96%	1.56%	0.71%	1.50%	1.85%	0.52%	1.54%	0.92%	2.06%	1.01%	2.09%	0.90%	0.62%	1.55%	1.58%	2.35%	1.24%	1.11%	1.04%	0.87%	1.28%	1.04%	1.25%	2.84%	1.08%	1.82%	1.18%	0.93%	1.23%	1.24%	0.47%	0.83%	2.52%	1.21%	0.57%	1.76%	1.04%	0.90%	0.70%	2.48%	0.85%	1.42%	1.18%	1.49%	0.96%	2.11%	1.49%	1.40%	1.66%	0.88%	0.0%	1.51%	0.75%	1.13%	1.83%	1.67%	2.55%	1.19%	2.20%	1.07%	1.27%	0.31%	1.39%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3242	69	93	65	63	13	33	29	60	28	58	17	83	46	38	21	73	20	42	20	16	76	75	79	77	25	25	55	75	65	58	66	68	45	64	48	42	45	77	47	35	68	62	65	80	55	62	43	21	29	51	74	50	22	9	41	29	39	51	67	36	49	26	53	68	31	27					
		6.11%	8.02%	9.25%	7.41%	8.65%	5.07%	5.93%	5.44%	6.55%	4.86%	9.93%	5.26%	7.80%	7.80%	7.94%	6.36%	9.19%	4.44%	6.06%	4.71%	4.96%	7.68%	7.82%	7.70%	8.22%	3.72%	3.90%	6.50%	6.80%	5.63%	6.87%	6.17%	7.64%	5.60%	6.07%	6.64%	5.59%	4.18%	6.35%	4.35%	4.06%	6.82%	6.21%	6.46%	8.52%	4.61%	5.22%	4.28%	3.38%	3.83%	6.36%	8.0%	5.95%	4.86%	3.86%	4.42%	3.63%	3.67%	5.20%	7.50%	4.17%	7.29%	5.72%	5.19%	7.90%	4.82%	3.12%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	4293	55	48	59	52	28	76	50	64	34	24	18	26	48	31	12	42	38	52	33	40	87	93	124	81	83	72	70	69	104	67	115	64	94	150	52	81	134	160	96	66	39	73	62	48	70	68	150	42	49	72	47	54	23	21	55	68	139	86	42	25	45	32	104	43	69	75					
		8.09%	6.39%	4.77%	6.72%	7.14%	10.93%	13.66%	9.38%	6.99%	5.91%	4.10%	5.57%	2.44%	8.14%	6.48%	3.63%	5.28%	8.44%	7.51%	7.78%	12.42%	8.79%	9.69%	12.09%	8.65%	12.35%	11.25%	8.28%	6.26%	9.01%	7.93%	10.75%	7.19%	11.70%	14.23%	7.20%	10.78%	12.47%	13.20%	8.89%	7.67%	3.91%	7.32%	6.16%	5.11%	5.87%	5.73%	14.95%	6.77%	6.48%	8.98%	5.08%	6.43%	5.08%	9.01%	5.93%	8.52%	13.10%	8.77%	4.70%	2.90%	6.69%	7.04%	10.18%	5.0%	10.74%	8.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3983	66	112	77	70	17	38	44	43	40	54	27	70	45	39	21	84	41	50	47	13	74	67	66	63	61	38	45	92	118	73	80	69	79	85	52	52	65	101	63	48	86	81	101	84	68	83	65	29	47	42	88	78	29	13	88	45	52	51	71	23	41	42	89	89	61	48					
		7.51%	7.67%	11.14%	8.77%	9.61%	6.64%	6.83%	8.25%	4.69%	6.95%	9.24%	8.35%	6.57%	7.64%	8.15%	6.36%	10.57%	9.11%	7.22%	11.08%	4.03%	7.48%	6.98%	6.43%	6.73%	9.07%	5.93%	5.32%	8.34%	10.23%	8.64%	7.48%	7.76%	9.83%	8.06%	7.20%	6.92%	6.05%	8.33%	5.83%	5.58%	8.62%	8.12%	10.04%	8.95%	5.70%	6.99%	6.48%	4.67%	6.21%	5.24%	9.51%	9.29%	6.41%	5.57%	9.50%	5.63%	4.90%	5.20%	7.95%	2.66%	6.10%	9.25%	8.71%	10.34%	9.50%	5.56%					
22	"5. ""За Русь Святую"""	197	0	1	0	7	1	2	4	2	4	1	1	2	2	2	1	5	1	3	2	2	3	1	2	1	4	3	2	2	3	2	9	1	6	2	0	0	5	6	5	3	3	7	6	4	5	2	8	2	3	4	3	1	2	1	1	2	4	6	3	12	1	3	4	1	4	2					
		0.37%	0.0%	0.09%	0.0%	0.96%	0.39%	0.35%	0.75%	0.21%	0.69%	0.17%	0.30%	0.18%	0.33%	0.41%	0.30%	0.62%	0.22%	0.43%	0.47%	0.62%	0.30%	0.10%	0.19%	0.10%	0.59%	0.46%	0.23%	0.18%	0.26%	0.23%	0.84%	0.11%	0.74%	0.18%	0.0%	0.0%	0.46%	0.49%	0.46%	0.34%	0.30%	0.70%	0.59%	0.42%	0.41%	0.16%	0.79%	0.32%	0.39%	0.49%	0.32%	0.11%	0.44%	0.42%	0.10%	0.25%	0.37%	0.61%	0.33%	1.39%	0.14%	0.66%	0.39%	0.11%	0.62%	0.23%					
23	"6. ""Объединенная Российская партия ""Русь"""	132	2	4	2	1	0	0	2	2	1	2	0	2	1	2	0	6	0	1	1	3	2	2	3	2	1	0	0	4	2	0	3	3	0	3	4	2	3	3	2	1	3	1	1	0	5	3	0	2	1	3	0	1	1	6	4	1	2	8	2	7	3	1	3	0	1	1					
		0.24%	0.23%	0.39%	0.22%	0.13%	0.0%	0.0%	0.37%	0.21%	0.17%	0.34%	0.0%	0.18%	0.16%	0.41%	0.0%	0.75%	0.0%	0.14%	0.23%	0.93%	0.20%	0.20%	0.29%	0.21%	0.14%	0.0%	0.0%	0.36%	0.17%	0.0%	0.28%	0.33%	0.0%	0.28%	0.55%	0.26%	0.27%	0.24%	0.18%	0.11%	0.30%	0.10%	0.09%	0.0%	0.41%	0.25%	0.0%	0.32%	0.13%	0.37%	0.0%	0.11%	0.22%	2.57%	0.43%	0.12%	0.18%	0.81%	0.22%	0.81%	0.44%	0.22%	0.29%	0.0%	0.15%	0.11%					
24	"7. ""Новый курс - Автомобильная Россия"""	389	8	12	6	2	4	1	1	5	5	4	4	7	5	1	1	14	5	5	7	4	7	7	9	2	3	6	9	14	7	12	10	11	4	5	2	4	7	6	1	4	6	9	9	11	7	10	0	3	4	4	10	6	6	1	7	8	5	8	5	10	5	5	8	4	3	4					
		0.73%	0.93%	1.19%	0.68%	0.27%	1.56%	0.17%	0.18%	0.54%	0.86%	0.68%	1.23%	0.65%	0.84%	0.20%	0.30%	1.76%	1.11%	0.72%	1.65%	1.24%	0.70%	0.72%	0.87%	0.21%	0.44%	0.93%	1.06%	1.27%	0.60%	1.42%	0.93%	1.23%	0.49%	0.47%	0.27%	0.53%	0.65%	0.49%	0.09%	0.46%	0.60%	0.90%	0.89%	1.17%	0.58%	0.84%	0.0%	0.48%	0.52%	0.49%	1.08%	0.71%	1.32%	0.42%	0.75%	1.00%	0.47%	0.81%	0.55%	1.16%	0.74%	1.10%	0.78%	0.46%	0.46%	0.46%					
25	"8. ""Народно-республиканская партия России"""	68	2	3	0	1	0	1	0	0	1	1	2	2	0	2	0	1	1	0	0	4	2	0	1	1	0	3	0	1	0	3	2	0	0	2	2	1	3	0	0	0	0	0	0	2	1	2	0	1	1	1	1	1	0	1	0	2	1	1	0	4	3	2	0	0	0	2					
		0.12%	0.23%	0.29%	0.0%	0.13%	0.0%	0.17%	0.0%	0.0%	0.17%	0.17%	0.61%	0.18%	0.0%	0.41%	0.0%	0.12%	0.22%	0.0%	0.0%	1.24%	0.20%	0.0%	0.09%	0.10%	0.0%	0.46%	0.0%	0.09%	0.0%	0.35%	0.18%	0.0%	0.0%	0.18%	0.27%	0.13%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.08%	0.16%	0.0%	0.16%	0.13%	0.12%	0.10%	0.11%	0.0%	0.42%	0.0%	0.25%	0.09%	0.10%	0.0%	0.46%	0.44%	0.44%	0.0%	0.0%	0.0%	0.23%					
26	"9. ""Российская экологическая партия ""Зеленые"""	353	6	8	6	4	2	5	4	8	4	0	2	4	6	5	2	10	4	6	0	1	4	7	9	9	5	3	3	6	8	5	6	11	4	5	5	4	5	5	6	3	5	7	12	7	5	6	5	1	3	2	12	4	1	3	9	9	8	4	6	12	4	4	7	7	6	4					
		0.66%	0.69%	0.79%	0.68%	0.54%	0.78%	0.89%	0.75%	0.87%	0.69%	0.0%	0.61%	0.37%	1.01%	1.04%	0.60%	1.25%	0.88%	0.86%	0.0%	0.31%	0.40%	0.72%	0.87%	0.96%	0.74%	0.46%	0.35%	0.54%	0.69%	0.59%	0.56%	1.23%	0.49%	0.47%	0.69%	0.53%	0.46%	0.41%	0.55%	0.34%	0.50%	0.70%	1.19%	0.74%	0.41%	0.50%	0.49%	0.16%	0.39%	0.24%	1.29%	0.47%	0.22%	1.28%	0.97%	1.12%	0.75%	0.40%	0.67%	1.39%	0.59%	0.88%	0.68%	0.81%	0.93%	0.46%					
27	"10. ""Аграрная партия России"""	631	10	11	9	9	4	7	7	16	4	6	4	10	8	3	11	2	4	12	5	6	14	9	6	9	7	5	15	12	6	13	16	9	6	12	13	7	10	12	20	10	13	11	8	11	10	16	16	7	9	4	10	7	8	5	6	13	11	21	11	8	10	3	2	15	20	17					
		1.19%	1.16%	1.09%	1.02%	1.23%	1.56%	1.25%	1.31%	1.74%	0.69%	1.02%	1.23%	0.93%	1.35%	0.62%	3.33%	0.25%	0.88%	1.73%	1.17%	1.86%	1.41%	0.93%	0.58%	0.96%	1.04%	0.78%	1.77%	1.08%	0.52%	1.54%	1.49%	1.01%	0.74%	1.13%	1.80%	0.93%	0.93%	0.99%	1.85%	1.16%	1.30%	1.10%	0.79%	1.17%	0.83%	1.34%	1.59%	1.12%	1.19%	0.49%	1.08%	0.83%	1.76%	2.14%	0.64%	1.62%	1.03%	2.14%	1.23%	0.92%	1.48%	0.66%	0.19%	1.74%	3.11%	1.96%					
28	"11. ""Истинные патриоты России"""	52	1	0	2	2	1	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	0	2	1	1	0	0	0	2	0	2	0	1	0	1	0	0	0	0	2	0	2	1	0	0	2	3	1	0	0	0	0	0	0	1	1	2	0	0	0	7	0	0	4	1	0	3					
		0.09%	0.11%	0.0%	0.22%	0.27%	0.39%	0.0%	0.18%	0.0%	0.0%	0.0%	0.61%	0.09%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.09%	0.10%	0.0%	0.0%	0.0%	0.18%	0.0%	0.23%	0.0%	0.11%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.20%	0.10%	0.0%	0.0%	0.16%	0.25%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.10%	0.25%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.39%	0.11%	0.0%	0.34%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	346	4	1	4	4	0	2	3	5	4	3	2	5	3	3	0	4	7	5	8	3	6	12	3	4	4	7	11	7	4	9	0	5	9	3	3	5	12	5	7	6	2	7	10	1	9	3	6	8	11	5	0	6	0	3	7	7	8	10	9	5	4	5	9	5	9	5					
		0.65%	0.46%	0.09%	0.45%	0.54%	0.0%	0.35%	0.56%	0.54%	0.69%	0.51%	0.61%	0.46%	0.50%	0.62%	0.0%	0.50%	1.55%	0.72%	1.88%	0.93%	0.60%	1.25%	0.29%	0.42%	0.59%	1.09%	1.30%	0.63%	0.34%	1.06%	0.0%	0.56%	1.12%	0.28%	0.41%	0.66%	1.11%	0.41%	0.64%	0.69%	0.20%	0.70%	0.99%	0.10%	0.75%	0.25%	0.59%	1.29%	1.45%	0.62%	0.0%	0.71%	0.0%	1.28%	0.75%	0.87%	0.75%	1.02%	1.00%	0.58%	0.59%	1.10%	0.88%	0.58%	1.40%	0.57%					
30	"13. ""Демократическая партия России"""	129	2	1	3	3	1	1	2	0	1	0	0	1	0	1	0	1	1	2	0	2	2	4	4	0	0	1	0	5	3	2	0	1	0	3	2	4	1	0	2	5	4	5	2	4	1	1	1	5	1	1	1	6	1	1	7	3	0	5	3	6	1	1	4	0	2	2					
		0.24%	0.23%	0.09%	0.34%	0.41%	0.39%	0.17%	0.37%	0.0%	0.17%	0.0%	0.0%	0.09%	0.0%	0.20%	0.0%	0.12%	0.22%	0.28%	0.0%	0.62%	0.20%	0.41%	0.39%	0.0%	0.0%	0.15%	0.0%	0.45%	0.26%	0.23%	0.0%	0.11%	0.0%	0.28%	0.27%	0.53%	0.09%	0.0%	0.18%	0.58%	0.40%	0.50%	0.19%	0.42%	0.08%	0.08%	0.09%	0.80%	0.13%	0.12%	0.10%	0.71%	0.22%	0.42%	0.75%	0.37%	0.0%	0.51%	0.33%	0.69%	0.14%	0.22%	0.39%	0.0%	0.31%	0.23%					
31	"14. ""Великая Россия - Евразийский Союз"""	204	1	1	3	5	0	1	1	4	4	5	3	2	4	2	2	3	1	1	3	1	9	1	2	7	1	0	4	2	6	3	3	1	8	5	4	3	4	5	3	2	2	4	2	4	7	5	0	0	5	3	4	5	0	0	7	4	4	4	2	6	2	3	4	1	4	2					
		0.38%	0.11%	0.09%	0.34%	0.68%	0.0%	0.17%	0.18%	0.43%	0.69%	0.85%	0.92%	0.18%	0.67%	0.41%	0.60%	0.37%	0.22%	0.14%	0.70%	0.31%	0.91%	0.10%	0.19%	0.74%	0.14%	0.0%	0.47%	0.18%	0.52%	0.35%	0.28%	0.11%	0.99%	0.47%	0.55%	0.39%	0.37%	0.41%	0.27%	0.23%	0.20%	0.40%	0.19%	0.42%	0.58%	0.42%	0.0%	0.0%	0.66%	0.37%	0.43%	0.59%	0.0%	0.0%	0.75%	0.50%	0.37%	0.40%	0.22%	0.69%	0.29%	0.66%	0.39%	0.11%	0.62%	0.23%					
32	"15. ""Партия СЛОН"""	186	1	2	5	0	0	4	1	6	0	1	0	5	13	1	1	3	0	1	2	0	4	3	3	4	0	0	0	2	6	1	3	3	1	5	4	3	6	11	5	1	2	4	3	0	3	8	0	1	1	4	7	1	2	1	5	4	1	1	3	5	0	1	5	5	1	7					
		0.35%	0.11%	0.19%	0.57%	0.0%	0.0%	0.71%	0.18%	0.65%	0.0%	0.17%	0.0%	0.46%	2.20%	0.20%	0.30%	0.37%	0.0%	0.14%	0.47%	0.0%	0.40%	0.31%	0.29%	0.42%	0.0%	0.0%	0.0%	0.18%	0.52%	0.11%	0.28%	0.33%	0.12%	0.47%	0.55%	0.39%	0.55%	0.90%	0.46%	0.11%	0.20%	0.40%	0.29%	0.0%	0.25%	0.67%	0.0%	0.16%	0.13%	0.49%	0.75%	0.11%	0.44%	0.42%	0.53%	0.50%	0.09%	0.10%	0.33%	0.58%	0.0%	0.22%	0.48%	0.58%	0.15%	0.81%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3301	32	90	68	35	6	41	34	41	57	44	24	49	60	22	20	53	38	46	36	13	65	92	67	64	49	32	64	48	63	41	62	51	57	61	71	42	76	91	60	63	62	63	89	63	83	54	56	14	24	44	67	48	33	8	53	42	52	55	90	16	42	18	60	59	32	46					
		6.22%	3.72%	8.95%	7.75%	4.80%	2.34%	7.37%	6.37%	4.48%	9.91%	7.53%	7.43%	4.60%	10.18%	4.60%	6.06%	6.67%	8.44%	6.64%	8.49%	4.03%	6.57%	9.59%	6.53%	6.83%	7.29%	5.0%	7.57%	4.35%	5.46%	4.85%	5.79%	5.73%	7.09%	5.78%	9.83%	5.59%	7.07%	7.50%	5.56%	7.32%	6.21%	6.31%	8.85%	6.71%	6.96%	4.55%	5.58%	2.25%	3.17%	5.49%	7.24%	5.72%	7.30%	3.43%	5.72%	5.26%	4.90%	5.61%	10.07%	1.85%	6.25%	3.96%	5.87%	6.86%	4.98%	5.33%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	105	1	0	1	1	1	0	3	2	0	2	1	1	2	1	0	1	0	1	0	0	0	1	1	2	1	1	1	1	2	2	1	2	1	3	2	0	3	1	0	5	0	2	0	1	6	2	4	3	4	0	0	6	2	0	1	2	5	0	2	10	2	1	2	0	1	1					
		0.19%	0.11%	0.0%	0.11%	0.13%	0.39%	0.0%	0.56%	0.21%	0.0%	0.34%	0.30%	0.09%	0.33%	0.20%	0.0%	0.12%	0.0%	0.14%	0.0%	0.0%	0.0%	0.10%	0.09%	0.21%	0.14%	0.15%	0.11%	0.09%	0.17%	0.23%	0.09%	0.22%	0.12%	0.28%	0.27%	0.0%	0.27%	0.08%	0.0%	0.58%	0.0%	0.20%	0.0%	0.10%	0.50%	0.16%	0.39%	0.48%	0.52%	0.0%	0.0%	0.71%	0.44%	0.0%	0.10%	0.25%	0.47%	0.0%	0.22%	1.16%	0.29%	0.22%	0.19%	0.0%	0.15%	0.11%					
35	"18. ""ЛДПР"""	6988	102	97	126	85	46	49	56	107	92	57	47	92	56	59	22	106	55	77	55	40	121	107	135	121	84	91	140	185	144	135	145	123	88	132	92	83	118	134	146	117	131	132	131	124	176	151	146	119	109	132	111	132	65	14	118	143	114	119	98	221	92	75	129	131	72	136					
		13.18%	11.86%	9.65%	14.36%	11.67%	17.96%	8.81%	10.50%	11.69%	16.0%	9.76%	14.55%	8.64%	9.50%	12.34%	6.66%	13.35%	12.22%	11.12%	12.97%	12.42%	12.23%	11.15%	13.17%	12.92%	12.5%	14.21%	16.56%	16.78%	12.48%	15.99%	13.56%	13.83%	10.95%	12.52%	12.74%	11.05%	10.98%	11.05%	13.53%	13.60%	13.13%	13.23%	13.03%	13.21%	14.77%	12.73%	14.55%	19.19%	14.41%	16.47%	12.0%	15.73%	14.38%	6.00%	12.74%	17.91%	10.74%	12.14%	10.97%	25.63%	13.69%	16.51%	12.63%	15.23%	11.21%	15.75%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1045	19	13	15	11	4	16	6	16	11	16	6	22	6	6	11	12	9	16	5	3	12	11	19	23	13	14	13	30	27	11	28	15	17	33	14	17	21	25	26	29	15	24	25	18	27	28	18	2	17	14	9	21	10	6	14	15	30	19	18	14	8	9	20	12	13	18					
		1.97%	2.20%	1.29%	1.71%	1.51%	1.56%	2.87%	1.12%	1.74%	1.91%	2.73%	1.85%	2.06%	1.01%	1.25%	3.33%	1.51%	2.0%	2.31%	1.17%	0.93%	1.21%	1.14%	1.85%	2.45%	1.93%	2.18%	1.53%	2.72%	2.34%	1.30%	2.61%	1.68%	2.11%	3.13%	1.93%	2.26%	1.95%	2.06%	2.40%	3.37%	1.50%	2.40%	2.48%	1.91%	2.26%	2.36%	1.79%	0.32%	2.24%	1.74%	0.97%	2.50%	2.21%	2.57%	1.51%	1.87%	2.82%	1.93%	2.01%	1.62%	1.19%	1.98%	1.95%	1.39%	2.02%	2.08%					
37	"20. ""Политическая партия ""Единая Россия"""	15658	324	302	234	205	63	168	152	333	181	169	110	468	149	149	110	208	145	209	115	106	280	226	283	263	198	199	229	327	340	243	300	265	227	272	223	212	304	293	371	254	345	282	255	266	410	374	270	225	240	233	255	232	146	77	264	228	315	295	307	124	198	116	295	265	166	266					
		29.53%	37.67%	30.04%	26.68%	28.15%	24.60%	30.21%	28.51%	36.39%	31.47%	28.93%	34.05%	43.98%	25.29%	31.17%	33.33%	26.19%	32.22%	30.20%	27.12%	32.91%	28.31%	23.56%	27.60%	28.09%	29.46%	31.09%	27.10%	29.67%	29.48%	28.79%	28.06%	29.80%	28.26%	25.80%	30.88%	28.22%	28.30%	24.17%	34.38%	29.53%	34.60%	28.28%	25.37%	28.35%	34.42%	31.53%	26.91%	36.29%	31.74%	29.08%	27.56%	27.65%	32.30%	33.04%	28.50%	28.57%	29.68%	30.10%	34.37%	14.38%	29.46%	25.55%	28.89%	30.81%	25.85%	30.82%					
