Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																					
Дата голосования: 18.09.2016																																																																																																																																					
																																																																																																																																					
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																																																					
																																																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																					
																																																																																																																																					
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №980	УИК №981	УИК №982	УИК №983	УИК №5801	УИК №5802	УИК №5803	УИК №5804	УИК №5805	УИК №5806	УИК №5807	УИК №5809	УИК №5810	УИК №5811	УИК №5812	УИК №5813	УИК №5814	УИК №5815	УИК №5816	УИК №5817	УИК №5818	УИК №5819	УИК №5820	УИК №5821	УИК №5822	УИК №5823	УИК №5824	УИК №5825	УИК №5827	УИК №5828	УИК №5829	УИК №5830	УИК №5831	УИК №5832	УИК №5833	УИК №5834	УИК №5836	УИК №5837	УИК №5838	УИК №5839	УИК №5840	УИК №5841	УИК №5842	УИК №5843	УИК №5844	УИК №5845	УИК №5846	УИК №5847	УИК №5849	УИК №5850	УИК №5851	УИК №5852	УИК №5853	УИК №5855	УИК №5856	УИК №5857	УИК №5858	УИК №5859	УИК №5860	УИК №5861	УИК №5862	УИК №5863	УИК №5864	УИК №5865	УИК №5866	УИК №5867	УИК №5870	УИК №5871	УИК №5872	УИК №5873	УИК №5875	УИК №5876	УИК №5878	УИК №5879	УИК №5881	УИК №5882	УИК №5883	УИК №5884	УИК №5885	УИК №5886	УИК №5887	УИК №5889	УИК №5890	УИК №5891	УИК №5892	УИК №5894	УИК №5895	УИК №5896	УИК №5897	УИК №5898	УИК №5899	УИК №5900	УИК №5901	УИК №5902	УИК №5903	УИК №5904									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	495	11	13	7	9	12	8	9	8	41	25	9	7	16	27	21	9	8	9	2	6	20	26	5	9	2	4	5	30	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	858	58	49	43	37	39	44	33	34	30	25	14	26	27	38	31	26	34	45	25	34	35	39	19	29	34	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	4	1	5	4	5	0	0	0	2	3	0	2	1	0	5	6	3	1	0	6	1	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	651	38	24	24	27	19	32	19	20	15	12	23	15	20	22	24	22	19	28	19	18	22	16	4	14	9	8	4	1	14	5	3	3	2	3	0	0	2	0	3	2	0	0	0	2	0	0	6	3	1	0	2	0	0	0	0	1	0	2	0	0	0	0	6	0	0	1	2	0	0	3	0	0	0	2	2	1	1	0	0	2	1	1	8	3	1	0	1	0	0	1	2	0	0	1	1	8	0	3	1	2	0	0	0	6	1	1	4	1	0	1	0	0	0	0	0	1	2	1	5	2	0	0									
		3.92%	5.12%	3.41%	3.80%	4.46%	3.26%	4.06%	4.69%	5.93%	4.29%	5.11%	9.47%	4.20%	5.31%	3.39%	4.21%	4.60%	4.08%	4.32%	6.48%	3.29%	3.36%	2.67%	3.60%	3.84%	1.94%	5.52%	6.90%	0.50%	2.71%	1.85%	14.29%	4.41%	9.52%	8.57%	0.00%	0.00%	5.00%	0.00%	14.29%	12.50%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	54.55%	3.95%	4.17%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	8.70%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	4.55%	9.52%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	10.53%	7.14%	4.76%	4.35%	0.00%	0.00%	10.00%	2.70%	4.76%	10.96%	4.41%	3.85%	0.00%	5.56%	0.00%	0.00%	3.57%	6.25%	0.00%	0.00%	7.69%	0.89%	5.13%	0.00%	11.54%	5.88%	11.11%	0.00%	0.00%	0.00%	6.98%	1.14%	2.13%	6.90%	4.17%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	18.18%	5.88%	27.78%	4.35%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	503	20	23	19	18	20	22	8	12	9	6	3	4	13	17	19	11	15	20	14	9	18	21	1	9	14	5	3	8	24	2	0	3	0	0	0	1	0	2	0	0	1	1	1	1	0	1	0	4	1	0	3	0	0	0	2	0	0	2	0	3	2	0	9	0	1	2	1	0	0	7	0	0	3	0	1	2	0	1	0	0	0	0	5	3	1	0	0	0	0	1	5	1	1	0	1	2	1	2	0	0	1	2	1	5	3	1	13	1	0	0	0	0	0	1	0	3	0	2	2	3	0	0									
		3.03%	2.70%	3.27%	3.01%	2.98%	3.43%	2.79%	1.98%	3.56%	2.57%	2.55%	1.23%	1.12%	3.45%	2.62%	3.33%	2.30%	3.22%	3.09%	4.78%	1.65%	2.75%	3.50%	0.90%	2.47%	3.02%	3.45%	5.17%	4.00%	4.65%	0.74%	0.00%	4.41%	0.00%	0.00%	0.00%	4.00%	0.00%	4.88%	0.00%	0.00%	6.25%	4.76%	5.26%	4.55%	0.00%	8.33%	0.00%	5.26%	4.17%	0.00%	12.50%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	8.70%	0.00%	3.57%	11.76%	0.00%	10.71%	0.00%	4.76%	9.09%	4.76%	0.00%	0.00%	1.92%	0.00%	0.00%	3.30%	0.00%	3.57%	9.52%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	6.85%	4.41%	3.85%	0.00%	0.00%	0.00%	0.00%	3.57%	15.63%	2.86%	4.00%	0.00%	0.89%	1.28%	11.11%	7.69%	0.00%	0.00%	10.00%	11.76%	4.35%	5.81%	3.41%	2.13%	22.41%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	17.65%	0.00%	11.76%	11.11%	6.52%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	809	41	36	46	32	17	33	20	21	18	13	6	18	22	39	30	12	16	37	19	22	32	36	6	13	14	6	6	11	3	5	1	9	0	2	1	2	5	5	1	1	1	1	0	0	3	2	1	1	1	0	3	2	1	0	1	0	1	1	0	2	1	0	3	0	1	1	0	0	1	12	0	0	2	2	4	0	4	1	0	0	3	2	11	0	1	0	2	0	4	1	8	7	4	0	7	5	1	1	1	1	2	0	2	5	3	3	8	1	0	0	0	1	0	0	2	1	0	2	3	4	3	0									
		4.87%	5.53%	5.12%	7.29%	5.29%	2.92%	4.19%	4.94%	6.23%	5.14%	5.53%	2.47%	5.04%	5.84%	6.01%	5.26%	2.51%	3.43%	5.71%	6.48%	4.02%	4.89%	6.00%	5.41%	3.56%	3.02%	4.14%	10.34%	5.50%	0.58%	1.85%	4.76%	13.24%	0.00%	5.71%	4.00%	8.00%	12.50%	12.20%	4.76%	6.25%	6.25%	4.76%	0.00%	0.00%	15.79%	16.67%	9.09%	1.32%	4.17%	0.00%	12.50%	8.00%	3.85%	0.00%	2.50%	0.00%	5.56%	4.35%	0.00%	2.38%	5.88%	0.00%	3.57%	0.00%	4.76%	4.55%	0.00%	0.00%	5.00%	3.29%	0.00%	0.00%	2.20%	10.53%	14.29%	0.00%	17.39%	4.35%	0.00%	0.00%	8.11%	9.52%	15.07%	0.00%	3.85%	0.00%	11.11%	0.00%	20.00%	3.57%	25.00%	20.00%	16.00%	0.00%	6.25%	3.21%	11.11%	3.85%	5.88%	5.56%	20.00%	0.00%	8.70%	5.81%	3.41%	6.38%	13.79%	4.17%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	10.00%	5.88%	0.00%	11.76%	16.67%	8.70%	13.64%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5083	203	188	177	150	174	202	108	82	96	61	72	74	76	178	129	105	127	152	52	145	165	148	35	149	165	69	12	66	191	89	4	22	7	7	9	5	15	13	12	5	9	8	10	6	6	2	0	31	6	0	4	10	5	0	17	1	7	5	31	60	9	31	43	16	18	10	12	19	10	304	14	14	75	5	9	4	7	7	14	8	9	7	11	22	16	10	7	8	8	10	10	13	4	3	64	56	1	5	1	6	5	5	11	28	38	4	9	5	13	14	14	4	0	13	9	5	0	7	1	12	7	22									
		30.59%	27.36%	26.74%	28.05%	24.79%	29.85%	25.63%	26.67%	24.33%	27.43%	25.96%	29.63%	20.73%	20.16%	27.43%	22.63%	21.97%	27.25%	23.46%	17.75%	26.51%	25.23%	24.67%	31.53%	40.82%	35.64%	47.59%	20.69%	33.00%	37.02%	32.96%	19.05%	32.35%	33.33%	20.00%	36.00%	20.00%	37.50%	31.71%	57.14%	31.25%	56.25%	38.10%	52.63%	27.27%	31.58%	16.67%	0.00%	40.79%	25.00%	0.00%	16.67%	40.00%	19.23%	0.00%	42.50%	4.76%	38.89%	21.74%	100.00%	71.43%	52.94%	100.00%	51.19%	88.89%	85.71%	45.45%	57.14%	95.00%	50.00%	83.29%	77.78%	100.00%	82.42%	26.32%	32.14%	19.05%	30.43%	30.43%	60.87%	40.00%	24.32%	33.33%	15.07%	32.35%	61.54%	38.46%	38.89%	42.11%	40.00%	35.71%	31.25%	37.14%	16.00%	23.08%	57.14%	35.90%	11.11%	19.23%	5.88%	33.33%	50.00%	29.41%	47.83%	32.56%	43.18%	8.51%	15.52%	20.83%	48.15%	46.67%	50.00%	17.39%	0.00%	59.09%	45.00%	29.41%	0.00%	41.18%	5.56%	26.09%	31.82%	100.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	234	11	5	7	8	6	14	6	4	5	3	0	1	8	7	10	5	8	9	2	8	10	10	0	3	3	1	1	1	7	8	0	3	0	0	0	1	1	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	3	0	0	1	1	0	0	1	0	0	1	0	1	7	3	2	1	0	0	0	1	1	1	1	1	0	3	0	0	0	0	0	0	0	1	3	1	5	3	0	2	0	0	0	0	0	2	0	0	1	0	0	0									
		1.41%	1.48%	0.71%	1.11%	1.32%	1.03%	1.78%	1.48%	1.19%	1.43%	1.28%	0.00%	0.28%	2.12%	1.08%	1.75%	1.05%	1.72%	1.39%	0.68%	1.46%	1.53%	1.67%	0.00%	0.82%	0.65%	0.69%	1.72%	0.50%	1.36%	2.96%	0.00%	4.41%	0.00%	0.00%	0.00%	4.00%	2.50%	2.44%	0.00%	0.00%	0.00%	0.00%	5.26%	4.55%	15.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	1.19%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	1.10%	5.26%	0.00%	0.00%	4.35%	0.00%	0.00%	5.00%	0.00%	4.76%	9.59%	4.41%	7.69%	3.85%	0.00%	0.00%	0.00%	3.57%	3.13%	2.86%	4.00%	7.69%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	3.41%	2.13%	8.62%	12.50%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	11.76%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	47	0	4	0	1	1	0	1	1	0	1	0	0	1	1	1	3	0	2	3	0	1	3	0	0	2	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
		0.28%	0.00%	0.57%	0.00%	0.17%	0.17%	0.00%	0.25%	0.30%	0.00%	0.43%	0.00%	0.00%	0.27%	0.15%	0.18%	0.63%	0.00%	0.31%	1.02%	0.00%	0.15%	0.50%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.19%	0.37%	4.76%	1.47%	0.00%	0.00%	0.00%	0.00%	2.50%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	4.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	2.86%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	1.72%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2781	118	133	103	127	79	110	45	33	44	38	35	79	46	89	74	64	68	94	43	98	87	94	24	75	111	26	11	42	129	50	6	8	4	5	9	11	6	7	2	3	1	9	3	7	3	5	4	30	11	14	2	5	6	0	13	7	6	6	0	9	2	0	5	0	1	4	3	1	4	9	0	0	9	4	12	9	4	11	7	8	9	2	19	29	4	6	4	0	6	6	2	5	0	8	14	38	3	5	12	4	1	9	6	23	27	6	1	6	7	6	10	1	0	3	7	4	0	5	3	7	9	0									
		16.74%	15.90%	18.92%	16.32%	20.99%	13.55%	13.96%	11.11%	9.79%	12.57%	16.17%	14.40%	22.13%	12.20%	13.71%	12.98%	13.39%	14.59%	14.51%	14.68%	17.92%	13.30%	15.67%	21.62%	20.55%	23.97%	17.93%	18.97%	21.00%	25.00%	18.52%	28.57%	11.76%	19.05%	14.29%	36.00%	44.00%	15.00%	17.07%	9.52%	18.75%	6.25%	42.86%	15.79%	31.82%	15.79%	41.67%	36.36%	39.47%	45.83%	77.78%	8.33%	20.00%	23.08%	0.00%	32.50%	33.33%	33.33%	26.09%	0.00%	10.71%	11.76%	0.00%	5.95%	0.00%	4.76%	18.18%	14.29%	5.00%	20.00%	2.47%	0.00%	0.00%	9.89%	21.05%	42.86%	42.86%	17.39%	47.83%	30.43%	40.00%	24.32%	9.52%	26.03%	42.65%	15.38%	23.08%	22.22%	0.00%	30.00%	21.43%	6.25%	14.29%	0.00%	61.54%	12.50%	24.36%	33.33%	19.23%	70.59%	22.22%	10.00%	52.94%	26.09%	26.74%	30.68%	12.77%	1.72%	25.00%	25.93%	20.00%	35.71%	4.35%	0.00%	13.64%	35.00%	23.53%	0.00%	29.41%	16.67%	15.22%	40.91%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	300	18	5	15	15	14	18	10	3	13	8	8	7	11	14	21	12	13	7	6	10	14	7	2	4	2	3	1	2	12	9	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0									
