Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																		
Дата голосования: 18.09.2016																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Уфа, Октябрьская"																																																																																																		
																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																		
																																																																																																		
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №3484	УИК №3485									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2782	11	23	14	41	34	34	27	30	31	35	21	21	27	35	43	50	25	32	25	38	30	30	34	35	27	47	60	29	25	30	26	28	20	42	24	51	35	34	45	50	43	48	24	29	35	31	28	33	40	28	32	43	25	33	40	38	41	33	39	42	41	38	25	27	34	28	35	28	30	32	26	34	37	54	37	37	40	41	47	28	7	25	0	0	0	25	22									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1522	10	12	6	8	15	9	2	13	14	8	29	20	6	14	38	14	6	27	16	7	3	9	15	8	8	3	12	17	9	5	28	23	7	11	10	11	27	14	7	9	7	57	30	11	22	8	12	7	9	2	22	24	3	5	12	5	27	9	10	11	10	24	29	36	22	4	41	28	10	31	24	31	20	28	15	77	20	71	38	34	4	27	10	29	41	9	6									
14	Число погашенных неиспользованных открепительных удостоверений	303	4	2	6	4	1	1	3	0	9	10	4	9	3	0	2	5	0	3	0	7	0	0	1	0	13	3	0	6	10	0	4	2	0	3	6	4	0	11	0	0	2	2	2	1	5	9	2	7	5	2	1	7	0	7	0	2	4	2	9	8	9	2	0	8	6	2	5	2	0	3	4	1	3	6	13	3	5	0	3	2	0	0	0	0	0	5	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	284	0	2	1	5	2	4	4	2	0	3	3	4	3	3	2	3	5	4	4	8	0	2	5	3	2	8	9	0	4	1	4	2	2	6	2	7	2	3	1	4	8	10	4	4	3	3	0	1	7	2	1	5	2	4	1	4	5	2	6	3	3	2	1	2	4	0	2	4	0	4	2	2	7	6	3	3	2	7	12	3	0	6	0	0	0	0	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	513	10	6	10	18	23	11	3	5	18	1	10	23	6	3	3	12	7	4	3	2	1	3	3	0	4	3	0	3	1	2	8	0	2	1	3	12	17	5	5	5	5	2	2	2	2	4	0	24	4	0	0	3	32	0	16	1	2	2	4	2	5	0	2	26	3	0	0	11	11	19	0	1	9	0	4	4	15	4	3	2	0	8	2	1	5	1	14									
		0.46%	3.29%	0.43%	1.68%	1.86%	2.55%	1.79%	0.26%	0.44%	2.11%	0.09%	1.37%	3.18%	0.62%	0.31%	0.20%	0.69%	0.55%	0.28%	0.20%	0.12%	0.08%	0.16%	0.17%	0.00%	0.32%	0.20%	0.00%	0.22%	0.14%	0.27%	0.53%	0.00%	0.49%	0.13%	0.25%	1.40%	1.12%	0.50%	0.33%	0.34%	0.32%	0.13%	0.15%	0.17%	0.29%	0.28%	0.00%	1.60%	0.23%	0.00%	0.00%	0.17%	2.01%	0.00%	0.95%	0.06%	0.12%	0.12%	0.23%	0.12%	0.29%	0.00%	0.15%	2.07%	0.23%	0.00%	0.00%	0.74%	0.83%	1.18%	0.00%	0.07%	0.56%	0.00%	0.23%	0.27%	0.94%	0.24%	0.16%	0.18%	0.00%	0.52%	0.93%	0.24%	1.68%	0.10%	2.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1369	12	5	14	23	27	23	4	6	29	0	27	24	9	5	10	2	5	3	4	1	1	7	1	0	5	5	0	6	9	1	24	0	11	0	8	24	26	9	6	3	0	2	3	4	2	5	0	0	5	5	585	4	33	11	14	4	2	15	3	4	4	8	5	8	82	0	7	0	3	23	0	2	21	0	5	6	8	6	4	3	47	7	2	0	22	2	14									
		1.23%	3.95%	0.36%	2.35%	2.38%	2.99%	3.73%	0.34%	0.53%	3.40%	0.00%	3.70%	3.31%	0.93%	0.52%	0.65%	0.12%	0.39%	0.21%	0.27%	0.06%	0.08%	0.38%	0.06%	0.00%	0.40%	0.33%	0.00%	0.45%	1.29%	0.14%	1.59%	0.00%	2.68%	0.00%	0.68%	2.80%	1.71%	0.89%	0.39%	0.21%	0.00%	0.13%	0.23%	0.34%	0.29%	0.35%	0.00%	0.00%	0.29%	0.29%	34.99%	0.22%	2.08%	0.68%	0.84%	0.23%	0.12%	0.87%	0.17%	0.25%	0.23%	0.44%	0.37%	0.64%	6.21%	0.00%	0.46%	0.00%	0.23%	1.42%	0.00%	0.14%	1.31%	0.00%	0.29%	0.40%	0.50%	0.35%	0.21%	0.27%	12.05%	0.45%	0.93%	0.00%	7.41%	0.19%	2.66%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	721	5	4	17	22	18	23	5	8	27	5	24	28	10	8	4	3	13	2	6	3	0	5	2	0	12	9	0	2	4	1	21	0	13	0	6	26	31	11	1	8	8	10	2	1	0	4	0	0	8	14	0	7	33	8	9	5	1	2	4	10	5	20	2	21	16	6	9	0	3	19	12	5	10	0	0	2	11	23	3	6	0	7	4	0	15	2	7									
		0.65%	1.64%	0.29%	2.86%	2.28%	1.99%	3.73%	0.43%	0.70%	3.16%	0.43%	3.29%	3.87%	1.03%	0.83%	0.26%	0.17%	1.01%	0.14%	0.41%	0.18%	0.00%	0.27%	0.11%	0.00%	0.95%	0.59%	0.00%	0.15%	0.57%	0.14%	1.39%	0.00%	3.16%	0.00%	0.51%	3.03%	2.04%	1.09%	0.07%	0.55%	0.51%	0.63%	0.15%	0.08%	0.00%	0.28%	0.00%	0.00%	0.46%	0.81%	0.00%	0.39%	2.08%	0.50%	0.54%	0.29%	0.06%	0.12%	0.23%	0.62%	0.29%	1.11%	0.15%	1.67%	1.21%	0.45%	0.59%	0.00%	0.23%	1.18%	0.95%	0.36%	0.63%	0.00%	0.00%	0.13%	0.69%	1.36%	0.16%	0.55%	0.00%	0.45%	1.85%	0.00%	5.05%	0.19%	1.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	47557	163	636	292	518	428	186	546	533	462	601	309	317	451	203	920	1042	766	253	260	985	740	1119	357	1010	742	918	991	809	415	437	809	331	166	371	556	405	631	450	713	685	733	957	798	701	410	254	619	271	815	312	301	322	286	758	773	805	492	312	311	289	804	324	563	528	567	564	639	627	550	975	541	588	662	792	750	632	672	679	812	459	183	276	125	199	138	611	252									
		42.58%	53.62%	46.05%	49.08%	53.57%	47.50%	30.19%	46.91%	46.80%	54.10%	51.19%	42.39%	43.78%	46.54%	21.12%	60.01%	59.99%	59.70%	18.01%	17.64%	60.13%	60.26%	61.18%	20.09%	60.99%	58.66%	59.88%	60.02%	60.42%	59.63%	59.95%	53.65%	46.95%	40.39%	46.55%	46.92%	47.26%	41.54%	44.69%	46.91%	47.14%	46.63%	60.00%	60.18%	58.91%	59.77%	18.01%	47.04%	18.03%	46.89%	17.98%	18.00%	17.99%	17.99%	47.05%	46.12%	47.13%	29.87%	18.00%	17.87%	18.02%	47.02%	17.95%	42.01%	41.94%	42.92%	41.99%	42.04%	41.97%	41.70%	60.33%	42.67%	42.00%	41.43%	48.00%	43.10%	42.02%	42.11%	40.11%	41.99%	41.99%	46.92%	17.90%	57.87%	47.04%	46.46%	59.38%	47.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	451	0	8	5	14	17	6	1	1	6	0	14	14	2	3	1	6	10	2	4	1	1	5	1	0	0	2	3	4	2	1	6	0	6	1	2	19	14	5	3	1	0	4	1	3	3	3	0	26	3	0	10	2	31	2	7	4	2	2	4	2	3	4	1	2	7	10	8	6	3	15	0	2	7	0	0	1	14	21	4	10	4	6	2	0	5	3	13									
		0.40%	0.00%	0.58%	0.84%	1.45%	1.89%	0.97%	0.09%	0.09%	0.70%	0.00%	1.92%	1.93%	0.21%	0.31%	0.07%	0.35%	0.78%	0.14%	0.27%	0.06%	0.08%	0.27%	0.06%	0.00%	0.00%	0.13%	0.18%	0.30%	0.29%	0.14%	0.40%	0.00%	1.46%	0.13%	0.17%	2.22%	0.92%	0.50%	0.20%	0.07%	0.00%	0.25%	0.08%	0.25%	0.44%	0.21%	0.00%	1.73%	0.17%	0.00%	0.60%	0.11%	1.95%	0.12%	0.42%	0.23%	0.12%	0.12%	0.23%	0.12%	0.18%	0.22%	0.07%	0.16%	0.53%	0.74%	0.53%	0.40%	0.23%	0.93%	0.00%	0.14%	0.44%	0.00%	0.00%	0.07%	0.88%	1.24%	0.21%	0.91%	1.03%	0.39%	0.93%	0.00%	1.68%	0.29%	2.47%									
24	"6. Политическая партия ""Гражданская Платформа"""	176	1	5	5	2	6	7	3	1	2	0	1	2	1	4	2	0	3	2	1	3	0	4	0	0	0	3	0	1	0	0	1	0	1	0	2	5	4	3	2	2	0	2	3	2	0	1	0	0	3	0	0	2	31	0	1	5	1	1	3	1	4	2	3	0	0	0	0	0	4	8	0	4	3	0	0	3	2	2	0	0	0	1	2	0	0	2	1									
		0.16%	0.33%	0.36%	0.84%	0.21%	0.67%	1.14%	0.26%	0.09%	0.23%	0.00%	0.14%	0.28%	0.10%	0.42%	0.13%	0.00%	0.23%	0.14%	0.07%	0.18%	0.00%	0.22%	0.00%	0.00%	0.00%	0.20%	0.00%	0.07%	0.00%	0.00%	0.07%	0.00%	0.24%	0.00%	0.17%	0.58%	0.26%	0.30%	0.13%	0.14%	0.00%	0.13%	0.23%	0.17%	0.00%	0.07%	0.00%	0.00%	0.17%	0.00%	0.00%	0.11%	1.95%	0.00%	0.06%	0.29%	0.06%	0.06%	0.17%	0.06%	0.23%	0.11%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.50%	0.00%	0.29%	0.19%	0.00%	0.00%	0.20%	0.13%	0.12%	0.00%	0.00%	0.00%	0.06%	0.93%	0.00%	0.00%	0.19%	0.19%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	25690	37	249	60	98	121	86	219	212	75	221	87	74	182	215	245	274	210	351	361	261	195	281	435	262	195	245	261	212	98	106	527	136	72	150	223	126	254	184	286	274	296	252	210	185	106	353	303	375	399	434	418	447	396	371	369	393	408	433	430	401	393	451	469	440	457	471	532	523	455	374	443	490	516	413	609	526	503	566	677	383	90	384	28	88	37	160	73									
		23.00%	12.17%	18.03%	10.08%	10.13%	13.43%	13.96%	18.81%	18.61%	8.78%	18.82%	11.93%	10.22%	18.78%	22.37%	15.98%	15.77%	16.37%	24.98%	24.49%	15.93%	15.88%	15.36%	24.48%	15.82%	15.42%	15.98%	15.81%	15.83%	14.08%	14.54%	34.95%	19.29%	17.52%	18.82%	18.82%	14.70%	16.72%	18.27%	18.82%	18.86%	18.83%	15.80%	15.84%	15.55%	15.45%	25.04%	23.02%	24.95%	22.96%	25.01%	25.00%	24.99%	24.92%	23.03%	22.02%	23.01%	24.77%	24.99%	24.71%	25.00%	22.98%	24.99%	35.00%	34.95%	34.60%	35.07%	35.00%	35.01%	34.50%	23.14%	34.94%	35.00%	32.29%	25.03%	35.00%	34.97%	31.52%	33.43%	35.01%	35.04%	23.08%	24.90%	12.96%	20.80%	12.46%	15.55%	13.85%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	286	3	4	6	12	16	5	2	1	4	1	11	13	1	4	2	1	1	2	2	1	0	2	1	0	0	2	0	0	2	1	4	0	5	0	3	12	13	4	4	0	0	3	2	1	0	0	0	0	7	0	0	3	27	4	6	2	2	2	4	1	3	0	1	14	3	0	0	0	3	8	0	1	10	0	0	2	6	11	3	2	0	0	1	0	2	1	6									
		0.26%	0.99%	0.29%	1.01%	1.24%	1.78%	0.81%	0.17%	0.09%	0.47%	0.09%	1.51%	1.80%	0.10%	0.42%	0.13%	0.06%	0.08%	0.14%	0.14%	0.06%	0.00%	0.11%	0.06%	0.00%	0.00%	0.13%	0.00%	0.00%	0.29%	0.14%	0.27%	0.00%	1.22%	0.00%	0.25%	1.40%	0.86%	0.40%	0.26%	0.00%	0.00%	0.19%	0.15%	0.08%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.17%	1.70%	0.25%	0.36%	0.12%	0.12%	0.12%	0.23%	0.06%	0.18%	0.00%	0.07%	1.11%	0.23%	0.00%	0.00%	0.00%	0.23%	0.50%	0.00%	0.07%	0.63%	0.00%	0.00%	0.13%	0.38%	0.65%	0.16%	0.18%	0.00%	0.00%	0.46%	0.00%	0.67%	0.10%	1.14%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	416	2	6	9	15	16	11	4	5	11	0	16	35	2	5	3	2	9	3	3	1	0	7	0	0	0	0	22	0	1	0	10	0	11	0	6	17	6	5	0	2	16	3	2	3	0	2	0	0	4	0	0	4	29	2	7	1	1	1	2	0	4	0	2	0	8	0	0	0	3	14	0	3	14	0	0	2	11	10	0	3	0	2	1	1	2	2	12									
		0.37%	0.66%	0.43%	1.51%	1.55%	1.78%	1.79%	0.34%	0.44%	1.29%	0.00%	2.19%	4.83%	0.21%	0.52%	0.20%	0.12%	0.70%	0.21%	0.20%	0.06%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.14%	0.00%	0.66%	0.00%	2.68%	0.00%	0.51%	1.98%	0.39%	0.50%	0.00%	0.14%	1.02%	0.19%	0.15%	0.25%	0.00%	0.14%	0.00%	0.00%	0.23%	0.00%	0.00%	0.22%	1.83%	0.12%	0.42%	0.06%	0.06%	0.06%	0.11%	0.00%	0.23%	0.00%	0.15%	0.00%	0.61%	0.00%	0.00%	0.00%	0.23%	0.87%	0.00%	0.21%	0.88%	0.00%	0.00%	0.13%	0.69%	0.59%	0.00%	0.27%	0.00%	0.13%	0.46%	0.24%	0.67%	0.19%	2.28%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	200	0	2	1	0	2	1	1	0	1	0	0	2	2	8	3	2	0	2	0	1	0	5	1	2	0	0	0	0	0	0	0	0	1	0	2	0	25	2	12	4	8	2	3	1	0	0	0	0	4	0	0	3	31	6	1	4	1	1	4	1	4	0	3	25	0	0	0	0	3	0	0	0	1	0	0	3	1	2	0	2	0	1	0	0	0	1	2									
		0.18%	0.00%	0.14%	0.17%	0.00%	0.22%	0.16%	0.09%	0.00%	0.12%	0.00%	0.00%	0.28%	0.21%	0.83%	0.20%	0.12%	0.00%	0.14%	0.00%	0.06%	0.00%	0.27%	0.06%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.17%	0.00%	1.65%	0.20%	0.79%	0.28%	0.51%	0.13%	0.23%	0.08%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.17%	1.95%	0.37%	0.06%	0.23%	0.06%	0.06%	0.23%	0.06%	0.23%	0.00%	0.22%	1.99%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.20%	0.06%	0.12%	0.00%	0.18%	0.00%	0.06%	0.00%	0.00%	0.00%	0.10%	0.38%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1001	7	18	22	27	35	23	9	3	34	7	21	39	3	7	2	3	31	5	4	6	0	15	3	5	7	7	0	4	1	0	13	23	18	19	4	21	123	11	16	7	21	2	6	2	12	1	16	90	6	0	4	3	32	5	8	5	3	1	5	7	6	4	5	23	0	7	6	9	5	25	0	5	15	0	3	2	9	2	8	2	4	2	2	2	5	2	16									
		0.90%	2.30%	1.30%	3.70%	2.79%	3.88%	3.73%	0.77%	0.26%	3.98%	0.60%	2.88%	5.39%	0.31%	0.73%	0.13%	0.17%	2.42%	0.36%	0.27%	0.37%	0.00%	0.82%	0.17%	0.30%	0.55%	0.46%	0.00%	0.30%	0.14%	0.00%	0.86%	3.26%	4.38%	2.38%	0.34%	2.45%	8.10%	1.09%	1.05%	0.48%	1.34%	0.13%	0.45%	0.17%	1.75%	0.07%	1.22%	5.99%	0.35%	0.00%	0.24%	0.17%	2.01%	0.31%	0.48%	0.29%	0.18%	0.06%	0.29%	0.44%	0.35%	0.22%	0.37%	1.83%	0.00%	0.52%	0.39%	0.60%	0.38%	1.55%	0.00%	0.36%	0.94%	0.00%	0.17%	0.13%	0.56%	0.12%	0.41%	0.18%	1.03%	0.13%	0.93%	0.47%	1.68%	0.19%	3.04%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	18546	47	208	65	119	84	105	183	179	94	184	99	63	152	289	230	261	125	492	505	251	185	270	608	248	185	230	248	203	106	129	40	110	56	126	186	51	256	140	239	237	247	240	199	173	98	494	157	375	208	607	20	626	553	194	183	205	409	606	607	561	205	631	134	126	82	136	152	149	116	65	127	140	137	198	174	150	150	161	193	100	0	537	23	63	33	148	66									
		16.61%	15.46%	15.06%	10.92%	12.31%	9.32%	17.05%	15.72%	15.72%	11.01%	15.67%	13.58%	8.70%	15.69%	30.07%	15.00%	15.03%	9.74%	35.02%	34.26%	15.32%	15.07%	14.76%	34.21%	14.98%	14.62%	15.00%	15.02%	15.16%	15.23%	17.70%	2.65%	15.60%	13.63%	15.81%	15.70%	5.95%	16.85%	13.90%	15.72%	16.31%	15.71%	15.05%	15.01%	14.54%	14.29%	35.04%	11.93%	24.95%	11.97%	34.99%	1.20%	34.99%	34.80%	12.04%	10.92%	12.00%	24.83%	34.97%	34.89%	34.98%	11.99%	34.96%	10.00%	10.01%	6.21%	10.13%	10.00%	9.97%	8.79%	4.02%	10.02%	10.00%	8.57%	12.00%	10.00%	9.97%	9.40%	9.51%	9.98%	9.15%	0.00%	34.82%	10.65%	14.89%	11.11%	14.38%	12.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	492	1	11	3	3	4	5	9	11	11	0	3	5	3	13	1	7	0	3	2	4	1	2	1	13	0	9	10	0	2	1	5	0	5	3	6	5	8	4	5	6	0	4	2	6	5	1	20	42	2	16	0	5	31	4	2	4	1	9	2	2	8	0	2	11	0	0	0	5	3	3	0	5	3	66	4	6	6	2	3	4	2	4	0	0	1	3	8									
