Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																																		
																																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																		
																																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №174	УИК №175					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2795	50	50	50	30	50	50	10	50	50	50	50	50	50	20	20	30	30	50	50	50	20	20	50	10	20	50	20	10	10	50	20	50	20	50	30	50	20	50	50	15	50	50	20	30	30	50	50	50	50	50	50	50	50	50	20	30	30	30	30	50	50	30	50	50	50	30	50	50	30	30	20	0	0	0	0	0	0	0	0	0	10	5	10	10	10	10	7	8	10	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	604	8	3	5	7	3	14	4	7	8	10	9	6	8	11	0	11	5	5	15	9	1	6	9	2	4	13	14	5	1	6	12	7	3	6	7	12	4	6	10	8	6	11	17	14	6	5	12	8	9	9	9	9	14	9	3	6	9	6	7	15	13	10	7	8	14	13	15	18	8	11	8	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	4	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	471	5	1	4	5	2	3	2	2	10	8	5	3	3	6	3	4	8	3	4	7	3	10	6	2	4	3	2	3	2	6	5	9	4	8	1	10	6	5	2	0	7	6	11	6	5	6	7	5	13	5	9	12	14	8	5	6	3	9	6	6	6	4	6	11	6	11	4	4	10	6	4	1	1	0	50	1	0	0	0	0	0	5	1	3	7	1	1	0	0	0	0					
14	Число погашенных открепительных удостоверений	2191	42	47	45	23	47	36	6	43	42	40	41	44	42	9	20	19	25	45	35	41	19	14	41	8	16	37	6	5	9	44	8	43	17	44	23	38	16	44	40	7	44	39	3	16	24	45	38	42	41	41	41	41	36	41	17	24	21	24	23	35	37	20	43	42	36	17	35	32	22	19	12	0	0	0	0	0	0	0	0	0	10	5	9	8	6	10	3	8	10	0	0					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																		
18	"1. ""ЕДИНЕНИЕ"""	1225	12	20	27	11	11	22	5	11	14	13	24	21	20	8	4	9	8	20	12	5	8	5	39	3	11	11	3	5	6	21	18	27	32	8	14	28	3	12	23	14	14	16	22	10	25	23	13	9	16	36	36	22	16	13	12	16	20	20	22	18	39	24	22	21	10	10	11	32	10	13	7	1	2	4	5	7	0	1	1	12	14	7	2	3	7	1	5	5	1	1	0					
		1.63%	1.14%	1.85%	2.49%	1.14%	1.05%	1.83%	1.12%	0.95%	1.02%	1.03%	1.66%	1.70%	2.38%	0.93%	0.82%	1.17%	0.87%	1.57%	1.22%	0.60%	1.86%	1.01%	2.30%	0.53%	2.72%	1.00%	1.63%	1.74%	2.28%	2.00%	1.34%	1.96%	2.70%	0.64%	1.48%	2.03%	0.78%	1.02%	1.88%	1.15%	1.09%	1.29%	1.6%	1.00%	2.92%	1.88%	1.30%	0.96%	1.31%	2.69%	3.02%	1.80%	1.42%	1.28%	2.59%	1.45%	2.32%	2.08%	2.53%	1.30%	2.19%	2.27%	1.76%	1.69%	1.04%	0.92%	0.81%	2.45%	1.34%	1.83%	1.34%	0.48%	2.89%	2.28%	5.15%	13.72%	0.0%	0.99%	1.14%	8.57%	5.80%	1.57%	0.82%	1.0%	1.76%	0.65%	2.82%	6.75%	0.72%	7.14%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3265	24	33	33	12	46	35	14	36	53	54	56	39	19	28	16	37	49	54	68	38	17	23	96	20	14	25	7	4	5	43	52	72	73	84	64	70	33	59	61	61	69	77	71	67	41	45	57	50	63	52	47	66	56	37	16	39	31	40	44	75	93	38	49	41	44	48	69	44	39	24	18	11	0	4	5	0	4	3	7	8	4	8	6	9	10	3	4	1	1	0	0					
		4.36%	2.28%	3.05%	3.04%	1.25%	4.41%	2.91%	3.13%	3.12%	3.87%	4.30%	3.88%	3.16%	2.27%	3.26%	3.28%	4.84%	5.38%	4.25%	6.91%	4.61%	3.97%	4.68%	5.67%	3.57%	3.47%	2.29%	3.82%	1.39%	1.90%	4.10%	3.88%	5.24%	6.18%	6.79%	6.80%	5.09%	8.59%	5.03%	5.00%	5.02%	5.38%	6.21%	5.16%	6.76%	4.78%	3.67%	5.73%	5.34%	5.18%	3.88%	3.94%	5.40%	4.98%	3.67%	3.46%	3.55%	3.60%	4.17%	5.06%	5.45%	5.23%	3.60%	3.92%	3.31%	4.61%	4.45%	5.09%	3.37%	5.25%	3.38%	3.46%	5.31%	0.0%	2.28%	5.15%	0.0%	5.40%	2.97%	8.04%	5.71%	1.65%	1.80%	2.46%	3.0%	2.52%	1.96%	2.25%	1.35%	0.72%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2046	20	23	25	39	28	38	22	28	29	23	19	28	18	21	13	20	20	29	36	26	19	10	26	18	10	18	4	10	10	23	48	49	34	30	19	40	7	24	29	39	32	43	35	18	27	39	21	34	36	51	37	30	31	29	18	39	36	25	33	36	48	32	31	46	24	25	32	36	25	26	17	10	3	10	11	1	2	1	0	10	1	9	5	2	4	3	4	1	4	0	1					
		2.73%	1.90%	2.12%	2.30%	4.07%	2.68%	3.16%	4.93%	2.43%	2.12%	1.83%	1.31%	2.26%	2.15%	2.45%	2.66%	2.62%	2.19%	2.28%	3.66%	3.15%	4.43%	2.03%	1.53%	3.21%	2.48%	1.65%	2.18%	3.48%	3.80%	2.19%	3.59%	3.56%	2.87%	2.42%	2.02%	2.91%	1.82%	2.04%	2.37%	3.21%	2.49%	3.47%	2.54%	1.81%	3.15%	3.18%	2.11%	3.63%	2.96%	3.81%	3.10%	2.45%	2.76%	2.87%	3.89%	3.55%	4.18%	2.61%	3.80%	2.61%	2.70%	3.03%	2.48%	3.71%	2.51%	2.32%	2.36%	2.76%	3.36%	3.67%	3.26%	4.83%	4.34%	5.71%	11.34%	1.96%	2.70%	0.99%	0.0%	7.14%	0.41%	2.02%	2.05%	0.66%	1.01%	1.96%	2.25%	1.35%	2.89%	0.0%	12.5%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	6631	45	49	157	83	96	112	40	127	114	100	107	79	43	53	46	48	94	108	112	76	31	39	132	51	38	65	10	24	15	102	122	128	116	179	88	124	35	107	138	129	157	125	135	109	91	100	110	76	115	113	117	131	115	90	41	89	75	73	87	113	118	86	118	96	88	166	125	119	54	46	42	8	6	15	5	6	9	4	4	5	4	19	13	17	10	10	6	3	4	0	1					
		8.85%	4.28%	4.53%	14.49%	8.66%	9.22%	9.33%	8.96%	11.03%	8.33%	7.98%	7.43%	6.40%	5.13%	6.18%	9.44%	6.29%	10.32%	8.51%	11.39%	9.22%	7.24%	7.94%	7.80%	9.10%	9.42%	5.96%	5.46%	8.36%	5.70%	9.74%	9.12%	9.32%	9.82%	14.47%	9.36%	9.02%	9.11%	9.12%	11.32%	10.63%	12.24%	10.08%	9.81%	10.99%	10.63%	8.17%	11.06%	8.12%	9.45%	8.44%	9.82%	10.72%	10.24%	8.92%	8.87%	8.12%	8.72%	7.62%	10.02%	8.21%	6.64%	8.16%	9.46%	7.75%	9.23%	15.41%	9.22%	9.12%	7.27%	6.49%	8.07%	3.86%	8.69%	8.57%	5.15%	11.76%	12.16%	3.96%	4.59%	3.57%	1.65%	4.27%	5.34%	5.66%	2.52%	6.53%	3.38%	4.05%	2.89%	0.0%	12.5%					
22	"5. ""За Русь Святую"""	358	6	8	11	3	4	2	3	7	3	7	6	8	2	3	1	6	2	5	5	6	0	2	12	3	6	4	0	1	2	4	3	10	10	6	4	5	1	9	2	4	4	2	4	3	5	8	5	5	6	8	3	5	4	4	2	5	2	6	3	10	12	4	9	9	3	1	7	4	4	2	3	1	2	0	1	0	1	0	1	6	0	0	1	2	2	0	3	0	0	0	0					
		0.47%	0.57%	0.74%	1.01%	0.31%	0.38%	0.16%	0.67%	0.60%	0.21%	0.55%	0.41%	0.64%	0.23%	0.35%	0.20%	0.78%	0.21%	0.39%	0.50%	0.72%	0.0%	0.40%	0.70%	0.53%	1.48%	0.36%	0.0%	0.34%	0.76%	0.38%	0.22%	0.72%	0.84%	0.48%	0.42%	0.36%	0.26%	0.76%	0.16%	0.32%	0.31%	0.16%	0.29%	0.30%	0.58%	0.65%	0.50%	0.53%	0.49%	0.59%	0.25%	0.40%	0.35%	0.39%	0.43%	0.45%	0.23%	0.62%	0.34%	0.72%	0.67%	0.37%	0.72%	0.72%	0.31%	0.09%	0.51%	0.30%	0.53%	0.28%	0.57%	0.48%	2.89%	0.0%	1.03%	0.0%	1.35%	0.0%	1.14%	4.28%	0.0%	0.0%	0.41%	0.66%	0.50%	0.0%	1.69%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	378	6	5	7	5	5	7	3	5	3	5	6	4	4	4	3	7	3	8	6	6	2	1	6	0	1	1	1	1	0	4	7	5	6	2	0	8	1	6	2	7	7	9	9	3	4	4	7	8	4	7	6	3	7	4	3	1	2	1	5	8	25	10	4	7	4	5	5	15	6	8	3	0	0	3	1	1	0	2	0	1	0	4	3	4	0	2	0	0	0	0	0					
		0.50%	0.57%	0.46%	0.64%	0.52%	0.48%	0.58%	0.67%	0.43%	0.21%	0.39%	0.41%	0.32%	0.47%	0.46%	0.61%	0.91%	0.32%	0.63%	0.61%	0.72%	0.46%	0.20%	0.35%	0.0%	0.24%	0.09%	0.54%	0.34%	0.0%	0.38%	0.52%	0.36%	0.50%	0.16%	0.0%	0.58%	0.26%	0.51%	0.16%	0.57%	0.54%	0.72%	0.65%	0.30%	0.46%	0.32%	0.70%	0.85%	0.32%	0.52%	0.50%	0.24%	0.62%	0.39%	0.64%	0.09%	0.23%	0.10%	0.57%	0.58%	1.40%	0.94%	0.32%	0.56%	0.41%	0.46%	0.36%	1.15%	0.80%	1.12%	0.57%	0.0%	0.0%	1.71%	1.03%	1.96%	0.0%	1.98%	0.0%	0.71%	0.0%	0.90%	1.23%	1.33%	0.0%	1.30%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	567	7	7	9	6	6	6	2	10	11	11	4	18	10	10	1	6	11	11	12	2	1	3	20	8	2	13	4	1	1	13	14	7	8	5	4	11	2	3	10	8	5	9	3	9	7	12	4	5	11	8	5	10	6	8	6	11	11	4	8	7	34	3	13	7	4	9	6	6	3	5	1	1	0	0	2	0	0	0	0	0	3	9	1	1	6	2	1	3	0	0	0					
		0.75%	0.66%	0.64%	0.83%	0.62%	0.57%	0.5%	0.44%	0.86%	0.80%	0.87%	0.27%	1.45%	1.19%	1.16%	0.20%	0.78%	1.20%	0.86%	1.22%	0.24%	0.23%	0.61%	1.18%	1.42%	0.49%	1.19%	2.18%	0.34%	0.38%	1.24%	1.04%	0.50%	0.67%	0.40%	0.42%	0.80%	0.52%	0.25%	0.82%	0.65%	0.39%	0.72%	0.21%	0.90%	0.81%	0.98%	0.40%	0.53%	0.90%	0.59%	0.41%	0.81%	0.53%	0.79%	1.29%	1.00%	1.27%	0.41%	0.92%	0.50%	1.91%	0.28%	1.04%	0.56%	0.41%	0.83%	0.44%	0.46%	0.40%	0.70%	0.19%	0.48%	0.0%	0.0%	2.06%	0.0%	0.0%	0.0%	0.0%	0.0%	1.24%	2.02%	0.41%	0.33%	1.51%	1.30%	0.56%	4.05%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	52	0	0	1	5	0	2	0	0	3	2	1	2	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	1	0	0	2	2	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	0	1	0	1	2	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.09%	0.52%	0.0%	0.16%	0.0%	0.0%	0.21%	0.15%	0.06%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.07%	0.0%	0.0%	0.16%	0.21%	0.07%	0.0%	0.0%	0.08%	0.0%	0.07%	0.08%	0.07%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.43%	0.18%	0.0%	0.0%	0.0%	0.07%	0.0%	0.09%	0.16%	0.0%	0.20%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	2.29%	2.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	513	5	5	8	4	6	10	4	2	9	3	18	8	4	4	2	8	2	9	3	3	0	4	11	6	3	8	0	2	0	7	10	6	6	10	3	18	2	9	13	6	16	15	7	12	5	5	13	7	10	9	4	9	5	8	3	10	7	3	3	7	9	9	15	6	7	10	9	5	4	6	5	1	0	2	0	0	0	0	2	1	1	6	3	6	4	1	1	0	1	0	0					
		0.68%	0.47%	0.46%	0.73%	0.41%	0.57%	0.83%	0.89%	0.17%	0.65%	0.23%	1.25%	0.64%	0.47%	0.46%	0.41%	1.04%	0.21%	0.70%	0.30%	0.36%	0.0%	0.81%	0.65%	1.07%	0.74%	0.73%	0.0%	0.69%	0.0%	0.66%	0.74%	0.43%	0.50%	0.80%	0.31%	1.31%	0.52%	0.76%	1.06%	0.49%	1.24%	1.21%	0.50%	1.21%	0.58%	0.40%	1.30%	0.74%	0.82%	0.67%	0.33%	0.73%	0.44%	0.79%	0.64%	0.91%	0.81%	0.31%	0.34%	0.50%	0.50%	0.85%	1.20%	0.48%	0.73%	0.92%	0.66%	0.38%	0.53%	0.84%	0.96%	0.48%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	2.29%	0.71%	0.41%	1.35%	1.23%	2.0%	1.01%	0.65%	0.56%	0.0%	0.72%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1746	13	22	17	24	18	23	8	23	23	24	33	27	11	32	5	15	12	40	26	22	13	19	38	6	8	16	0	14	4	30	38	25	14	25	26	34	4	38	38	44	39	27	39	43	21	40	24	23	20	32	25	31	30	27	6	21	25	28	14	52	23	34	35	39	32	18	25	28	12	9	9	1	0	6	3	1	0	2	0	5	2	8	2	10	7	4	5	2	3	1	1					
		2.33%	1.23%	2.03%	1.56%	2.50%	1.72%	1.91%	1.79%	1.99%	1.68%	1.91%	2.29%	2.18%	1.31%	3.73%	1.02%	1.96%	1.31%	3.15%	2.64%	2.66%	3.03%	3.86%	2.24%	1.07%	1.98%	1.46%	0.0%	4.87%	1.52%	2.86%	2.84%	1.82%	1.18%	2.02%	2.76%	2.47%	1.04%	3.24%	3.11%	3.62%	3.04%	2.17%	2.83%	4.33%	2.45%	3.27%	2.41%	2.45%	1.64%	2.39%	2.09%	2.53%	2.67%	2.67%	1.29%	1.91%	2.90%	2.92%	1.61%	3.78%	1.29%	3.22%	2.80%	3.15%	3.35%	1.67%	1.84%	2.14%	1.61%	1.27%	1.73%	0.48%	0.0%	3.42%	3.09%	1.96%	0.0%	1.98%	0.0%	3.57%	0.82%	1.80%	0.82%	3.33%	1.76%	2.61%	2.82%	2.70%	2.17%	7.14%	12.5%					
28	"11. ""Истинные патриоты России"""	108	1	6	1	1	3	3	0	1	0	3	4	5	2	2	0	0	4	0	0	0	1	0	6	2	0	1	0	0	3	1	2	1	1	4	0	1	0	0	0	1	0	2	1	1	0	1	1	1	2	3	2	0	3	1	2	1	1	0	0	2	4	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	7	1	0	1	0	1	1	0	0	0					
		0.14%	0.09%	0.55%	0.09%	0.10%	0.28%	0.25%	0.0%	0.08%	0.0%	0.23%	0.27%	0.40%	0.23%	0.23%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.23%	0.0%	0.35%	0.35%	0.0%	0.09%	0.0%	0.0%	1.14%	0.09%	0.14%	0.07%	0.08%	0.32%	0.0%	0.07%	0.0%	0.0%	0.0%	0.08%	0.0%	0.16%	0.07%	0.10%	0.0%	0.08%	0.10%	0.10%	0.16%	0.22%	0.16%	0.0%	0.26%	0.09%	0.43%	0.09%	0.11%	0.0%	0.0%	0.14%	0.22%	0.18%	0.08%	0.0%	0.10%	0.09%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.24%	1.57%	0.41%	0.0%	0.25%	0.0%	0.56%	1.35%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	375	8	7	3	4	10	5	1	7	8	4	7	6	9	5	4	9	2	6	4	3	1	2	8	3	0	4	2	2	2	4	9	5	5	1	7	12	3	4	4	3	5	6	6	3	5	8	3	4	5	8	4	9	4	1	0	3	5	2	6	4	16	9	5	4	4	4	6	9	3	2	5	2	1	2	1	0	1	0	0	2	2	3	0	0	3	0	0	2	5	0	0					
		0.50%	0.76%	0.64%	0.27%	0.41%	0.96%	0.41%	0.22%	0.60%	0.58%	0.31%	0.48%	0.48%	1.07%	0.58%	0.82%	1.17%	0.21%	0.47%	0.40%	0.36%	0.23%	0.40%	0.47%	0.53%	0.0%	0.36%	1.09%	0.69%	0.76%	0.38%	0.67%	0.36%	0.42%	0.08%	0.74%	0.87%	0.78%	0.34%	0.32%	0.24%	0.39%	0.48%	0.43%	0.30%	0.58%	0.65%	0.30%	0.42%	0.41%	0.59%	0.33%	0.73%	0.35%	0.09%	0.0%	0.27%	0.58%	0.20%	0.69%	0.29%	0.90%	0.85%	0.40%	0.32%	0.41%	0.37%	0.44%	0.69%	0.40%	0.28%	0.96%	0.96%	1.44%	1.14%	1.03%	0.0%	1.35%	0.0%	0.0%	1.42%	0.82%	0.67%	0.0%	0.0%	0.75%	0.0%	0.0%	2.70%	3.62%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	155	3	4	3	0	3	3	3	1	0	1	1	6	4	8	1	1	0	3	2	0	1	1	7	0	2	5	1	0	4	1	2	3	2	1	2	4	1	2	0	2	3	4	2	1	3	1	2	0	2	3	2	0	1	2	1	5	0	5	6	1	2	1	0	1	2	2	1	4	2	3	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0					
