Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
Наименование Избирательной комиссии:    Солнечногорская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
18	1.Политическая партия «Аграрная партия России»	2198	45	51	51	45	42	34	33	7	36	47	24	30	33	36	26	33	32	43	38	40	54	51	28	58	68	40	41	29	43	38	15	28	37	59	10	6	15	15	39	49	36	36	36	36	11	33	23	20	20	11	11	30	25	33	14	20	17	17	20	14	38	16	58	52	8	16	18	27	12	14	27					
		2.95%	2.55%	3.83%	2.88%	2.96%	4.22%	3.94%	2.53%	1.46%	2.77%	3.95%	2.28%	3.46%	3.02%	3.68%	2.47%	3.12%	1.88%	3.39%	2.78%	2.44%	3.61%	3.48%	2.34%	4.28%	3.13%	2.13%	2.56%	2.59%	2.37%	2.39%	2.98%	3.14%	3.29%	3.21%	2.54%	2.96%	2.64%	1.27%	3.02%	2.20%	1.53%	1.99%	2.46%	2.30%	1.31%	4.49%	3.15%	4.58%	4.25%	2.61%	2.89%	3.86%	2.99%	5.50%	1.68%	3.36%	3.11%	2.62%	2.39%	3.18%	3.97%	4.15%	5.19%	5.24%	2.10%	3.36%	6.77%	4.52%	3.51%	5.62%	2.81%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1100	35	45	48	39	4	21	49	8	43	31	13	9	15	16	31	19	14	17	27	18	24	24	8	24	30	20	24	7	18	19	5	9	11	26	8	0	12	10	15	37	38	28	23	16	12	3	7	1	2	6	9	12	8	7	9	7	1	8	5	4	17	1	15	6	2	2	3	3	2	3	7					
		1.48%	1.99%	3.38%	2.71%	2.57%	0.40%	2.44%	3.76%	1.67%	3.31%	2.61%	1.23%	1.04%	1.37%	1.63%	2.94%	1.79%	0.82%	1.34%	1.98%	1.10%	1.61%	1.64%	0.67%	1.77%	1.38%	1.07%	1.50%	0.63%	0.99%	1.19%	0.99%	1.01%	0.98%	1.42%	2.03%	0.00%	2.11%	0.85%	1.16%	1.66%	1.61%	1.55%	1.57%	1.02%	1.43%	0.41%	0.96%	0.23%	0.42%	1.43%	2.37%	1.54%	0.96%	1.17%	1.08%	1.17%	0.18%	1.23%	0.60%	0.91%	1.77%	0.26%	1.34%	0.60%	0.52%	0.42%	1.13%	0.50%	0.58%	1.20%	0.73%					
20	3.Политическая партия «Демократическая партия России»	78	2	4	0	4	1	3	3	1	0	0	0	1	0	2	0	3	1	1	1	0	1	1	1	2	1	0	0	1	3	1	0	1	5	3	1	1	1	1	3	0	1	1	6	1	2	0	0	0	0	1	0	2	0	0	0	1	0	1	2	0	1	0	3	0	0	0	0	0	1	0	1					
		0.10%	0.11%	0.30%	0.00%	0.26%	0.10%	0.35%	0.23%	0.21%	0.00%	0.00%	0.00%	0.12%	0.00%	0.20%	0.00%	0.28%	0.06%	0.08%	0.07%	0.00%	0.07%	0.07%	0.08%	0.15%	0.05%	0.00%	0.00%	0.09%	0.17%	0.06%	0.00%	0.11%	0.44%	0.16%	0.25%	0.49%	0.18%	0.08%	0.23%	0.00%	0.04%	0.06%	0.41%	0.06%	0.24%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.26%	0.00%	0.00%	0.00%	0.17%	0.00%	0.15%	0.24%	0.00%	0.10%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.10%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	9973	196	235	198	196	211	109	266	39	258	241	155	161	123	152	157	176	208	178	164	201	187	251	201	177	311	268	192	167	243	203	59	111	158	220	36	16	57	126	162	360	251	271	178	203	59	123	109	45	90	51	55	84	113	60	56	68	39	61	65	54	110	47	137	114	44	79	31	67	38	23	119					
		13.38%	11.12%	17.67%	11.19%	12.91%	21.18%	12.65%	20.40%	8.14%	19.83%	20.27%	14.71%	18.57%	11.24%	15.53%	14.90%	16.62%	12.24%	14.05%	11.99%	12.29%	12.51%	17.13%	16.82%	13.05%	14.30%	14.30%	12.01%	14.94%	13.40%	12.77%	11.71%	12.43%	14.04%	11.98%	9.14%	7.88%	10.04%	10.71%	12.55%	16.17%	10.67%	15.02%	12.18%	12.99%	7.01%	16.73%	14.91%	10.30%	19.11%	12.11%	14.47%	10.81%	13.53%	10.00%	6.71%	11.41%	7.14%	9.38%	7.77%	12.27%	11.48%	12.18%	12.25%	11.48%	11.55%	16.60%	11.65%	11.22%	11.11%	9.24%	12.40%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	950	13	23	10	23	17	19	55	4	48	57	10	15	11	27	22	13	11	18	12	19	17	26	6	25	17	11	17	15	21	15	2	5	21	16	11	4	9	9	6	18	15	16	14	21	7	1	8	1	6	6	6	7	8	8	17	9	1	6	2	2	5	6	27	10	0	7	8	18	5	1	4					
		1.27%	0.74%	1.73%	0.57%	1.52%	1.71%	2.20%	4.22%	0.84%	3.69%	4.79%	0.95%	1.73%	1.01%	2.76%	2.09%	1.23%	0.65%	1.42%	0.88%	1.16%	1.14%	1.77%	0.50%	1.84%	0.78%	0.59%	1.06%	1.34%	1.16%	0.94%	0.40%	0.56%	1.87%	0.87%	2.79%	1.97%	1.58%	0.76%	0.46%	0.81%	0.64%	0.89%	0.96%	1.34%	0.83%	0.14%	1.09%	0.23%	1.27%	1.43%	1.58%	0.90%	0.96%	1.33%	2.04%	1.51%	0.18%	0.92%	0.24%	0.45%	0.52%	1.55%	2.42%	1.01%	0.00%	1.47%	3.01%	3.02%	1.46%	0.40%	0.42%					
23	6.Политическая партия «Партия социальной справедливости»	211	8	6	4	7	3	5	4	1	3	3	2	3	1	2	4	5	2	6	2	6	3	2	5	3	7	2	10	2	5	2	0	4	3	3	1	0	3	2	4	6	5	8	7	5	1	1	3	2	2	2	3	1	4	2	0	1	2	0	0	0	4	1	4	3	1	1	1	0	0	1	2					
		0.28%	0.45%	0.45%	0.23%	0.46%	0.30%	0.58%	0.31%	0.21%	0.23%	0.25%	0.19%	0.35%	0.09%	0.20%	0.38%	0.47%	0.12%	0.47%	0.15%	0.37%	0.20%	0.14%	0.42%	0.22%	0.32%	0.11%	0.63%	0.18%	0.28%	0.13%	0.00%	0.45%	0.27%	0.16%	0.25%	0.00%	0.53%	0.17%	0.31%	0.27%	0.21%	0.44%	0.48%	0.32%	0.12%	0.14%	0.41%	0.46%	0.42%	0.48%	0.79%	0.13%	0.48%	0.33%	0.00%	0.17%	0.37%	0.00%	0.00%	0.00%	0.42%	0.26%	0.36%	0.30%	0.26%	0.21%	0.38%	0.00%	0.00%	0.40%	0.21%					
24	7.Политическая партия «Либерально-демократическая партия России»	6237	134	116	119	102	46	65	90	41	97	101	89	71	118	80	79	80	143	130	91	104	109	100	72	111	172	140	116	70	129	99	43	75	73	109	38	15	47	186	81	184	252	146	220	91	85	70	63	44	38	31	19	74	72	65	151	34	54	72	68	59	101	37	93	82	44	76	9	54	38	28	102					
		8.37%	7.60%	8.72%	6.73%	6.72%	4.62%	7.54%	6.90%	8.56%	7.46%	8.49%	8.44%	8.19%	10.79%	8.17%	7.50%	7.55%	8.42%	10.26%	6.66%	6.36%	7.29%	6.83%	6.03%	8.19%	7.91%	7.47%	7.25%	6.26%	7.11%	6.23%	8.53%	8.40%	6.49%	5.94%	9.64%	7.39%	8.27%	15.80%	6.27%	8.26%	10.71%	8.09%	15.06%	5.83%	10.10%	9.52%	8.62%	10.07%	8.07%	7.36%	5.00%	9.52%	8.62%	10.83%	18.08%	5.70%	9.89%	11.08%	8.12%	13.41%	10.54%	9.59%	8.32%	8.26%	11.55%	15.97%	3.38%	9.05%	11.11%	11.24%	10.63%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6009	117	120	145	131	55	81	146	36	123	104	73	72	100	116	94	91	144	124	106	130	126	140	86	154	154	131	174	93	136	137	56	65	94	159	20	13	35	70	80	125	119	116	121	104	56	114	102	58	34	16	26	74	67	50	25	39	54	55	49	30	85	33	85	93	11	38	19	61	29	12	78					
		8.06%	6.64%	9.02%	8.20%	8.63%	5.52%	9.40%	11.20%	7.52%	9.45%	8.75%	6.93%	8.30%	9.14%	11.85%	8.92%	8.59%	8.48%	9.79%	7.75%	7.95%	8.43%	9.56%	7.20%	11.36%	7.08%	6.99%	10.88%	8.32%	7.50%	8.62%	11.11%	7.28%	8.36%	8.66%	5.08%	6.40%	6.16%	5.95%	6.20%	5.61%	5.06%	6.43%	8.28%	6.66%	6.65%	15.51%	13.95%	13.27%	7.22%	3.80%	6.84%	9.52%	8.02%	8.33%	2.99%	6.54%	9.89%	8.46%	5.85%	6.82%	8.87%	8.55%	7.60%	9.37%	2.89%	7.98%	7.14%	10.22%	8.48%	4.82%	8.13%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	816	17	17	23	10	8	22	14	6	24	12	10	8	10	12	14	20	16	14	11	14	9	12	9	24	24	19	6	5	16	19	4	13	6	13	1	2	7	10	24	34	24	35	17	27	8	5	0	4	4	4	9	8	9	7	6	4	8	13	5	3	9	3	16	5	6	5	4	5	4	4	16					
		1.09%	0.96%	1.28%	1.30%	0.66%	0.80%	2.55%	1.07%	1.25%	1.84%	1.01%	0.95%	0.92%	0.91%	1.23%	1.33%	1.89%	0.94%	1.10%	0.80%	0.86%	0.60%	0.82%	0.75%	1.77%	1.10%	1.01%	0.38%	0.45%	0.88%	1.19%	0.79%	1.46%	0.53%	0.71%	0.25%	0.99%	1.23%	0.85%	1.86%	1.53%	1.02%	1.94%	1.16%	1.73%	0.95%	0.68%	0.00%	0.92%	0.85%	0.95%	2.37%	1.03%	1.08%	1.17%	0.72%	0.67%	1.47%	2.00%	0.60%	0.68%	0.94%	0.78%	1.43%	0.50%	1.57%	1.05%	1.50%	0.84%	1.17%	1.61%	1.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	44283	1148	666	1111	906	593	462	565	318	575	525	651	459	646	466	573	578	1066	679	869	1024	929	712	751	709	1321	1191	985	699	1135	1007	306	553	686	1170	257	142	371	722	844	1373	1549	1002	789	1009	591	371	393	251	262	274	226	451	488	346	542	396	361	398	605	252	561	230	641	606	260	243	162	350	205	157	569					
		59.42%	65.12%	50.08%	62.80%	59.68%	59.54%	53.60%	43.33%	66.39%	44.20%	44.15%	61.76%	52.94%	59.05%	47.60%	54.36%	54.58%	62.74%	53.59%	63.57%	62.59%	62.14%	48.60%	62.85%	52.29%	60.74%	63.55%	61.60%	62.52%	62.57%	63.33%	60.71%	61.93%	60.98%	63.73%	65.23%	69.95%	65.32%	61.34%	65.38%	61.65%	65.83%	55.54%	54.00%	64.60%	70.19%	50.48%	53.76%	57.44%	55.63%	65.08%	59.47%	58.04%	58.44%	57.67%	64.91%	66.44%	66.12%	61.23%	72.28%	57.27%	58.56%	59.59%	57.33%	61.03%	68.24%	51.05%	60.90%	58.63%	59.94%	63.05%	59.27%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1430	36	42	32	40	4	27	57	11	67	41	12	19	21	51	36	32	35	27	25	42	21	30	14	49	24	24	19	18	40	31	8	19	17	29	7	4	7	13	21	11	25	30	32	29	2	5	7	3	11	17	10	14	15	15	9	6	3	9	8	18	15	7	21	13	3	1	8	1	4	5	21					
		1.92%	2.04%	3.16%	1.81%	2.64%	0.40%	3.13%	4.37%	2.30%	5.15%	3.45%	1.14%	2.19%	1.92%	5.21%	3.42%	3.02%	2.06%	2.13%	1.83%	2.57%	1.40%	2.05%	1.17%	3.61%	1.10%	1.28%	1.19%	1.61%	2.21%	1.95%	1.59%	2.13%	1.51%	1.58%	1.78%	1.97%	1.23%	1.10%	1.63%	0.49%	1.06%	1.66%	2.19%	1.86%	0.24%	0.68%	0.96%	0.69%	2.34%	4.04%	2.63%	1.80%	1.80%	2.50%	1.08%	1.01%	0.55%	1.38%	0.96%	4.09%	1.57%	1.81%	1.88%	1.31%	0.79%	0.21%	3.01%	0.17%	1.17%	2.01%	2.19%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
