Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Высокогорская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  1301	УИК  1302	УИК  1303	УИК  1304	УИК  1305	УИК  1306	УИК  1307	УИК  1308	УИК  1309	УИК  1310	УИК  1311	УИК  1312	УИК  1313	УИК  1314	УИК  1315	УИК  1316	УИК  1317	УИК  1318	УИК  1319	УИК  1320	УИК  1321	УИК  1322	УИК  1323	УИК  1324	УИК  1325	УИК  1326	УИК  1327	УИК  1328	УИК  1329	УИК  1330	УИК  1331	УИК  1332	УИК  1333	УИК  1334	УИК  1335	УИК  1336	УИК  1337	УИК  1338	УИК  1339	УИК  1340	УИК  1341	УИК  1342	УИК  1343	УИК  1344	УИК  1345					
		0.76%	0.64%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	1.10%	2.85%	1.88%	2.16%	1.18%	0.58%	0.0%	0.0%	1.75%	0.57%	1.39%	2.29%	0.0%	1.08%	0.20%	0.09%	0.46%	2.16%	0.0%	0.0%	0.0%	0.76%	1.02%	3.07%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.32%	0.0%	0.65%	0.0%	2.28%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	180	3	0	0	0	0	0	0	0	2	0	0	0	0	0	10	20	17	15	18	0	0	0	2	1	29	6	0	2	4	19	11	6	0	0	0	0	1	7	0	0	0	0	0	0	1	0	3	0	0	0	1	2	0					
		0.63%	0.97%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	1.84%	1.88%	1.40%	1.77%	0.0%	0.0%	0.0%	0.58%	0.57%	1.75%	0.86%	0.0%	1.08%	0.81%	1.81%	2.57%	2.59%	0.0%	0.0%	0.0%	0.0%	0.51%	2.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.24%	0.0%	0.0%	0.0%	0.27%	0.22%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	253	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	26	21	27	17	1	0	0	2	0	41	11	0	3	12	28	3	1	0	0	0	8	2	2	0	0	0	2	0	0	0	0	1	3	2	15	0	12	1					
		0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.36%	2.39%	2.33%	2.53%	1.67%	0.29%	0.0%	0.0%	0.58%	0.0%	2.48%	1.58%	0.0%	1.62%	2.43%	2.68%	0.70%	0.43%	0.0%	0.0%	0.0%	1.52%	1.02%	0.68%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.0%	0.0%	0.08%	0.49%	0.99%	1.41%	0.0%	1.36%	0.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	215	2	0	0	0	0	1	1	0	1	0	0	0	4	0	22	22	14	19	8	6	0	0	1	0	48	9	0	2	4	11	1	5	0	0	0	7	3	3	0	0	0	1	0	0	4	0	1	2	2	6	0	4	1					
		0.75%	0.64%	0.0%	0.0%	0.0%	0.0%	0.30%	0.78%	0.0%	0.23%	0.0%	0.0%	0.0%	0.62%	0.0%	1.34%	2.02%	1.55%	1.78%	0.79%	1.76%	0.0%	0.0%	0.29%	0.0%	2.90%	1.29%	0.0%	1.08%	0.81%	1.05%	0.23%	2.16%	0.0%	0.0%	0.0%	1.33%	1.53%	1.02%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.30%	0.0%	0.08%	0.32%	0.99%	0.56%	0.0%	0.45%	0.12%					
22	"5. ""За Русь Святую"""	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	1	5	4	1	0	0	0	0	6	3	0	1	3	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	2	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.27%	0.11%	0.46%	0.39%	0.29%	0.0%	0.0%	0.0%	0.0%	0.36%	0.43%	0.0%	0.54%	0.60%	0.19%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	40	1	0	0	0	0	1	1	0	0	0	0	0	1	0	6	2	2	1	2	0	0	0	0	0	7	1	1	0	1	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0					
		0.14%	0.32%	0.0%	0.0%	0.0%	0.0%	0.30%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.36%	0.18%	0.22%	0.09%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.14%	0.19%	0.0%	0.20%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.34%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	6	6	5	2	0	0	0	0	6	5	0	0	1	5	0	1	0	0	0	2	0	2	0	0	0	1	0	0	0	0	2	1	1	0	0	1	0					
		0.23%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	1.19%	0.66%	0.56%	0.49%	0.58%	0.0%	0.0%	0.0%	0.0%	0.36%	0.71%	0.0%	0.0%	0.20%	0.47%	0.0%	0.43%	0.0%	0.0%	0.0%	0.38%	0.0%	0.68%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.16%	0.16%	0.49%	0.0%	0.0%	0.11%	0.0%					
25	"8. ""Народно-республиканская партия России"""	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	2	0	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.27%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.14%	0.0%	0.54%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	8	5	2	0	0	0	1	0	7	2	0	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0					
		0.15%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.46%	0.88%	0.46%	0.19%	0.0%	0.0%	0.0%	0.29%	0.0%	0.42%	0.28%	0.0%	0.54%	0.20%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.49%	0.0%	0.0%	0.22%	0.0%					
27	"10. ""Аграрная партия России"""	151	3	0	0	0	0	1	0	3	2	0	0	0	8	0	11	15	12	8	6	3	0	2	0	1	10	7	1	1	3	3	0	0	0	0	0	2	3	2	25	0	0	0	0	0	0	5	2	3	1	0	0	8	0					
		0.53%	0.97%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	1.01%	0.47%	0.0%	0.0%	0.0%	1.25%	0.0%	0.67%	1.38%	1.33%	0.75%	0.59%	0.88%	0.0%	1.16%	0.0%	0.57%	0.60%	1.00%	0.19%	0.54%	0.60%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	1.53%	0.68%	5.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.16%	0.49%	0.49%	0.0%	0.0%	0.91%	0.0%					
28	"11. ""Истинные патриоты России"""	51	1	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	3	2	5	0	0	0	0	0	8	7	0	1	1	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	1	0	3	0	3	0					
		0.17%	0.32%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.33%	0.18%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	1.00%	0.0%	0.54%	0.20%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.16%	0.0%	0.28%	0.0%	0.34%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	299	0	0	0	0	0	1	0	1	4	0	0	0	0	2	16	68	18	46	39	8	0	1	0	0	41	7	0	2	3	10	0	1	0	0	0	3	4	2	0	0	0	0	0	0	0	7	3	0	1	3	0	8	0					
		1.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.33%	0.94%	0.0%	0.0%	0.0%	0.0%	0.77%	0.97%	6.26%	2.0%	4.32%	3.85%	2.35%	0.0%	0.58%	0.0%	0.0%	2.48%	1.00%	0.0%	1.08%	0.60%	0.95%	0.0%	0.43%	0.0%	0.0%	0.0%	0.57%	2.04%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.04%	0.24%	0.0%	0.49%	0.28%	0.0%	0.91%	0.0%					
30	"13. ""Демократическая партия России"""	19	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1					
		0.06%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.22%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.54%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.12%					
31	"14. ""Великая Россия - Евразийский Союз"""	36	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	6	2	1	4	0	0	0	2	1	5	2	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
		0.12%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.30%	0.55%	0.22%	0.09%	0.39%	0.0%	0.0%	0.0%	0.58%	0.57%	0.30%	0.28%	0.0%	0.0%	0.20%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%					
32	"15. ""Партия СЛОН"""	27	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	2	2	1	0	0	0	0	0	7	2	0	1	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.18%	0.18%	0.22%	0.18%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.28%	0.0%	0.54%	0.20%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	377	1	0	0	0	0	2	3	0	0	0	0	0	6	0	30	52	31	35	18	4	0	0	7	0	58	22	2	1	14	19	0	6	0	0	0	6	13	6	12	0	0	3	0	0	1	0	1	4	1	0	2	16	1					
		1.32%	0.32%	0.0%	0.0%	0.0%	0.0%	0.61%	2.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	1.83%	4.78%	3.44%	3.28%	1.77%	1.17%	0.0%	0.0%	2.04%	0.0%	3.51%	3.16%	0.39%	0.54%	2.83%	1.81%	0.0%	2.59%	0.0%	0.0%	0.0%	1.14%	6.63%	2.04%	2.67%	0.0%	0.0%	1.51%	0.0%	0.0%	0.07%	0.0%	0.08%	0.65%	0.49%	0.0%	0.54%	1.82%	0.12%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	1	1	0	0	0	0	0	7	2	0	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	5	0	4	0					
		0.13%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.77%	0.09%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.28%	0.0%	1.08%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.47%	0.0%	0.45%	0.0%					
35	"18. ""ЛДПР"""	753	1	0	0	0	0	1	2	4	5	1	0	0	2	0	44	63	56	35	53	8	10	0	6	1	110	57	4	17	26	54	14	11	0	0	0	15	8	11	12	2	0	4	2	0	21	0	2	3	7	35	1	45	0					
		2.65%	0.32%	0.0%	0.0%	0.0%	0.0%	0.30%	1.56%	1.35%	1.17%	0.40%	0.0%	0.0%	0.31%	0.0%	2.68%	5.80%	6.22%	3.28%	5.23%	2.35%	0.89%	0.0%	1.75%	0.57%	6.66%	8.18%	0.79%	9.18%	5.27%	5.17%	3.27%	4.76%	0.0%	0.0%	0.0%	2.86%	4.08%	3.75%	2.67%	0.69%	0.0%	2.02%	0.74%	0.0%	1.60%	0.0%	0.16%	0.49%	3.48%	3.29%	0.27%	5.13%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	556	7	0	0	0	0	0	1	0	3	0	1	0	31	6	17	29	38	31	39	4	35	3	7	4	68	16	5	3	4	16	1	1	0	0	12	4	4	8	7	0	0	2	0	0	15	0	2	5	3	37	0	86	1					
		1.96%	2.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.70%	0.0%	0.25%	0.0%	4.84%	2.31%	1.03%	2.67%	4.22%	2.91%	3.85%	1.17%	3.11%	1.75%	2.04%	2.29%	4.12%	2.29%	0.99%	1.62%	0.81%	1.53%	0.23%	0.43%	0.0%	0.0%	1.51%	0.76%	2.04%	2.73%	1.55%	0.0%	0.0%	1.01%	0.0%	0.0%	1.14%	0.0%	0.16%	0.81%	1.49%	3.48%	0.0%	9.80%	0.12%					
37	"20. ""Политическая партия ""Единая Россия"""	22063	272	145	124	481	275	277	115	278	386	238	396	133	510	247	1310	537	427	641	564	276	1006	146	292	150	717	411	466	119	336	695	371	156	340	284	673	404	128	185	335	286	191	165	268	115	1212	647	1191	529	152	846	357	492	766					
		77.78%	88.02%	98.63%	84.35%	99.79%	100.0%	85.49%	89.84%	94.23%	91.03%	96.35%	99.49%	100.0%	79.68%	95.36%	80.07%	49.44%	47.44%	60.24%	55.73%	81.17%	89.66%	85.38%	85.38%	86.20%	43.45%	59.05%	92.27%	64.32%	68.15%	66.57%	86.68%	67.53%	99.12%	98.26%	84.86%	77.24%	65.30%	63.13%	74.61%	98.96%	98.96%	83.33%	99.25%	99.13%	92.87%	96.85%	95.58%	86.72%	75.62%	79.73%	98.07%	56.10%	96.71%					
38	"21. ""Российская Конституционно-демократическая партия"""	54	0	0	0	0	0	3	0	0	2	0	0	0	1	0	11	3	3	2	1	0	0	0	0	1	3	3	3	2	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	3	0	5	0					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.15%	0.0%	0.67%	0.27%	0.33%	0.18%	0.09%	0.0%	0.0%	0.0%	0.0%	0.57%	0.18%	0.43%	0.59%	1.08%	0.20%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.16%	0.0%	0.28%	0.0%	0.57%	0.0%					
39	"22. ""Развитие предпринимательства"""	184	0	0	0	0	0	2	0	0	0	0	0	0	0	0	18	10	30	17	18	3	0	0	0	0	29	12	0	3	6	12	0	6	0	0	0	0	1	4	0	1	0	3	0	0	1	0	2	1	2	0	0	3	0					
		0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.10%	0.92%	3.33%	1.59%	1.77%	0.88%	0.0%	0.0%	0.0%	0.0%	1.75%	1.72%	0.0%	1.62%	1.21%	1.14%	0.0%	2.59%	0.0%	0.0%	0.0%	0.0%	0.51%	1.36%	0.0%	0.34%	0.0%	1.51%	0.0%	0.0%	0.07%	0.0%	0.16%	0.16%	0.99%	0.0%	0.0%	0.34%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1701	5	2	5	1	0	25	3	4	9	5	1	0	25	0	49	134	105	95	108	13	55	5	11	7	250	41	15	11	37	118	25	22	3	3	93	37	17	14	28	0	1	8	0	0	50	6	24	45	23	92	2	56	13					
		5.99%	1.61%	1.36%	3.40%	0.20%	0.0%	7.71%	2.34%	1.35%	2.12%	2.02%	0.25%	0.0%	3.90%	0.0%	2.99%	12.33%	11.66%	8.92%	10.67%	3.82%	4.90%	2.92%	3.21%	4.02%	15.15%	5.89%	2.97%	5.94%	7.50%	11.30%	5.84%	9.52%	0.87%	1.03%	11.72%	7.07%	8.67%	4.77%	6.23%	0.0%	0.51%	4.04%	0.0%	0.0%	3.83%	0.89%	1.92%	7.37%	11.44%	8.67%	0.54%	6.38%	1.64%					
																																																												
41	Против всех	742	2	0	11	0	0	7	2	5	9	3	0	0	39	4	27	30	64	31	80	7	9	10	3	7	122	47	6	9	14	16	0	7	0	1	15	18	7	19	10	0	1	3	0	1	0	3	3	0	3	9	0	70	8					
		2.61%	0.64%	0.0%	7.48%	0.0%	0.0%	2.16%	1.56%	1.69%	2.12%	1.21%	0.0%	0.0%	6.09%	1.54%	1.65%	2.76%	7.11%	2.91%	7.90%	2.05%	0.80%	5.84%	0.87%	4.02%	7.39%	6.75%	1.18%	4.86%	2.83%	1.53%	0.0%	3.03%	0.0%	0.34%	1.89%	3.44%	3.57%	6.48%	2.22%	0.0%	0.51%	1.51%	0.0%	0.86%	0.0%	0.44%	0.24%	0.0%	1.49%	0.84%	0.0%	7.98%	1.01%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
