Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Гурьевская городская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	334	12	12	12	12	12	12	12	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	11	11	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	65	0	1	5	0	4	1	10	5	0	1	0	0	3	1	1	0	0	0	7	0	0	1	5	2	10	1	6	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	1	0	1	0	1	0	2	0	1	5	2	3	3	0	0	0	1	1	0	0	1	2	1	4	3	4	0	0	1	1					
14	Число погашенных открепительных удостоверений	269	12	11	7	12	8	11	2	5	10	10	11	11	8	10	10	11	11	11	4	11	11	10	6	9	1	10	4	11	10	11					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	124	1	4	6	5	6	3	5	7	5	5	1	6	6	6	3	2	3	1	3	5	4	3	4	5	3	9	4	5	1	3					
		0.78%	0.16%	0.92%	0.86%	0.82%	0.75%	0.6%	0.45%	0.85%	0.81%	1.05%	0.36%	0.71%	0.85%	1.29%	0.52%	0.76%	0.52%	0.40%	0.61%	1.81%	4.49%	0.89%	0.84%	0.82%	0.43%	1.33%	0.56%	3.44%	0.39%	0.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	146	10	0	12	3	11	7	12	8	5	4	5	10	6	1	2	6	4	2	11	4	1	0	3	0	2	6	5	2	1	3					
		0.92%	1.62%	0.0%	1.72%	0.49%	1.37%	1.4%	1.08%	0.98%	0.81%	0.84%	1.80%	1.19%	0.85%	0.21%	0.35%	2.29%	0.69%	0.81%	2.24%	1.44%	1.12%	0.0%	0.63%	0.0%	0.28%	0.88%	0.70%	1.37%	0.39%	0.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	270	7	5	9	8	8	17	10	31	4	10	1	15	15	6	9	2	4	3	7	3	1	10	8	14	9	20	16	6	6	6					
		1.71%	1.13%	1.15%	1.29%	1.32%	1.00%	3.4%	0.90%	3.79%	0.65%	2.11%	0.36%	1.79%	2.14%	1.29%	1.58%	0.76%	0.69%	1.21%	1.43%	1.08%	1.12%	2.98%	1.68%	2.32%	1.30%	2.95%	2.24%	4.13%	2.37%	1.39%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	381	7	9	21	14	19	15	25	24	17	22	10	28	19	9	14	6	5	4	9	9	0	9	6	14	17	18	15	2	4	10					
		2.41%	1.13%	2.08%	3.01%	2.31%	2.37%	3.0%	2.25%	2.94%	2.78%	4.66%	3.61%	3.34%	2.72%	1.93%	2.46%	2.29%	0.87%	1.62%	1.84%	3.26%	0.0%	2.68%	1.26%	2.32%	2.46%	2.66%	2.10%	1.37%	1.58%	2.33%					
22	"5. ""За Русь Святую"""	38	0	0	1	4	2	1	2	2	0	2	0	3	2	2	1	0	1	0	1	2	0	0	1	1	3	0	3	1	1	2					
		0.24%	0.0%	0.0%	0.14%	0.66%	0.25%	0.2%	0.18%	0.24%	0.0%	0.42%	0.0%	0.35%	0.28%	0.43%	0.17%	0.0%	0.17%	0.0%	0.20%	0.72%	0.0%	0.0%	0.21%	0.16%	0.43%	0.0%	0.42%	0.68%	0.39%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	4	1	1	2	3	1	0	1	0	0	1	2	0	2	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	1					
		0.15%	0.65%	0.23%	0.14%	0.33%	0.37%	0.2%	0.0%	0.12%	0.0%	0.0%	0.36%	0.23%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	84	0	2	2	0	5	1	12	1	3	6	1	10	3	4	5	0	4	0	6	4	0	1	3	2	3	1	1	0	1	3					
		0.53%	0.0%	0.46%	0.28%	0.0%	0.62%	0.2%	1.08%	0.12%	0.49%	1.27%	0.36%	1.19%	0.42%	0.86%	0.87%	0.0%	0.69%	0.0%	1.22%	1.44%	0.0%	0.29%	0.63%	0.33%	0.43%	0.14%	0.14%	0.0%	0.39%	0.69%					
25	"8. ""Народно-республиканская партия России"""	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.68%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	31	2	0	3	7	4	0	2	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	2					
		0.19%	0.32%	0.0%	0.43%	1.15%	0.50%	0.0%	0.18%	0.0%	0.0%	0.63%	0.0%	0.23%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.14%	0.14%	0.68%	0.0%	0.46%					
27	"10. ""Аграрная партия России"""	174	8	2	13	0	13	4	15	9	6	8	2	8	5	8	6	3	5	1	2	5	0	2	3	7	6	16	7	1	3	6					
		1.10%	1.30%	0.46%	1.86%	0.0%	1.62%	0.8%	1.35%	1.10%	0.98%	1.69%	0.72%	0.95%	0.71%	1.72%	1.05%	1.14%	0.87%	0.40%	0.40%	1.81%	0.0%	0.59%	0.63%	1.16%	0.86%	2.36%	0.98%	0.68%	1.18%	1.39%					
28	"11. ""Истинные патриоты России"""	12	0	0	0	5	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1					
		0.07%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.16%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.23%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	79	2	2	2	1	2	1	2	2	5	3	5	3	7	1	5	1	5	0	4	0	0	2	1	0	6	4	2	4	4	3					
		0.50%	0.32%	0.46%	0.28%	0.16%	0.25%	0.2%	0.18%	0.24%	0.81%	0.63%	1.80%	0.35%	1.00%	0.21%	0.87%	0.38%	0.87%	0.0%	0.81%	0.0%	0.0%	0.59%	0.21%	0.0%	0.86%	0.59%	0.28%	2.75%	1.58%	0.69%					
30	"13. ""Демократическая партия России"""	23	3	1	0	0	0	1	1	1	0	0	0	1	0	0	0	3	1	1	1	0	0	0	0	1	0	2	0	6	0	0					
		0.14%	0.48%	0.23%	0.0%	0.0%	0.0%	0.2%	0.09%	0.12%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	1.14%	0.17%	0.40%	0.20%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.29%	0.0%	4.13%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	0	0	1	0	3	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0					
		0.07%	0.0%	0.0%	0.14%	0.0%	0.37%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.21%	0.0%	0.0%	0.14%	0.14%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	16	0	0	1	3	2	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1					
		0.10%	0.0%	0.0%	0.14%	0.49%	0.25%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.43%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.23%					
33	"16. ""Родина"" (народно-патриотический союз)"""	895	31	15	26	31	38	18	48	40	31	40	11	55	42	21	23	7	22	9	30	16	2	26	30	46	60	59	67	11	17	23					
		5.68%	5.04%	3.47%	3.73%	5.13%	4.75%	3.6%	4.33%	4.90%	5.07%	8.47%	3.97%	6.57%	6.01%	4.51%	4.04%	2.68%	3.84%	3.65%	6.13%	5.79%	2.24%	7.76%	6.31%	7.62%	8.69%	8.72%	9.39%	7.58%	6.71%	5.36%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	32	0	0	3	2	0	0	1	3	2	0	0	1	1	1	2	0	0	0	0	0	1	2	1	5	1	0	2	0	1	3					
		0.20%	0.0%	0.0%	0.43%	0.33%	0.0%	0.0%	0.09%	0.36%	0.32%	0.0%	0.0%	0.11%	0.14%	0.21%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	0.59%	0.21%	0.82%	0.14%	0.0%	0.28%	0.0%	0.39%	0.69%					
35	"18. ""ЛДПР"""	2659	100	59	156	116	176	99	141	123	124	54	41	181	115	91	77	77	124	72	94	50	7	38	62	79	104	77	109	15	27	71					
		16.88%	16.26%	13.65%	22.38%	19.20%	22.02%	19.8%	12.72%	15.07%	20.29%	11.44%	14.80%	21.65%	16.47%	19.56%	13.53%	29.50%	21.67%	29.26%	19.22%	18.11%	7.86%	11.34%	13.05%	13.10%	15.07%	11.39%	15.28%	10.34%	10.67%	16.55%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	148	5	5	3	4	10	2	7	9	10	6	5	7	8	7	1	7	6	0	3	2	1	6	7	4	4	5	6	1	0	7					
		0.93%	0.81%	1.15%	0.43%	0.66%	1.25%	0.4%	0.63%	1.10%	1.63%	1.27%	1.80%	0.83%	1.14%	1.50%	0.17%	2.68%	1.04%	0.0%	0.61%	0.72%	1.12%	1.79%	1.47%	0.66%	0.57%	0.73%	0.84%	0.68%	0.0%	1.63%					
37	"20. ""Политическая партия ""Единая Россия"""	8441	355	290	358	321	402	277	686	442	307	226	144	384	363	250	366	110	299	130	261	150	64	184	274	337	374	325	349	47	150	216					
		53.59%	57.72%	67.12%	51.36%	53.14%	50.31%	55.4%	61.91%	54.16%	50.24%	47.88%	51.98%	45.93%	52.00%	53.76%	64.32%	42.14%	52.27%	52.84%	53.37%	54.34%	71.91%	54.92%	57.68%	55.88%	54.20%	48.07%	48.94%	32.41%	59.28%	50.34%					
38	"21. ""Российская Конституционно-демократическая партия"""	25	1	4	0	1	2	1	1	2	0	0	0	2	1	0	0	0	1	0	1	1	1	0	0	0	1	1	2	1	0	1					
		0.15%	0.16%	0.92%	0.0%	0.16%	0.25%	0.2%	0.09%	0.24%	0.0%	0.0%	0.0%	0.23%	0.14%	0.0%	0.0%	0.0%	0.17%	0.0%	0.20%	0.36%	1.12%	0.0%	0.0%	0.0%	0.14%	0.14%	0.28%	0.68%	0.0%	0.23%					
39	"22. ""Развитие предпринимательства"""	30	4	0	4	1	2	1	1	0	1	1	1	0	2	1	1	1	3	0	0	0	0	0	0	3	0	0	0	1	0	2					
		0.19%	0.65%	0.0%	0.57%	0.16%	0.25%	0.2%	0.09%	0.0%	0.16%	0.21%	0.36%	0.0%	0.28%	0.21%	0.17%	0.38%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.68%	0.0%	0.46%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1480	50	18	53	53	46	33	81	87	60	60	22	81	80	34	38	26	74	10	35	13	2	34	49	63	70	100	95	27	27	59					
		9.39%	8.13%	4.16%	7.60%	8.77%	5.75%	6.6%	7.31%	10.66%	9.81%	12.71%	7.94%	9.68%	11.46%	7.31%	6.67%	9.96%	12.93%	4.06%	7.15%	4.71%	2.24%	10.14%	10.31%	10.44%	10.14%	14.79%	13.32%	18.62%	10.67%	13.75%					
																																					
41	Против всех	442	22	7	16	16	36	10	48	15	24	15	5	25	18	11	11	5	6	8	17	8	3	9	14	13	23	20	18	9	4	6					
		2.80%	3.57%	1.62%	2.29%	2.64%	4.50%	2.0%	4.33%	1.83%	3.92%	3.17%	1.80%	2.99%	2.57%	2.36%	1.93%	1.91%	1.04%	3.25%	3.47%	2.89%	3.37%	2.68%	2.94%	2.15%	3.33%	2.95%	2.52%	6.20%	1.58%	1.39%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
