Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Яковлевская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	735	33	14	30	35	23	27	30	23	23	30	18	10	13	15	17	5	15	28	8	10	3	20	20	5	15	27	10	5	3	15	15	35	3	5	3	7	5	15	15	5	5	5	5	5	5	10	5	22	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	664	33	14	26	31	23	27	26	23	23	30	18	7	11	15	17	5	15	28	8	3	1	20	20	5	15	26	10	2	3	15	12	35	3	5	0	5	2	15	15	0	0	2	1	5	1	4	5	22	9	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	323	11	18	11	14	27	7	7	8	1	16	7	4	19	8	6	1	6	4	3	3	3	14	5	4	7	8	7	5	1	4	3	6	8	9	2	4	4	6	6	1	1	5	5	2	2	2	1	5	4	8									
14	Число погашенных неиспользованных открепительных удостоверений	71	0	0	4	4	0	0	4	0	0	0	0	3	2	0	0	0	0	0	0	7	2	0	0	0	0	1	0	3	0	0	3	0	0	0	3	2	3	0	0	5	5	3	4	0	4	6	0	0	1	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	119	14	8	3	5	9	11	8	6	6	6	7	2	0	1	0	0	1	3	1	0	0	4	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	13									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	542	22	24	19	20	19	19	25	16	14	21	13	4	6	16	13	14	10	4	0	2	0	5	0	1	0	1	0	11	2	5	8	5	2	6	1	2	1	75	48	5	0	9	30	4	4	4	0	11	5	16									
		1.59%	2.04%	1.92%	1.62%	1.86%	1.81%	1.76%	2.13%	1.97%	1.18%	1.85%	1.54%	0.74%	1.55%	1.48%	1.18%	2.44%	0.71%	0.58%	0.00%	0.29%	0.00%	0.39%	0.00%	0.51%	0.00%	0.07%	0.00%	2.34%	1.21%	1.05%	2.83%	1.11%	0.98%	3.87%	0.74%	0.83%	1.05%	8.59%	3.66%	1.36%	0.00%	2.27%	11.11%	0.98%	1.72%	0.64%	0.00%	0.95%	0.90%	1.55%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	639	28	20	27	28	28	19	27	26	18	31	24	17	4	26	16	13	27	21	6	3	4	14	1	2	1	2	21	15	1	4	3	9	3	6	4	5	1	9	32	10	0	6	5	6	10	18	5	14	7	12									
		1.87%	2.59%	1.60%	2.30%	2.60%	2.66%	1.76%	2.30%	3.20%	1.51%	2.73%	2.84%	3.15%	1.04%	2.41%	1.45%	2.27%	1.93%	3.03%	2.91%	0.44%	1.34%	1.09%	0.13%	1.02%	0.16%	0.15%	2.52%	3.19%	0.61%	0.84%	1.06%	1.99%	1.46%	3.87%	2.94%	2.08%	1.05%	1.03%	2.44%	2.71%	0.00%	1.51%	1.85%	1.47%	4.29%	2.90%	2.17%	1.20%	1.26%	1.16%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	586	28	22	31	19	27	14	35	25	28	28	5	17	4	18	20	12	34	17	4	2	2	3	2	2	1	2	3	6	0	3	4	7	1	1	1	0	1	18	38	7	2	5	2	11	5	7	4	22	16	20									
		1.72%	2.59%	1.76%	2.64%	1.76%	2.57%	1.30%	2.98%	3.08%	2.35%	2.46%	0.59%	3.15%	1.04%	1.67%	1.82%	2.09%	2.43%	2.45%	1.94%	0.29%	0.67%	0.23%	0.27%	1.02%	0.16%	0.15%	0.36%	1.28%	0.00%	0.63%	1.41%	1.55%	0.49%	0.65%	0.74%	0.00%	1.05%	2.06%	2.89%	1.90%	1.92%	1.26%	0.74%	2.70%	2.15%	1.13%	1.74%	1.89%	2.87%	1.94%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20146	415	519	482	489	479	463	433	305	502	460	328	238	183	582	695	351	774	380	130	603	224	1069	711	159	608	1260	674	353	112	398	199	346	174	117	111	181	58	477	777	250	85	278	154	208	113	374	150	829	364	522									
		59.03%	38.43%	41.49%	40.99%	45.36%	45.53%	42.91%	36.88%	37.52%	42.22%	40.46%	38.77%	44.07%	47.41%	53.94%	63.12%	61.26%	55.21%	54.83%	63.11%	88.68%	74.92%	82.87%	95.69%	81.12%	95.00%	93.26%	80.91%	75.11%	67.88%	83.97%	70.32%	76.72%	84.88%	75.48%	81.62%	75.42%	61.05%	54.64%	59.18%	67.75%	81.73%	70.03%	57.04%	50.98%	48.50%	60.23%	65.22%	71.34%	65.35%	50.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	207	6	10	4	10	17	14	15	4	5	7	5	4	5	2	3	2	14	2	0	0	0	0	0	2	0	1	0	2	0	2	2	0	1	0	0	0	1	4	15	0	2	1	1	5	0	2	1	20	9	7									
		0.61%	0.56%	0.80%	0.34%	0.93%	1.62%	1.30%	1.28%	0.49%	0.42%	0.62%	0.59%	0.74%	1.30%	0.19%	0.27%	0.35%	0.99%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	1.02%	0.00%	0.07%	0.00%	0.43%	0.00%	0.42%	0.71%	0.00%	0.49%	0.00%	0.00%	0.00%	1.05%	0.46%	1.14%	0.00%	1.92%	0.25%	0.37%	1.23%	0.00%	0.32%	0.43%	1.72%	1.62%	0.68%									
24	"6. Политическая партия ""Гражданская Платформа"""	96	9	2	6	1	1	4	7	1	2	8	2	1	1	2	3	1	12	3	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	8	1	0	1	0	2	0	3	0	1	1	7									
		0.28%	0.83%	0.16%	0.51%	0.09%	0.10%	0.37%	0.60%	0.12%	0.17%	0.70%	0.24%	0.19%	0.26%	0.19%	0.27%	0.17%	0.86%	0.43%	0.49%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.61%	0.27%	0.00%	0.25%	0.00%	0.49%	0.00%	0.48%	0.00%	0.09%	0.18%	0.68%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4773	228	241	188	218	170	172	259	168	254	234	213	122	98	182	154	80	218	117	34	28	26	103	6	16	17	15	32	43	0	9	33	21	9	6	7	21	12	120	165	55	5	46	34	68	38	114	29	113	62	170									
		13.98%	21.11%	19.26%	15.99%	20.22%	16.16%	15.94%	22.06%	20.66%	21.36%	20.58%	25.18%	22.59%	25.39%	16.87%	13.99%	13.96%	15.55%	16.88%	16.50%	4.12%	8.70%	7.98%	0.81%	8.16%	2.66%	1.11%	3.84%	9.15%	0.00%	1.90%	11.66%	4.66%	4.39%	3.87%	5.15%	8.75%	12.63%	13.75%	12.57%	14.91%	4.81%	11.59%	12.59%	16.67%	16.31%	18.36%	12.61%	9.72%	11.13%	16.46%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	130	1	9	9	10	3	4	11	7	9	7	0	4	0	3	0	0	9	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	2	6	0	0	1	2	4	8	7	0	1	0	4									
		0.38%	0.09%	0.72%	0.77%	0.93%	0.29%	0.37%	0.94%	0.86%	0.76%	0.62%	0.00%	0.74%	0.00%	0.28%	0.00%	0.00%	0.64%	0.14%	0.00%	0.29%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.65%	1.47%	0.42%	0.00%	0.23%	0.46%	0.00%	0.00%	0.25%	0.74%	0.98%	3.43%	1.13%	0.00%	0.09%	0.00%	0.39%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	250	2	7	13	6	9	11	12	4	12	27	5	1	3	10	22	1	8	8	1	0	1	7	0	1	0	1	3	0	19	0	0	5	0	1	0	0	1	0	9	3	0	0	0	3	6	1	0	8	7	12									
		0.73%	0.19%	0.56%	1.11%	0.56%	0.86%	1.02%	1.02%	0.49%	1.01%	2.37%	0.59%	0.19%	0.78%	0.93%	1.99%	0.17%	0.57%	1.15%	0.49%	0.00%	0.33%	0.54%	0.00%	0.51%	0.00%	0.07%	0.36%	0.00%	11.52%	0.00%	0.00%	1.11%	0.00%	0.65%	0.00%	0.00%	1.05%	0.00%	0.69%	0.81%	0.00%	0.00%	0.00%	0.74%	2.58%	0.16%	0.00%	0.69%	1.26%	1.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	76	4	3	4	1	2	3	11	1	1	5	1	0	0	3	0	1	3	4	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	9	0	0	0	2	2	2	1	0	2	1	2									
		0.22%	0.37%	0.24%	0.34%	0.09%	0.19%	0.28%	0.94%	0.12%	0.08%	0.44%	0.12%	0.00%	0.00%	0.28%	0.00%	0.17%	0.21%	0.58%	0.49%	0.00%	0.00%	0.00%	0.27%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.23%	0.69%	0.00%	0.00%	0.00%	0.74%	0.49%	0.86%	0.16%	0.00%	0.17%	0.18%	0.19%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	222	8	22	11	8	10	4	21	5	13	8	12	2	0	6	7	3	11	6	7	1	2	0	0	1	1	2	0	0	0	1	1	2	0	0	1	0	1	1	7	0	0	1	3	7	9	1	0	3	4	9									
		0.65%	0.74%	1.76%	0.94%	0.74%	0.95%	0.37%	1.79%	0.62%	1.09%	0.70%	1.42%	0.37%	0.00%	0.56%	0.64%	0.52%	0.78%	0.87%	3.40%	0.15%	0.67%	0.00%	0.00%	0.51%	0.16%	0.15%	0.00%	0.00%	0.00%	0.21%	0.35%	0.44%	0.00%	0.00%	0.74%	0.00%	1.05%	0.11%	0.53%	0.00%	0.00%	0.25%	1.11%	1.72%	3.86%	0.16%	0.00%	0.26%	0.72%	0.87%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3896	176	216	191	165	152	198	158	135	163	196	160	77	55	162	112	58	165	80	19	30	27	64	8	10	6	55	79	28	21	31	24	39	8	15	8	14	13	75	133	28	8	35	27	37	30	67	29	109	59	141									
		11.41%	16.30%	17.27%	16.24%	15.31%	14.45%	18.35%	13.46%	16.61%	13.71%	17.24%	18.91%	14.26%	14.25%	15.01%	10.17%	10.12%	11.77%	11.54%	9.22%	4.41%	9.03%	4.96%	1.08%	5.10%	0.94%	4.07%	9.48%	5.96%	12.73%	6.54%	8.48%	8.65%	3.90%	9.68%	5.88%	5.83%	13.68%	8.59%	10.13%	7.59%	7.69%	8.82%	10.00%	9.07%	12.88%	10.79%	12.61%	9.38%	10.59%	13.65%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	102	2	2	4	5	3	5	15	2	4	6	3	1	2	5	4	1	2	3	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	0	0	0	0	0	3	0	0	0	0	8	1	2	5	2	4	2									
		0.30%	0.19%	0.16%	0.34%	0.46%	0.29%	0.46%	1.28%	0.25%	0.34%	0.53%	0.35%	0.19%	0.52%	0.46%	0.36%	0.17%	0.14%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.21%	0.00%	0.44%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	1.96%	0.43%	0.32%	2.17%	0.17%	0.72%	0.19%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1864	138	128	168	81	104	142	119	101	133	75	46	39	16	24	33	19	75	25	3	1	9	25	5	1	6	3	16	10	5	12	6	11	5	1	1	11	5	14	46	7	2	10	6	33	5	13	5	27	12	82									
		5.46%	12.78%	10.23%	14.29%	7.51%	9.89%	13.16%	10.14%	12.42%	11.19%	6.60%	5.44%	7.22%	4.15%	2.22%	2.99%	3.32%	5.35%	3.61%	1.46%	0.15%	3.01%	1.94%	0.67%	0.51%	0.94%	0.22%	1.92%	2.13%	3.03%	2.53%	2.12%	2.44%	2.44%	0.65%	0.74%	4.58%	5.26%	1.60%	3.50%	1.90%	1.92%	2.52%	2.22%	8.09%	2.15%	2.09%	2.17%	2.32%	2.15%	7.94%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
