Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Куйтунская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	61	5	0	1	2	0	2	1	0	2	0	2	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	2	3	1	0	2	0	1	0	1	0	0	3	0	0	0	1	1	0	0	1	0	6	2	1	0	2	1	0	1	0	3	2									
		0.71%	3.31%	0.00%	0.43%	2.53%	0.00%	1.06%	0.63%	0.00%	1.09%	0.00%	1.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.70%	0.00%	0.00%	1.81%	0.00%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	1.74%	0.00%	0.00%	0.00%	2.70%	0.00%	0.00%	0.00%	2.08%	0.57%	0.94%	0.81%	0.00%	0.81%	0.00%	1.19%	0.00%	1.12%	0.00%	0.00%	1.51%	0.00%	0.00%	0.00%	1.52%	1.02%	0.00%	0.00%	0.90%	0.00%	1.75%	2.60%	0.67%	0.00%	0.49%	0.39%	0.00%	0.55%	0.00%	1.40%	4.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	292	7	4	7	3	3	4	9	5	8	10	7	7	2	2	3	5	5	3	1	2	7	3	1	1	10	1	3	6	3	1	6	0	1	0	2	0	1	11	8	3	1	12	5	2	9	1	4	3	7	0	2	0	1	4	1	2	2	4	14	1	3	4	19	6	2	5	1	10	2									
		3.41%	4.64%	2.08%	2.99%	3.80%	2.33%	2.13%	5.63%	3.47%	4.35%	3.95%	4.90%	2.90%	1.38%	2.25%	2.13%	4.81%	7.04%	6.52%	2.33%	25.00%	4.22%	4.48%	2.04%	2.50%	4.35%	1.00%	7.32%	10.91%	2.61%	1.89%	1.86%	0.00%	2.70%	0.00%	4.35%	0.00%	2.08%	3.13%	2.52%	2.42%	2.44%	4.84%	7.04%	2.38%	4.55%	1.12%	5.97%	7.32%	3.52%	0.00%	3.08%	0.00%	1.52%	4.08%	2.22%	2.25%	1.80%	5.63%	4.08%	1.30%	2.01%	4.82%	4.62%	2.35%	2.22%	2.75%	3.85%	4.65%	4.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	155	5	1	4	0	1	9	2	2	4	8	0	5	1	1	4	0	0	0	0	1	9	1	0	0	2	1	2	2	1	1	4	1	2	1	0	0	0	3	3	3	4	4	0	0	2	2	1	0	2	1	3	0	1	2	3	3	1	4	10	1	1	1	12	5	0	5	0	1	2									
		1.81%	3.31%	0.52%	1.71%	0.00%	0.78%	4.79%	1.25%	1.39%	2.17%	3.16%	0.00%	2.07%	0.69%	1.12%	2.84%	0.00%	0.00%	0.00%	0.00%	12.50%	5.42%	1.49%	0.00%	0.00%	0.87%	1.00%	4.88%	3.64%	0.87%	1.89%	1.24%	4.76%	5.41%	2.33%	0.00%	0.00%	0.00%	0.85%	0.94%	2.42%	9.76%	1.61%	0.00%	0.00%	1.01%	2.25%	1.49%	0.00%	1.01%	1.54%	4.62%	0.00%	1.52%	2.04%	6.67%	3.37%	0.90%	5.63%	2.92%	1.30%	0.67%	1.20%	2.92%	1.96%	0.00%	2.75%	0.00%	0.47%	4.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3717	50	69	90	30	42	83	61	47	74	89	57	87	51	34	51	56	29	14	25	3	65	28	25	23	104	56	20	29	76	23	119	14	12	20	19	18	17	172	131	65	22	82	45	46	61	62	25	19	87	37	39	7	38	60	31	45	69	32	134	40	64	42	142	114	45	100	19	103	29									
		43.42%	33.11%	35.94%	38.46%	37.97%	32.56%	44.15%	38.13%	32.64%	40.22%	35.18%	39.86%	36.10%	35.17%	38.20%	36.17%	53.85%	40.85%	30.43%	58.14%	37.50%	39.16%	41.79%	51.02%	57.50%	45.22%	56.00%	48.78%	52.73%	66.09%	43.40%	36.96%	66.67%	32.43%	46.51%	41.30%	46.15%	35.42%	49.00%	41.19%	52.42%	53.66%	33.06%	63.38%	54.76%	30.81%	69.66%	37.31%	46.34%	43.72%	56.92%	60.00%	31.82%	57.58%	61.22%	68.89%	50.56%	62.16%	45.07%	39.07%	51.95%	42.95%	50.60%	34.55%	44.71%	50.00%	54.95%	73.08%	47.91%	58.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	4	1	2	0	0	0	3	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	2	0	0	0	1	0	2	0	1	1	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	1	2	2	1	0	2	0									
		0.51%	2.65%	0.52%	0.85%	0.00%	0.00%	0.00%	1.88%	0.69%	0.54%	0.40%	0.00%	0.41%	0.00%	1.12%	0.71%	0.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.87%	0.00%	0.93%	0.00%	0.00%	4.65%	0.00%	0.00%	0.00%	0.28%	0.00%	1.61%	0.00%	0.40%	1.41%	0.00%	1.01%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.24%	0.78%	2.22%	0.55%	0.00%	0.93%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	37	0	0	0	0	0	1	0	1	6	0	1	0	1	0	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	0	1	2	0	1	0	1	0	1	1	1	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	0	1	0									
		0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.69%	3.26%	0.00%	0.70%	0.00%	0.69%	0.00%	0.00%	0.00%	2.82%	0.00%	0.00%	0.00%	1.20%	1.49%	2.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	2.17%	5.13%	0.00%	0.28%	0.31%	0.00%	0.00%	0.40%	2.82%	0.00%	0.51%	0.00%	1.49%	0.00%	0.50%	1.54%	1.54%	0.00%	0.00%	0.00%	0.00%	2.25%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.24%	0.39%	0.00%	0.00%	0.00%	0.47%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1458	17	46	44	21	36	32	30	37	24	51	28	36	38	19	35	18	17	15	6	2	19	7	5	4	38	17	10	11	4	3	72	5	1	6	4	2	13	41	66	27	6	39	7	15	27	5	9	9	44	8	7	2	7	18	1	14	16	7	69	14	42	15	39	48	9	21	3	37	13									
		17.03%	11.26%	23.96%	18.80%	26.58%	27.91%	17.02%	18.75%	25.69%	13.04%	20.16%	19.58%	14.94%	26.21%	21.35%	24.82%	17.31%	23.94%	32.61%	13.95%	25.00%	11.45%	10.45%	10.20%	10.00%	16.52%	17.00%	24.39%	20.00%	3.48%	5.66%	22.36%	23.81%	2.70%	13.95%	8.70%	5.13%	27.08%	11.68%	20.75%	21.77%	14.63%	15.73%	9.86%	17.86%	13.64%	5.62%	13.43%	21.95%	22.11%	12.31%	10.77%	9.09%	10.61%	18.37%	2.22%	15.73%	14.41%	9.86%	20.12%	18.18%	28.19%	18.07%	9.49%	18.82%	10.00%	11.54%	11.54%	17.21%	26.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	32	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	5	0	0	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	4	0	0	0	0	0	0									
		0.37%	0.66%	0.52%	0.43%	1.27%	0.00%	0.53%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	2.17%	2.33%	0.00%	0.60%	7.46%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	1.74%	1.89%	0.00%	4.76%	0.00%	0.00%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	1.49%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	2.22%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	2.41%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	0	1	0	0	1	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	1	0	3	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0									
		0.30%	0.00%	0.52%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	1.40%	0.83%	1.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	5.66%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.81%	0.00%	1.21%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	1.02%	2.22%	0.00%	0.00%	1.41%	0.29%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0									
		0.15%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.87%	1.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%	0.67%	0.00%	0.24%	0.00%	1.11%	0.00%	0.00%	0.47%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	2	0	4	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	3	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	1	0	3	2	0	1	0	1	0									
		0.46%	1.32%	0.00%	1.71%	0.00%	0.00%	1.06%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.87%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	1.21%	1.41%	2.38%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	2.82%	0.58%	0.00%	0.67%	0.00%	0.73%	0.78%	0.00%	0.55%	0.00%	0.47%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2269	54	55	69	17	35	44	46	40	52	73	31	80	36	23	38	18	14	8	6	0	50	19	17	12	57	22	4	7	22	17	95	0	20	14	18	16	15	106	93	18	8	83	9	15	87	15	26	8	41	11	7	8	11	11	7	20	19	14	83	16	29	17	174	65	28	41	2	51	2									
		26.50%	35.76%	28.65%	29.49%	21.52%	27.13%	23.40%	28.75%	27.78%	28.26%	28.85%	21.68%	33.20%	24.83%	25.84%	26.95%	17.31%	19.72%	17.39%	13.95%	0.00%	30.12%	28.36%	34.69%	30.00%	24.78%	22.00%	9.76%	12.73%	19.13%	32.08%	29.50%	0.00%	54.05%	32.56%	39.13%	41.03%	31.25%	30.20%	29.25%	14.52%	19.51%	33.47%	12.68%	17.86%	43.94%	16.85%	38.81%	19.51%	20.60%	16.92%	10.77%	36.36%	16.67%	11.22%	15.56%	22.47%	17.12%	19.72%	24.20%	20.78%	19.46%	20.48%	42.34%	25.49%	31.11%	22.53%	7.69%	23.72%	4.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	1	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	0	2	0	0	0	0	0	0									
		0.34%	0.66%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	2.07%	1.12%	0.00%	0.00%	1.41%	0.00%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.17%	0.00%	0.00%	1.42%	0.31%	0.81%	0.00%	0.40%	1.41%	0.00%	0.51%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	1.12%	0.90%	0.00%	0.87%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	183	4	11	7	4	5	8	1	7	8	11	4	11	6	4	2	0	2	0	1	0	5	0	0	0	4	1	0	0	0	3	9	0	0	0	0	0	0	5	4	2	0	6	0	0	2	0	0	1	2	3	1	3	0	0	0	2	0	3	6	3	6	2	5	6	0	1	1	1	0									
		2.14%	2.65%	5.73%	2.99%	5.06%	3.88%	4.26%	0.63%	4.86%	4.35%	4.35%	2.80%	4.56%	4.14%	4.49%	1.42%	0.00%	2.82%	0.00%	2.33%	0.00%	3.01%	0.00%	0.00%	0.00%	1.74%	1.00%	0.00%	0.00%	0.00%	5.66%	2.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.42%	1.26%	1.61%	0.00%	2.42%	0.00%	0.00%	1.01%	0.00%	0.00%	2.44%	1.01%	4.62%	1.54%	13.64%	0.00%	0.00%	0.00%	2.25%	0.00%	4.23%	1.75%	3.90%	4.03%	2.41%	1.22%	2.35%	0.00%	0.55%	3.85%	0.47%	0.00%									
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
