Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																										
Дата голосования: 18.09.2016																																																																																										
																																																																																										
"Наименование Избирательной комиссии:    Тюмень, Калининская"																																																																																										
																																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																										
																																																																																										
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1663	40	0	20	20	20	30	15	15	20	20	20	30	30	20	20	20	20	20	20	40	20	20	0	20	15	20	20	20	15	30	20	20	20	20	20	20	30	15	20	30	20	20	20	15	20	20	20	20	30	20	20	20	20	30	30	30	20	20	20	20	20	30	20	20	40	20	23	20	20	20	15	15	20	20	20	20	20	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1005	24	0	9	16	1	18	6	1	16	8	17	28	20	12	7	12	9	18	9	34	14	14	0	9	3	10	15	6	8	24	14	6	12	3	13	13	23	2	9	24	12	17	9	0	16	14	14	15	23	15	2	17	18	22	25	19	9	7	18	11	14	24	11	10	32	13	18	15	16	17	3	10	6	15	3	8	6	6	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1854	0	11	25	37	18	67	17	54	23	16	27	298	31	8	15	13	18	11	20	30	22	19	6	30	14	17	17	13	11	12	19	9	20	3	29	23	18	29	7	14	22	14	15	9	18	17	27	15	20	8	14	27	28	15	21	21	23	29	14	8	18	21	13	17	24	17	14	27	27	19	45	6	6	15	17	28	58	29	17									
14	Число погашенных неиспользованных открепительных удостоверений	658	16	0	11	4	19	12	9	14	4	12	3	2	10	8	13	8	11	2	11	6	6	6	0	11	12	10	5	14	7	6	6	14	8	17	7	7	7	13	11	6	8	3	11	15	4	6	6	5	7	5	18	3	2	8	5	11	11	13	2	9	6	6	9	10	8	7	5	5	4	3	12	5	14	5	17	12	14	9	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	129	0	0	4	0	0	3	2	0	4	1	6	4	1	0	1	2	3	4	2	7	3	4	0	1	0	0	3	1	0	5	0	1	0	0	2	2	2	2	3	4	1	0	0	0	2	3	4	2	1	2	1	1	1	0	3	3	0	0	2	0	1	3	2	1	0	2	1	0	2	0	1	0	2	6	1	2	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	268	0	2	0	6	2	3	0	0	4	3	2	23	2	1	1	6	2	4	3	2	1	2	1	2	1	0	9	3	0	21	9	4	3	3	0	10	2	0	4	9	8	9	1	1	2	5	0	0	0	7	3	3	1	0	1	0	0	10	3	1	1	5	2	11	1	1	1	4	2	9	1	0	1	4	1	12	1	0	6									
		0.25%	0.00%	0.25%	0.00%	0.58%	0.25%	0.23%	0.00%	0.00%	0.27%	0.21%	0.12%	1.40%	0.11%	0.11%	0.07%	0.46%	0.13%	0.24%	0.33%	0.09%	0.06%	0.11%	0.56%	0.13%	0.15%	0.00%	0.48%	0.22%	0.00%	0.94%	0.60%	0.35%	0.31%	0.36%	0.00%	0.53%	0.10%	0.00%	0.28%	0.48%	0.55%	0.56%	0.06%	0.23%	0.13%	0.26%	0.00%	0.00%	0.00%	0.41%	0.33%	0.13%	0.09%	0.00%	0.05%	0.00%	0.00%	0.69%	0.17%	0.11%	0.07%	0.33%	0.21%	1.30%	0.05%	0.06%	0.06%	0.27%	0.12%	0.63%	0.16%	0.00%	0.08%	0.21%	0.08%	1.28%	0.11%	0.00%	1.04%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	425	3	0	3	3	5	1	2	0	4	4	0	20	1	2	2	18	10	4	4	2	11	3	5	1	1	7	8	1	0	28	7	5	5	3	1	2	17	4	4	11	9	11	1	1	10	6	1	14	0	5	4	2	1	5	3	0	0	8	0	1	1	6	0	12	1	2	2	2	5	68	1	1	1	3	6	13	1	1	5									
		0.40%	0.17%	0.00%	0.22%	0.29%	0.63%	0.08%	0.31%	0.00%	0.27%	0.27%	0.00%	1.22%	0.06%	0.23%	0.14%	1.37%	0.65%	0.24%	0.43%	0.09%	0.64%	0.16%	2.78%	0.06%	0.15%	0.56%	0.43%	0.07%	0.00%	1.25%	0.47%	0.43%	0.51%	0.36%	0.08%	0.11%	0.83%	0.62%	0.28%	0.59%	0.62%	0.68%	0.06%	0.23%	0.65%	0.32%	0.06%	0.76%	0.00%	0.29%	0.44%	0.09%	0.09%	0.24%	0.16%	0.00%	0.00%	0.56%	0.00%	0.11%	0.07%	0.40%	0.00%	1.42%	0.05%	0.13%	0.13%	0.13%	0.30%	4.73%	0.16%	0.16%	0.08%	0.16%	0.50%	1.39%	0.11%	0.15%	0.87%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	301	2	2	2	10	1	3	0	0	2	2	0	12	0	1	1	8	0	4	2	2	20	1	10	1	0	4	5	2	0	34	7	5	1	2	0	18	4	0	3	3	3	10	2	1	12	3	1	3	0	3	3	1	1	0	2	1	2	5	2	2	1	4	1	10	1	3	2	6	3	14	0	1	1	3	2	14	0	0	4									
		0.28%	0.11%	0.25%	0.14%	0.97%	0.13%	0.23%	0.00%	0.00%	0.14%	0.14%	0.00%	0.73%	0.00%	0.11%	0.07%	0.61%	0.00%	0.24%	0.22%	0.09%	1.17%	0.05%	5.56%	0.06%	0.00%	0.32%	0.27%	0.15%	0.00%	1.52%	0.47%	0.43%	0.10%	0.24%	0.00%	0.95%	0.19%	0.00%	0.21%	0.16%	0.21%	0.62%	0.12%	0.23%	0.79%	0.16%	0.06%	0.16%	0.00%	0.18%	0.33%	0.04%	0.09%	0.00%	0.11%	0.06%	0.19%	0.35%	0.11%	0.22%	0.07%	0.27%	0.11%	1.18%	0.05%	0.19%	0.13%	0.40%	0.18%	0.97%	0.00%	0.16%	0.08%	0.16%	0.17%	1.50%	0.00%	0.00%	0.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	46390	681	478	491	499	387	503	250	76	722	720	688	880	663	327	485	613	762	838	454	724	837	609	91	588	263	609	917	515	208	1117	737	566	479	405	444	930	1014	321	698	919	560	795	640	212	751	938	598	887	579	836	451	797	443	751	702	611	365	709	626	352	590	735	367	435	1079	619	611	740	665	754	246	246	508	734	610	462	342	247	289									
		43.45%	38.26%	60.58%	35.35%	48.59%	49.11%	39.02%	38.52%	38.58%	49.15%	49.32%	40.47%	53.53%	36.92%	37.41%	35.12%	46.79%	49.26%	49.27%	49.19%	31.74%	48.89%	32.94%	50.56%	38.01%	38.28%	49.07%	49.25%	38.15%	38.88%	49.82%	49.30%	48.96%	49.33%	49.21%	35.43%	49.15%	49.27%	49.38%	49.29%	49.44%	38.67%	49.23%	38.72%	49.42%	49.18%	49.26%	37.90%	48.08%	37.92%	49.21%	49.24%	35.28%	38.62%	35.39%	38.53%	34.08%	35.44%	49.24%	35.37%	38.60%	38.49%	49.20%	38.88%	51.48%	49.22%	38.91%	38.33%	49.30%	40.01%	52.43%	38.62%	38.44%	38.54%	38.55%	50.37%	49.36%	38.38%	37.77%	50.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	261	1	3	3	3	7	1	2	0	3	6	0	27	1	0	2	8	0	4	3	2	0	3	3	2	0	5	9	1	0	29	7	3	0	1	0	5	5	0	4	0	2	9	1	0	0	4	1	12	0	1	2	2	0	2	1	0	0	2	0	0	1	6	1	4	1	1	2	4	1	15	1	1	1	5	1	17	0	0	7									
		0.24%	0.06%	0.38%	0.22%	0.29%	0.89%	0.08%	0.31%	0.00%	0.20%	0.41%	0.00%	1.64%	0.06%	0.00%	0.14%	0.61%	0.00%	0.24%	0.33%	0.09%	0.00%	0.16%	1.67%	0.13%	0.00%	0.40%	0.48%	0.07%	0.00%	1.29%	0.47%	0.26%	0.00%	0.12%	0.00%	0.26%	0.24%	0.00%	0.28%	0.00%	0.14%	0.56%	0.06%	0.00%	0.00%	0.21%	0.06%	0.65%	0.00%	0.06%	0.22%	0.09%	0.00%	0.09%	0.05%	0.00%	0.00%	0.14%	0.00%	0.00%	0.07%	0.40%	0.11%	0.47%	0.05%	0.06%	0.13%	0.27%	0.06%	1.04%	0.16%	0.16%	0.08%	0.26%	0.08%	1.82%	0.00%	0.00%	1.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	132	2	2	1	2	2	1	0	0	0	3	0	6	2	0	1	7	11	4	2	2	2	2	1	1	0	0	1	1	0	8	0	2	3	1	0	1	3	1	0	0	3	1	0	1	9	1	1	3	0	4	1	3	0	0	2	0	0	3	0	0	1	6	0	1	0	1	1	3	1	5	0	1	1	0	0	3	0	0	1									
		0.12%	0.11%	0.25%	0.07%	0.19%	0.25%	0.08%	0.00%	0.00%	0.00%	0.21%	0.00%	0.36%	0.11%	0.00%	0.07%	0.53%	0.71%	0.24%	0.22%	0.09%	0.12%	0.11%	0.56%	0.06%	0.00%	0.00%	0.05%	0.07%	0.00%	0.36%	0.00%	0.17%	0.31%	0.12%	0.00%	0.05%	0.15%	0.15%	0.00%	0.00%	0.21%	0.06%	0.00%	0.23%	0.59%	0.05%	0.06%	0.16%	0.00%	0.24%	0.11%	0.13%	0.00%	0.00%	0.11%	0.00%	0.00%	0.21%	0.00%	0.00%	0.07%	0.40%	0.00%	0.12%	0.00%	0.06%	0.06%	0.20%	0.06%	0.35%	0.00%	0.16%	0.08%	0.00%	0.00%	0.32%	0.00%	0.00%	0.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	18997	305	139	234	189	147	232	111	34	275	273	318	315	347	145	234	193	290	318	173	370	314	245	29	260	123	230	349	230	91	512	267	215	182	154	205	354	385	122	266	349	245	292	248	80	286	356	274	351	251	318	171	379	196	357	311	291	173	270	297	156	262	277	123	157	410	373	281	281	256	230	109	115	224	323	232	144	150	116	108									
		17.79%	17.13%	17.62%	16.85%	18.40%	18.65%	17.99%	17.10%	17.26%	18.72%	18.70%	18.71%	19.16%	19.32%	16.59%	16.94%	14.73%	18.75%	18.69%	18.74%	16.22%	18.34%	13.25%	16.11%	16.81%	17.90%	18.53%	18.74%	17.04%	17.01%	22.84%	17.86%	18.60%	18.74%	18.71%	16.36%	18.71%	18.71%	18.77%	18.79%	18.77%	16.92%	18.08%	15.00%	18.65%	18.73%	18.70%	17.36%	19.02%	16.44%	18.72%	18.67%	16.78%	17.09%	16.82%	17.07%	16.23%	16.80%	18.75%	16.78%	17.11%	17.09%	18.54%	13.03%	18.58%	18.70%	23.44%	17.63%	18.72%	15.40%	15.99%	17.11%	17.97%	16.99%	16.96%	19.16%	15.38%	16.84%	17.74%	18.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	258	0	3	1	5	4	0	1	0	5	2	0	7	0	0	1	6	9	4	3	2	9	2	1	0	0	3	4	0	0	34	8	3	4	4	0	15	6	0	3	5	7	9	3	1	0	7	1	1	1	3	3	1	0	0	2	7	0	3	2	1	1	6	2	11	1	3	2	0	1	8	0	1	1	4	0	5	1	0	5									
		0.24%	0.00%	0.38%	0.07%	0.49%	0.51%	0.00%	0.15%	0.00%	0.34%	0.14%	0.00%	0.43%	0.00%	0.00%	0.07%	0.46%	0.58%	0.24%	0.33%	0.09%	0.53%	0.11%	0.56%	0.00%	0.00%	0.24%	0.21%	0.00%	0.00%	1.52%	0.54%	0.26%	0.41%	0.49%	0.00%	0.79%	0.29%	0.00%	0.21%	0.27%	0.48%	0.56%	0.18%	0.23%	0.00%	0.37%	0.06%	0.05%	0.07%	0.18%	0.33%	0.04%	0.00%	0.00%	0.11%	0.39%	0.00%	0.21%	0.11%	0.11%	0.07%	0.40%	0.21%	1.30%	0.05%	0.19%	0.13%	0.00%	0.06%	0.56%	0.00%	0.16%	0.08%	0.21%	0.00%	0.53%	0.11%	0.00%	0.87%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	268	0	2	1	2	2	0	0	0	3	2	0	30	1	0	1	26	0	4	2	2	0	1	1	1	0	5	4	1	0	17	6	2	0	4	0	10	5	2	4	0	5	6	1	1	4	5	2	3	0	5	7	3	0	4	1	0	0	2	0	0	2	7	1	10	1	1	1	9	1	10	1	1	1	0	1	25	1	1	4									
		0.25%	0.00%	0.25%	0.07%	0.19%	0.25%	0.00%	0.00%	0.00%	0.20%	0.14%	0.00%	1.82%	0.06%	0.00%	0.07%	1.98%	0.00%	0.24%	0.22%	0.09%	0.00%	0.05%	0.56%	0.06%	0.00%	0.40%	0.21%	0.07%	0.00%	0.76%	0.40%	0.17%	0.00%	0.49%	0.00%	0.53%	0.24%	0.31%	0.28%	0.00%	0.35%	0.37%	0.06%	0.23%	0.26%	0.26%	0.13%	0.16%	0.00%	0.29%	0.76%	0.13%	0.00%	0.19%	0.05%	0.00%	0.00%	0.14%	0.00%	0.00%	0.13%	0.47%	0.11%	1.18%	0.05%	0.06%	0.06%	0.60%	0.06%	0.70%	0.16%	0.16%	0.08%	0.00%	0.08%	2.67%	0.11%	0.15%	0.69%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	128	1	3	0	3	2	0	0	1	1	4	0	7	2	1	0	12	2	4	1	1	11	1	1	1	0	0	1	1	0	4	1	4	0	0	0	2	3	0	3	2	3	3	1	2	1	2	1	9	0	2	1	2	0	0	0	0	0	1	0	0	1	3	0	1	0	2	1	0	2	1	0	1	1	0	0	4	0	3	0									
		0.12%	0.06%	0.38%	0.00%	0.29%	0.25%	0.00%	0.00%	0.51%	0.07%	0.27%	0.00%	0.43%	0.11%	0.11%	0.00%	0.92%	0.13%	0.24%	0.11%	0.04%	0.64%	0.05%	0.56%	0.06%	0.00%	0.00%	0.05%	0.07%	0.00%	0.18%	0.07%	0.35%	0.00%	0.00%	0.00%	0.11%	0.15%	0.00%	0.21%	0.11%	0.21%	0.19%	0.06%	0.47%	0.07%	0.11%	0.06%	0.49%	0.00%	0.12%	0.11%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.07%	0.20%	0.00%	0.12%	0.00%	0.13%	0.06%	0.00%	0.12%	0.07%	0.00%	0.16%	0.08%	0.00%	0.00%	0.43%	0.00%	0.46%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	490	0	2	2	7	2	2	1	0	8	3	6	39	1	1	1	112	4	4	2	3	4	3	1	2	0	5	3	0	1	30	4	4	5	2	0	5	4	4	5	8	6	8	2	2	10	20	3	16	0	12	7	1	2	0	2	5	2	8	3	0	2	10	0	13	3	4	2	9	2	6	1	1	1	3	2	23	2	0	7									
		0.46%	0.00%	0.25%	0.14%	0.68%	0.25%	0.16%	0.15%	0.00%	0.54%	0.21%	0.35%	2.37%	0.06%	0.11%	0.07%	8.55%	0.26%	0.24%	0.22%	0.13%	0.23%	0.16%	0.56%	0.13%	0.00%	0.40%	0.16%	0.00%	0.19%	1.34%	0.27%	0.35%	0.51%	0.24%	0.00%	0.26%	0.19%	0.62%	0.35%	0.43%	0.41%	0.50%	0.12%	0.47%	0.65%	1.05%	0.19%	0.87%	0.00%	0.71%	0.76%	0.04%	0.17%	0.00%	0.11%	0.28%	0.19%	0.56%	0.17%	0.00%	0.13%	0.67%	0.00%	1.54%	0.14%	0.25%	0.13%	0.60%	0.12%	0.42%	0.16%	0.16%	0.08%	0.16%	0.17%	2.46%	0.22%	0.00%	1.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	19409	378	73	361	147	114	284	137	42	214	218	297	121	360	178	357	157	225	247	134	832	247	530	22	322	145	199	271	282	115	132	217	167	142	120	325	275	299	94	206	271	294	230	386	62	222	277	334	279	331	247	133	593	243	558	385	454	271	209	466	192	323	217	240	70	319	217	332	218	220	188	134	133	278	402	180	104	190	137	84									
		18.18%	21.24%	9.25%	25.99%	14.31%	14.47%	22.03%	21.11%	21.32%	14.57%	14.93%	17.47%	7.36%	20.04%	20.37%	25.85%	11.98%	14.54%	14.52%	14.52%	36.48%	14.43%	28.66%	12.22%	20.81%	21.11%	16.04%	14.55%	20.89%	21.50%	5.89%	14.52%	14.45%	14.62%	14.58%	25.94%	14.53%	14.53%	14.46%	14.55%	14.58%	20.30%	14.24%	23.35%	14.45%	14.54%	14.55%	21.17%	15.12%	21.68%	14.54%	14.52%	26.25%	21.19%	26.30%	21.13%	25.32%	26.31%	14.51%	26.33%	21.05%	21.07%	14.52%	25.42%	8.28%	14.55%	13.64%	20.83%	14.52%	13.24%	13.07%	21.04%	20.78%	21.09%	21.11%	14.86%	11.11%	21.32%	20.95%	14.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	215	2	2	0	7	2	0	0	1	7	3	2	19	0	1	1	24	2	8	2	1	8	1	0	3	0	0	4	0	0	13	2	5	1	1	0	2	4	6	4	4	2	8	2	1	7	3	3	2	0	2	2	2	2	2	1	0	0	7	0	0	1	5	0	6	2	1	2	2	2	0	0	0	1	0	0	3	1	1	0									
		0.20%	0.11%	0.25%	0.00%	0.68%	0.25%	0.00%	0.00%	0.51%	0.48%	0.21%	0.12%	1.16%	0.00%	0.11%	0.07%	1.83%	0.13%	0.47%	0.22%	0.04%	0.47%	0.05%	0.00%	0.19%	0.00%	0.00%	0.21%	0.00%	0.00%	0.58%	0.13%	0.43%	0.10%	0.12%	0.00%	0.11%	0.19%	0.92%	0.28%	0.22%	0.14%	0.50%	0.12%	0.23%	0.46%	0.16%	0.19%	0.11%	0.00%	0.12%	0.22%	0.09%	0.17%	0.09%	0.05%	0.00%	0.00%	0.49%	0.00%	0.00%	0.07%	0.33%	0.00%	0.71%	0.09%	0.06%	0.13%	0.13%	0.12%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.32%	0.11%	0.15%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	18410	403	78	287	141	109	258	145	43	205	203	387	121	411	190	284	107	215	237	129	328	236	446	11	342	151	171	259	300	119	146	208	160	136	115	255	263	287	90	198	260	301	208	363	60	213	265	354	261	357	237	128	467	257	435	408	358	214	201	367	204	343	207	205	79	305	352	352	209	499	118	141	133	288	423	173	98	194	146	53									
		17.24%	22.64%	9.89%	20.66%	13.73%	13.83%	20.02%	22.34%	21.83%	13.96%	13.90%	22.76%	7.36%	22.88%	21.74%	20.56%	8.17%	13.90%	13.93%	13.98%	14.38%	13.79%	24.12%	6.11%	22.11%	21.98%	13.78%	13.91%	22.22%	22.24%	6.51%	13.91%	13.84%	14.01%	13.97%	20.35%	13.90%	13.95%	13.85%	13.98%	13.99%	20.79%	12.88%	21.96%	13.99%	13.95%	13.92%	22.43%	14.15%	23.38%	13.95%	13.97%	20.67%	22.41%	20.50%	22.39%	19.97%	20.78%	13.96%	20.73%	22.37%	22.37%	13.86%	21.72%	9.35%	13.91%	22.12%	22.08%	13.92%	30.02%	8.21%	22.14%	20.78%	21.85%	22.22%	14.29%	10.47%	21.77%	22.32%	9.20%									
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
