Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    район Митино																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1209	29	29	10	27	23	26	24	23	29	26	23	26	17	16	17	15	22	21	22	27	24	31	28	37	35	21	26	24	28	26	35	21	36	27	26	24	24	26	26	27	20	18	27	13	23	27	18	19	18	22									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	875	29	21	4	23	14	23	7	18	24	18	18	14	17	10	14	10	9	19	14	27	18	29	18	31	27	10	15	17	23	20	28	11	33	8	23	17	13	15	12	20	17	10	18	12	23	16	14	14	16	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	899	19	19	10	20	24	32	20	18	12	12	18	10	14	10	12	12	18	5	3	11	10	10	10	11	19	22	18	21	18	17	26	12	20	16	16	35	7	19	37	117	63	2	16	5	9	17	6	2	4	15									
14	Число погашенных неиспользованных открепительных удостоверений	334	0	8	6	4	9	3	17	5	5	8	5	12	0	6	3	5	13	2	8	0	6	2	10	6	8	11	11	7	5	6	7	10	3	19	3	7	11	11	14	7	3	8	9	1	0	11	4	5	2	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	174	5	4	0	6	4	1	3	2	2	3	2	4	2	7	3	1	2	4	4	1	4	3	5	9	8	4	6	4	2	5	3	1	8	0	4	9	6	5	5	4	2	1	2	0	2	2	2	1	4	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	2740	73	67	9	70	52	67	61	56	59	59	65	58	46	37	61	46	68	67	62	55	51	74	53	81	78	39	60	49	60	69	51	40	56	54	64	40	61	72	41	61	42	26	59	25	63	61	44	39	47	42									
		6.67%	7.07%	7.00%	4.69%	7.47%	6.72%	7.21%	6.79%	6.58%	6.49%	6.53%	7.79%	6.52%	6.96%	6.38%	8.94%	7.52%	8.73%	8.32%	7.61%	7.04%	6.21%	7.72%	5.53%	8.35%	7.87%	4.89%	6.83%	5.56%	6.34%	7.94%	5.71%	5.47%	5.37%	5.77%	6.73%	4.52%	7.40%	8.40%	4.23%	5.64%	5.36%	4.24%	6.60%	6.04%	7.48%	7.04%	6.74%	5.90%	8.09%	5.88%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	866	22	13	5	27	18	14	10	18	15	21	21	15	14	10	6	14	21	20	14	19	16	15	29	11	32	19	14	14	16	23	26	14	22	17	25	24	14	19	19	27	18	23	15	2	18	11	15	17	18	16									
		2.11%	2.13%	1.36%	2.60%	2.88%	2.33%	1.51%	1.11%	2.12%	1.65%	2.32%	2.52%	1.69%	2.12%	1.72%	0.88%	2.29%	2.70%	2.48%	1.72%	2.43%	1.95%	1.57%	3.02%	1.13%	3.23%	2.38%	1.59%	1.59%	1.69%	2.65%	2.91%	1.92%	2.11%	1.82%	2.63%	2.71%	1.70%	2.22%	1.96%	2.50%	2.30%	3.75%	1.68%	0.48%	2.14%	1.27%	2.30%	2.57%	3.10%	2.24%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1199	36	27	9	30	19	27	12	16	21	16	23	25	18	14	19	11	24	23	21	20	20	30	31	43	28	27	26	27	34	25	38	24	21	35	36	32	31	21	37	36	10	18	22	10	19	20	25	19	16	27									
		2.92%	3.48%	2.82%	4.69%	3.20%	2.45%	2.91%	1.34%	1.88%	2.31%	1.77%	2.76%	2.81%	2.72%	2.41%	2.79%	1.80%	3.08%	2.86%	2.58%	2.56%	2.44%	3.13%	3.23%	4.43%	2.83%	3.38%	2.96%	3.06%	3.59%	2.88%	4.26%	3.28%	2.02%	3.74%	3.79%	3.62%	3.76%	2.45%	3.81%	3.33%	1.28%	2.94%	2.46%	2.42%	2.26%	2.31%	3.83%	2.87%	2.75%	3.78%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14445	380	369	68	295	291	343	279	301	318	310	255	276	203	157	194	191	281	312	259	286	312	333	356	350	350	309	305	298	339	251	337	238	412	318	298	335	266	281	403	390	297	264	297	147	287	324	249	260	232	239									
		35.16%	36.79%	38.56%	35.42%	31.48%	37.60%	36.92%	31.07%	35.37%	34.98%	34.29%	30.58%	31.05%	30.71%	27.07%	28.45%	31.21%	36.07%	38.76%	31.78%	36.62%	38.00%	34.76%	37.12%	36.08%	35.32%	38.72%	34.74%	33.79%	35.80%	28.88%	37.74%	32.56%	39.54%	33.97%	31.34%	37.90%	32.28%	32.79%	41.55%	36.04%	37.88%	43.07%	33.22%	35.51%	34.09%	37.41%	38.13%	39.33%	39.93%	33.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	621	11	12	3	13	13	12	14	11	15	8	19	16	11	14	11	18	13	11	10	8	10	21	13	18	13	9	15	12	14	15	5	7	21	11	16	10	15	9	16	15	13	8	19	9	17	13	6	7	6	15									
		1.51%	1.06%	1.25%	1.56%	1.39%	1.68%	1.29%	1.56%	1.29%	1.65%	0.88%	2.28%	1.80%	1.66%	2.41%	1.61%	2.94%	1.67%	1.37%	1.23%	1.02%	1.22%	2.19%	1.36%	1.86%	1.31%	1.13%	1.71%	1.36%	1.48%	1.73%	0.56%	0.96%	2.02%	1.18%	1.68%	1.13%	1.82%	1.05%	1.65%	1.39%	1.66%	1.31%	2.13%	2.17%	2.02%	1.50%	0.92%	1.06%	1.03%	2.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	161	2	2	0	6	1	2	10	3	2	4	2	6	4	1	5	4	5	1	6	2	3	6	2	2	0	2	2	5	5	4	3	4	7	2	3	3	3	3	4	2	6	2	4	2	1	2	1	2	2	6									
		0.39%	0.19%	0.21%	0.00%	0.64%	0.13%	0.22%	1.11%	0.35%	0.22%	0.44%	0.24%	0.67%	0.61%	0.17%	0.73%	0.65%	0.64%	0.12%	0.74%	0.26%	0.37%	0.63%	0.21%	0.21%	0.00%	0.25%	0.23%	0.57%	0.53%	0.46%	0.34%	0.55%	0.67%	0.21%	0.32%	0.34%	0.36%	0.35%	0.41%	0.18%	0.77%	0.33%	0.45%	0.48%	0.12%	0.23%	0.15%	0.30%	0.34%	0.84%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5421	136	119	16	135	83	122	75	109	126	105	85	132	73	75	78	42	100	94	105	102	103	139	149	107	112	141	141	136	130	131	124	97	157	113	103	135	121	109	133	167	102	96	100	55	102	116	89	99	87	115									
		13.19%	13.17%	12.43%	8.33%	14.41%	10.72%	13.13%	8.35%	12.81%	13.86%	11.62%	10.19%	14.85%	11.04%	12.93%	11.44%	6.86%	12.84%	11.68%	12.88%	13.06%	12.55%	14.51%	15.54%	11.03%	11.30%	17.67%	16.06%	15.42%	13.73%	15.07%	13.89%	13.27%	15.07%	12.07%	10.83%	15.27%	14.68%	12.72%	13.71%	15.43%	13.01%	15.66%	11.19%	13.29%	12.11%	13.39%	13.63%	14.98%	14.97%	16.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	980	15	24	4	26	18	27	31	22	25	22	21	21	17	28	25	22	15	14	23	11	15	19	20	13	28	12	21	20	32	28	12	30	28	19	34	13	21	12	16	14	28	8	29	8	14	16	9	15	16	19									
		2.39%	1.45%	2.51%	2.08%	2.77%	2.33%	2.91%	3.45%	2.59%	2.75%	2.43%	2.52%	2.36%	2.57%	4.83%	3.67%	3.59%	1.93%	1.74%	2.82%	1.41%	1.83%	1.98%	2.09%	1.34%	2.83%	1.50%	2.39%	2.27%	3.38%	3.22%	1.34%	4.10%	2.69%	2.03%	3.58%	1.47%	2.55%	1.40%	1.65%	1.29%	3.57%	1.31%	3.24%	1.93%	1.66%	1.85%	1.38%	2.27%	2.75%	2.66%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1565	31	32	14	32	21	27	66	31	26	36	28	41	43	40	35	33	23	22	33	26	31	32	27	44	43	19	30	29	23	38	19	37	41	33	30	26	39	34	33	33	44	12	68	17	30	50	14	15	12	22									
		3.81%	3.00%	3.34%	7.29%	3.42%	2.71%	2.91%	7.35%	3.64%	2.86%	3.98%	3.36%	4.61%	6.51%	6.90%	5.13%	5.39%	2.95%	2.73%	4.05%	3.33%	3.78%	3.34%	2.82%	4.54%	4.34%	2.38%	3.42%	3.29%	2.43%	4.37%	2.13%	5.06%	3.93%	3.53%	3.15%	2.94%	4.73%	3.97%	3.40%	3.05%	5.61%	1.96%	7.61%	4.11%	3.56%	5.77%	2.14%	2.27%	2.07%	3.08%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	152	7	3	1	5	0	6	0	6	3	5	3	2	2	3	0	3	2	3	2	3	4	5	4	4	3	1	4	3	1	1	5	4	9	3	5	3	1	4	1	5	1	1	3	5	4	3	2	1	2	1									
		0.37%	0.68%	0.31%	0.52%	0.53%	0.00%	0.65%	0.00%	0.71%	0.33%	0.55%	0.36%	0.22%	0.30%	0.52%	0.00%	0.49%	0.26%	0.37%	0.25%	0.38%	0.49%	0.52%	0.42%	0.41%	0.30%	0.13%	0.46%	0.34%	0.11%	0.12%	0.56%	0.55%	0.86%	0.32%	0.53%	0.34%	0.12%	0.47%	0.10%	0.46%	0.13%	0.16%	0.34%	1.21%	0.48%	0.35%	0.31%	0.15%	0.34%	0.14%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4306	83	100	36	98	85	63	183	101	88	124	120	92	113	90	128	91	75	56	81	85	87	88	69	104	100	53	75	68	87	77	69	97	96	109	126	77	82	105	64	76	90	39	122	53	106	88	59	49	27	72									
		10.48%	8.03%	10.45%	18.75%	10.46%	10.98%	6.78%	20.38%	11.87%	9.68%	13.72%	14.39%	10.35%	17.10%	15.52%	18.77%	14.87%	9.63%	6.96%	9.94%	10.88%	10.60%	9.19%	7.19%	10.72%	10.09%	6.64%	8.54%	7.71%	9.19%	8.86%	7.73%	13.27%	9.21%	11.65%	13.25%	8.71%	9.95%	12.25%	6.60%	7.02%	11.48%	6.36%	13.65%	12.80%	12.59%	10.16%	9.04%	7.41%	4.65%	10.08%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5336	125	105	20	110	118	134	99	106	132	142	119	125	75	80	78	78	100	111	117	96	107	121	120	126	138	80	125	108	124	115	132	90	104	144	140	125	116	123	114	170	78	75	102	50	122	92	71	91	76	87									
		12.99%	12.10%	10.97%	10.42%	11.74%	15.25%	14.42%	11.02%	12.46%	14.52%	15.71%	14.27%	14.06%	11.35%	13.79%	11.44%	12.75%	12.84%	13.79%	14.36%	12.29%	13.03%	12.63%	12.51%	12.99%	13.93%	10.03%	14.24%	12.24%	13.09%	13.23%	14.78%	12.31%	9.98%	15.38%	14.72%	14.14%	14.08%	14.35%	11.75%	15.71%	9.95%	12.23%	11.41%	12.08%	14.49%	10.62%	10.87%	13.77%	13.08%	12.18%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	215	2	3	0	6	1	8	6	7	8	8	4	8	3	0	1	5	4	5	9	5	2	4	7	3	8	5	3	6	1	2	3	2	7	4	4	5	3	5	6	3	8	4	6	0	9	2	2	5	0	3									
		0.52%	0.19%	0.31%	0.00%	0.64%	0.13%	0.86%	0.67%	0.82%	0.88%	0.88%	0.48%	0.90%	0.45%	0.00%	0.15%	0.82%	0.51%	0.62%	1.10%	0.64%	0.24%	0.42%	0.73%	0.31%	0.81%	0.63%	0.34%	0.68%	0.11%	0.23%	0.34%	0.27%	0.67%	0.43%	0.42%	0.57%	0.36%	0.58%	0.62%	0.28%	1.02%	0.65%	0.67%	0.00%	1.07%	0.23%	0.31%	0.76%	0.00%	0.42%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2419	93	70	7	69	44	61	46	50	54	34	56	55	31	22	35	43	39	51	61	47	44	55	71	53	50	67	45	48	68	80	47	37	35	61	48	41	40	49	70	71	26	28	40	25	44	54	50	33	26	45									
		5.89%	9.00%	7.31%	3.65%	7.36%	5.68%	6.57%	5.12%	5.88%	5.94%	3.76%	6.71%	6.19%	4.69%	3.79%	5.13%	7.03%	5.01%	6.34%	7.48%	6.02%	5.36%	5.74%	7.40%	5.46%	5.05%	8.40%	5.13%	5.44%	7.18%	9.21%	5.26%	5.06%	3.36%	6.52%	5.05%	4.64%	4.85%	5.72%	7.22%	6.56%	3.32%	4.57%	4.47%	6.04%	5.23%	6.24%	7.66%	4.99%	4.48%	6.30%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
