Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Бакалинская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	386	6	10	6	10	5	10	10	7	5	5	5	10	15	20	3	4	20	5	8	3	10	3	8	3	6	3	2	3	10	5	3	20	11	5	11	5	2	5	5	2	0	5	10	2	19	10	5	0	15	16	5	0	3	3	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	386	6	10	6	10	5	10	10	7	5	5	5	10	15	20	3	4	20	5	8	3	10	3	8	3	6	3	2	3	10	5	3	20	11	5	11	5	2	5	5	2	0	5	10	2	19	10	5	0	15	16	5	0	3	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	0	5	10	5	0	1	0	1	2	0	0	0	1	4	2	0	0	0	0	0	0	1	1	0	0	0	2	0	1	2	1	2	1	1	0	1	0	0	0	0	2	0	1	0	2	3	1	1	0	3	0	0	0	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	76	0	4	3	3	1	9	4	3	0	0	1	12	5	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	3	2	0	0	7	2	2	2	0	5	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	75	8	7	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	10	0	11	0	1	0	9	1	0	0	0	0	0	3	11	0	0	0	0	0	2	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0									
		0.38%	1.16%	0.65%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.27%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.16%	0.00%	3.19%	0.00%	0.38%	0.00%	2.54%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.37%	0.47%	2.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	183	37	3	0	0	0	0	8	2	1	5	0	0	2	0	0	0	0	0	23	0	12	0	1	0	16	0	0	0	0	0	0	22	14	11	0	0	0	0	12	5	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0									
		0.93%	5.36%	0.28%	0.00%	0.00%	0.00%	0.00%	0.80%	0.52%	0.27%	1.84%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	4.97%	0.00%	3.48%	0.00%	0.38%	0.00%	4.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.50%	1.93%	3.55%	0.00%	0.00%	0.00%	0.00%	3.65%	2.69%	0.00%	1.12%	2.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	85	6	19	0	0	5	0	3	1	0	6	3	0	3	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	9	1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0									
		0.43%	0.87%	1.78%	0.00%	0.00%	1.31%	0.00%	0.30%	0.26%	0.00%	2.21%	0.95%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	2.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	2.74%	0.54%	0.00%	1.12%	0.47%	1.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12039	489	631	443	673	207	689	611	221	221	169	187	213	227	190	113	206	202	190	327	66	211	78	156	74	223	156	58	83	104	125	112	376	538	174	158	153	139	296	197	105	52	153	128	89	312	196	210	78	201	486	103	53	59	74	54									
		61.38%	70.87%	59.03%	62.39%	62.26%	54.19%	62.98%	61.28%	57.25%	58.62%	62.13%	58.99%	65.54%	64.49%	50.40%	62.09%	59.37%	60.48%	59.75%	70.63%	58.41%	61.16%	60.00%	59.32%	64.35%	62.99%	63.67%	65.17%	58.45%	58.43%	61.27%	58.64%	59.78%	74.31%	56.13%	62.70%	58.17%	60.43%	58.61%	59.88%	56.45%	59.77%	57.30%	60.09%	64.03%	58.10%	57.99%	63.25%	62.40%	60.00%	60.07%	58.19%	74.65%	61.46%	58.73%	58.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	90	1	5	2	7	9	4	3	6	4	3	0	1	0	0	1	1	1	4	0	0	0	2	1	0	1	0	0	0	1	1	1	3	1	0	1	1	1	2	0	2	0	1	2	0	5	3	1	0	3	4	1	0	0	0	0									
		0.46%	0.14%	0.47%	0.28%	0.65%	2.36%	0.37%	0.30%	1.55%	1.06%	1.10%	0.00%	0.31%	0.00%	0.00%	0.55%	0.29%	0.30%	1.26%	0.00%	0.00%	0.00%	1.54%	0.38%	0.00%	0.28%	0.00%	0.00%	0.00%	0.56%	0.49%	0.52%	0.48%	0.14%	0.00%	0.40%	0.38%	0.43%	0.40%	0.00%	1.08%	0.00%	0.37%	0.94%	0.00%	0.93%	0.89%	0.30%	0.00%	0.90%	0.49%	0.56%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	128	14	6	0	6	0	5	7	2	3	0	1	2	2	0	1	2	2	2	13	1	2	1	1	1	2	2	0	1	1	1	1	5	6	4	1	4	4	2	0	0	0	2	0	4	3	2	2	1	2	2	1	0	0	1	0									
		0.65%	2.03%	0.56%	0.00%	0.56%	0.00%	0.46%	0.70%	0.52%	0.80%	0.00%	0.32%	0.62%	0.57%	0.00%	0.55%	0.58%	0.60%	0.63%	2.81%	0.88%	0.58%	0.77%	0.38%	0.87%	0.56%	0.82%	0.00%	0.70%	0.56%	0.49%	0.52%	0.79%	0.83%	1.29%	0.40%	1.52%	1.74%	0.40%	0.00%	0.00%	0.00%	0.75%	0.00%	2.88%	0.56%	0.59%	0.60%	0.80%	0.60%	0.25%	0.56%	0.00%	0.00%	0.79%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	311	57	12	7	10	9	11	10	4	3	0	0	3	5	2	2	4	4	3	11	1	4	1	8	0	3	2	0	1	2	2	2	13	50	10	3	0	0	5	7	2	2	0	4	5	6	3	3	1	3	6	2	0	1	1	1									
		1.59%	8.26%	1.12%	0.99%	0.93%	2.36%	1.01%	1.00%	1.04%	0.80%	0.00%	0.00%	0.92%	1.42%	0.53%	1.10%	1.15%	1.20%	0.94%	2.38%	0.88%	1.16%	0.77%	3.04%	0.00%	0.85%	0.82%	0.00%	0.70%	1.12%	0.98%	1.05%	2.07%	6.91%	3.23%	1.19%	0.00%	0.00%	0.99%	2.13%	1.08%	2.30%	0.00%	1.88%	3.60%	1.12%	0.89%	0.90%	0.80%	0.90%	0.74%	1.13%	0.00%	1.04%	0.79%	1.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.14%	0.19%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	89	1	3	1	0	0	0	3	5	1	0	3	0	7	0	1	0	0	0	1	2	1	0	0	1	0	0	0	0	3	3	3	1	2	8	0	0	0	8	0	0	1	0	0	0	0	6	0	1	6	9	3	0	1	2	2									
		0.45%	0.14%	0.28%	0.14%	0.00%	0.00%	0.00%	0.30%	1.30%	0.27%	0.00%	0.95%	0.00%	1.99%	0.00%	0.55%	0.00%	0.00%	0.00%	0.22%	1.77%	0.29%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	1.69%	1.47%	1.57%	0.16%	0.28%	2.58%	0.00%	0.00%	0.00%	1.58%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	1.78%	0.00%	0.80%	1.79%	1.11%	1.69%	0.00%	1.04%	1.59%	2.15%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	28	4	6	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.14%	0.58%	0.56%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.86%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5167	55	278	205	288	116	279	290	115	113	82	96	78	85	134	55	101	111	96	33	34	84	39	76	31	76	73	25	44	54	56	57	162	41	92	77	80	63	152	101	55	26	83	64	31	158	101	92	34	92	242	53	16	28	37	28									
		26.34%	7.97%	26.01%	28.87%	26.64%	30.37%	25.50%	29.09%	29.79%	29.97%	30.15%	30.28%	24.00%	24.15%	35.54%	30.22%	29.11%	33.23%	30.19%	7.13%	30.09%	24.35%	30.00%	28.90%	26.96%	21.47%	29.80%	28.09%	30.99%	30.34%	27.45%	29.84%	25.76%	5.66%	29.68%	30.56%	30.42%	27.39%	30.10%	30.70%	29.57%	29.89%	31.09%	30.05%	22.30%	29.42%	29.88%	27.71%	27.20%	27.46%	29.91%	29.94%	22.54%	29.17%	29.37%	30.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	121	0	4	3	20	6	18	4	0	0	0	1	0	1	11	0	5	6	5	4	0	0	0	1	0	1	1	0	1	0	0	0	1	5	0	0	4	5	0	0	1	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0									
		0.62%	0.00%	0.37%	0.42%	1.85%	1.57%	1.65%	0.40%	0.00%	0.00%	0.00%	0.32%	0.00%	0.28%	2.92%	0.00%	1.44%	1.80%	1.57%	0.86%	0.00%	0.00%	0.00%	0.38%	0.00%	0.28%	0.41%	0.00%	0.70%	0.00%	0.00%	0.00%	0.16%	0.69%	0.00%	0.00%	1.52%	2.17%	0.00%	0.00%	0.54%	0.00%	0.00%	0.47%	0.00%	2.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1238	11	86	49	77	30	88	47	30	30	7	25	28	18	40	9	25	8	16	24	9	20	9	15	8	22	8	6	11	13	16	15	27	28	8	12	21	18	40	0	15	6	21	6	4	41	27	24	10	28	60	14	2	7	11	8									
		6.31%	1.59%	8.04%	6.90%	7.12%	7.85%	8.04%	4.71%	7.77%	7.96%	2.57%	7.89%	8.62%	5.11%	10.61%	4.95%	7.20%	2.40%	5.03%	5.18%	7.96%	5.80%	6.92%	5.70%	6.96%	6.21%	3.27%	6.74%	7.75%	7.30%	7.84%	7.85%	4.29%	3.87%	2.58%	4.76%	7.98%	7.83%	7.92%	0.00%	8.06%	6.90%	7.87%	2.82%	2.88%	7.64%	7.99%	7.23%	8.00%	8.36%	7.42%	7.91%	2.82%	7.29%	8.73%	8.60%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
