Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Красноуфимская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1045	5	40	20	10	5	35	5	25	5	20	15	15	20	50	5	20	10	40	15	20	5	15	5	45	5	10	5	15	15	50	40	10	55	45	30	15	15	25	15	5	10	10	10	5	40	15	15	50	25	10	5	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	573	2	21	16	8	4	35	5	10	3	7	4	2	11	10	3	16	10	40	7	16	2	12	4	23	3	10	1	1	12	26	35	6	10	16	29	4	6	25	15	0	8	8	7	4	11	4	15	8	2	7	4	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	165	2	9	1	2	2	3	3	4	4	2	3	4	1	10	0	4	1	0	4	3	4	3	4	5	3	2	3	1	1	4	5	2	3	1	1	6	9	3	5	1	2	1	1	0	7	4	1	0	7	1	3	10									
14	Число погашенных неиспользованных открепительных удостоверений	472	3	19	4	2	1	0	0	15	2	13	11	13	9	40	2	4	0	0	8	4	3	3	1	22	2	0	4	14	3	24	5	4	45	29	1	11	9	0	0	5	2	2	3	1	29	11	0	42	23	3	1	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	0	2	0	1	0	4	0	1	0	0	0	0	2	2	1	1	0	0	2	2	0	1	1	1	1	0	0	0	3	2	5	0	0	4	3	0	1	0	0	0	1	0	0	0	0	3	0	3	1	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	146	1	6	4	6	0	6	0	2	0	2	3	1	1	14	2	2	0	6	1	6	0	0	0	7	1	2	1	1	3	5	7	2	5	4	1	6	2	1	1	2	1	1	2	0	5	3	3	6	5	1	0	5									
		1.35%	1.72%	1.41%	2.01%	4.84%	0.00%	2.61%	0.00%	0.76%	0.00%	1.08%	1.56%	0.56%	0.49%	2.43%	4.35%	1.08%	0.00%	1.49%	0.53%	2.16%	0.00%	0.00%	0.00%	1.52%	1.30%	1.64%	1.43%	0.65%	2.31%	1.04%	1.61%	1.60%	0.88%	0.98%	0.39%	3.23%	1.29%	0.41%	0.70%	4.65%	0.94%	1.10%	1.63%	0.00%	1.42%	1.60%	2.01%	1.41%	1.87%	0.66%	0.00%	1.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	554	1	19	12	1	0	4	4	11	5	5	7	5	14	15	2	11	0	12	5	12	5	7	2	27	2	7	1	5	8	35	18	11	42	28	22	12	15	12	12	3	6	10	11	6	16	12	7	31	12	3	1	20									
		5.12%	1.72%	4.46%	6.03%	0.81%	0.00%	1.74%	9.52%	4.18%	5.81%	2.69%	3.65%	2.79%	6.86%	2.61%	4.35%	5.91%	0.00%	2.99%	2.65%	4.32%	7.94%	4.07%	2.78%	5.87%	2.60%	5.74%	1.43%	3.27%	6.15%	7.28%	4.14%	8.80%	7.37%	6.83%	8.59%	6.45%	9.68%	4.90%	8.39%	6.98%	5.66%	10.99%	8.94%	6.00%	4.53%	6.42%	4.70%	7.29%	4.49%	1.99%	2.08%	4.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	349	1	7	10	4	3	8	1	16	1	8	2	6	10	18	0	7	3	12	6	2	1	3	0	12	1	5	1	7	6	21	11	4	18	15	10	7	6	10	2	1	2	2	8	3	10	5	5	17	13	8	5	5									
		3.22%	1.72%	1.64%	5.03%	3.23%	5.77%	3.48%	2.38%	6.08%	1.16%	4.30%	1.04%	3.35%	4.90%	3.13%	0.00%	3.76%	3.85%	2.99%	3.17%	0.72%	1.59%	1.74%	0.00%	2.61%	1.30%	4.10%	1.43%	4.58%	4.62%	4.37%	2.53%	3.20%	3.16%	3.66%	3.91%	3.76%	3.87%	4.08%	1.40%	2.33%	1.89%	2.20%	6.50%	3.00%	2.83%	2.67%	3.36%	4.00%	4.87%	5.30%	10.42%	1.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5193	22	271	102	59	34	142	26	144	61	101	93	78	120	240	24	79	47	216	128	170	38	100	57	182	48	57	45	76	68	188	176	47	223	186	119	99	53	109	43	15	46	32	48	38	192	103	51	161	129	91	15	201									
		47.97%	37.93%	63.62%	51.26%	47.58%	65.38%	61.74%	61.90%	54.75%	70.93%	54.30%	48.44%	43.58%	58.82%	41.74%	52.17%	42.47%	60.26%	53.73%	67.72%	61.15%	60.32%	58.14%	79.17%	39.57%	62.34%	46.72%	64.29%	49.67%	52.31%	39.09%	40.46%	37.60%	39.12%	45.37%	46.48%	53.23%	34.19%	44.49%	30.07%	34.88%	43.40%	35.16%	39.02%	38.00%	54.39%	55.08%	34.23%	37.88%	48.31%	60.26%	31.25%	43.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	69	0	4	0	0	0	4	0	1	0	2	1	3	1	4	0	1	1	3	0	1	0	0	1	1	0	1	1	1	0	4	0	1	2	3	2	3	2	1	0	0	1	2	1	0	3	1	1	5	2	0	0	4									
		0.64%	0.00%	0.94%	0.00%	0.00%	0.00%	1.74%	0.00%	0.38%	0.00%	1.08%	0.52%	1.68%	0.49%	0.70%	0.00%	0.54%	1.28%	0.75%	0.00%	0.36%	0.00%	0.00%	1.39%	0.22%	0.00%	0.82%	1.43%	0.65%	0.00%	0.83%	0.00%	0.80%	0.35%	0.73%	0.78%	1.61%	1.29%	0.41%	0.00%	0.00%	0.94%	2.20%	0.81%	0.00%	0.85%	0.53%	0.67%	1.18%	0.75%	0.00%	0.00%	0.86%									
24	"6. Политическая партия ""Гражданская Платформа"""	44	0	0	0	0	0	0	1	3	0	0	1	0	0	1	0	1	0	3	0	3	0	1	2	0	0	0	0	0	1	0	5	0	2	0	3	2	2	1	0	0	0	1	1	1	1	2	1	0	0	2	0	3									
		0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.38%	1.14%	0.00%	0.00%	0.52%	0.00%	0.00%	0.17%	0.00%	0.54%	0.00%	0.75%	0.00%	1.08%	0.00%	0.58%	2.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	1.15%	0.00%	0.35%	0.00%	1.17%	1.08%	1.29%	0.41%	0.00%	0.00%	0.00%	1.10%	0.81%	1.00%	0.28%	1.07%	0.67%	0.00%	0.00%	1.32%	0.00%	0.65%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1803	8	52	27	41	6	28	7	26	10	28	41	30	30	140	11	36	15	87	13	33	12	20	4	107	12	24	10	36	22	93	84	29	129	52	21	17	17	44	29	13	21	16	10	8	39	17	29	48	58	23	18	72									
		16.65%	13.79%	12.21%	13.57%	33.06%	11.54%	12.17%	16.67%	9.89%	11.63%	15.05%	21.35%	16.76%	14.71%	24.35%	23.91%	19.35%	19.23%	21.64%	6.88%	11.87%	19.05%	11.63%	5.56%	23.26%	15.58%	19.67%	14.29%	23.53%	16.92%	19.33%	19.31%	23.20%	22.63%	12.68%	8.20%	9.14%	10.97%	17.96%	20.28%	30.23%	19.81%	17.58%	8.13%	8.00%	11.05%	9.09%	19.46%	11.29%	21.72%	15.23%	37.50%	15.55%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	38	0	1	1	0	0	1	0	0	1	0	1	0	0	4	0	0	1	1	1	1	0	0	0	2	0	0	0	0	0	2	2	0	4	1	0	0	0	1	0	0	0	0	2	0	2	1	1	3	0	0	0	4									
		0.35%	0.00%	0.23%	0.50%	0.00%	0.00%	0.43%	0.00%	0.00%	1.16%	0.00%	0.52%	0.00%	0.00%	0.70%	0.00%	0.00%	1.28%	0.25%	0.53%	0.36%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.46%	0.00%	0.70%	0.24%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	1.63%	0.00%	0.57%	0.53%	0.67%	0.71%	0.00%	0.00%	0.00%	0.86%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	79	0	2	1	1	0	4	0	2	0	8	1	0	0	6	1	1	0	3	0	0	0	1	0	6	0	0	0	1	0	3	5	2	2	0	0	1	1	3	0	0	1	0	1	0	4	4	0	3	1	0	0	10									
		0.73%	0.00%	0.47%	0.50%	0.81%	0.00%	1.74%	0.00%	0.76%	0.00%	4.30%	0.52%	0.00%	0.00%	1.04%	2.17%	0.54%	0.00%	0.75%	0.00%	0.00%	0.00%	0.58%	0.00%	1.30%	0.00%	0.00%	0.00%	0.65%	0.00%	0.62%	1.15%	1.60%	0.35%	0.00%	0.00%	0.54%	0.65%	1.22%	0.00%	0.00%	0.94%	0.00%	0.81%	0.00%	1.13%	2.14%	0.00%	0.71%	0.37%	0.00%	0.00%	2.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	2	2	2	0	2	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0									
		0.24%	0.00%	0.23%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	1.28%	0.25%	0.00%	0.36%	0.00%	0.00%	0.00%	0.22%	1.30%	0.00%	0.00%	0.00%	1.54%	0.42%	0.46%	0.00%	0.35%	0.24%	0.00%	0.54%	0.00%	0.00%	0.70%	0.00%	0.94%	1.10%	0.00%	1.00%	0.28%	0.00%	0.67%	0.00%	0.00%	0.66%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	85	0	2	3	2	0	0	0	0	1	2	2	2	0	9	0	0	0	1	3	2	0	0	1	9	2	2	0	1	1	2	7	3	1	0	2	2	0	3	0	0	0	1	0	2	1	1	3	1	3	2	0	6									
		0.79%	0.00%	0.47%	1.51%	1.61%	0.00%	0.00%	0.00%	0.00%	1.16%	1.08%	1.04%	1.12%	0.00%	1.57%	0.00%	0.00%	0.00%	0.25%	1.59%	0.72%	0.00%	0.00%	1.39%	1.96%	2.60%	1.64%	0.00%	0.65%	0.77%	0.42%	1.61%	2.40%	0.18%	0.00%	0.78%	1.08%	0.00%	1.22%	0.00%	0.00%	0.00%	1.10%	0.00%	2.00%	0.28%	0.53%	2.01%	0.24%	1.12%	1.32%	0.00%	1.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1740	17	45	29	3	6	15	2	36	4	20	14	45	20	71	2	31	8	31	22	27	4	24	5	74	4	18	7	11	13	103	96	20	105	91	55	29	45	48	47	7	23	17	29	32	56	33	34	125	24	16	5	92									
		16.07%	29.31%	10.56%	14.57%	2.42%	11.54%	6.52%	4.76%	13.69%	4.65%	10.75%	7.29%	25.14%	9.80%	12.35%	4.35%	16.67%	10.26%	7.71%	11.64%	9.71%	6.35%	13.95%	6.94%	16.09%	5.19%	14.75%	10.00%	7.19%	10.00%	21.41%	22.07%	16.00%	18.42%	22.20%	21.48%	15.59%	29.03%	19.59%	32.87%	16.28%	21.70%	18.68%	23.58%	32.00%	15.86%	17.65%	22.82%	29.41%	8.99%	10.60%	10.42%	19.87%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	0	1	1	0	1	2	0	3	0	0	1	0	0	3	0	0	0	1	0	0	1	0	0	3	1	0	1	0	0	1	1	0	2	4	2	0	1	1	1	0	0	2	0	0	0	0	0	0	1	0	0	1									
		0.33%	0.00%	0.23%	0.50%	0.00%	1.92%	0.87%	0.00%	1.14%	0.00%	0.00%	0.52%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	1.59%	0.00%	0.00%	0.65%	1.30%	0.00%	1.43%	0.00%	0.00%	0.21%	0.23%	0.00%	0.35%	0.98%	0.78%	0.00%	0.65%	0.41%	0.70%	0.00%	0.00%	2.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.22%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	455	5	9	6	4	2	12	0	15	2	4	21	4	5	37	2	13	2	15	3	13	2	11	0	20	5	3	2	11	5	14	18	5	20	15	6	4	8	7	2	2	3	2	3	7	16	3	12	18	15	3	3	36									
		4.20%	8.62%	2.11%	3.02%	3.23%	3.85%	5.22%	0.00%	5.70%	2.33%	2.15%	10.94%	2.23%	2.45%	6.43%	4.35%	6.99%	2.56%	3.73%	1.59%	4.68%	3.17%	6.40%	0.00%	4.35%	6.49%	2.46%	2.86%	7.19%	3.85%	2.91%	4.14%	4.00%	3.51%	3.66%	2.34%	2.15%	5.16%	2.86%	1.40%	4.65%	2.83%	2.20%	2.44%	7.00%	4.53%	1.60%	8.05%	4.24%	5.62%	1.99%	6.25%	7.78%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
