Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																			
Дата голосования: 02.12.2007																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Балашовская																																																																																																			
																																																																																																			
Сводная таблица результатов выборов																																																																																																			
																																																																																																			
		Сумма	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2079	10	11	14	80	6	7	22	41	17	49	9	17	167	12	12	234	18	40	35	5	22	11	14	268	24	12	16	22	17	11	228	14	21	21	8	0	18	22	23	39	17	11	11	17	11	21	26	47	17	54	8	4	6	6	9	12	3	8	9	4	6	3	5	6	2	8	1	0	8	7	3	3	10	3	4	7	6	4	7	2	7	4	3	3	4	4	3	4	5	9	11	9					
14	Число погашенных неиспользованных открепительных удостоверений	307	2	3	10	0	2	0	0	5	0	0	3	0	0	7	0	0	3	0	8	4	3	0	0	3	0	2	5	0	0	2	1	1	10	2	4	0	3	0	0	6	0	0	1	2	0	3	0	3	1	2	5	6	10	5	3	9	8	5	7	10	0	4	5	0	7	7	8	13	1	0	6	4	8	0	5	0	6	2	10	6	7	7	0	10	3	2	9	5	0	2	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	1	0	0	0	4	0	0	1	0	1	0	3	1	0	0	1	3	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1					
16	Число утраченных избирательных бюллетеней	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																			
18	1.Политическая партия «Аграрная партия России»	987	12	9	11	8	5	7	9	10	10	20	4	6	11	6	9	17	12	11	9	8	4	21	8	16	19	13	9	4	15	22	5	10	7	28	8	33	16	27	9	12	11	3	27	32	18	15	27	9	12	30	8	2	1	12	10	10	8	5	2	2	10	6	0	19	5	13	2	2	13	10	5	7	4	6	2	2	3	23	14	4	6	2	6	1	17	8	10	6	14	14	21	8					
		1.80%	2.14%	1.46%	2.35%	1.09%	1.31%	1.07%	1.19%	1.49%	1.69%	2.07%	0.91%	1.32%	0.92%	1.31%	1.57%	1.78%	1.60%	1.36%	1.89%	1.68%	0.65%	2.16%	1.29%	1.50%	2.34%	1.85%	1.49%	0.70%	1.97%	2.26%	0.64%	1.58%	1.57%	2.85%	1.32%	1.75%	1.50%	2.32%	1.19%	1.63%	1.03%	0.40%	1.99%	2.87%	1.90%	2.38%	1.68%	2.13%	1.36%	3.47%	2.45%	1.10%	0.95%	1.62%	1.64%	2.69%	2.99%	1.36%	1.04%	2.13%	2.36%	3.82%	0.00%	3.15%	2.86%	3.18%	1.85%	1.01%	2.85%	1.57%	2.40%	1.13%	1.65%	0.93%	5.88%	0.71%	1.45%	2.21%	2.81%	3.13%	3.05%	1.55%	1.45%	0.56%	2.87%	1.55%	2.56%	1.55%	1.77%	4.29%	2.16%	2.61%					
19	2.Всероссийская политическая партия «Гражданская Сила»	325	4	5	2	4	2	9	7	5	2	15	5	1	11	3	2	7	6	7	2	2	2	7	5	3	9	7	4	3	4	6	5	7	4	9	4	14	14	8	3	2	4	5	5	4	3	4	12	3	7	5	1	2	0	7	1	1	0	0	1	1	3	0	0	0	0	2	0	1	3	5	0	2	0	0	0	2	0	4	1	0	0	0	1	0	2	3	0	0	5	2	2	0					
		0.59%	0.71%	0.81%	0.43%	0.55%	0.52%	1.38%	0.93%	0.74%	0.34%	1.55%	1.14%	0.22%	0.92%	0.66%	0.35%	0.73%	0.80%	0.87%	0.42%	0.42%	0.32%	0.72%	0.80%	0.28%	1.11%	0.99%	0.66%	0.53%	0.53%	0.62%	0.64%	1.11%	0.90%	0.92%	0.66%	0.74%	1.31%	0.69%	0.40%	0.27%	0.37%	0.67%	0.37%	0.36%	0.32%	0.63%	0.75%	0.71%	0.79%	0.58%	0.31%	1.10%	0.00%	0.94%	0.16%	0.27%	0.00%	0.00%	0.52%	1.06%	0.71%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.51%	0.66%	0.79%	0.00%	0.32%	0.00%	0.00%	0.00%	0.71%	0.00%	0.38%	0.20%	0.00%	0.00%	0.00%	0.24%	0.00%	0.34%	0.58%	0.00%	0.00%	0.63%	0.61%	0.21%	0.00%					
20	3.Политическая партия «Демократическая партия России»	59	1	2	0	1	1	1	0	2	1	0	2	1	0	1	1	2	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	0	1	2	0	3	2	2	1	0	0	1	1	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	1	1	0	0	0	2	0	0	0	0	1	1	1	0	0	0	1	0	2	0					
		0.11%	0.18%	0.32%	0.00%	0.14%	0.26%	0.15%	0.00%	0.30%	0.17%	0.00%	0.45%	0.22%	0.00%	0.22%	0.17%	0.21%	0.13%	0.12%	0.00%	0.21%	0.16%	0.10%	0.16%	0.00%	0.12%	0.14%	0.00%	0.00%	0.00%	0.10%	0.13%	0.00%	0.22%	0.20%	0.00%	0.16%	0.19%	0.17%	0.13%	0.00%	0.00%	0.13%	0.07%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.95%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	1.45%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.41%	0.16%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.24%	0.56%	0.17%	0.00%	0.00%	0.00%	0.13%	0.00%	0.21%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7905	69	86	66	95	20	91	151	71	75	142	59	102	186	71	93	108	126	102	65	78	94	146	86	164	147	100	98	81	165	163	112	85	77	203	113	220	76	176	177	113	165	188	267	212	226	143	267	69	143	229	22	14	7	40	55	17	23	26	16	3	63	12	7	62	5	33	9	14	79	28	19	121	15	58	4	30	18	100	44	6	20	6	35	15	33	68	62	34	107	32	157	25					
		14.38%	12.32%	13.96%	14.10%	12.98%	5.22%	13.94%	19.97%	10.57%	12.65%	14.72%	13.41%	22.52%	15.59%	15.50%	16.20%	11.32%	16.80%	12.66%	13.66%	16.35%	15.24%	15.05%	13.83%	15.40%	18.13%	14.22%	16.23%	14.26%	21.68%	16.74%	14.25%	13.43%	17.26%	20.65%	18.71%	11.65%	7.10%	15.12%	23.35%	15.33%	15.41%	25.23%	19.76%	19.03%	23.92%	22.66%	16.59%	16.35%	16.18%	26.47%	6.75%	7.69%	6.67%	5.38%	9.03%	4.57%	8.61%	7.07%	8.29%	3.19%	14.86%	7.64%	10.14%	10.26%	2.86%	8.07%	8.33%	7.07%	17.32%	4.41%	9.13%	19.48%	6.17%	8.99%	11.76%	10.71%	8.70%	9.62%	8.82%	4.69%	10.15%	4.65%	8.43%	8.38%	5.57%	13.15%	15.86%	8.79%	13.56%	9.82%	16.15%	8.14%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	139	0	1	2	0	2	1	3	3	2	5	2	2	8	0	3	1	3	3	2	2	4	1	0	2	2	1	4	0	3	5	2	0	1	3	0	5	7	9	1	0	1	1	2	0	0	2	9	2	0	3	0	0	0	3	3	1	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	4	3					
		0.25%	0.00%	0.16%	0.43%	0.00%	0.52%	0.15%	0.40%	0.45%	0.34%	0.52%	0.45%	0.44%	0.67%	0.00%	0.52%	0.10%	0.40%	0.37%	0.42%	0.42%	0.65%	0.10%	0.00%	0.19%	0.25%	0.14%	0.66%	0.00%	0.39%	0.51%	0.25%	0.00%	0.22%	0.31%	0.00%	0.26%	0.65%	0.77%	0.13%	0.00%	0.09%	0.13%	0.15%	0.00%	0.00%	0.32%	0.56%	0.47%	0.00%	0.35%	0.00%	0.00%	0.00%	0.40%	0.49%	0.27%	0.75%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.22%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.98%					
23	6.Политическая партия «Партия социальной справедливости»	97	0	1	0	1	1	0	3	0	0	0	0	1	0	0	1	3	0	2	1	0	0	3	0	2	1	0	1	0	2	3	1	1	0	0	0	2	4	0	2	0	4	3	1	0	1	2	3	1	0	0	1	2	0	2	2	2	0	0	0	2	0	1	0	2	1	0	1	1	0	2	0	3	0	1	0	1	2	2	2	0	2	1	1	1	2	2	0	0	3	0	3	1					
		0.18%	0.00%	0.16%	0.00%	0.14%	0.26%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.17%	0.31%	0.00%	0.25%	0.21%	0.00%	0.00%	0.31%	0.00%	0.19%	0.12%	0.00%	0.17%	0.00%	0.26%	0.31%	0.13%	0.16%	0.00%	0.00%	0.00%	0.11%	0.37%	0.00%	0.26%	0.00%	0.37%	0.40%	0.07%	0.00%	0.11%	0.32%	0.19%	0.24%	0.00%	0.00%	0.31%	1.10%	0.00%	0.27%	0.33%	0.54%	0.00%	0.00%	0.00%	2.13%	0.00%	0.64%	0.00%	0.33%	0.57%	0.00%	0.93%	0.51%	0.00%	0.31%	0.00%	0.48%	0.00%	0.16%	0.00%	0.36%	0.97%	0.19%	0.40%	0.00%	1.02%	0.78%	0.24%	0.56%	0.34%	0.39%	0.00%	0.00%	0.38%	0.00%	0.31%	0.33%					
24	7.Политическая партия «Либерально-демократическая партия России»	4130	37	55	39	64	13	61	50	50	52	80	44	29	82	34	48	72	70	78	28	26	62	86	68	98	68	55	54	36	62	68	65	58	30	76	47	220	124	96	54	58	82	55	86	66	67	46	126	35	55	50	23	7	8	50	32	34	15	14	7	6	24	7	6	54	13	19	6	7	16	44	13	34	11	40	0	32	17	82	32	6	9	8	20	3	28	22	16	21	60	22	73	24					
		7.51%	6.61%	8.93%	8.33%	8.74%	3.39%	9.34%	6.61%	7.44%	8.77%	8.29%	10.00%	6.40%	6.87%	7.42%	8.36%	7.55%	9.33%	9.68%	5.88%	5.45%	10.05%	8.87%	10.93%	9.20%	8.38%	7.82%	8.94%	6.34%	8.15%	6.98%	8.27%	9.16%	6.73%	7.73%	7.78%	11.65%	11.59%	8.25%	7.12%	7.87%	7.66%	7.38%	6.37%	5.92%	7.09%	7.29%	7.83%	8.29%	6.22%	5.78%	7.06%	3.85%	7.62%	6.73%	5.25%	9.14%	5.62%	3.80%	3.63%	6.38%	5.66%	4.46%	8.70%	8.94%	7.43%	4.65%	5.56%	3.54%	3.51%	6.93%	6.25%	5.48%	4.53%	6.20%	0.00%	11.43%	8.21%	7.88%	6.41%	4.69%	4.57%	6.20%	4.82%	1.68%	4.73%	4.26%	4.09%	5.43%	7.60%	6.75%	7.51%	7.82%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6252	64	70	66	63	20	89	90	69	69	98	55	30	115	58	50	124	76	106	40	60	75	136	79	82	98	84	60	74	89	129	66	86	47	74	79	140	68	113	95	75	155	84	139	145	121	72	160	35	109	90	66	21	11	56	81	38	34	32	16	11	36	18	10	67	14	62	22	38	68	69	24	88	50	68	5	35	30	149	51	13	20	16	66	36	44	105	47	43	95	36	152	38					
		11.37%	11.43%	11.36%	14.10%	8.61%	5.22%	13.63%	11.90%	10.27%	11.64%	10.16%	12.50%	6.62%	9.64%	12.66%	8.71%	12.99%	10.13%	13.15%	8.40%	12.58%	12.16%	14.02%	12.70%	7.70%	12.08%	11.95%	9.93%	13.03%	11.70%	13.24%	8.40%	13.59%	10.54%	7.53%	13.08%	7.41%	6.36%	9.71%	12.53%	10.18%	14.47%	11.28%	10.29%	13.02%	12.80%	11.41%	9.94%	8.29%	12.33%	10.40%	20.25%	11.54%	10.48%	7.54%	13.30%	10.22%	12.73%	8.70%	8.29%	11.70%	8.49%	11.46%	14.49%	11.09%	8.00%	15.16%	20.37%	19.19%	14.91%	10.87%	11.54%	14.17%	20.58%	10.54%	14.71%	12.50%	14.49%	14.33%	10.22%	10.16%	10.15%	12.40%	15.90%	20.11%	7.43%	20.31%	12.02%	11.11%	12.04%	11.04%	15.64%	12.38%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	272	1	5	1	3	1	3	9	1	1	2	5	1	3	1	2	5	4	5	1	4	2	6	5	6	2	9	3	8	6	3	0	4	1	7	1	20	9	3	3	2	2	5	8	7	3	2	9	0	5	7	0	2	0	3	1	1	1	1	1	1	0	0	0	4	1	2	1	4	3	4	0	2	1	3	0	0	0	2	1	2	3	2	2	0	3	0	3	0	1	2	6	3					
		0.49%	0.18%	0.81%	0.21%	0.41%	0.26%	0.46%	1.19%	0.15%	0.17%	0.21%	1.14%	0.22%	0.25%	0.22%	0.35%	0.52%	0.53%	0.62%	0.21%	0.84%	0.32%	0.62%	0.80%	0.56%	0.25%	1.28%	0.50%	1.41%	0.79%	0.31%	0.00%	0.63%	0.22%	0.71%	0.17%	1.06%	0.84%	0.26%	0.40%	0.27%	0.19%	0.67%	0.59%	0.63%	0.32%	0.32%	0.56%	0.00%	0.57%	0.81%	0.00%	1.10%	0.00%	0.40%	0.16%	0.27%	0.37%	0.27%	0.52%	1.06%	0.00%	0.00%	0.00%	0.66%	0.57%	0.49%	0.93%	2.02%	0.66%	0.63%	0.00%	0.32%	0.41%	0.47%	0.00%	0.00%	0.00%	0.19%	0.20%	1.56%	1.52%	1.55%	0.48%	0.00%	0.51%	0.00%	0.77%	0.00%	0.13%	0.61%	0.62%	0.98%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	32887	359	364	264	475	280	363	414	434	359	568	255	264	741	268	342	583	420	460	313	266	345	530	356	654	440	414	357	321	389	539	509	343	257	555	338	1093	721	689	400	448	618	371	782	611	474	330	943	264	532	427	194	118	71	559	358	259	175	278	139	68	266	107	43	372	129	263	64	122	246	457	144	349	155	439	22	167	123	645	338	97	122	94	276	112	443	301	241	270	480	213	531	195					
		59.82%	64.11%	59.09%	56.41%	64.89%	73.11%	55.59%	54.76%	64.58%	60.54%	58.86%	57.95%	58.28%	62.11%	58.52%	59.58%	61.11%	56.00%	57.07%	65.76%	55.77%	55.92%	54.64%	57.23%	61.41%	54.25%	58.89%	59.11%	56.51%	51.12%	55.34%	64.76%	54.19%	57.62%	56.46%	55.96%	57.86%	67.38%	59.19%	52.77%	60.79%	57.70%	49.80%	57.88%	54.85%	50.16%	52.30%	58.61%	62.56%	60.18%	49.36%	59.51%	64.84%	67.62%	75.24%	58.78%	69.62%	65.54%	75.54%	72.02%	72.34%	62.74%	68.15%	62.32%	61.59%	73.71%	64.30%	59.26%	61.62%	53.95%	71.97%	69.23%	56.20%	63.79%	68.06%	64.71%	59.64%	59.42%	62.02%	67.74%	75.78%	61.93%	72.87%	66.51%	62.57%	74.83%	58.22%	61.64%	69.77%	60.84%	65.34%	54.63%	63.52%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	551	2	9	8	3	4	10	10	5	11	20	3	8	17	4	9	15	12	11	6	14	10	10	3	14	9	5	3	3	10	17	2	2	6	8	4	22	14	20	0	7	9	13	8	12	13	7	31	2	10	8	1	0	0	7	2	3	0	1	2	0	0	0	0	3	2	2	2	1	7	5	0	2	0	4	0	3	0	12	7	0	1	0	0	5	5	0	0	0	2	1	3	5					
		1.00%	0.36%	1.46%	1.71%	0.41%	1.04%	1.53%	1.32%	0.74%	1.85%	2.07%	0.68%	1.77%	1.42%	0.87%	1.57%	1.57%	1.60%	1.36%	1.26%	2.94%	1.62%	1.03%	0.48%	1.31%	1.11%	0.71%	0.50%	0.53%	1.31%	1.75%	0.25%	0.32%	1.35%	0.81%	0.66%	1.16%	1.31%	1.72%	0.00%	0.95%	0.84%	1.74%	0.59%	1.08%	1.38%	1.11%	1.93%	0.47%	1.13%	0.92%	0.31%	0.00%	0.00%	0.94%	0.33%	0.81%	0.00%	0.27%	1.04%	0.00%	0.00%	0.00%	0.00%	0.50%	1.14%	0.49%	1.85%	0.51%	1.54%	0.79%	0.00%	0.32%	0.00%	0.62%	0.00%	1.07%	0.00%	1.15%	1.40%	0.00%	0.51%	0.00%	0.00%	2.79%	0.84%	0.00%	0.00%	0.00%	0.25%	0.31%	0.31%	1.63%					
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
