Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Акшинская 																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144					
35	"18. ""ЛДПР"""	848	212	78	27	14	85	122	43	14	54	17	32	63	37	12	38					
		15.73%	12.94%	33.91%	23.47%	8.28%	18.35%	29.11%	11.87%	12.49%	21.51%	9.28%	30.47%	10.57%	11.34%	6.85%	15.44%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	63	23	4	1	2	3	7	4	1	1	3	1	6	1	2	4					
		1.16%	1.40%	1.73%	0.86%	1.18%	0.64%	1.67%	1.10%	0.89%	0.39%	1.63%	0.95%	1.00%	0.30%	1.14%	1.62%					
37	"20. ""Политическая партия ""Единая Россия"""	1984	791	48	36	71	135	121	87	39	65	76	14	233	141	66	61					
		36.80%	48.29%	20.86%	31.30%	42.01%	29.15%	28.87%	24.03%	34.82%	25.89%	41.53%	13.33%	39.09%	43.25%	37.71%	24.79%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	0	0	0	0	6	3	0	1	1	1	1	0	1	0	0					
		0.25%	0.0%	0.0%	0.0%	0.0%	1.29%	0.71%	0.0%	0.89%	0.39%	0.54%	0.95%	0.0%	0.30%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	4	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0					
		0.07%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1038	253	34	12	20	79	61	146	11	41	38	32	137	60	40	74					
		19.25%	15.44%	14.78%	10.43%	11.83%	17.06%	14.55%	40.33%	9.82%	16.33%	20.76%	30.47%	22.98%	18.40%	22.85%	30.08%					
																						
41	Против всех	149	32	24	8	2	9	11	4	2	6	5	4	15	6	4	17					
		2.76%	1.95%	10.43%	6.95%	1.18%	1.94%	2.62%	1.10%	1.78%	2.39%	2.73%	3.80%	2.51%	1.84%	2.28%	6.91%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
