Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																	
Дата голосования: 18.09.2016																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Домодедовская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																	
																																																																																																	
		Сумма	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №2006									
14	Число погашенных неиспользованных открепительных удостоверений	248	5	7	1	2	3	2	3	4	3	4	4	3	3	10	3	6	5	3	1	6	1	5	9	8	1	2	5	4	2	1	3	0	3	1	5	3	0	6	0	1	0	0	0	0	3	14	0	0	8	0	2	0	4	0	0	0	3	1	0	0	0	4	7	4	0	3	0	9	4	0	0	9	0	3	6	6	0	0	0	3	4	0	0	0	0	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	463	6	3	4	7	10	9	5	6	5	2	12	1	4	12	5	4	2	6	3	0	5	6	7	4	4	10	5	6	3	8	9	8	16	3	5	3	5	3	1	7	6	4	5	3	2	2	3	5	2	3	3	5	0	4	2	98	7	2	0	0	3	3	1	1	5	3	3	0	4	0	0	0	8	2	0	6	4	3	12	4	2	9	0	0	0	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1157	22	6	11	10	20	14	19	13	9	9	13	10	21	9	17	7	11	13	10	14	14	24	9	16	2	10	7	40	22	24	15	22	28	28	22	1	18	20	11	21	19	19	16	11	8	9	20	10	6	14	10	10	4	15	19	18	14	0	14	2	1	5	6	12	9	8	15	12	9	11	4	1	17	14	18	25	11	7	26	1	17	25	6	16	2	29									
		2.47%	3.55%	1.23%	2.34%	1.70%	3.08%	2.60%	3.77%	2.55%	1.74%	2.03%	2.12%	3.09%	3.90%	1.48%	3.48%	1.61%	1.94%	2.29%	2.16%	4.20%	2.25%	3.31%	1.64%	2.78%	0.38%	2.04%	1.43%	4.91%	2.99%	3.06%	2.11%	2.98%	3.81%	4.39%	3.75%	0.14%	2.64%	3.06%	1.99%	3.10%	3.31%	1.82%	2.98%	2.25%	1.97%	1.40%	3.80%	2.60%	2.14%	2.55%	1.88%	1.37%	1.21%	2.84%	2.90%	3.63%	1.82%	0.00%	2.69%	1.30%	0.63%	1.34%	4.58%	2.17%	1.56%	1.27%	2.68%	3.63%	1.91%	1.75%	4.65%	1.01%	2.96%	3.81%	2.56%	3.21%	1.25%	1.23%	3.99%	0.51%	2.58%	1.62%	2.50%	3.83%	1.96%	3.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1025	15	9	8	13	16	14	15	11	14	9	13	13	8	7	7	5	19	13	10	5	11	6	14	19	0	9	10	13	11	9	8	6	11	16	15	20	16	13	6	23	15	10	17	13	4	17	18	9	4	11	14	11	10	17	19	9	17	0	15	4	1	9	0	14	11	12	8	2	7	17	2	4	15	4	22	28	17	7	14	5	103	8	7	5	2	7									
		2.19%	2.42%	1.85%	1.70%	2.21%	2.46%	2.60%	2.98%	2.16%	2.70%	2.03%	2.12%	4.01%	1.49%	1.15%	1.43%	1.15%	3.35%	2.29%	2.16%	1.50%	1.77%	0.83%	2.55%	3.30%	0.00%	1.84%	2.04%	1.60%	1.50%	1.15%	1.13%	0.81%	1.50%	2.51%	2.56%	2.83%	2.35%	1.99%	1.09%	3.40%	2.61%	0.96%	3.17%	2.66%	0.98%	2.64%	3.42%	2.34%	1.42%	2.00%	2.63%	1.50%	3.03%	3.22%	2.90%	1.81%	2.21%	0.00%	2.88%	2.60%	0.63%	2.42%	0.00%	2.54%	1.91%	1.91%	1.43%	0.60%	1.49%	2.70%	2.33%	4.04%	2.61%	1.09%	3.13%	3.59%	1.94%	1.23%	2.15%	2.56%	15.63%	0.52%	2.92%	1.20%	1.96%	0.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1132	12	13	8	16	15	9	19	17	12	16	14	16	21	14	17	12	1	17	13	13	12	28	20	8	0	10	19	13	18	24	9	19	12	15	24	2	19	10	19	32	14	20	9	11	12	21	16	13	8	7	18	14	11	14	33	11	18	0	9	7	0	11	3	13	13	27	21	11	11	10	1	7	10	6	14	17	20	6	20	3	18	11	6	4	1	14									
		2.41%	1.94%	2.67%	1.70%	2.72%	2.31%	1.67%	3.77%	3.34%	2.32%	3.61%	2.29%	4.94%	3.90%	2.31%	3.48%	2.76%	0.18%	2.99%	2.80%	3.90%	1.93%	3.86%	3.65%	1.39%	0.00%	2.04%	3.88%	1.60%	2.45%	3.06%	1.27%	2.57%	1.63%	2.35%	4.09%	0.28%	2.79%	1.53%	3.44%	4.73%	2.44%	1.91%	1.68%	2.25%	2.95%	3.26%	3.04%	3.39%	2.85%	1.28%	3.38%	1.91%	3.33%	2.65%	5.04%	2.22%	2.34%	0.00%	1.73%	4.55%	0.00%	2.96%	2.29%	2.36%	2.26%	4.29%	3.76%	3.32%	2.34%	1.59%	1.16%	7.07%	1.74%	1.63%	1.99%	2.18%	2.28%	1.06%	3.07%	1.54%	2.73%	0.71%	2.50%	0.96%	0.98%	1.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23451	272	215	218	266	291	265	208	230	225	186	238	140	260	304	200	188	296	230	194	159	310	301	285	225	357	225	270	369	353	363	422	306	338	234	245	552	345	266	233	261	229	712	265	278	195	318	226	202	140	274	239	358	173	253	313	223	467	204	258	75	99	170	68	317	343	329	284	156	243	310	60	45	362	162	350	365	563	418	264	102	344	1135	109	167	39	400									
		50.01%	43.87%	44.24%	46.28%	45.16%	44.77%	49.26%	41.27%	45.19%	43.44%	41.99%	38.89%	43.21%	48.33%	50.08%	40.98%	43.22%	52.11%	40.49%	41.81%	47.75%	49.76%	41.46%	52.01%	39.06%	67.23%	46.01%	55.10%	45.28%	48.03%	46.30%	59.35%	41.46%	45.99%	36.68%	41.74%	78.19%	50.59%	40.67%	42.21%	38.55%	39.90%	68.13%	49.35%	56.97%	47.91%	49.30%	42.88%	52.60%	49.82%	49.91%	44.92%	48.91%	52.42%	47.92%	47.79%	44.96%	60.81%	62.39%	49.52%	48.70%	62.66%	45.70%	51.91%	57.43%	59.55%	52.31%	50.81%	47.13%	51.59%	49.28%	69.77%	45.45%	63.07%	44.14%	49.86%	46.85%	64.20%	73.72%	40.49%	52.31%	52.20%	73.37%	45.42%	39.95%	38.24%	45.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	562	9	9	3	10	11	5	3	7	4	3	8	7	6	7	6	7	13	6	5	1	6	14	10	8	4	9	4	16	11	14	9	7	9	6	7	7	4	4	7	6	7	10	7	7	6	8	7	4	4	8	7	6	4	4	5	6	11	0	7	0	1	9	4	5	5	7	9	9	8	4	0	0	8	2	9	9	6	7	6	0	4	15	2	8	1	14									
		1.20%	1.45%	1.85%	0.64%	1.70%	1.69%	0.93%	0.60%	1.38%	0.77%	0.68%	1.31%	2.16%	1.12%	1.15%	1.23%	1.61%	2.29%	1.06%	1.08%	0.30%	0.96%	1.93%	1.82%	1.39%	0.75%	1.84%	0.82%	1.96%	1.50%	1.79%	1.27%	0.95%	1.22%	0.94%	1.19%	0.99%	0.59%	0.61%	1.27%	0.89%	1.22%	0.96%	1.30%	1.43%	1.47%	1.24%	1.33%	1.04%	1.42%	1.46%	1.32%	0.82%	1.21%	0.76%	0.76%	1.21%	1.43%	0.00%	1.34%	0.00%	0.63%	2.42%	3.05%	0.91%	0.87%	1.11%	1.61%	2.72%	1.70%	0.64%	0.00%	0.00%	1.39%	0.54%	1.28%	1.16%	0.68%	1.23%	0.92%	0.00%	0.61%	0.97%	0.83%	1.91%	0.98%	1.59%									
24	"6. Политическая партия ""Гражданская Платформа"""	104	3	0	1	1	3	1	1	0	0	1	1	1	1	2	1	1	2	2	1	0	0	1	0	1	0	1	0	2	6	3	1	2	2	1	1	1	3	3	2	6	0	1	1	3	0	4	4	0	0	1	0	3	0	1	0	0	0	0	1	0	1	0	1	2	0	0	1	1	0	1	0	0	3	2	0	0	0	0	2	2	0	2	1	2	0	5									
		0.22%	0.48%	0.00%	0.21%	0.17%	0.46%	0.19%	0.20%	0.00%	0.00%	0.23%	0.16%	0.31%	0.19%	0.33%	0.20%	0.23%	0.35%	0.35%	0.22%	0.00%	0.00%	0.14%	0.00%	0.17%	0.00%	0.20%	0.00%	0.25%	0.82%	0.38%	0.14%	0.27%	0.27%	0.16%	0.17%	0.14%	0.44%	0.46%	0.36%	0.89%	0.00%	0.10%	0.19%	0.61%	0.00%	0.62%	0.76%	0.00%	0.00%	0.18%	0.00%	0.41%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.63%	0.00%	0.76%	0.36%	0.00%	0.00%	0.18%	0.30%	0.00%	0.16%	0.00%	0.00%	0.52%	0.54%	0.00%	0.00%	0.00%	0.00%	0.31%	1.03%	0.00%	0.13%	0.42%	0.48%	0.00%	0.57%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6933	122	85	68	103	113	75	80	88	84	73	108	49	61	68	83	64	82	94	78	49	76	94	61	102	68	79	62	131	100	123	86	104	121	87	84	64	101	98	78	89	78	80	81	67	57	101	61	56	48	92	107	110	45	74	128	114	105	0	94	28	28	71	16	66	80	95	70	39	78	85	10	26	56	85	124	130	90	33	131	28	100	213	41	76	23	178									
		14.79%	19.68%	17.49%	14.44%	17.49%	17.38%	13.94%	15.87%	17.29%	16.22%	16.48%	17.65%	15.12%	11.34%	11.20%	17.01%	14.71%	14.44%	16.55%	16.81%	14.71%	12.20%	12.95%	11.13%	17.71%	12.81%	16.16%	12.65%	16.07%	13.61%	15.69%	12.10%	14.09%	16.46%	13.64%	14.31%	9.07%	14.81%	14.98%	14.13%	13.15%	13.59%	7.66%	15.08%	13.73%	14.00%	15.66%	11.57%	14.58%	17.08%	16.76%	20.11%	15.03%	13.64%	14.02%	19.54%	22.98%	13.67%	0.00%	18.04%	18.18%	17.72%	19.09%	12.21%	11.96%	13.89%	15.10%	12.52%	11.78%	16.56%	13.51%	11.63%	26.26%	9.76%	23.16%	17.66%	16.69%	10.26%	5.82%	20.09%	14.36%	15.17%	13.77%	17.08%	18.18%	22.55%	20.27%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	523	8	5	4	8	12	11	4	13	4	3	13	8	5	8	4	7	4	8	5	2	9	14	8	5	5	8	5	4	8	16	10	17	18	12	4	2	2	7	4	10	5	3	12	4	5	10	8	4	3	4	2	6	1	8	3	3	8	0	2	0	2	1	4	4	4	5	4	2	8	2	0	0	5	4	6	9	12	5	2	2	5	6	3	12	0	21									
		1.12%	1.29%	1.03%	0.85%	1.36%	1.85%	2.04%	0.79%	2.55%	0.77%	0.68%	2.12%	2.47%	0.93%	1.32%	0.82%	1.61%	0.70%	1.41%	1.08%	0.60%	1.44%	1.93%	1.46%	0.87%	0.94%	1.64%	1.02%	0.49%	1.09%	2.04%	1.41%	2.30%	2.45%	1.88%	0.68%	0.28%	0.29%	1.07%	0.72%	1.48%	0.87%	0.29%	2.23%	0.82%	1.23%	1.55%	1.52%	1.04%	1.07%	0.73%	0.38%	0.82%	0.30%	1.52%	0.46%	0.60%	1.04%	0.00%	0.38%	0.00%	1.27%	0.27%	3.05%	0.72%	0.69%	0.79%	0.72%	0.60%	1.70%	0.32%	0.00%	0.00%	0.87%	1.09%	0.85%	1.16%	1.37%	0.88%	0.31%	1.03%	0.76%	0.39%	1.25%	2.87%	0.00%	2.39%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	909	12	11	6	11	14	7	8	7	12	8	16	5	9	21	15	9	11	16	10	4	9	22	21	16	3	20	11	28	24	15	19	28	23	25	10	10	14	14	10	19	15	13	7	7	17	8	10	6	3	15	12	12	2	5	6	9	6	0	9	3	1	3	6	4	2	8	8	12	10	3	1	0	2	11	1	19	19	6	13	4	9	5	6	4	1	33									
		1.94%	1.94%	2.26%	1.27%	1.87%	2.15%	1.30%	1.59%	1.38%	2.32%	1.81%	2.61%	1.54%	1.67%	3.46%	3.07%	2.07%	1.94%	2.82%	2.16%	1.20%	1.44%	3.03%	3.83%	2.78%	0.56%	4.09%	2.24%	3.44%	3.27%	1.91%	2.67%	3.79%	3.13%	3.92%	1.70%	1.42%	2.05%	2.14%	1.81%	2.81%	2.61%	1.24%	1.30%	1.43%	4.18%	1.24%	1.90%	1.56%	1.07%	2.73%	2.26%	1.64%	0.61%	0.95%	0.92%	1.81%	0.78%	0.00%	1.73%	1.95%	0.63%	0.81%	4.58%	0.72%	0.35%	1.27%	1.43%	3.63%	2.12%	0.48%	1.16%	0.00%	0.35%	2.99%	0.14%	2.44%	2.17%	1.06%	1.99%	2.05%	1.37%	0.32%	2.50%	0.96%	0.98%	3.76%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	66	0	1	2	0	0	0	1	0	0	0	0	1	1	0	1	1	2	10	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	1	0	0	1	0	0	0	3	1	0	0	0	3	0	0	0	1	1	0	0	1	0	1	0	2	1	0	1	1	0	0	1	0	0	0	0	2	0	0	1	3	1	2	2	0	2	0	0	5	1	0	0	2									
		0.14%	0.00%	0.21%	0.42%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.31%	0.19%	0.00%	0.20%	0.23%	0.35%	1.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.25%	0.00%	0.00%	0.14%	0.00%	0.27%	0.16%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.52%	0.10%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.18%	0.19%	0.00%	0.00%	0.19%	0.00%	0.20%	0.00%	0.61%	0.19%	0.00%	0.63%	0.27%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.17%	0.82%	0.14%	0.26%	0.23%	0.00%	0.31%	0.00%	0.00%	0.32%	0.42%	0.00%	0.00%	0.23%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1634	17	15	32	21	31	28	11	15	23	14	46	18	27	18	34	25	10	27	19	13	27	40	10	21	3	21	15	30	25	39	25	59	40	38	32	11	24	35	14	28	26	22	14	6	26	23	16	11	11	23	16	31	4	18	12	8	13	7	9	1	1	7	6	9	14	31	28	23	18	7	0	2	8	11	15	14	24	15	12	6	17	12	10	39	1	26									
		3.48%	2.74%	3.09%	6.79%	3.57%	4.77%	5.20%	2.18%	2.95%	4.44%	3.16%	7.52%	5.56%	5.02%	2.97%	6.97%	5.75%	1.76%	4.75%	4.09%	3.90%	4.33%	5.51%	1.82%	3.65%	0.56%	4.29%	3.06%	3.68%	3.40%	4.97%	3.52%	7.99%	5.44%	5.96%	5.45%	1.56%	3.52%	5.35%	2.54%	4.14%	4.53%	2.11%	2.61%	1.23%	6.39%	3.57%	3.04%	2.86%	3.91%	4.19%	3.01%	4.23%	1.21%	3.41%	1.83%	1.61%	1.69%	2.14%	1.73%	0.65%	0.63%	1.88%	4.58%	1.63%	2.43%	4.93%	5.01%	6.95%	3.82%	1.11%	0.00%	2.02%	1.39%	2.99%	2.14%	1.80%	2.74%	2.65%	1.84%	3.08%	2.58%	0.78%	4.17%	9.33%	0.98%	2.96%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5951	82	75	77	84	61	52	87	77	63	79	90	38	74	100	62	68	76	84	65	49	113	103	83	95	60	70	61	98	109	100	63	92	82	100	94	15	84	113	111	121	112	108	69	57	54	82	95	53	27	61	65	111	44	72	75	63	77	63	63	28	12	59	8	74	63	61	57	30	58	126	7	4	44	36	98	102	69	44	107	31	13	67	32	47	25	88									
		12.69%	13.23%	15.43%	16.35%	14.26%	9.38%	9.67%	17.26%	15.13%	12.16%	17.83%	14.71%	11.73%	13.75%	16.47%	12.70%	15.63%	13.38%	14.79%	14.01%	14.71%	18.14%	14.19%	15.15%	16.49%	11.30%	14.31%	12.45%	12.02%	14.83%	12.76%	8.86%	12.47%	11.16%	15.67%	16.01%	2.12%	12.32%	17.28%	20.11%	17.87%	19.51%	10.33%	12.85%	11.68%	13.27%	12.71%	18.03%	13.80%	9.61%	11.11%	12.22%	15.16%	13.33%	13.64%	11.45%	12.70%	10.03%	19.27%	12.09%	18.18%	7.59%	15.86%	6.11%	13.41%	10.94%	9.70%	10.20%	9.06%	12.31%	20.03%	8.14%	4.04%	7.67%	9.81%	13.96%	13.09%	7.87%	7.76%	16.41%	15.90%	1.97%	4.33%	13.33%	11.24%	24.51%	10.02%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	341	4	3	1	3	6	4	6	3	5	1	2	0	5	5	6	3	4	2	2	1	9	4	6	6	6	4	2	6	7	8	4	9	7	5	2	5	4	3	4	3	6	3	5	7	1	6	2	2	3	2	6	2	10	3	7	1	5	5	9	1	2	4	0	0	5	5	5	2	2	4	1	2	2	1	3	6	9	4	3	1	5	11	0	3	1	4									
		0.73%	0.65%	0.62%	0.21%	0.51%	0.92%	0.74%	1.19%	0.59%	0.97%	0.23%	0.33%	0.00%	0.93%	0.82%	1.23%	0.69%	0.70%	0.35%	0.43%	0.30%	1.44%	0.55%	1.09%	1.04%	1.13%	0.82%	0.41%	0.74%	0.95%	1.02%	0.56%	1.22%	0.95%	0.78%	0.34%	0.71%	0.59%	0.46%	0.72%	0.44%	1.05%	0.29%	0.93%	1.43%	0.25%	0.93%	0.38%	0.52%	1.07%	0.36%	1.13%	0.27%	3.03%	0.57%	1.07%	0.20%	0.65%	1.53%	1.73%	0.65%	1.27%	1.08%	0.00%	0.00%	0.87%	0.79%	0.89%	0.60%	0.42%	0.64%	1.16%	2.02%	0.35%	0.27%	0.43%	0.77%	1.03%	0.71%	0.46%	0.51%	0.76%	0.71%	0.00%	0.72%	0.98%	0.46%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1955	40	20	14	23	31	46	21	19	47	19	30	11	27	35	27	27	28	23	26	15	14	50	15	32	10	19	15	41	32	34	39	51	33	51	28	1	29	50	25	38	31	41	23	11	12	17	29	11	16	25	18	28	14	20	17	10	22	21	17	5	8	8	9	14	21	18	31	19	11	29	0	6	19	17	31	25	17	7	32	7	12	19	8	24	4	35									
